Eigvals	3
31.723256068306053	27.496659664284287	14.938542987675513

Proportion explained	3
0.5068338876713208	0.38077638606611025	0.11238972626256898

Species	12	3
Propionibacteriaceae	16.096070435751336	12.311740407452524	-0.18967799441087896
Staphylococcus caprae or capitis	8.993789350891456	-7.307843292464125	3.410149294004668
Staphylococcus epidermidis	-2.5058653986578805	6.813284080528094	-1.9191143275162
Staphylococcus hominis	3.044813437295147	-1.3072953905614073	-5.602464041063972
Other Staphylococci	1.4485701352937577	-1.6199766848071993	-0.9510040137851522
Polyomavirus HPyV6	12.715472720749375	-9.481832961246576	4.417501033068955
Polyomavirus HPyV7	-11.967345114632167	-16.006895704559838	-3.9741451307739477
Merkel Cell Polyomavirus	-16.779023465489175	6.187891935049607	7.92024587009198
Malasseziaceae	-5.278302129755548	3.225194828475281	2.909163299392158
Corynebacteriaceae	-3.007169842347841	4.816554458977118	2.1740224104088406
Micrococcaceae	-4.666329401985909	7.489552566841734	-8.016238182390959
Other families	1.9053192728874404	-5.120374243685192	-0.17843821702544224

Site	1225	3
X940001	0.0030963459543604647	0.0005329659288131432	0.001225763276429753
X940002	0.01229886379751895	0.00039432073857284435	-0.002264123430575714
X940005	0.010675684631299072	-0.005223312881264108	-0.012077705307285153
X940007	0.022719226351005446	0.007451959487352215	0.00048041689112419587
X940010	0.023997383583605973	-0.026702876804715513	0.015915981452284605
X940013	0.010312669149136647	-0.005776003439765565	-0.004187802787361317
X940014	-0.12074340196473748	0.023282819395746293	0.053307188027244885
X940015	0.019771398097488267	-0.028122945859826578	-0.0007958490482528424
X940019	-0.052130478583199524	0.02347131961602978	0.05680441175348083
X940021	0.009316127870487008	0.017716923128366067	-0.02270893831925144
X940022	0.031588851258843524	-0.018830804176967086	-0.0035329334461138835
X940024	0.007414763719147282	-0.011502963073214106	-0.012012947987006872
X940025	0.030684555828006024	-0.0003371544343772816	-0.008392782566738166
X940026	0.021792016240099774	0.026495055094387605	-0.010410302395430867
X940027	0.0101791262745493	-0.001240250326740945	0.003935800889404323
X940028	0.00547291145214443	0.00789629204529584	0.002061089696357927
X940029	-0.0032847407310836944	-0.010855708311792452	-0.006299876219236223
X940031	0.018985248563749255	-0.009952099749318368	0.004821241785091203
X940032	0.0005743165488227771	-0.011669736236707072	-0.008727617977250544
X940034	0.023944024663513735	0.0178155499074089	-0.009258969361649183
X940040	0.02555784587047209	0.013274848156402242	-0.010618503938410032
X940043	0.012918291004033772	-0.009401022522605442	-0.008430283268053602
X940045	0.05573703806485926	0.09723900022246448	0.005734092511903123
X940047	-0.022440226681508895	0.025656838001315154	-0.03439009484982287
X940048	0.01900372718346426	-0.005252444394684098	-0.012618037377643354
X940049	0.00023990265711686747	0.00974509454853583	-0.006255197439605588
X940050	-0.022876992185772178	0.04994819762665774	-0.028726554158094338
X940053	0.008748801515896399	-0.0074176759817921045	0.0015861812967613719
X940054	0.01531548989507722	0.01666557717930926	-0.00523957888071983
X940055	-0.005604821325988789	0.0019253838906419362	0.003731101566275592
X940056	0.023769960410227914	-0.03387059111392848	0.029269033046191127
X940058	0.005812531580814153	0.006120191480732094	-0.008528842805770818
X940059	-1.8720536097853247e-05	0.011829150655179551	-0.017010078730524954
X940062	-0.056896535381596336	0.07990709542231957	-0.03867304398007114
X940069	-0.009581825121604397	-0.026447864999923756	-0.00745861781588791
X940071	-0.05249031748885952	0.012449405816266662	0.030593738837413918
X940072	-0.005090576363614554	-0.021973376730207703	-0.005412142878696807
X940073	-0.1007747890291468	0.03850199169657144	-0.007660217792606998
X940074	0.024524829519506172	-0.01326084724104854	0.0135638982055831
X940079	-0.023700403354479867	-0.015694433753122232	0.02301295924224321
X940080	0.024063153529490334	0.02821891772126663	0.0014297433517373962
X940082	-0.05391969618621485	0.062253958801048954	-0.053942530099768786
X940084	0.035911133599734225	-0.01736994273447094	0.00422397403570035
X940086	0.008227809942362921	-0.0324370504066076	-0.008733150363490205
X940089	0.023430030293202515	-0.01754866084005769	-0.015400574231578918
X940091	0.08928348656178957	0.08331778256527482	0.05380807930341957
X940092	0.027002648333652467	-0.02960878044883909	0.011796833597362524
X940093	0.008156909155008768	-0.01059766219089479	-0.014385066452912461
X940094	-0.07833311175108681	0.028385415253816736	0.14122218478752513
X940097	0.012090026536667697	0.012455398122865073	0.012434080100835049
X940102	0.035295116733204276	0.041064155642701064	0.04120379924525141
X940104	-0.01610048229797812	-0.031318453479267705	-0.018660648221742657
X940108	0.007569936891172447	-0.009861385216565915	-0.011749122542195472
X940110	0.01621356373679728	-0.038337748146611714	-0.015419141982118967
X940112	-0.05464447544399207	0.0486916344931801	0.06808847348934059
X940115	-0.0839444760944746	-0.02300151494602004	-0.030919806921113797
X940120	-0.022309924638826722	-0.061827617355024914	-0.024626100839612093
X940121	-0.05462671230704616	0.08046748647732957	-0.06855056235095018
X940126	-0.006410218077011112	-0.017215003630321003	-0.003971202581540028
X940127	-0.019798504555362296	-0.07579596061682396	-0.021435835722501486
X940129	0.018623032359748482	0.03206454854870955	-0.005579565714296479
X940130	0.02615986126818893	0.025075153623176572	0.007813064451960405
X940133	-0.016542370985836042	0.002309915546239737	-0.008765500844136796
X940136	-0.0025850378492564513	-0.03923873165272131	-0.009051680538826308
X940143	0.006735443345228084	-0.0193312924331923	0.0026120334922981403
X940145	-0.007851679928369654	-0.0027901858238435335	-0.006232868636277311
