Eigvals	3
35.542612966713634	22.748110526406062	13.825909053475375

Proportion explained	3
0.6406365267294045	0.26242406071866137	0.0969394125519341

Species	12	3
Propionibacteriaceae	-5.483668176167857	12.587280861959096	-3.0255665517214805
Staphylococcus caprae or capitis	-2.762959698300595	-2.691276023367109	2.6713456834381297
Staphylococcus epidermidis	8.498150701740864	3.5960560920798876	0.9579219110646814
Staphylococcus hominis	-3.224984457907898	9.337895634548861	-1.0855212809169223
Other Staphylococci	3.4957306898944434	2.118511296865296	-5.095069324245446
Polyomavirus HPyV6	2.110828981111916	4.262030786635546	1.304568570865468
Polyomavirus HPyV7	3.418950212759418	-10.365177616303567	-6.0186892472065185
Merkel Cell Polyomavirus	14.289957534081283	-3.91796436896398	-3.1909807287555947
Malasseziaceae	-8.314092621977393	1.2206430897464937	7.237264737253702
Corynebacteriaceae	11.940605467095065	-1.9364584282248767	3.499336511214558
Micrococcaceae	2.3586606576214324	-7.1363445318936565	5.265579490823061
Other families	-26.32717928995067	-7.075196793082003	-2.520189771813637

Site	1225	3
X940001	-0.007053121685629568	0.010735608341761516	0.02558327485609303
X940002	-0.0030219022345125074	0.016984189743356543	0.0009437681758405882
X940005	0.00030376004721526656	0.019078224520901594	0.0012077537625642418
X940007	0.00530200851454355	0.0038529745944710547	-0.0056224520669952045
X940010	0.022890748966414534	-0.02988820592366196	0.02255098665959759
X940013	-0.005079698008200615	0.009277031292151901	0.0014353387311606596
X940014	0.1483089860519705	0.04052772999687531	0.11966149632669287
X940015	0.006053115105788545	0.011691590916957305	-0.00981179266284789
X940019	0.016041799408775648	0.03496643495078839	-0.09576060540203418
X940021	-0.11229809774753038	-0.018993336498334002	0.023195391548673606
X940022	-0.03248513970660577	0.018740392853880832	0.016365051025942556
X940024	-0.0007189877242296875	0.01184501213676057	0.0024638726090611923
X940025	0.0038858934965221342	0.01711456642572151	0.0030699707635420664
X940026	0.021761557507412183	-0.01487850440230667	0.008981724667847983
X940027	0.005524884349705932	-0.003173976158542916	-0.00019690958362771185
X940028	-0.00831506209704236	0.01247569993702053	-0.004134669703639977
X940029	0.012296446702031606	-0.004296005783574871	-0.007984900099127628
X940031	0.0005159840262851463	0.012815721656224006	0.0009294585445397474
X940032	0.0049026535792189695	0.016397222946046633	0.0007282501798758852
X940034	-0.013666119930070409	-0.025523781065489814	0.03602455105694239
X940040	-0.05139811128080923	0.022650205876525942	0.014315252899102583
X940043	-0.0003123732217994511	0.016131166758618712	0.002746967277053093
X940045	-0.055443972725787855	0.012722062394711254	-0.038176695206668484
X940047	-0.11463792201002822	-0.03260460050727755	0.02664842388438612
X940048	-0.0269267869672044	0.03296481782711574	0.013273971457629227
X940049	-0.0021730092447666857	0.0007277458388388931	-0.0021420659579369423
X940050	0.006239013284400077	-0.025899959418485222	0.00908191985801139
X940053	-0.0191519178086705	-0.006572556947939528	-0.03679878006814937
X940054	-0.06371527060973198	0.009185812368066024	0.01808097159054902
X940055	0.005570558766445178	-0.025749242726661997	-0.061696593433764345
X940056	0.02527280374751187	0.0049149065031092645	0.03144453739249106
X940058	0.001971836464846599	0.01466990701159221	0.00019014953129405776
X940059	0.008901345526689763	0.012039866295943972	0.0038972739320352594
X940062	0.02083920524232312	-0.04114521184467636	0.004905438863865729
X940069	-0.007754818641894413	0.012240862582868753	-0.012510029803646842
X940071	0.011797527517436747	0.0048813162117531065	0.012025021253799844
X940072	0.0025382463743332216	0.00685306819633479	-0.010972733432858615
X940073	0.027754978512165105	-0.033484732536165074	-0.07598374620004672
X940074	-0.05448487833918069	-0.002998258756989435	-0.011329414059196323
X940079	0.15240458076952199	0.05906594469721147	-0.047588532118622864
X940080	-0.022656257338601556	0.005227794111288753	0.01954797857442161
X940082	0.006115194713297308	-0.02610922181856987	0.006026756694433136
X940084	-0.0032638125976019905	0.020887614370170837	0.010049376473031828
X940086	-0.010016498317644437	-0.0034709743128283938	0.007100272535688518
X940089	0.0029401372394251266	-0.007558897624062032	-0.023576352607925788
X940091	0.020109196521183596	0.005225121303469534	-0.05702208907983508
