featureid	Propionibacteriaceae	Staphylococcus caprae or capitis	Staphylococcus epidermidis	Staphylococcus hominis	Other Staphylococci	Polyomavirus HPyV6	Polyomavirus HPyV7	Merkel Cell Polyomavirus	Malasseziaceae	Corynebacteriaceae	Micrococcaceae	Other families
X940001	0.24576728218673743	0.029102127486648432	0.17952734847632554	0.1490589085295718	0.27957761641715306	0.17440456021054318	0.011052776359969613	-0.29730147204817364	0.06729958780710808	0.06818504411452501	0.09551324072680904	0.2501838026168903
X940002	0.2813089218936989	0.03998309545789937	0.12824893444753124	0.2171148503140988	0.1180906763260432	0.1432448814551458	-0.06953902647675735	0.08862974942253549	0.07498800300277429	0.051726055952051306	-0.057535513045877076	0.0507396003166678
X940005	0.28424771671662	0.017344963641828037	0.09784475155034308	0.19537079956563427	0.11254579791081842	0.10723985826428206	-0.0838172383402561	0.09213818027268922	0.04999935403861143	0.004105723295448824	-0.14509361693083284	0.03940659468220553
X940007	0.6277486874992193	0.48167443812707733	0.3649778697881685	0.5530918374938657	0.562778529753603	0.4972088889878922	0.4594366523019858	0.2848255551896049	0.46020108664466397	0.23124362555688188	0.3378420240603623	0.9808479714130529
X940010	-0.1533707702280655	0.13120077787333717	0.26599040243455874	-0.0083203273183238	-0.015993053282202574	0.10134403628211908	0.17764090725595608	0.3343807178022474	0.1521963257707526	0.4795410643356583	0.42622383001783154	-0.521719766174584
X940013	0.28728896418543176	0.1730195360584218	0.1366308124468378	0.24753585893377048	0.22282100967404617	0.2100390645262541	0.13367688519473267	0.0704446063093403	0.1708679640907098	0.06039444845439228	0.11069357824347696	0.42398861861105774
X940014	0.7076723578536268	0.262257069609961	1.884502476764886	0.9685583978534656	0.08861351501695269	0.9547418253411409	-0.3964990139186354	2.0725908492899405	0.7017735161090659	2.494793232881177	1.0424157700778713	-3.745281529570528
X940015	0.38328892686753285	0.20780956000006123	0.2653909492771034	0.323803911016583	0.2701918383457307	0.26537861551133746	0.1422912125626478	0.26959557648053006	0.23019608569305205	0.20613287910169825	0.09669118869687969	0.20305116723130934
X940019	-0.35943672994182124	-0.2948778973387066	-0.2649292012782474	-0.37467574912095036	-0.31012746030052907	-0.36779934071960574	-0.2319779060745034	-0.10178703332860245	-0.2962112891207074	-0.2177635927547668	-0.3834349265040334	-0.57431960624557
X940021	-0.2277531603928042	-0.06017084848604913	-0.826585104968993	-0.16587801020392226	-0.03677399378056778	-0.09913516466537386	0.018262776598176118	-1.5406247842009593	-0.2407995189618486	-1.1322819125889154	0.19086448022523989	2.4325033044492965
X940022	-0.07362849861649984	-0.11351793209142468	-0.29938400181224956	-0.08629761487084756	-0.07595277818324186	-0.09674734492145431	-0.12336855872028783	-0.4951430384390771	-0.1530334905311399	-0.41416846839936566	-0.10012508471912314	0.5795601981462462
X940024	0.4106585392078768	0.17635950540547507	0.18791935155170433	0.35521341895935177	0.2584657581461438	0.2870175509523557	0.06477606289504502	0.05586898007366542	0.19453547283598382	0.07599343030291365	0.11732742722285165	0.46373256478832237
X940025	0.9807374215383287	0.7023948055823609	0.6709038144453128	0.8909638745655829	0.8144016113836798	0.8016424298959256	0.5972085549392189	0.5431336411991654	0.7108651548233071	0.514380224154153	0.563343791663533	1.135093348961426
X940026	-0.7591706116786969	-0.2209495662120463	-0.41618742432198297	-0.5805750514499014	-0.4091785013852103	-0.4029264188424201	-0.015374442921082459	-0.4333646021240533	-0.2942608674820206	-0.24374756111373497	0.10983225013347796	-0.15409225166628304
