Eigvals	3
16.199009462003495	10.713894716515354	0.41968816731964137

Proportion explained	3
0.695356824653981	0.30417642542509077	0.0004667499209282564

Species	5	3
Propionibacteriaceae	-3.824997534743572	2.6112767448483485	0.16705707894721566
Staphylococcus caprae or capitis	-6.301072057676438	-6.632590202260398	0.14452946064381378
Staphylococcus epidermidis	14.086006455726412	-2.025239079550581	0.03659962150679305
Staphylococcus hominis	-1.0266414988014465	7.583732870994147	0.006717582139043377
Other Staphylococci	-2.9332953645049633	-1.537180334031517	-0.35490374323683316

Site	1225	3
X940001	-0.001429864655493838	-0.0031979883088720166	0.12518189539765173
X940002	-0.011814748729212239	0.012874349586562962	-0.017566460038806075
X940005	-0.012790236094297205	0.008739536141418307	-8.167110608289454e-05
X940007	-0.006166582542077283	0.009721306839476628	0.027986008644913695
X940010	0.02922110604099026	0.03889008733167174	0.09923737048371603
X940013	-0.005222318132758879	-0.0016013797651316661	0.024380076801565027
X940014	-0.05484796219522996	0.0487571291406083	0.06783701922685038
X940015	0.017681383235630996	0.0002530813579935752	-0.0248229575267234
X940019	-0.04452112940619856	0.033882676549208464	0.026569791177500312
X940021	-0.0187789931869016	-0.006677898711818337	-0.017261288383905202
X940022	0.020793778087522745	0.003864858321303717	-0.002574312033258409
X940024	-0.005787149817000648	-0.02000061054070057	0.003134728412026523
X940025	-0.009303654473792375	0.01695883915063422	0.03427470048354822
X940026	0.01759706971859058	-0.04513166392567816	-0.042068776333383934
X940027	0.004829898511741696	0.006591742783323608	-0.007259847709829743
X940028	-0.014366565191845385	0.009745703025324423	-0.016462578799408763
X940029	0.0068754863061864825	0.0021831288144492068	0.005613590334426986
X940031	-0.009514456368688346	0.0057373334043492865	0.031044466928326225
X940032	0.0038474756153597384	-0.010527817934402385	0.0371768954900285
X940034	0.0047747390942903525	-0.013445080317213696	0.008829288531388707
X940040	-0.021379285193152506	0.013002199175521268	0.050603063899368896
X940043	-0.004098487432272447	0.009305856817074661	0.036663754687511874
X940045	-0.020750195619531602	0.05318617152468352	0.04966703928111894
X940047	-0.02292079242605111	-0.004735203693262781	-0.04301269296673626
X940048	-0.018009912421734057	0.0166017470531799	-0.06906850440626806
X940049	-0.006453062248912724	0.007390682008424845	0.019907215516354968
X940050	0.03651590208344265	0.0064455295217012674	-0.021721090481000176
X940053	-0.004013217789945283	-0.011891729440657433	-0.04519117058358271
X940054	-0.032978458780315606	0.0018612438835612368	-0.016966917888532662
X940055	0.005577984689080658	0.059548865108341044	-0.007614890910752519
X940056	0.0450847665520036	0.008996644407238746	0.035242486902613356
X940058	-0.015596337730580306	0.01371143745353754	-0.008461974241357388
X940059	-0.010735503689149259	-0.008808483779326456	0.0049615334176143664
X940062	0.033847603773892995	0.054182391039991555	0.020429570597298954
X940069	-0.008252335735832462	-0.008792059320044137	0.01033603428584706
X940071	-0.017509984987656036	-0.05667567756025964	-0.04013616023455737
X940072	-0.0006352618429433586	-0.008061564012868406	-0.020827776490296854
X940073	-0.025416626157376568	-0.017300879470199163	-0.009063053319596169
X940074	-0.008646628444038617	-0.00847871440385819	-0.02202279486150484
X940079	-0.057618527537518574	-0.04508951940139526	-0.013065011875079106
X940080	-0.01345700667127551	-0.008239456096800385	0.005284022854063549
X940082	0.035898495129408424	-0.02751993959491473	0.020385533448944136
X940084	0.032785907049710517	-0.01722766283781767	0.015484197206600395
X940086	0.003838837519550912	0.005608709817419119	-0.0005729584063441827
X940089	0.025626010826403055	-0.011620572337756175	-0.03134769483884338
X940091	0.002371170678752432	0.09620412319608246	-0.042781923278044656
X940092	0.04181323341958474	0.0004108404389308591	0.0443898228173914
X940093	-0.008007675232926722	0.005929944639680448	0.016460927682636302
X940094	-0.006500171914845004	0.1076982950812137	-0.012151808180584311
