featureid	Propionibacteriaceae	Staphylococcus caprae or capitis	Staphylococcus epidermidis	Staphylococcus hominis	Other Staphylococci
X940001	0.12263863246224843	0.052929407342533485	0.03216788476696674	-0.03172316127357165	0.019871392051625535
X940002	-0.029081560648879623	-0.11858344990026937	-0.29818665806961675	0.0045266644726888045	-0.08392717707103751
X940005	-0.0951496765898602	-0.14418439491124482	-0.3646946825874414	-0.0873786248258445	-0.14272769974527363
X940007	0.3917944545028898	0.3170073587323061	0.23289763141595554	0.4188894833140503	0.3315756105749785
X940010	0.35847966800573544	-0.07427523631018418	0.689440409473436	0.6192387658383219	0.17206120028386923
X940013	0.1191591516162876	0.14673827939948025	0.03011645512270677	0.09312473352084107	0.10861521469269549
X940014	0.6682137501748644	0.3527272551980205	-0.5484867184599745	0.7473689528389295	0.38209440780536
X940015	0.06604502936528461	0.02024877657433577	0.38465200866555993	0.12049287290155432	0.09360183932758166
X940019	0.4007874649571151	0.19763619830260715	-0.5569304822846418	0.44089801490968494	0.20686455812282428
X940021	0.2940309070056906	0.4025157665207064	-0.009189173471325203	0.210891942363583	0.31393319573231965
X940022	-0.06480694404429127	-0.15191617917171407	0.2900759760302166	0.013064620375356509	-0.06093188490645178
X940024	0.06823326477503527	0.2675052789188912	0.05698632014305282	-0.04776703501881473	0.14447268601225577
X940025	0.5956361178267822	0.46165033065344985	0.3462233582576123	0.6490218780138727	0.4993515162206265
X940026	-0.07466042568367087	0.29946642134360757	0.4549836330474314	-0.24359118442491112	0.14999833188541384
X940027	-0.22695221790643733	-0.29969329989051396	-0.17006726495322633	-0.1795092605223515	-0.24620764579057802
X940028	0.02609715591584233	-0.028174883478184976	-0.27434174507456166	0.036848096427174806	-0.018613417917430253
X940029	0.06410090738690266	0.026922408182131263	0.17649009781404065	0.09347111680581545	0.058320587197306026
X940031	0.4187826947871652	0.3890843120032288	0.21802064059260406	0.4162552238078022	0.37052961074192087
X940032	-0.1516628089323359	-0.06415019128861688	-0.038434062273211896	-0.19856674666548269	-0.12368640702073778
X940034	-0.07072323639362449	0.04173882805714135	0.0761097346669023	-0.12540487242884513	-0.015199421666547464
X940040	0.15856418892278895	0.09089623228678234	-0.290786770824896	0.1561069458792731	0.05950711730397491
X940043	-0.46148031193589006	-0.5376330125700106	-0.5824714371026641	-0.431929055703307	-0.5226064954901886
X940045	-0.3687786004052815	-0.8094635066823186	-0.993069331291898	-0.1695409844664758	-0.6335000180307566
X940047	0.4177264361965956	0.5187610326098182	0.034467016206305094	0.33641121669218077	0.4391555166017284
X940048	0.1966632551178374	0.0885499220694983	-0.1943822759211703	0.23897714343986654	0.1473883902358612
X940049	0.04557206117632112	-0.006881727867943832	-0.10666062589684511	0.061455129748605355	-0.0010673483327301898
X940050	-0.3615213943596797	-0.5112306376416507	0.26533668507832264	-0.22403381043850146	-0.3444607986998412
X940053	0.4710125159689656	0.5914054487565055	0.45985444930244423	0.40733900791228816	0.5401132301939797
X940054	-0.11312523633747124	-0.04841973697135882	-0.7103003516988899	-0.1935825773731351	-0.14146105865530784
X940055	-0.2800786414506821	-0.8442144806333458	-0.45529877359721727	0.03281663140233716	-0.5181828264335038
X940056	-0.06934943936384291	-0.2644183439727632	0.6921840490063383	0.09649565567086617	-0.08460663207101253
X940058	0.2266156742365822	0.13865040118931815	-0.11521680174821325	0.25247711441785736	0.16023060432713304
X940059	0.2783610428532784	0.38640619607054805	0.12636620089677264	0.20389619467620357	0.3028144759555684
X940062	0.09893751501632791	-0.4858662505666358	0.4515024338652386	0.46016566083234534	-0.10615887748950352
X940069	0.0922926940650835	0.1939844736381049	-0.015960303776478287	0.02407438953657083	0.11612058364013973
X940071	-3.0748677815877197	-2.5071120084149054	-3.1207332450623007	-3.39971428492748	-2.8346164318874982
X940072	-0.057175553303508486	0.01920725893228492	-0.028572675339272886	-0.09590469255851262	-0.01351633171069504
X940073	0.1992759705980663	0.4223175965998125	-0.17457777085650672	0.043550155490695755	0.253103041730887
X940074	-0.23694074744767385	-0.13685209970111978	-0.34974827819364374	-0.29998710745620183	-0.1980778697685222
X940079	0.6782058833790183	1.2379092447725755	-0.14307526967595663	0.2947889872799633	0.8206689009827604
X940080	-0.02710646051881377	0.0824143707672158	-0.23052379617830965	-0.10640434940208353	-0.007606578704082479
X940082	0.04635423035111713	0.2117444763866574	0.8144888541061422	0.007096713351959619	0.18206092425480097
X940084	0.19692919936617798	0.2749311502572753	0.8621919983746277	0.20085065404405722	0.28968936853363875
X940086	0.1987379939480743	0.1374728074859657	0.24161176111112492	0.23754523665399863	0.17922890124852703
X940089	-0.019646505950241255	0.024710877656220154	0.49710941123632335	-0.0010537159652804634	0.06761784139055611
X940091	-0.037851864464932994	-0.9325505184380332	-0.43616498805376824	0.453449816375315	-0.41274938935325306
X940092	0.2008861260923996	0.09319742934541053	0.9425138854102802	0.31355401115674664	0.21361414115146932
X940093	0.17961604501758927	0.1445489318029034	0.0067336570083825695	0.18438850248473682	0.13942768606155415
X940094	0.5625281290334299	-0.4167576536719173	-0.05172302712275812	1.0816908393656315	0.11624066777841553
