Eigvals	3
29.21001035682417	24.270168620660154	13.640709849980443

Proportion explained	3
0.523986055297577	0.3617444650239501	0.11426947967847283

Species	12	3
Propionibacteriaceae	-3.235376220413794	4.491832521274063	-2.1174956316909457
Staphylococcus caprae or capitis	-3.7021709496183712	4.565240616836278	9.745256047793362
Staphylococcus epidermidis	-10.01818000881958	-8.307982571514072	2.433135672194984
Staphylococcus hominis	13.033283795072544	12.798083797285225	-2.024594560481159
Other Staphylococci	-0.08947225800912581	1.3328299583972254	-4.957865534985745
Polyomavirus HPyV6	15.749933458913455	-10.851909184942196	4.113626016940987
Polyomavirus HPyV7	12.396041965846205	-4.120754387266007	-1.3045081723154972
Merkel Cell Polyomavirus	-6.285194547512425	4.398176998184368	-1.3525989829206608
Malasseziaceae	-5.253939330628595	8.569426646816375	1.967638014866897
Corynebacteriaceae	-0.454634951048922	0.18709314118989212	0.306369973470396
Micrococcaceae	-3.2344163791262317	-7.063064261399276	-4.890409586580871
Other families	-8.90587457465514	-5.998973274861861	-1.9185532562917544

Site	1225	3
X940001	-0.004332486793886248	-0.0012476913717542068	-0.011846303188194142
X940002	0.013324305389519888	0.009182673599490215	-0.011348570887921629
X940005	0.03223745401560344	-0.011864546444982997	-0.012290735422710298
X940007	0.0075875183798585835	0.00906265449692323	-0.00924336553735154
X940010	-0.018215198930144227	-0.0420987598474403	-0.040030411959207556
X940013	0.013122048576216834	-0.004401888267884024	-0.0027666985996895065
X940014	-0.03522866326373276	0.05821476314049476	-0.00541295180176379
X940015	-0.029201797812656773	-0.017646585159689497	-0.005828834460969335
X940019	0.0006816348140404303	0.035754254608146796	-0.039217959728454765
X940021	-0.0025191684347513742	0.0686781703145814	0.04732036190239442
X940022	-0.019761214020232728	-0.031106682470328644	-0.011086612620258438
X940024	0.021620795983835057	-0.01780894181479169	0.014546696620700716
X940025	0.015005253784905657	0.00693195045253955	-0.022217504286615328
X940026	0.049343536832006867	-0.02419552442740897	0.014062178669854012
X940027	0.014833797165152417	-0.01534364280370068	-0.014460934564019114
X940028	0.014572287019548307	0.003577100287197304	-0.005021338244164553
X940029	-0.011353072131660182	-0.005806330435199261	-0.009083586490572107
X940031	0.015315188518235483	-0.005446256291899079	-0.007202416378812917
X940032	0.010302826753460847	-0.008342433762931811	0.008434223919120682
X940034	0.028828505252085093	-0.02182539753643608	0.0012495621805200313
X940040	0.008180488543852026	0.03184508665071641	0.006139811972889277
X940043	0.0010225276679977123	-0.00704273375598524	-0.008217405443118936
X940045	0.07808552859246015	0.05303199728462933	-0.02408391228253416
X940047	-0.03622574289657302	0.06688761594606993	0.04987222736941935
X940048	0.0007427079197249661	0.01530958823935156	-0.007711329906546502
X940049	0.011688800299303824	0.0037224528216621873	-0.009433715964749467
X940050	-0.03395695593302542	-0.02544406305630238	0.01326268158697589
X940053	-0.02723703050194014	0.029231729787649607	0.007867394762549466
X940054	-0.007249096890720605	0.058779006548972466	0.019853468947393156
X940055	-0.02937935673043961	-0.011930926365723397	-0.06380891918628989
X940056	-0.013964709770653378	-0.06631028731724964	-0.024999506451056374
X940058	0.017092540728537973	0.0014687839928149199	-0.014158588577018225
X940059	0.015037886621383731	-5.7876140097471845e-05	-0.01325817229721582
X940062	-0.04093821950087675	-0.02824832963302226	0.009288769846382385
X940069	-0.006125097185701434	0.0004208256014972606	0.015557648802380607
X940071	-0.009316942553921187	0.021222093872063398	-0.06846870153537497
X940072	-0.001248941550080842	-0.005141154373998451	0.0076378893694587155
X940073	-0.02473923937530116	0.07039884756040052	-0.012221387640435658
X940074	0.0024365793659948767	0.012381565821259877	0.03430987690189764
X940079	-0.04753159258275454	0.07684528711566382	0.046014122544010536
X940080	0.01766414266384922	0.01105671189970853	0.007045560258195832
X940082	-0.031448975107512996	-0.02746025780595213	0.017984388256917436
X940084	-0.04211027866570532	-0.03715468590434455	-0.00934907602767187
X940086	0.05166506828344435	-0.035090130936872674	-0.012295623967751919
X940089	0.0012936268465930658	-0.042973910745878634	0.006552995109155585
X940091	0.08046549906254338	0.096644335123153	-0.03425877846381846
X940092	-0.02446750342592955	-0.05298517343052344	-0.01799169744636283
X940093	-0.002067264940908343	0.00578438431654743	-0.009698339515558459
X940094	-0.0312751435468561	0.0012048689903734317	-0.12077945444996238
X940097	0.005769043143396108	0.01770854325681009	-0.005427724461038626
X940102	0.00956556400887969	-0.004160313123568408	0.005603752881614643
X940104	-0.008004630843780784	-0.008898284794514846	-0.011427257942118385
X940108	0.005390900572391251	-0.006196116653883526	-0.013629122052371788
X940110	-0.039754000209244016	0.0145922805290309	0.005929553193577268
X940112	-0.03496650956622784	0.05633536870422583	-0.05197244393132678
X940115	-0.03819867115559374	-0.012743388857698216	-0.012170208157658225
X940120	0.023761230312402737	-0.015758283382987386	-0.0010985629361481997
X940121	-0.08823946175993855	0.0008844838782236438	0.0143966882379879
X940126	-0.008292130153982427	-0.01240584610088172	0.019279018892191458
X940127	-0.019231821205767614	0.006561608216070464	-0.00535943106298916
X940129	0.058446724368608864	-0.0072582851004817876	0.004038600456238416
X940130	-0.0009446323779549996	0.017766943326363575	-0.020087202193758463
X940133	-0.030112411389270132	0.020296076032433025	-0.008819629035162677
X940136	0.018700113532630784	-0.031463509144184706	0.011246881211217308
X940143	-0.017458342496202192	0.007030609352516593	-0.012428136398195256
X940145	-0.003574725713023817	1.8293489560088868e-05	-0.001943452189750406
X940147	-0.015516706847986186	-0.037244763371997114	-0.002624170282199445
X940148	-0.027084935551541716	-0.003138405573304359	0.006083414956887023
X940152	-0.026980497438877645	-0.0035042494354332663	-0.006032143831784666
X940154	0.00690207508498446	-0.0011902101504487515	0.0201630168527768
X940156	0.010486380527938089	-0.011118367250025593	0.03976632225546457
X940158	-0.01239831897566252	-0.015879588862558986	0.034217536114775245
X940163	-0.02380789689771211	-0.019705889203896338	0.03602555112811602
X940168	-0.04288432310063606	-0.021572013930172385	0.021405763121964166
X940174	-0.019667259149521124	0.12708057803020106	-0.051223936541318855
X940176	-0.04731820585221761	-0.027462037357960864	0.019368127757880806
X940178	-0.021315909526924984	0.0008154070127529889	0.0028704853520304554
X940179	0.010783123603769469	0.01698106776878454	-0.007818692466743212
X940182	0.012575409897716555	0.00988669050231234	0.022533768339961527
X940184	-0.08170286315528998	0.07757868569221898	-0.03682273834062762
X940185	0.01706042657454425	0.010873001810482768	0.048731919529527046
X940186	0.0034705844569092176	-0.02136127156063389	0.021950356770450635
X940189	0.012261931780136367	-0.006673402337096254	-0.00375163302604833
X940193	-0.030879153947102264	0.0037537712416264536	-0.031719628800360423
X940203	-0.0005553020652400875	0.014151451157474532	-0.013489183408930466
X940211	-0.002039298603078661	-0.00042963455846579734	0.005058357717490323
X940213	-0.0235049992973551	-0.036145996107827566	0.016738086862866798
X940214	0.009476785011338251	0.02337166630073506	-0.014169771516015239
X940217	-0.016569062376282983	-0.008224423587743805	0.006394842930910312
X940222	0.018390737674322876	-0.008232115380429153	-0.02817733076221494
X940223	-0.049687392239793404	0.05862739044439563	0.06267088879914624
X940227	-0.02221654394093686	0.0458297386781876	0.011010632837991906
X940230	0.011855371900984409	-0.018366593838141487	0.01335540917208319
X940232	0.009431901446452047	-0.012750872918822142	-0.02438165026712308
X940233	0.02615580454424254	-0.01546848237133297	0.01591045555619273
X940237	-0.00550513497298468	0.013703918985524373	-0.027786191085650464
X940239	0.10111772321614841	0.13501921256618485	-0.032905794700872924
X940244	0.02915835047114042	0.020670462910527754	0.012542626366715623
X940248	-0.023017168725828964	0.03733043105210007	0.004589975764402762
X940251	0.02453776274964937	0.0023604865110019614	0.017585107345198008
X940256	-0.012277347442113848	0.04107191179413697	0.022259332079161424
X940259	-0.006807242408903376	-0.02649273230749368	-0.0009665207160538519
X940261	-0.022628001786921186	0.002310088337470087	-0.030191010039342516
X940264	0.03300131904522365	-0.014557036825033605	0.030007644692373305
X940270	-0.003945455665778044	-0.006741063982421701	0.010691555974332013
X940271	0.00789157342464272	0.01980107793029056	0.008082225055651414
X940278	-0.0011073527386211515	-0.01413450123170292	-0.011669794678436311
X940281	0.033373878197788094	0.026496105682857873	-0.0007697832306250604
X940284	0.007609360521723722	-0.005922255458754742	0.031326863204702245
X940286	-0.021842732818274847	0.02908006435998581	0.014937846555052776
X940287	-0.040572953736152044	-0.029204563210499686	-0.01389690019763023
X940288	-0.03007924021322559	0.022764822158021208	-0.022923775516828084
X940291	0.0038007109598861073	-0.011820605870881195	-0.009685023366083782
X940297	0.013818526157943914	-0.017736705938570237	0.00963329726130505
X940301	0.00934838234372355	-0.0017158452624438248	0.008279967419352096
X940302	0.03504979827800278	0.0005119872288675411	-0.0002892656616616857
X940303	0.006551344474388565	-0.015218446069522088	0.024552118137914313
X940305	0.018018491854998132	-0.005429975841439833	-0.008238943769171102
X940306	-0.03675267461400376	0.02250774329540898	-0.0011744695139047445
X940309	-0.01155175444843063	-0.0030051011276857544	-0.007574498584995157
X940312	0.01745364609875713	-0.013734860620192954	-0.01287268439879465
X940314	0.006523321515412502	-0.0008466499567329148	-0.008521917928471562
X940322	-0.04876275232629553	0.0479087003651149	-0.06809947380392513
X940324	0.00020970281458043986	0.035684620358018546	-0.027872385044463002
X940325	0.01544353749891333	-0.04600093615052805	-0.014924862080868294
X940329	-0.06385791280813304	0.058867631770138776	0.03135130211125406
X940332	-0.01840528124957839	-0.025569653350726827	0.011619529166037862
X940335	0.003553815407147935	0.02569046080847121	0.04173087981278737
X940338	-0.04799627600731781	-0.022733560363192934	0.013598689401360086
X940339	-0.002372127343926773	-0.024252441524809626	-0.018688439760010757
X940347	0.00873399795659753	-0.029254673942762703	0.011203459344155009
X940349	0.02025144657855483	0.02140220969991326	-0.0038622662504835146
X940351	-0.008752423665497963	-0.0005980145203474808	0.012505776652967024
X940353	0.04464583279469832	0.013214610236612119	-0.004573196930549927
X940354	0.008704857536171104	-0.010813661803279126	-0.0037151571007133064
X940355	-0.04901732012698077	0.01741174567459047	0.01611486188069425
X940364	-0.03523682737905816	-0.009302893370170238	0.00273124054278218
X940368	-0.014512121221864247	-0.028816060610851568	-0.012484018893521538
X940374	0.00806540270717126	-0.034258495682950064	0.007801424123699727
