featureid	Propionibacteriaceae	Staphylococcus caprae or capitis	Staphylococcus epidermidis	Staphylococcus hominis	Other Staphylococci	Polyomavirus HPyV6	Polyomavirus HPyV7	Merkel Cell Polyomavirus	Malasseziaceae	Corynebacteriaceae	Micrococcaceae	Other families
X940001	0.1118226727798092	0.006616438573790231	0.05016319996803805	-0.0013731984369475877	0.09947671545696299	0.04871730875582037	-0.015278222076739855	0.0826625959939726	-0.016479488616481786	0.3917884311197658	0.16743028079806785	0.03625779927822562
X940002	-0.03798957362564934	-0.15849778580695573	-0.2563617630582368	-0.06232370973977706	-0.02212441203658702	-0.0700991462709436	-0.09052236865360393	-0.08976523356243452	-0.05177291831898938	-0.05760237505752952	-0.08796924987668328	-0.12182782082243612
X940005	-0.03519957861576692	-0.18183473111672266	-0.3010414005817042	-0.32879184363085634	0.20245644239632274	0.6004533287429208	0.2388760727421288	0.14097244372128112	0.017801135494974817	0.009918117762001022	0.07133970731715053	-0.009364430980877546
X940007	0.44516593575254737	0.3357218301953907	0.2243014888181558	0.5123785252285507	0.38192382550737125	0.1687509199460611	0.26087810903492253	0.30011198945196227	0.41343891457913023	0.39912888182621253	0.32913787959424956	0.31275540669185103
X940010	0.3029984712841277	-0.2185792425973513	0.7489872148881924	0.49947187376159996	0.35438780135867176	0.560653005476169	1.0574050154438177	0.8591809420432026	-0.10746315580253134	0.44068837694941154	0.7585742613212416	0.5953198749778805
X940013	0.11120377576918053	0.06777468065921287	0.07450099316728706	0.016495561675821578	0.1951091634266476	0.35483597279481616	0.24387018862959814	0.20235982692735163	0.12083706991746819	0.13553844453838704	0.17378636019091262	0.14690873087155046
X940014	0.5905886041353096	0.33824196658838834	-1.0188750367635184	0.8154303038064656	0.20277084967355638	-1.1504858409079595	-1.0071095502189042	-0.6411921093661139	0.7129591921860349	0.2285881956244432	-0.4041576433574565	-0.3828160216250264
X940015	0.04382685833361691	0.022379987279008855	0.38266139012324346	0.20900085989714598	-0.030310142383631805	-0.07753982399640949	0.18931422632242711	0.16731437493597448	-0.07685139132860185	0.07754435585222041	0.16186714498161622	0.16452166687010497
X940019	0.523989880095216	0.3352336664767165	-0.72222621241542	1.0688607264492547	-0.08479217859769875	-1.7768813436561366	-1.1952562207038029	-0.770898120569705	0.5242296137664432	0.14559878176260022	-0.48527641501032326	-0.4110618684090552
X940021	0.40262935636028396	1.1947159150450501	-0.03496965589002835	0.37579757829342175	0.1402968262954046	-0.48063315633380466	-0.8542995873656271	-0.5061600738259722	0.9077954843305626	0.17390447188650093	-0.3126070759639932	-0.034508285967431905
X940022	-0.04622227309228258	-0.10975932171322368	0.2940135328814758	0.12952441082326435	-0.11763707401671283	-0.16238855992404425	0.13284388823901083	0.10071148560774248	-0.1919040348462679	-0.007475289427821441	0.09046177407934727	0.08067889577111984
X940024	0.04198001231032347	0.22729921246767704	0.0056865779264647295	-0.32144236532072656	0.2872056725504474	0.8041870219960143	0.27068500782244403	0.20329406791516538	0.24177157990246562	0.09590679956481496	0.14221491521883053	0.15096854962564213
X940025	0.6525889142807741	0.4380478170751829	0.3838728007116145	0.6874621151226352	0.6361480501008113	0.4961711932038467	0.5768500507363695	0.580408155237623	0.5839469767952643	0.6233542491683448	0.5884990574031537	0.5345480833724506
X940026	0.08089222843615254	0.22506309589764262	0.37059609965062673	-0.39373188288976	0.48363796960948313	1.4317502651561376	0.8176501032377322	0.6213252737498889	0.22518546873682604	0.24167079041781403	0.47792688462161226	0.44195368912816485
X940027	-0.24483636252722504	-0.42964789849343676	-0.24353333023182724	-0.3494733244370314	-0.10862107412033165	0.16043012491210112	0.09161339032964537	-0.008494003027596647	-0.3136609126012901	-0.18453634431053778	-0.07013778798074313	-0.14706746590328754
X940028	0.0804444284327456	-0.013010011410496633	-0.21511555962012377	-0.01955635253391439	0.13877445034033262	0.15694950473373742	0.019468230907425155	0.018213729238012427	0.11578058605245285	0.059098828290122474	0.014816521230701069	-0.017971796543376516
X940029	0.014323686882984715	-0.017612968659565305	0.1516672665140982	0.013408619799378373	0.04668374864944699	0.1559689651223917	0.1856569368810403	0.14363273889562164	-0.02871338866752453	0.04973767540031526	0.11875467461088576	0.10200908670046907
X940031	0.489682567037358	0.4799813715300111	0.2083912988047902	0.3169210192530907	0.5882399097897747	0.702409815747377	0.4449387832863844	0.44061033747213774	0.5851224490451222	0.4755294097610082	0.4303498022956084	0.4138157903326947
X940032	-0.18856447879763713	-0.12698962424743032	-0.04487654065574468	-0.3093212728462793	-0.08095714685623104	0.1958103629133567	0.0409097946748888	-0.016835796863683777	-0.1524267337696274	-0.13710737112922045	-0.05856956410422362	-0.06251791362098721
X940034	0.020500422414308522	0.008174598227352772	0.20542570380757127	-0.17864743204352937	0.21958547270717052	0.6944702986121147	0.47130398554394554	0.350671143463144	0.03081558908970645	0.1145011805917503	0.26879334563586665	0.22678377072560776
X940040	0.08800306038698433	0.30197305529831975	-0.1018976678738246	0.1933747797271805	-0.08795300507453072	-0.4985490896364151	-0.46618007672009	-0.3138143819859043	0.20872178831930438	-0.01885089996280459	-0.221111917449845	-0.12591269808620434
X940043	-0.5012724255574682	-0.6677408655279408	-0.775969962803652	-0.5636827615894011	-0.45106220099661976	-0.4494691097196688	-0.5105177439981551	-0.5263119568649035	-0.5179845650415417	-0.5149376590309708	-0.535329030104314	-0.5876291460874763
