shared name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
5549	C37H75N3O7	[M - H4O2 + H]+	0.878	10.649	6	0.734	3546_CARA_C18_pos_SIRIUS_5549	-56416.16	7.04
20334	C24H49NO4	[M - H2O + H]+	0.878	10.021	3	0.988	1786_CARA_C18_pos_SIRIUS_20334	-45214.789	2.585
4083	C18H39NO2	[M + H]+	0.878	6.085	2	0.476	1479_CARA_C18_pos_SIRIUS_4083	-4.816	1.51
1128	C36H44O2	[M + Na]+	0.877	14.91	4	0.804	3798_CARA_C18_pos_SIRIUS_1128	-5.743	7.773
30012	C18H28O8	[M + Na]+	0.877	9.86	2	0.28	1319_CARA_C18_pos_SIRIUS_30012	-5.665	3.572
4178	C39H76O3	[M + K]+	0.877	5.582	1	0.0	7009_CARA_C18_pos_SIRIUS_4178	-6.816	4.425
29568	C24H52N6O2	[M - H2O + H]+	0.877	43.072	9	0.534	7229_CARA_C18_pos_SIRIUS_29568	-40992.12	4.7
25694	C36H66O4	[M + K]+	0.877	10.842	5	0.351	4914_CARA_C18_pos_SIRIUS_25694	-4.936	6.289
11440	C40H78O4	[M + H3N + H]+	0.877	22.106	14	0.747	7399_CARA_C18_pos_SIRIUS_11440	-7.394	4.013
5874	C24H44O5	[M + H3N + H]+	0.876	53.624	17	0.857	5859_CARA_C18_pos_SIRIUS_5874	-5.577	5.691
8577	C25H50N2O2	[M + H]+	0.876	19.278	3	0.644	5696_CARA_C18_pos_SIRIUS_8577	-3.416	4.531
16184	C30H48O4	[M - H2O + H]+	0.876	8.378	3	0.631	7072_CARA_C18_pos_SIRIUS_16184	-39562.814	9.368
25222	C31H68NO3P	[M - H2O + H]+	0.876	12.666	6	0.85	736_CARA_C18_pos_SIRIUS_25222	-34874.247	6.22
20077	C30H59NO7	[M + K]+	0.876	5.31	3	0.992	4765_CARA_C18_pos_SIRIUS_20077	5.627	4.774
5167	C50H85NO4	[M - H2O + H]+	0.876	0.795	5	0.819	3637_CARA_C18_pos_SIRIUS_5167	-24117.99	2.921
18293	C34H60N2O10	[M + H3N + H]+	0.876	52.909	14	0.878	8038_CARA_C18_pos_SIRIUS_18293	3.081	5.85
1599	C20H38O4	[M + Na]+	0.876	5.615	1	0.0	768_CARA_C18_pos_SIRIUS_1599	-2.547	4.117
16733	C46H81NO3	[M + Na]+	0.875	29.841	15	0.297	7713_CARA_C18_pos_SIRIUS_16733	-2.319	4.82
2812	C40H78N4O3	[M + H3N + H]+	0.875	10.138	9	0.286	2797_CARA_C18_pos_SIRIUS_2812	4.528	5.176
