featureid	Propionibacteriaceae	Staphylococcus caprae or capitis	Staphylococcus epidermidis	Staphylococcus hominis	Other Staphylococci	Polyomavirus HPyV6	Polyomavirus HPyV7	Merkel Cell Polyomavirus	Malasseziaceae	Corynebacteriaceae	Micrococcaceae	Other families
X940001	0.06927364910153255	0.21753083138842613	0.21554161242333242	0.10894797577665244	-0.003651112774017259	0.12286753871846935	0.11816941780470656	0.23146966518031659	0.03594457011686801	0.28926100384766235	0.3008457670035555	0.21278720075629595
X940002	-0.042797355591027986	-0.05089220846466222	-0.16030667907595947	-0.1156605647583207	-0.053750198188224525	-0.06040232291430951	-0.03938743977986271	-0.05360280788329336	-0.023026020625196528	-0.06958561761881671	-0.06592870880226309	-0.10040383098974445
X940005	-0.10801482545658775	-0.0953732810487796	-0.12600953034798362	-0.22152500019266214	-0.0675485854050319	-0.11354470198657139	-0.016635797206268857	-0.03501821494292806	-0.12563142277562567	-0.10724895994722733	-0.10271807575166625	-0.07758872978350109
X940007	0.3838999941622592	0.42971535510229986	-0.02833332377069958	0.17274782641933356	0.40221126888575803	0.3199249038284667	0.3226728933666616	0.3474863333921759	0.4757171372721955	0.41672176057201055	0.36784222847899206	0.18827436317145216
X940010	0.17995254095277258	0.372203504932072	0.2190734612872624	0.057852795563201054	0.403444775701952	0.17432498536810082	0.23717247680596798	0.3618189714215612	0.17245951780223323	0.4685730814114572	0.3457450235760041	0.3049238476808481
X940013	0.09064839284870747	0.2203018003080536	0.22239400835701184	0.043760692916373356	0.2530431671334219	0.10227551552422466	0.1574184916397865	0.2399652133422266	0.05995158982242727	0.2925783345903709	0.2160161128660833	0.23471497466063904
X940014	0.6498221741456535	0.6959090230321476	-0.04820517511389705	-0.0584776567001542	0.7502394902951632	0.5353590765153021	0.8910349764202767	0.8108344064173207	0.7211592565575392	0.5949412457488874	0.5854087386484722	0.4299730326978185
X940015	0.047759855028434994	0.10570305543370032	0.00975896304252405	-0.08909632430269326	0.13331080667198197	0.03695868619438995	0.1303878313592549	0.14595785970697445	0.03891681342553542	0.1171148238351089	0.08882049096243472	0.08580543347535671
X940019	0.5969535421306632	0.24402440836150022	-1.768845204511142	-0.466552393295308	0.08018741136735312	0.2601101754028089	0.36531892714739045	0.02888231567370153	1.0533170795738636	-0.17925339562264592	-0.018398103813093702	-0.7569371533039796
X940021	0.4320272701217046	1.049149799215762	1.3729782645726223	1.4057731462936203	0.9303875648649353	0.5569100376748232	-0.19757260533451615	0.488419042069517	0.45466013458403853	1.6009211896484334	1.101452824702926	0.9206602230308832
X940022	-0.08626636097840545	0.06415562414103129	0.13885414473378338	-0.20752085910036172	0.1358488548800541	-0.06414496503790966	0.09673839717391906	0.1666007782180719	-0.1599635883934788	0.13744588739276414	0.06583801512576926	0.15324235069993927
X940024	0.015450024935123596	0.21711882286970188	0.1319466194948155	-0.07396713063909616	0.25444548802181105	0.020886147993010376	0.08312562027276214	0.2164112481242773	-0.007798412263080326	0.32568438834801133	0.1994828696068377	0.18480145458545957
X940025	0.5648239831448376	0.6807664452191547	0.3747031737288084	0.37382580175207053	0.688977331628557	0.5291380150658733	0.5850747686810972	0.6509303677891423	0.6021259366709008	0.716379045563182	0.6359036427910042	0.5345373807365666
X940026	0.1375299088541514	0.08108087052411553	-0.1117200794773448	-0.2912189827938279	0.15466426706632502	0.09605228816567636	0.42058243541759066	0.2825252848979643	0.11121513348133659	-0.02921338923279132	0.04684155773234344	0.0981401203987978
X940027	-0.2636347638847346	-0.12646516595370857	-0.22743453860364143	-0.22567831144525613	-0.13777410656528838	-0.263817754676425	-0.3362013530973875	-0.21403448108933548	-0.24351649904905803	-0.03626838006353689	-0.14071125276211227	-0.21181692782480935
