rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	ionMass	retentionTimeInSeconds	id
1	C18H32O2	[M + H]+	C18H32O2	0.9999999999999999	230.9559327828351	230.9559327828351	0.0	53	0.9647132392435047	-6.786883764366213	7.408412328552332	-7.490668613634402	281.2454	63.959	5280_CARA_C18_pos_SIRIUS_4004
2	C18H35N5O	[M + H3N + H]+	C18H38N6O	0.9999999999999999	222.17835758695756	217.7873730217624	4.390984565195179	39	0.31005358679270384	-4.744508353984262	4.978528213723939	2.5715263373392183	355.3189	125.784	2540_CARA_C18_pos_SIRIUS_7092
3	C17H35NO3	[M + H3N + H]+	C17H38N2O3	0.9999999999999999	212.65172017809746	212.65172017809746	0.0	49	0.554057722974622	-5.8318858137060365	5.8318858137060365	-7.577765039436392	319.2931	71.273	7321_CARA_C18_pos_SIRIUS_23846
4	C20H36O2	[M + H3N + H]+	C20H39NO2	0.9999999999999999	211.33166024695169	206.45167620407068	4.879984042881013	31	0.7776855185524275	-7.041331844432229	7.4405204818986075	-4.768378702774795	326.3038	152.658	5503_CARA_C18_pos_SIRIUS_2192
5	C20H36O2	[M + H]+	C20H36O2	0.9999999999999999	209.80042952542715	209.80042952542715	0.0	57	0.9938936297594817	-5.77397451973246	5.880471278636171	-8.752192912868347	309.2761	86.961	6630_CARA_C18_pos_SIRIUS_21438
6	C18H34O3	[M + H3N + H]+	C18H37NO3	0.9999999999999999	208.21745333059712	203.38074799089705	4.836705339700069	55	0.9722418692077587	-3.5440714000286935	4.879017221627118	-5.123563677271245	316.283	64.242	2800_CARA_C18_pos_SIRIUS_970
7	C39H72N2O4	[M + H3N + H]+	C39H75N3O4	0.9999999999999999	192.68120349653734	192.68120349653734	0.0	43	0.6702530552784133	-1.2071983554671124	5.336334900799385	4.558456390689674	650.586	279.378	4195_CARA_C18_pos_SIRIUS_836
8	C13H22O3	[M + H]+	C13H22O3	0.9999999999999999	183.40735578067017	183.40735578067017	0.0	42	0.9871098886530068	-4.8965468851185605	6.396740003727318	-3.394103497793028	227.1634	45.311	2527_CARA_C18_pos_SIRIUS_4031
9	C19H36O3	[M + H]+	C19H36O3	0.9999999999999999	178.4022801276931	174.39133547312474	4.010944654568362	46	0.9183059109383849	-5.904183860005174	7.65995805020029	-7.091178388382867	313.2715	78.841	1206_CARA_C18_pos_SIRIUS_32027
10	C20H38O3	[M + H3N + H]+	C20H41NO3	0.9999999999999999	176.83947966196826	176.83947966196826	0.0	57	0.9857196526735275	-4.72083007269174	4.72083007269174	-9.353776641248619	344.3127	86.838	4693_CARA_C18_pos_SIRIUS_28565
10	C20H38O3	[M + H3N + H]+	C20H41NO3	0.9999999999999999	175.42482314883745	170.3615659255337	5.063257223303735	57	0.987251200428552	-6.99296224883971	6.99296224883971	-5.287683805442796	344.3141	86.961	5168_CARA_C18_pos_SIRIUS_11469
11	C42H79NO5	[M + H3N + H]+	C42H82N2O5	0.9999999999999999	167.8259333417729	160.1009047089913	7.725028632781591	48	0.9640519587008812	-7.226732018410592	7.226732018410592	-3.6660102670067727	695.6271	110.176	2563_CARA_C18_pos_SIRIUS_611
12	C14H18O4	[M + H]+	C14H18O4	0.9999999999999999	167.23493298948713	162.84017925460347	4.394753734883658	58	0.9945424866165445	-2.7108237055101605	2.7108237055101605	-1.9333146597307105	251.1273	47.715	7809_CARA_C18_pos_SIRIUS_6604
13	C20H34O	[M + H3N + H]+	C20H37NO	0.9999999999999999	163.58223167550426	160.32619480655026	3.256036868953986	52	0.9649573359621032	-8.81760479103939	8.81760479103939	-4.837134282710654	308.2933	97.229	4868_CARA_C18_pos_SIRIUS_26671
