#OTU ID	EMR_04_1_JG	EMR_04_10_MD	EMR_04_11_AT	EMR_04_13_KB	EMR_04_15_DB	EMR_04_17_BS	EMR_04_19_BK	EMR_04_20_JP	EMR_04_21_DM	EMR_04_22_RS	EMR_04_23_JB	EMR_04_24_DK	EMR_04_3_MX	EMR_04_32_GS	EMR_04_33_CG	EMR_04_34_NG	EMR_04_35_RB	EMR_04_37_CM	EMR_04_38_GC	EMR_04_39_NP	EMR_04_44_DTA	EMR_04_45_VC	EMR_04_46_AB	EMR_04_47_JM	EMR_04_48_LD	EMR_04_50_RJ	EMR_04_52_JC	EMR_04_55_TC	EMR_04_56_AI	EMR_04_57_NF	EMR_04_60_TC	EMR_04_61_BJ	EMR_04_62_JC	EMR_04_67_DN	EMR_04_68_VG	EMR_04_69_DC	EMR_04_7_NMC	EMR_04_70_WC	EMR_04_72_RB	EMR_04_73_AC	EMR_04_75_DM	EMR_04_76_RR	EMR_04_8_MC	EMR_04_9_DC	EMR_04_N-11_PW	EMR_04_N-13_LB	EMR_04_N-16_PP	EMR_04_N-18_JG	EMR_04_N-19_RC	EMR_04_N-21_AG	EMR_04_N-29_BP	EMR_04_N-31_JG	EMR_04_N-4_EV	EMR_04_N-5_CA	EMR_04_N-8_PC
X940001	1290.421394975513	682.5456793377139	722.1184672687993	1478.2535169524026	745.4589709385451	591.1708264668035	965.5439271119557	1284.1910740848557	1272.1332997807312	861.3079508179721	1411.0649512625034	655.0833415045822	805.4563641307243	790.5824184470848	897.0959829771762	774.9752447129719	1373.4653775840404	849.8111224771234	1280.114957071557	582.955633162962	1347.060288774762	325.5897703332678	831.924890534835	1100.3072312753477	1123.0571881122294	1153.7139965544843	1222.7330768227714	430.32974994065034	1131.2671560523	1541.868800086727	701.9911654180892	405.577709109049	1059.169547749353	838.0951421449373	837.1302957087792	1052.9600887329816	703.4151955981773	1322.3530054665928	777.0881016079743	1216.7786497179247	630.1516457352113	835.1250720283648	1032.663283113388	1024.784550746978	1519.349895338234	903.4667190882292	432.80486193748715	881.0845244334989	1449.2340158343657	1369.4272340460764	1142.408445095662	1018.9255131827002	560.3059213938955	866.201858423235	1426.44954304019
X940002	631.2132634731332	687.085096950653	472.80505821284027	1288.7169904638422	635.2038181983959	1278.3670294920978	1236.191841348431	1428.30989605377	1179.1536992343827	985.1374000029001	1437.3265798911946	348.52699983715956	835.4901388905365	788.9143583714065	856.3698239191278	895.2358233168252	1285.639846302102	907.1452001472784	834.0936310863623	839.073859294966	954.5737273247241	180.71719323585728	880.289286363911	1196.6987218878417	748.7092857568606	777.6375825548874	903.1619120043185	501.6637226109073	990.836191560915	651.6830631256584	640.0105154973921	341.49962261998405	666.5122622747587	483.2005974543312	674.787073185806	902.6324829452152	550.389021350088	825.2316337604924	1094.3662210444456	768.8452234839353	547.5001223491532	574.5870941424906	917.9735980986575	724.3425084622886	1030.5330697565237	507.87964822437976	376.0267182993499	843.6121398074278	926.6643167545712	1102.0044564861928	613.1538728611379	989.7063414409043	791.5142464284683	873.4970575021512	1188.5377939283735
X940005	425.9757411800279	760.565707569881	358.8862927377229	610.8233269475634	412.5342520599039	862.0231747224578	1859.5802585653419	1116.1020961339916	905.4944889938713	883.0589590348005	1162.889129227582	408.1419299945331	947.2568398743001	1618.9411537327499	615.037350210549	746.8849220666034	1214.7090812690926	650.7820703819468	635.548552441814	682.926508352086	833.2616918495173	458.59675199644437	492.0189334352461	931.1690543879064	885.1546529924974	924.7021567157708	1216.191731960474	747.626228782633	764.1591374664024	1623.0582753829767	405.2368837484034	299.58452034141305	591.3273568120375	452.1771138327115	768.5562388899887	563.0718342468911	341.53051190898725	821.5449752220798	1003.7238664003233	977.4330354169431	426.8363837808546	561.9943994834368	1007.1042146631321	637.1094421766963	1306.8542173749502	717.8948973064631	216.30509178840865	970.9332188357839	1296.4507896336145	1089.7143255417036	997.3207408552507	794.7660387515887	658.494988417484	821.2951373729564	1116.1423695908386
X940007	1052.1464478021426	422.7565859915605	946.3038521677714	1934.2269399036581	1335.6519343306095	1671.5206888463638	1838.80018408153	2514.681745562568	1033.9193691989537	1695.2884776431258	2163.0363536971367	667.459805331123	1773.9778333015427	1081.6901628636233	1381.0950584882205	1050.6795178528378	2227.0202059844946	1059.2689673121927	1140.3472816714782	1008.3739324126608	1004.961263584063	495.5259553064621	1174.2974363193532	2325.7248547914414	2601.6289239258135	1401.9228642450184	2329.6090841372074	1388.0870794784894	1318.960549787032	1084.2147985379588	973.4044303065318	794.2565031833191	1818.8261663466303	738.7238438666755	688.3257063894072	973.0119194118629	383.9079119210907	671.3522507944772	870.428751427094	1537.9009141604947	334.9114289842508	2355.1639228872996	1400.8648701497048	1072.4480749604436	513.6200445031553	1683.0265065851193	670.5681613200138	738.5662853374898	1153.0553697972632	814.0643069352411	1484.041848424327	899.2323272702947	1606.8632251736135	862.2333306906652	1621.7113178946954
X940010	463.5414019814365	305.93839081476847	3942.168505133233	1717.2020250746023	2952.6113071723703	1243.6959806874243	351.23432564359337	1092.6294285123636	3953.8899146832464	561.7733673220645	954.1508203107461	675.6605456998244	304.32686424526867	1286.538602646119	780.3712934219113	394.25066183647533	756.9286589002156	1021.2967371230565	540.095733753058	376.7483210356005	1636.3256320382254	232.7011218913382	88.39261204097569	2833.0748158855827	437.9221690037173	403.60239040600027	2518.590696678986	1238.9187933242104	1040.7186742992906	1013.2215041918165	465.5253672903707	883.6196663025437	1933.5206211049979	3648.214540730683	1871.629672611272	223.24684276971695	526.1531492970222	1408.791289136138	2080.8610043064714	2118.868263551519	629.7884831052485	1070.1465965681655	2029.3324942459838	1603.5562804768756	717.3641166265664	1247.5919542033341	139.7678192323342	670.5294218237427	663.3221156052676	982.2830449639973	2149.734743770327	688.7800146971408	709.3753008904612	221.68009697310987	1049.2016146801232
X940013	991.6105992179139	826.5576062106433	777.8155200664573	1479.307037600094	793.5549847092487	945.2857228395486	1682.3296283076695	1418.3821487754567	1252.5611436150166	993.2552755358167	1477.712409147065	551.7091676963041	517.748188682197	1243.374744454412	1023.8737122703609	1372.688877321685	1339.051320041766	863.8093529069338	1271.7032400847377	639.5893330015253	1718.2802522207896	293.0550590966128	918.2555837808512	711.6476600312006	1378.7237982503088	1204.4671665244257	1476.5407167250742	711.9688071662168	797.3767878128365	1229.418212040816	769.080926325844	436.79858060984515	1145.0299775452704	842.3702803698313	826.4420815863452	1297.6934332594274	947.4152055768375	1087.4597222548216	1149.8739840030964	1205.832074527393	652.0012474014468	1023.230904732185	1120.4085511276244	1178.8128167647885	1553.6269203883114	951.1294437630676	416.49462398356803	954.5370781264743	800.8233030471406	1510.304938405458	404.58186028972233	953.5380751347119	587.194449035334	860.6390519051521	1190.4372781325792
X940014	118.81861969373149	84.0402616452511	58.611177410268915	9.587720042479983	873.7515982305516	70.15069841867353	56.68100585491581	350.347996626843	40.683555712586674	110.22941919738659	91.1558473654382	30.76544140560567	69.68261893928339	433.73973328474534	1063.924899017704	156.75230528191682	18.99846773707411	505.3507899463288	448.3133737439589	56.53259795646725	339.57191666682155	61.52104252417005	15.555825344821171	282.89887849313914	123.97395286960288	153.86535766295952	200.71337179866327	127.46410757472356	892.108094932705	646.8139724865899	16245.117781004772	64.66223644953513	175.2500378892687	44.976445725959785	69.61708888643982	241.9714464331481	245.02961883225282	36.87174622898835	105.3081920593139	225.65221989215266	28110.269322354983	140.02344344618612	53.12084826941074	18224.869423730117	96.39393241366179	138.1912184486836	36.151133414253735	300.0816587249601	75.19408671450748	82.55579206664017	200.7169662575758	1908.7840342127288	17438.065955636153	49.517964059272096	345.33579890016017
X940015	725.3930169113016	1138.1689076449095	807.236816430379	1216.7643900322755	1168.4389356377578	1152.2927930085048	909.660519863775	1317.27383451061	1049.7142645425029	786.6496882418679	1206.1894432260115	608.3883496416843	1367.869018718144	541.4151584094891	873.0106837334911	835.9579600362775	1413.4535879833124	950.1362727259889	1011.9666777874656	577.3030832856723	987.116698710727	342.94252190957286	684.3198817450012	765.4122985179172	1127.2721061235784	1215.0764441651593	639.3448833974387	1200.7580698557174	1130.5540233046263	608.6223287344477	780.9977197760454	470.5264645316112	972.292782318832	2276.1855455542377	1421.6870504300912	1399.463299926912	811.4679607739597	670.3463829378021	674.5613463222844	895.516648523683	1022.9398921291321	1214.5425979090198	991.3686613993481	1030.1668469315946	1012.9099076126814	882.8300976355064	371.7487482574108	1028.1097018540067	516.5345067121248	890.4204043016796	948.2626288845626	863.4022668608455	729.5072641951818	794.8967430476802	1410.8576861162635
X940019	554.2474861792618	1457.247380003121	292.9129682548543	355.15446247250924	266.28609645420005	866.8527950955898	1571.5987263356574	712.3958709064403	492.62093647090643	584.202374043269	283.04137426877634	279.5022432003198	666.5024071542925	681.7519107141952	216.2247939691691	315.0061693004992	632.1938531440371	30094.28261199047	398.6421158216224	2084.9490124630256	305.5708206268918	1437.4583835538872	281.3765389112654	1735.9889240795267	600.4749267156336	654.2159747389449	715.0485497807307	470.6813526556292	294.79915858745534	634.8211641955646	183.88823799192653	94.78445885255934	429.83470129957743	196.09970671472516	536.1372652164124	239.2099146041506	114.71746175662311	398.7684574648143	621.3167233493745	496.86104617249356	2258.1956254845823	423.0011865856071	1549.0348497314446	228.98701972246147	496.81043383406217	309.96031098881866	174.5414951774166	399.2969181428998	500.54891302243215	259.24790069053205	818.2964933406239	459.22176272424656	477.79369582351495	630.61051756946	660.598099453526
X940021	14546.148550339763	540.6907854435946	64.26139395895268	2877.1196459009534	264.84398463794895	52.99836690909331	1373.2896025737648	172.67305030116907	568.0124574814333	2500.639361408837	246.25684579949947	3213.6690629357076	70.55640309264429	388.528773067102	635.4127843228198	492.2815373246588	794.5086137619948	1006.6023753663964	1193.2925286547297	85.36289372807687	2411.5628076408693	241.90738463807423	777.5834685728851	418.04547912511686	1224.4876608541622	292.87005336220665	849.5148945051897	34.503990492434134	1009.6330611749414	1042.9513648529767	690.4699695890885	34.10379591841854	344.88154277808553	420.5205364984999	122.85773565079843	611.9555199873436	979.4632052776395	1907.7968615773163	214.436480963832	1570.232589201782	99.57376048862736	132.3374749475517	511.27695634722795	347.4891111585622	2000.8480687398483	975.0709526104087	17333.247548141437	136.2113345918919	3028.208537299583	3404.9037032658457	1884.7695659140659	597.5596119091718	204.3875749329139	1440.772542607069	1106.1056726139539
