Dataset	Frequency
MSV000080500	1
MSV000080533	12
MSV000080540	2
MSV000080958	6
MSV000081049	3
MSV000081077	4
MSV000081160	85
MSV000081346	10
MSV000081464	58
MSV000081468	10
MSV000081805	1
MSV000082331	3
MSV000082613	95
MSV000082615	34
MSV000082617	107
MSV000082619	117
MSV000082692	3
MSV000082699	5
MSV000082700	2
MSV000082704	5
MSV000082705	3
MSV000082706	4
MSV000082708	6
MSV000082709	10
MSV000082710	3
MSV000082712	5
MSV000082713	8
MSV000082714	27
MSV000082716	21
MSV000082717	4
MSV000082718	3
MSV000082719	5
MSV000082720	4
MSV000082721	8
MSV000082722	5
MSV000082723	22
MSV000082724	37
MSV000082725	6
MSV000082726	13
MSV000082727	5
MSV000082728	46
MSV000082729	19
MSV000082730	16
MSV000082731	34
MSV000082732	15
MSV000082733	12
MSV000082734	24
MSV000082735	64
MSV000082736	4
MSV000082737	5
MSV000082738	6
MSV000082739	3
MSV000082740	44
MSV000082741	92
MSV000082742	17
MSV000082743	21
MSV000082744	181
MSV000082796	22
MSV000083105	2
MSV000083300	66
MSV000083388	64
MSV000083441	8
MSV000083473	3
MSV000083595	5
MSV000083611	62
MSV000083825	4
MSV000083835	15
MSV000083989	25
MSV000084186	587
MSV000084187	12
MSV000084314	32
MSV000084460	2
MSV000084716	11
MSV000085071	184
MSV000085101	5
MSV000085119	22
MSV000085142	25
MSV000085143	27
MSV000085467	78
MSV000085508	11
MSV000085693	80
MSV000085870	57
MSV000085879	42
MSV000085882	5
MSV000085990	24
MSV000086101	2
MSV000086293	8
MSV000087127	12
MSV000087646	1
MSV000087694	87
MSV000087728	60
MSV000087885	6
MSV000088324	217
MSV000088332	1
MSV000088750	1
MSV000089210	1
MSV000089316	15
MSV000089807	3
MSV000090004	1
MSV000090005	1
MSV000090012	3
