Dataset	Frequency
MSV000079339	35
MSV000079601	9
MSV000080243	67
MSV000080533	22
MSV000080604	1
MSV000081077	22
MSV000081186	1
MSV000081346	35
MSV000081464	111
MSV000081468	49
MSV000082062	1
MSV000082312	2
MSV000082331	33
MSV000082619	1
MSV000082633	11
MSV000082643	2
MSV000082682	2
MSV000082778	1
MSV000082796	2
MSV000083105	4
MSV000083109	3
MSV000083300	37
MSV000083473	10
MSV000083605	128
MSV000083789	1
MSV000083798	42
MSV000083825	3
MSV000083835	6
MSV000083989	194
MSV000084187	6
MSV000084206	1
MSV000084313	5
MSV000084314	31
MSV000084496	2
MSV000085071	40
MSV000085108	5
MSV000085119	7
MSV000085142	60
MSV000085143	62
MSV000085352	11
MSV000085359	1
MSV000085467	132
MSV000085555	15
MSV000085779	1
MSV000085870	6
MSV000085917	1
MSV000085918	80
MSV000085919	70
MSV000085920	92
MSV000085921	43
MSV000085922	78
MSV000085990	58
MSV000086092	1
MSV000086124	1
MSV000086127	3
MSV000086251	1
MSV000086252	94
MSV000086293	5
MSV000086301	73
MSV000086302	80
MSV000086303	44
MSV000086666	1
MSV000086993	3
MSV000087127	27
MSV000087322	4
MSV000087572	10
MSV000087588	4
MSV000087630	1
MSV000087690	10
MSV000087694	25
MSV000087702	6
MSV000087728	1825
MSV000087747	10
MSV000087809	3
MSV000087885	3
MSV000087951	12
MSV000088324	15
MSV000088332	2
MSV000088661	1
MSV000088823	69
MSV000089061	1
MSV000089309	4
MSV000089655	4
MSV000089739	1
MSV000089760	2
MSV000089761	2
MSV000089762	2
MSV000089763	2
MSV000089764	2
MSV000089765	2
MSV000089766	2
MSV000089767	2
MSV000089768	2
MSV000089807	3
MSV000089834	1
MSV000089928	2
