USI	Cosine	Matching Peaks	Status
mzspec:MSV000082734:20160219_S00020849_P:scan:2187	0.78	5	NoID
mzspec:MSV000082734:20160219_S00020852_P:scan:2343	0.77	5	NoID
mzspec:MSV000082699:20161109_TP_CS00000001-1_P:scan:2421	0.77	5	NoID
mzspec:MSV000082734:20160219_S00020843_P:scan:2288	0.77	4	NoID
mzspec:MSV000082734:20160219_S00020821_P:scan:2319	0.77	4	NoID
mzspec:MSV000082699:20161109_TP_CS00000001-3_P:scan:2539	0.76	5	NoID
mzspec:MSV000082731:20151020_S00019929_P:scan:1867	0.76	5	NoID
mzspec:MSV000082699:20161109_S00026335_03_P:scan:2582	0.76	5	NoID
mzspec:MSV000082724:20170316_S00027996_P:scan:2475	0.75	6	NoID
mzspec:MSV000082699:20161109_S00026336_01_P:scan:2472	0.75	5	NoID
mzspec:MSV000082740:20150505_S00016326_P:scan:1746	0.75	5	NoID
mzspec:MSV000082734:20160219_S00020850_P:scan:2244	0.75	4	NoID
mzspec:MSV000082734:20160219_S00020842_P:scan:2211	0.75	4	NoID
mzspec:MSV000082731:20151020_S00019977_P:scan:1884	0.74	6	NoID
mzspec:MSV000082699:20161109_S00026335_01_P:scan:2563	0.74	5	NoID
mzspec:MSV000082704:20160520_TP_CS00000001_4_P:scan:2680	0.74	5	NoID
mzspec:MSV000082704:20160520_TP_CS00000001-1_P:scan:2618	0.74	5	NoID
mzspec:MSV000082724:20170316_S00028000_P:scan:2422	0.74	5	NoID
mzspec:MSV000082734:20160219_S00020851_P:scan:2262	0.74	4	NoID
mzspec:MSV000082734:20160219_S00020853_P:scan:2289	0.74	4	NoID
mzspec:MSV000082729:20160307_S00021687_P:scan:2314	0.74	4	NoID
mzspec:MSV000082719:20170313_PP_CS00000004-4_P:scan:2566	0.73	6	NoID
mzspec:MSV000084314:MSV000082716:scan:15329	0.73	5	NoID
mzspec:MSV000082734:20160219_S00020857_P:scan:2274	0.73	5	NoID
mzspec:MSV000082699:20161109_S00026336_02_P:scan:2503	0.73	5	NoID
mzspec:MSV000082724:20170316_S00027993_P:scan:2442	0.72	6	NoID
mzspec:MSV000082740:20150430_S00016249_P:scan:1930	0.72	5	NoID
mzspec:MSV000082721:20150603_S00018522_P:scan:2293	0.72	5	NoID
mzspec:MSV000082727:20161020_S00025564_P:scan:2397	0.72	5	NoID
mzspec:MSV000082714:20160831_S00025125_P:scan:2321	0.72	4	NoID
mzspec:MSV000082729:20160307_PP_CS00000004-5_P:scan:2423	0.72	4	NoID
mzspec:MSV000082721:20150603_S00018505_P:scan:2424	0.72	4	NoID
mzspec:MSV000082741:20160907_S00024255_P:scan:2414	0.72	4	NoID
mzspec:MSV000082729:20160307_TP_CS00000001-12_P:scan:2160	0.71	5	NoID
mzspec:MSV000082716:20150607_S00015606_P:scan:2496	0.71	5	NoID
mzspec:MSV000082729:20160307_S00021661_P:scan:2174	0.71	5	NoID
mzspec:MSV000082724:20170316_PP_CS00000004-3_P:scan:2695	0.71	5	NoID
mzspec:MSV000082717:20160617_S00022665_P:scan:2543	0.71	4	NoID
mzspec:MSV000082705:20170207_PP_CS00000004-7_P:scan:2587	0.71	4	NoID
mzspec:MSV000082705:20170207_PP_CS00000004-4_P:scan:2602	0.71	4	NoID
mzspec:MSV000082731:20151020_S00019964_P:scan:1948	0.71	4	NoID
mzspec:MSV000082729:20160307_S00021668_P:scan:2251	0.71	4	NoID
mzspec:MSV000082729:20160307_S00021689_P:scan:2274	0.71	4	NoID
mzspec:MSV000082705:20170207_PP_CS00000004-3_P:scan:2329	0.71	4	NoID
mzspec:MSV000082719:20170313_PP_CS00000004-2_P:scan:2528	0.71	4	NoID
mzspec:MSV000082724:20170316_S00027990_P:scan:2375	0.7	5	NoID
mzspec:MSV000082731:20151020_S00019947_P:scan:1824	0.7	5	NoID
mzspec:MSV000082734:20160219_S00020819_P:scan:2262	0.7	4	NoID
