file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	Filepath	Filename	MassIVE	Taxaname_file	Taxaname_alternative	Taxa_NCBI	Taxa_Assigment	ReDU_Availability	Blank	QC
mzspec:MSV000088332:190225_AR_BS_12_Neg	0.01	mzspec:MSV000088332:190225_AR_BS_12_Neg:scan:3682	1	0.85	4	MSV000088332	NoID	MSV000088332/peak/Converted/Converted neg/190225_AR_BS_12_Neg.mzXML	MSV000088332/190225_AR_BS_12_Neg.mzXML	MSV000088332	blank		blank	automatic	No	Yes	No
mzspec:MSV000088332:190225_AR_BS_15_Neg	0.01	mzspec:MSV000088332:190225_AR_BS_15_Neg:scan:3798	1	0.83	4	MSV000088332	NoID	MSV000088332/peak/Converted/Converted neg/190225_AR_BS_15_Neg.mzXML	MSV000088332/190225_AR_BS_15_Neg.mzXML	MSV000088332	Cortinarius traganus		70561	automatic	No	No	No
mzspec:MSV000088332:190225_AR_BS_14_Neg	0.01	mzspec:MSV000088332:190225_AR_BS_14_Neg:scan:3635	1	0.83	4	MSV000088332	NoID	MSV000088332/peak/Converted/Converted neg/190225_AR_BS_14_Neg.mzXML	MSV000088332/190225_AR_BS_14_Neg.mzXML	MSV000088332	Cortinarius venetus		165405	automatic	No	No	No
mzspec:MSV000088332:190225_AR_BS_13_Neg	0.01	mzspec:MSV000088332:190225_AR_BS_13_Neg:scan:3511	1	0.82	4	MSV000088332	NoID	MSV000088332/peak/Converted/Converted neg/190225_AR_BS_13_Neg.mzXML	MSV000088332/190225_AR_BS_13_Neg.mzXML	MSV000088332	Cortinarius tophaceus		169515	automatic	No	No	No
mzspec:MSV000088332:190225_AR_BS_23_Neg	0.01	mzspec:MSV000088332:190225_AR_BS_23_Neg:scan:3511	1	0.79	4	MSV000088332	NoID	MSV000088332/peak/Converted/Converted neg/190225_AR_BS_23_Neg.mzXML	MSV000088332/190225_AR_BS_23_Neg.mzXML	MSV000088332	Cortinarius uliginosus		304761	automatic	No	No	No
mzspec:MSV000088332:190225_AR_BS_16_Neg	0.01	mzspec:MSV000088332:190225_AR_BS_16_Neg:scan:3259	1	0.79	4	MSV000088332	NoID	MSV000088332/peak/Converted/Converted neg/190225_AR_BS_16_Neg.mzXML	MSV000088332/190225_AR_BS_16_Neg.mzXML	MSV000088332	Cortinarius cinnamomeus		47346	automatic	No	No	No
mzspec:MSV000088332:190225_AR_BS_18_Neg	0.01	mzspec:MSV000088332:190225_AR_BS_18_Neg:scan:3351	1	0.78	4	MSV000088332	NoID	MSV000088332/peak/Converted/Converted neg/190225_AR_BS_18_Neg.mzXML	MSV000088332/190225_AR_BS_18_Neg.mzXML	MSV000088332	Calonarius xanthophyllus		222058	automatic	No	No	No
mzspec:MSV000088332:190225_AR_BS_22_Neg	0.01	mzspec:MSV000088332:190225_AR_BS_22_Neg:scan:3711	1	0.73	4	MSV000088332	NoID	MSV000088332/peak/Converted/Converted neg/190225_AR_BS_22_Neg.mzXML	MSV000088332/190225_AR_BS_22_Neg.mzXML	MSV000088332	Cortinarius uliginosus		304761	automatic	No	No	No
