Dataset	Frequency
MSV000079329	1
MSV000079697	215
MSV000079706	5
MSV000079707	1
MSV000079709	19
MSV000079710	38
MSV000079712	8
MSV000079714	16
MSV000079717	3
MSV000079718	18
MSV000079719	15
MSV000079720	94
MSV000079773	1
MSV000079819	3
MSV000080183	285
MSV000080188	1
MSV000080299	2
MSV000080335	1
MSV000080905	3
MSV000081151	6
MSV000081343	22
MSV000081364	1
MSV000081482	84
MSV000081492	2
MSV000082049	71
MSV000082074	1
MSV000082331	9
MSV000082433	2
MSV000082608	1
MSV000082612	46
MSV000082616	11
MSV000082869	2
MSV000082953	42
MSV000083010	1
MSV000083073	4
MSV000083083	2
MSV000083098	1
MSV000083306	10
MSV000083383	3
MSV000083475	4
MSV000083647	2
MSV000083660	1
MSV000083791	3
MSV000083835	9
MSV000083889	9
MSV000084010	1
MSV000084092	1
MSV000084314	23
MSV000084734	1
MSV000084753	16
MSV000084900	1
MSV000085141	1
MSV000085480	1
MSV000085561	8
MSV000085870	3
MSV000085944	106
MSV000086131	1
MSV000086207	1
MSV000086676	25
MSV000087087	15
MSV000087135	3
MSV000087646	3
MSV000088420	7
MSV000088821	8
MSV000088842	32
MSV000089210	1
MSV000089491	2
MSV000089524	3
