USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009929115	CCMSLIB00009929115	0.75	7	Suspect related to 1-Oleoyl-2-linoleoyl-rac-glycerol (predicted molecular formula: unknown) with delta m/z -110.11 (putative explanation: unspecified; atomic difference: unspecified)	[M-H2O+H]+	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00009988778	CCMSLIB00009988778	0.75	7	Suspect related to Spectral Match to 2-Linoleoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine from NIST14 (predicted molecular formula: unknown) with delta m/z -84.094 (putative explanation: unspecified; atomic difference: unspecified)	[575.5]	1
