Dataset	Frequency
MSV000078667	3
MSV000078670	3
MSV000079181	17
MSV000079274	302
MSV000079329	11
MSV000079356	14
MSV000079389	15
MSV000079398	10
MSV000079485	64
MSV000079516	11
MSV000079518	6
MSV000079519	7
MSV000079520	5
MSV000079523	60
MSV000079575	46
MSV000079598	12
MSV000079697	943
MSV000079706	116
MSV000079707	57
MSV000079709	112
MSV000079710	128
MSV000079712	70
MSV000079714	96
MSV000079717	106
MSV000079718	70
MSV000079719	35
MSV000079720	155
MSV000079772	21
MSV000079773	14
MSV000079808	19
MSV000079813	79
MSV000079819	18
MSV000079888	2
MSV000079900	3
MSV000080015	35
MSV000080016	109
MSV000080030	51
MSV000080031	1
MSV000080141	56
MSV000080142	277
MSV000080167	91
MSV000080176	59
MSV000080177	21
MSV000080178	43
MSV000080179	2
MSV000080180	13
MSV000080181	22
MSV000080182	1
MSV000080183	619
MSV000080187	2
MSV000080188	121
MSV000080299	129
MSV000080335	17
MSV000080442	71
MSV000080443	62
MSV000080444	62
MSV000080450	1
MSV000080469	6
MSV000080492	17
MSV000080507	133
MSV000080518	4
MSV000080533	22
MSV000080559	30
MSV000080562	32
MSV000080574	19
MSV000080604	3
MSV000080616	4
MSV000080627	42
MSV000080628	148
MSV000080630	136
MSV000080673	173
MSV000080898	2
MSV000080899	26
MSV000080905	476
MSV000080912	7
MSV000080960	16
MSV000080961	52
MSV000080976	1
MSV000081005	1
MSV000081064	2
MSV000081065	23
MSV000081067	221
MSV000081068	15
MSV000081077	16
MSV000081082	4
MSV000081083	2
MSV000081099	2
MSV000081108	4
MSV000081116	2
MSV000081151	162
MSV000081160	138
MSV000081171	451
MSV000081176	1
MSV000081284	2
MSV000081318	2
MSV000081326	14
MSV000081343	403
MSV000081347	5
MSV000081350	2
MSV000081351	26
MSV000081354	45
MSV000081357	28
MSV000081364	43
MSV000081379	16
MSV000081463	21
MSV000081482	197
MSV000081486	3
MSV000081492	21
MSV000081508	31
MSV000081544	5
MSV000081548	10
MSV000081580	1
MSV000081581	2
MSV000081582	698
MSV000081659	2
MSV000081665	1
MSV000081670	2
MSV000081676	1
MSV000081682	5
MSV000081694	3
MSV000081731	72
MSV000081741	1
MSV000081750	1
MSV000081816	7
MSV000081853	20
MSV000081936	3
MSV000081949	24
MSV000081952	80
MSV000081981	133
MSV000081999	1
MSV000082000	1
MSV000082048	487
MSV000082049	206
MSV000082074	12
MSV000082081	1
MSV000082082	298
MSV000082083	338
MSV000082084	49
MSV000082085	133
MSV000082086	50
MSV000082128	2
MSV000082157	167
MSV000082261	3
MSV000082262	10
MSV000082268	1
MSV000082312	125
MSV000082331	25
MSV000082377	8
MSV000082378	7
MSV000082379	57
MSV000082380	21
MSV000082382	27
MSV000082383	67
MSV000082384	2
MSV000082385	6
MSV000082402	57
MSV000082406	79
MSV000082432	2
MSV000082433	423
MSV000082463	13
MSV000082480	8
MSV000082582	10
MSV000082602	2
MSV000082608	1
MSV000082612	1
MSV000082616	2
MSV000082629	6
MSV000082633	77
MSV000082647	20
MSV000082650	1
MSV000082661	1
MSV000082662	9
MSV000082674	109
MSV000082691	8
MSV000082695	22
MSV000082699	16
MSV000082701	16
MSV000082704	14
MSV000082705	26
MSV000082706	30
MSV000082708	38
