file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	Filepath	Filename	MassIVE	Taxaname_file	Taxaname_alternative	Taxa_NCBI	Taxa_Assigment	ReDU_Availability	Blank	QC
mzspec:MSV000084945:EA_with_MOPS_P1-C-9_01_4137	-0.0	mzspec:MSV000084945:EA_with_MOPS_P1-C-9_01_4137:scan:5296	1	0.82	7	MSV000084945	NoID	MSV000084945/ccms_peak/Dataset2_2/B.cenocepacia_J2315/No_trimethoprim/EA_with_MOPS_P1-C-9_01_4137.mzML	MSV000084945/EA_with_MOPS_P1-C-9_01_4137.mzML	MSV000084945	Bulkholderia	Burkholderia	32008	maual	No	No	No
mzspec:MSV000084945:J2315_EA_48_TMP_P1-B-6_01_2655	-0.0	mzspec:MSV000084945:J2315_EA_48_TMP_P1-B-6_01_2655:scan:5224	1	0.81	7	MSV000084945	NoID	MSV000084945/ccms_peak/Dataset1_1/B.cenocepacia_J2315_MarvinLab/Trimethoprim/J2315_EA_48_TMP_P1-B-6_01_2655.mzML	MSV000084945/J2315_EA_48_TMP_P1-B-6_01_2655.mzML	MSV000084945	Burkholderia cenocepacia J2315		216591	automatic	Yes	No	No
mzspec:MSV000084945:J2315_EA_48_P1-B-2_01_2651	-0.0	mzspec:MSV000084945:J2315_EA_48_P1-B-2_01_2651:scan:5214	1	0.78	7	MSV000084945	NoID	MSV000084945/ccms_peak/Dataset1_1/B.cenocepacia_J2315_MarvinLab/No_trimethoprim/J2315_EA_48_P1-B-2_01_2651.mzML	MSV000084945/J2315_EA_48_P1-B-2_01_2651.mzML	MSV000084945	Burkholderia cenocepacia J2315		216591	automatic	Yes	No	No
mzspec:MSV000084945:BcK562_LB_EA_48_1_P1-A-2_01_4041	-0.0	mzspec:MSV000084945:BcK562_LB_EA_48_1_P1-A-2_01_4041:scan:5404	1	0.75	6	MSV000084945	NoID	MSV000084945/ccms_peak/Dataset2_2/B.cenocepacia_K56-2/No_trimethoprim/BcK562_LB_EA_48_1_P1-A-2_01_4041.mzML	MSV000084945/BcK562_LB_EA_48_1_P1-A-2_01_4041.mzML	MSV000084945	Burkholderia cenocepacia K56-2	Burkholderia cenocepacia K56-2Sokol	985075	manual	Yes	No	No
mzspec:MSV000084945:J2315_hmgA__Tri_EA_1_P2-D-2_01_4761	-0.0	mzspec:MSV000084945:J2315_hmgA__Tri_EA_1_P2-D-2_01_4761:scan:5602	1	0.74	5	MSV000084945	NoID	MSV000084945/ccms_peak/Pigment_mutant_posmode_2/B.cenocepacia_J2315_khmgA/J2315_hmgA__Tri_EA_1_P2-D-2_01_4761.mzML	MSV000084945/J2315_hmgA__Tri_EA_1_P2-D-2_01_4761.mzML	MSV000084945	Bulkholderia	Burkholderia	32008	maual	No	No	No
mzspec:MSV000087997:BcC5424_LB_EA_48_2_P1-C-2_01_4080	-0.0	mzspec:MSV000087997:BcC5424_LB_EA_48_2_P1-C-2_01_4080:scan:5682	1	0.74	5	MSV000087997	NoID	MSV000087997/peak/No_trimethoprim/BcC5424_LB_EA_48_2_P1-C-2_01_4080.mzXML	MSV000087997/BcC5424_LB_EA_48_2_P1-C-2_01_4080.mzXML	MSV000087997	Burkholderia		32008	automatic	No	No	No
mzspec:MSV000087793:BcC5424_LB_EA_48_2_P1-C-2_01_4080	-0.0	mzspec:MSV000087793:BcC5424_LB_EA_48_2_P1-C-2_01_4080:scan:5682	1	0.74	5	MSV000087793	NoID	MSV000087793/ccms_peak/No_trimethoprim/BcC5424_LB_EA_48_2_P1-C-2_01_4080.mzML	MSV000087793/BcC5424_LB_EA_48_2_P1-C-2_01_4080.mzML	MSV000087793	Burkholderia cenocepacia		95486	automatic	No	No	No
mzspec:MSV000087793:BcK562_EA_48_1_P1-B-2_01_3645	-0.0	mzspec:MSV000087793:BcK562_EA_48_1_P1-B-2_01_3645:scan:5680	1	0.74	5	MSV000087793	NoID	MSV000087793/ccms_peak/BcK562_EA_48_1_P1-B-2_01_3645.mzML	MSV000087793/BcK562_EA_48_1_P1-B-2_01_3645.mzML	MSV000087793	Burkholderia cenocepacia		95486	automatic	No	No	No
mzspec:MSV000085071:P2_D4_BD4_01_52981	0.01	mzspec:MSV000085071:P2_D4_BD4_01_52981:scan:1400	1	0.73	7	MSV000085071	NoID	MSV000085071/ccms_peak/Mushrooms_POS_P2_mzXML/P2_D4_BD4_01_52981.mzML	MSV000085071/P2_D4_BD4_01_52981.mzML	MSV000085071	Fungi		4751	automatic	No	No	No
mzspec:MSV000087997:BcJ2315_LB_EA_24_2_rerun_P1-A-1_01_3957	-0.0	mzspec:MSV000087997:BcJ2315_LB_EA_24_2_rerun_P1-A-1_01_3957:scan:5708	1	0.73	5	MSV000087997	NoID	MSV000087997/peak/No_trimethoprim/BcJ2315_LB_EA_24_2_rerun_P1-A-1_01_3957.mzXML	MSV000087997/BcJ2315_LB_EA_24_2_rerun_P1-A-1_01_3957.mzXML	MSV000087997	Burkholderia		32008	automatic	No	No	No
