USI	Cosine	Matching Peaks	Status
mzspec:MSV000083300:BP000097032_n:scan:2067	0.93	5	NoID
mzspec:MSV000083300:BP000096832_n:scan:2031	0.92	4	NoID
mzspec:MSV000083300:BP000096872_n:scan:2028	0.91	5	NoID
mzspec:MSV000083300:BP000097016_n:scan:2022	0.91	5	NoID
mzspec:MSV000083300:BP000096848_n:scan:2016	0.91	4	NoID
mzspec:MSV000083300:BP000098430_n:scan:2026	0.91	4	NoID
mzspec:MSV000083300:BP000098406_n:scan:2024	0.91	4	NoID
mzspec:MSV000083300:BP000096825_n:scan:2015	0.9	4	NoID
mzspec:MSV000083300:BP000097064_n:scan:2058	0.9	4	NoID
mzspec:MSV000083300:BP000097040_n:scan:2033	0.89	5	NoID
mzspec:MSV000083300:BP000098414_n:scan:2032	0.88	5	NoID
mzspec:MSV000083300:BP000096960_n:scan:2026	0.88	4	NoID
mzspec:MSV000083300:BP000097056_n:scan:2051	0.88	4	NoID
mzspec:MSV000083300:BP000096816_n:scan:2032	0.88	4	NoID
mzspec:MSV000083300:BP000096912_n:scan:2037	0.86	4	NoID
mzspec:MSV000083300:BP000096944_n:scan:2040	0.86	4	NoID
mzspec:MSV000083300:BP000096864_n:scan:2033	0.86	4	NoID
mzspec:MSV000083300:BP000098454_n:scan:2026	0.86	4	NoID
mzspec:MSV000083300:BP000097008_n:scan:2011	0.85	4	NoID
mzspec:MSV000083300:BP000096904_n:scan:2058	0.85	4	NoID
mzspec:MSV000083300:BP000097048_n:scan:2035	0.85	4	NoID
mzspec:MSV000083300:BP000096824_n:scan:2028	0.82	4	NoID
mzspec:MSV000083300:BP000098478_n:scan:2030	0.76	4	NoID
