USI	Cosine	Matching Peaks	Status
mzspec:MSV000087628:2+SC+on+GSPG+meth-pos:scan:5246	0.86	8	NoID
mzspec:MSV000083835:2 SC on GSPG meth-pos:scan:5246	0.86	8	NoID
mzspec:MSV000083835:2:scan:5246	0.86	8	NoID
mzspec:MSV000084744:Brian_1_SL_2:scan:3607	0.85	8	NoID
mzspec:MSV000080443:P2_LON_Vol3_C6_Chest_GC6_01_33159:scan:2934	0.85	8	NoID
mzspec:MSV000083835:MeOh:scan:4499	0.84	8	NoID
mzspec:MSV000083835:11 Control GSPG meth-pos:scan:4674	0.84	8	NoID
mzspec:MSV000083835:11:scan:4674	0.84	8	NoID
mzspec:MSV000080443:P2_LON_Vol3_C4_Ear_GC4_01_33157:scan:2945	0.81	8	NoID
mzspec:MSV000080443:P2_LON_Vol3_C7_Naval_GC7_01_33160:scan:2946	0.8	8	NoID
mzspec:MSV000084744:Brian_1_SL_1:scan:3550	0.8	7	NoID
mzspec:MSV000084314:MSV000081508:scan:266438	0.77	7	NoID
mzspec:MSV000081508:p02-a03-03A-07_GA3_01_1438:scan:2893	0.75	7	NoID
mzspec:MSV000084314:MSV000078832:scan:152519	0.74	7	NoID
mzspec:MSV000082493:DM000088089_RF3_01_28891:scan:2025	0.74	7	NoID
mzspec:MSV000081508:p02-h04-01B-20_GH4_01_1524:scan:2878	0.74	7	NoID
mzspec:MSV000089210:GNPS-SUSPECTLIST:scan:29314	0.74	7	NoID
mzspec:MSV000081116:S_albus_J1074_Mix1_SampleA3:scan:3806	0.73	8	NoID
mzspec:MSV000081116:S_albus_J1074_Mix3_SampleA5:scan:3892	0.72	8	NoID
