Dataset	Frequency
MSV000078667	3
MSV000078668	1
MSV000078669	3
MSV000078670	3
MSV000078780	12
MSV000078891	15
MSV000079015	2
MSV000079034	25
MSV000079069	4
MSV000079134	28
MSV000079181	57
MSV000079274	32
MSV000079329	34
MSV000079356	1
MSV000079389	38
MSV000079398	83
MSV000079485	22
MSV000079523	125
MSV000079542	6
MSV000079575	46
MSV000079598	101
MSV000079697	593
MSV000079706	95
MSV000079707	48
MSV000079709	35
MSV000079710	68
MSV000079712	56
MSV000079714	82
MSV000079717	72
MSV000079718	57
MSV000079719	31
MSV000079720	33
MSV000079772	12
MSV000079773	23
MSV000079778	2
MSV000079788	3
MSV000079808	17
MSV000079813	15
MSV000079819	18
MSV000079888	19
MSV000079900	3
MSV000080000	4
MSV000080015	34
MSV000080016	8
MSV000080030	239
MSV000080031	13
MSV000080050	1
MSV000080071	2
MSV000080141	17
MSV000080142	488
MSV000080167	435
MSV000080176	51
MSV000080177	18
MSV000080178	41
MSV000080179	394
MSV000080180	2
MSV000080181	19
MSV000080182	1
MSV000080186	154
MSV000080187	240
MSV000080188	76
MSV000080299	178
MSV000080335	18
MSV000080442	4
MSV000080443	2
MSV000080444	5
MSV000080450	2
MSV000080464	1
MSV000080469	23
MSV000080492	2
MSV000080501	1
MSV000080507	73
MSV000080518	22
MSV000080533	8
MSV000080540	5
MSV000080554	1
MSV000080559	23
MSV000080562	30
MSV000080574	35
MSV000080604	8
MSV000080616	11
MSV000080627	121
MSV000080628	91
MSV000080629	49
MSV000080630	16
MSV000080673	4
MSV000080905	398
MSV000080912	1
MSV000080930	1
MSV000080951	18
MSV000080952	17
MSV000080953	17
MSV000080960	29
MSV000080961	5
MSV000081005	13
MSV000081022	2
MSV000081030	2
MSV000081045	45
MSV000081048	2
MSV000081049	13
MSV000081050	7
MSV000081064	2
MSV000081065	6
MSV000081067	114
MSV000081068	3
MSV000081077	2
MSV000081099	2
MSV000081113	2
MSV000081116	6
MSV000081151	78
MSV000081152	4
MSV000081158	1
MSV000081160	144
MSV000081171	401
MSV000081176	32
MSV000081215	1
MSV000081284	4
MSV000081318	4
MSV000081343	206
MSV000081347	3
MSV000081351	354
MSV000081354	38
MSV000081357	92
MSV000081364	48
MSV000081379	7
MSV000081432	3
MSV000081456	29
MSV000081463	59
MSV000081486	2
MSV000081492	22
MSV000081508	446
MSV000081513	3
MSV000081544	4
MSV000081548	6
MSV000081555	13
MSV000081571	2
MSV000081580	9
MSV000081581	1
MSV000081582	419
MSV000081665	2
MSV000081673	2
MSV000081675	5
MSV000081676	13
MSV000081681	3
MSV000081682	4
MSV000081694	34
MSV000081731	86
MSV000081741	1
MSV000081748	1
MSV000081750	1
MSV000081753	2
MSV000081777	1
MSV000081804	12
MSV000081807	2
MSV000081808	56
MSV000081810	2
MSV000081816	142
MSV000081892	3
MSV000081893	2
MSV000081936	5
MSV000081949	39
MSV000081952	162
MSV000081981	2
MSV000081999	1
MSV000082005	1
MSV000082048	64
MSV000082049	37
MSV000082068	1
MSV000082069	2
MSV000082072	1
MSV000082074	29
MSV000082081	1
MSV000082082	280
MSV000082083	320
MSV000082084	48
MSV000082085	73
MSV000082086	41
MSV000082128	4
MSV000082156	1
MSV000082157	5
MSV000082221	7
MSV000082261	90
MSV000082262	79
MSV000082277	5
MSV000082312	117
MSV000082324	1
MSV000082331	31
MSV000082374	11
MSV000082377	14
MSV000082379	1
MSV000082380	101
MSV000082382	36
MSV000082391	5
MSV000082402	1
MSV000082432	247
MSV000082433	192
MSV000082463	13
MSV000082480	2
MSV000082490	413
MSV000082493	56
MSV000082582	271
MSV000082602	85
MSV000082608	44
MSV000082612	1
MSV000082614	5
MSV000082616	1
MSV000082629	57
MSV000082630	375
MSV000082633	74
MSV000082647	89
MSV000082649	85
MSV000082650	2
MSV000082662	24
MSV000082667	13
MSV000082674	71
MSV000082678	14
MSV000082680	7
MSV000082686	2
MSV000082687	1
MSV000082708	1
MSV000082716	1
MSV000082722	2
MSV000082724	1
MSV000082728	10
MSV000082729	1
MSV000082735	1
MSV000082740	1
MSV000082743	14
MSV000082744	2
MSV000082776	9
MSV000082778	6
MSV000082802	1
MSV000082813	2
MSV000082869	931
MSV000082891	25
MSV000082905	2
MSV000082924	33
MSV000082952	35
MSV000082953	300
MSV000082960	1
MSV000082962	142
MSV000082963	1
MSV000082967	14
MSV000082971	2
MSV000082972	2
MSV000082973	111
MSV000082999	19
MSV000083010	28
MSV000083014	5
MSV000083024	44
MSV000083032	8
MSV000083040	3
MSV000083049	15
MSV000083065	23
MSV000083073	22
MSV000083077	277
MSV000083083	21
MSV000083094	8
MSV000083098	54
MSV000083106	2
MSV000083110	7
MSV000083134	17
MSV000083183	19
