file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G96149_5x_RE4_01_32416	-0.04	mzspec:MSV000084900:G96149_5x_RE4_01_32416:scan:1269	1	0.85	4	MSV000084900	NoID	MSV000084900	G96149_5x_RE4_01_32416.mzXML	turkey
mzspec:MSV000084900:G72644_5x_BF7_01_18332	-0.04	mzspec:MSV000084900:G72644_5x_BF7_01_18332:scan:1270	1	0.83	5	MSV000084900	NoID	MSV000084900	G72644_5x_BF7_01_18332.mzXML	stilton cheese
mzspec:MSV000084900:G73681_5x_BG3_01_18387	-0.04	mzspec:MSV000084900:G73681_5x_BG3_01_18387:scan:1268	1	0.83	4	MSV000084900	NoID	MSV000084900	G73681_5x_BG3_01_18387.mzXML	bloomy cheese
mzspec:MSV000084900:G72655_5x_BG5_01_18389	-0.0	mzspec:MSV000084900:G72655_5x_BG5_01_18389:scan:1279	1	0.82	4	MSV000084900	NoID	MSV000084900	G72655_5x_BG5_01_18389.mzXML	blue cheese
mzspec:MSV000084900:G96361_5x_RA11_01_32327	-0.04	mzspec:MSV000084900:G96361_5x_RA11_01_32327:scan:1277	1	0.82	4	MSV000084900	NoID	MSV000084900	G96361_5x_RA11_01_32327.mzXML	turkey
