USI	Cosine	Matching Peaks	Status
mzspec:MSV000082734:20160219_S00020852_P:scan:2343	0.88	6	NoID
mzspec:MSV000082734:20160219_S00020821_P:scan:2319	0.87	4	NoID
mzspec:MSV000082734:20160219_S00020843_P:scan:2288	0.87	4	NoID
mzspec:MSV000082734:20160219_S00020849_P:scan:2187	0.85	4	NoID
mzspec:MSV000082734:20160219_S00020842_P:scan:2211	0.84	5	NoID
mzspec:MSV000082744:20160411_S00021446_P:scan:2361	0.84	4	NoID
mzspec:MSV000082734:20160219_S00020853_P:scan:2289	0.83	5	NoID
mzspec:MSV000082740:20150430_S00016249_P:scan:1930	0.83	4	NoID
mzspec:MSV000082744:20160404_S00021274_P:scan:2402	0.82	6	NoID
mzspec:MSV000084314:MSV000082716:scan:15329	0.82	4	NoID
mzspec:MSV000082737:20160224_S00021482_P:scan:2501	0.82	4	NoID
mzspec:MSV000082734:20160219_S00020850_P:scan:2244	0.82	4	NoID
mzspec:MSV000082734:20160219_S00020851_P:scan:2262	0.82	4	NoID
mzspec:MSV000082741:20160907_S00024264_P:scan:2440	0.81	5	NoID
mzspec:MSV000082729:20160307_S00021687_P:scan:2314	0.81	4	NoID
mzspec:MSV000082724:20170316_S00027996_P:scan:2475	0.8	5	NoID
mzspec:MSV000082734:20160219_S00020857_P:scan:2274	0.8	5	NoID
mzspec:MSV000082737:20160224_S00021483_P:scan:2212	0.8	5	NoID
mzspec:MSV000082737:20160224_TP_CS00000001-3_P:scan:2356	0.8	5	NoID
mzspec:MSV000082737:20160224_TP_CS00000001-1_P:scan:2347	0.8	5	NoID
mzspec:MSV000082724:20170316_S00028000_P:scan:2422	0.8	4	NoID
mzspec:MSV000082717:20160617_S00022673_P:scan:2446	0.8	4	NoID
mzspec:MSV000082717:20160617_S00022672_P:scan:2601	0.8	4	NoID
mzspec:MSV000082716:20150607_S00015606_P:scan:2496	0.8	4	NoID
mzspec:MSV000082737:20160224_S00021485_P:scan:2401	0.8	4	NoID
mzspec:MSV000082714:20160831_S00025125_P:scan:2321	0.79	4	NoID
mzspec:MSV000082725:20161118_PP_CS00000004-4_P:scan:2270	0.79	4	NoID
