USI	Cosine	Matching Peaks	Status
mzspec:MSV000082869:95365_R-G2:scan:1755	0.88	10	NoID
mzspec:MSV000081676:G74075_1x_10ul_RF10_01_19867:scan:1653	0.88	9	NoID
mzspec:MSV000083010:G74075_1x_10ul_RF10_01_19867:scan:1653	0.88	9	NoID
mzspec:MSV000082074:G74075_1x_10ul_RF10_01_19867:scan:1653	0.88	9	NoID
mzspec:MSV000084900:G74075_1x_10ul_RF10_01_19867:scan:1653	0.88	9	NoID
mzspec:MSV000084734:G74075_1x_10ul_RF10_01_19867:scan:1653	0.88	9	NoID
mzspec:MSV000084101:G74075_1x_10ul_RF10_01_19867:scan:1653	0.88	9	NoID
mzspec:MSV000081816:Plate1_A4_GA4_01_6111:scan:2449	0.86	9	NoID
mzspec:MSV000089210:GNPS-SUSPECTLIST:scan:69304	0.86	9	NoID
mzspec:MSV000083010:G78861_1x_10ul_RF12_01_19889:scan:1653	0.86	9	NoID
mzspec:MSV000081676:G78861_1x_10ul_RF12_01_19889:scan:1653	0.86	9	NoID
mzspec:MSV000082074:G78861_1x_10ul_RF12_01_19889:scan:1653	0.86	9	NoID
mzspec:MSV000084900:G78861_1x_10ul_RF12_01_19889:scan:1653	0.86	9	NoID
mzspec:MSV000082869:94789_R-D4:scan:1752	0.84	10	NoID
mzspec:MSV000084314:MSV000083689:scan:48358	0.84	9	NoID
mzspec:MSV000080030:GG11_v 80_Wallet_F_GG11_01_23225:scan:2480	0.84	9	NoID
mzspec:MSV000079134:22_7_Fe_GC11_01_30988:scan:2936	0.84	8	NoID
mzspec:MSV000081816:Plate1_B5_GB5_01_6124:scan:2441	0.84	8	NoID
mzspec:MSV000082074:G79307_2x_RG9_01_19212:scan:1629	0.83	9	NoID
mzspec:MSV000083010:G79307_2x_RG9_01_19212:scan:1629	0.83	9	NoID
mzspec:MSV000081681:G79307_2x_RG9_01_19212:scan:1629	0.83	9	NoID
mzspec:MSV000080443:P2_LON_Vol2_B3_Nose_GB3_01_33145:scan:2492	0.83	9	NoID
mzspec:MSV000084900:G79307_2x_RG9_01_19212:scan:1629	0.83	9	NoID
mzspec:MSV000083689:G84950_RG6_01_35169:scan:1410	0.82	9	NoID
mzspec:MSV000081582:15E12_BE12_01_32958:scan:2536	0.82	9	NoID
mzspec:MSV000082674:BE6_7E6.V8_BE6_01_425:scan:1333	0.82	8	NoID
mzspec:MSV000082869:94784_R-E2:scan:1743	0.81	9	NoID
mzspec:MSV000082869:95524_R-E3:scan:1746	0.81	9	NoID
mzspec:MSV000084314:MSV000084101:scan:7954	0.81	8	NoID
mzspec:MSV000084314:MSV000082674:scan:422136	0.81	7	NoID
mzspec:MSV000086131:Sample-2E1:scan:3019	0.8	9	NoID
mzspec:MSV000082869:95388_R-B10:scan:1752	0.8	9	NoID
mzspec:MSV000081816:Plate1_F1_GF1_01_6168:scan:2480	0.8	8	NoID
mzspec:MSV000083010:G79174_5x_rerun_14ul_RF4_01_19594:scan:1511	0.8	8	NoID
mzspec:MSV000081665:G79174_5x_rerun_14ul_RF4_01_19594:scan:1511	0.8	8	NoID
mzspec:MSV000082074:G79174_5x_rerun_14ul_RF4_01_19594:scan:1511	0.8	8	NoID
mzspec:MSV000084900:G79174_5x_rerun_14ul_RF4_01_19594:scan:1511	0.8	8	NoID
mzspec:MSV000084314:MSV000081582:scan:7383199	0.8	7	NoID
mzspec:MSV000081670:74025_1x_BC6_01_17415:scan:1657	0.8	7	NoID
mzspec:MSV000082074:74025_1x_BC6_01_17415:scan:1657	0.8	7	NoID
mzspec:MSV000084900:74025_1x_BC6_01_17415:scan:1657	0.8	7	NoID
mzspec:MSV000083010:74025_1x_BC6_01_17415:scan:1657	0.8	7	NoID
mzspec:MSV000079719:group5_P2_G8:scan:2242	0.79	9	NoID
mzspec:MSV000079697:group5_P2_G8:scan:2242	0.79	9	NoID
mzspec:MSV000081582:13B12_BB12_01_32847:scan:2547	0.79	9	NoID
mzspec:MSV000081582:13C3_BC3_01_32850:scan:2546	0.79	8	NoID
mzspec:MSV000080030:GG12_v 80_Wallet_B_GG12_01_23226:scan:2481	0.79	8	NoID
mzspec:MSV000084314:MSV000080558:scan:650999	0.79	7	NoID
mzspec:MSV000084314:MSV000080918:scan:650947	0.79	7	NoID
mzspec:MSV000083559:11713.18.F.18F:scan:1498	0.78	8	NoID
mzspec:MSV000082869:95044_R-D5:scan:1753	0.78	8	NoID
mzspec:MSV000083010:G86856_1x_10ul_RB2_01_23506:scan:1622	0.78	8	NoID
mzspec:MSV000082074:G86856_1x_10ul_RB2_01_23506:scan:1622	0.78	8	NoID
mzspec:MSV000084900:G86856_1x_10ul_RB2_01_23506:scan:1622	0.78	8	NoID
mzspec:MSV000082674:BD7_7D7.V8_BD7_01_438:scan:1330	0.78	7	NoID
mzspec:MSV000082869:95039_R-C7:scan:1754	0.78	7	NoID
mzspec:MSV000084314:MSV000081816:scan:80611	0.78	6	NoID
mzspec:MSV000081582:17C2_RC2_01_32869:scan:2557	0.77	9	NoID
mzspec:MSV000082869:95085_R-C2:scan:1750	0.77	8	NoID
mzspec:MSV000084322:Plate6_61542_Skin_GE11_01_26774:scan:2599	0.77	8	NoID
mzspec:MSV000083010:G78995_1x_RE2_01_18849:scan:1668	0.77	7	NoID
mzspec:MSV000081750:G78995_1x_RE2_01_18849:scan:1668	0.77	7	NoID
mzspec:MSV000084900:G78995_1x_RE2_01_18849:scan:1668	0.77	7	NoID
mzspec:MSV000082074:G78995_1x_RE2_01_18849:scan:1668	0.77	7	NoID
mzspec:MSV000082674:BD6_7D6.V8_BD6_01_381:scan:1318	0.77	7	NoID
mzspec:MSV000079719:group5_P2_G7:scan:2214	0.76	9	NoID
mzspec:MSV000079697:group5_P2_G7:scan:2214	0.76	9	NoID
mzspec:MSV000086830:PLT6_F8:scan:5413	0.76	8	NoID
mzspec:MSV000082869:95390_R-F11:scan:1771	0.76	8	NoID
mzspec:MSV000082869:95588_R-C3:scan:1746	0.76	8	NoID
mzspec:MSV000081582:17A10_RA10_01_32864:scan:2569	0.76	8	NoID
mzspec:MSV000084322:Plate2_44046_Skin_GA11_01_26342:scan:2559	0.76	7	NoID
mzspec:MSV000084762:AHU109:scan:355	0.76	7	NoID
mzspec:MSV000084762:AHU114:scan:355	0.76	7	NoID
mzspec:MSV000082674:BE5_7E5.V8_BE5_01_450:scan:1324	0.76	7	NoID
mzspec:MSV000082674:BD8_7D8.V8_BD8_01_409:scan:1326	0.76	7	NoID
mzspec:MSV000081816:Plate1_A7_GA7_01_6114:scan:2445	0.76	6	NoID
mzspec:MSV000082674:BE7_7E7.V8_BE7_01_460:scan:1330	0.76	6	NoID
mzspec:MSV000081582:15A8_BA8_01_32963:scan:2510	0.75	9	NoID
mzspec:MSV000086830:PLT6_B9:scan:5396	0.75	8	NoID
mzspec:MSV000081351:38903:scan:2567	0.75	8	NoID
mzspec:MSV000081508:p01-d02-02B-05_GD2_01_1384:scan:2452	0.75	7	NoID
mzspec:MSV000082869:94980_G-G8:scan:1748	0.75	7	NoID
mzspec:MSV000082869:95659_R-C4:scan:1760	0.75	7	NoID
mzspec:MSV000084314:MSV000080030:scan:2153906	0.75	6	NoID
mzspec:MSV000081816:Plate1_B8_GB8_01_6127:scan:2525	0.75	6	NoID
mzspec:MSV000086584:KRD96_ISP3:scan:1032	0.75	6	NoID
mzspec:MSV000079719:group5_P2_G10:scan:2235	0.74	8	NoID
mzspec:MSV000081582:13C2_BC2_01_32849:scan:2558	0.74	8	NoID
mzspec:MSV000087612:X00176741:scan:1895	0.74	8	NoID
mzspec:MSV000082674:BE4_7E4.V8_BE4_01_444:scan:1359	0.74	8	NoID
mzspec:MSV000079697:group5_P2_G10:scan:2235	0.74	8	NoID
mzspec:MSV000079134:22_10_Fe_GD2_01_30991:scan:3949	0.74	7	NoID
mzspec:MSV000084322:Plate6_61520_Skin_GG11_01_26876:scan:2611	0.74	7	NoID
mzspec:MSV000084762:AHU99:scan:353	0.74	7	NoID
mzspec:MSV000084762:AHU124:scan:326	0.74	7	NoID
mzspec:MSV000081582:15C3_BC3_01_32972:scan:2515	0.74	7	NoID
mzspec:MSV000082674:BH8_7H8.V12_BH8_01_474:scan:1325	0.74	6	NoID
mzspec:MSV000086830:PLT6_F7:scan:5516	0.73	8	NoID
mzspec:MSV000084900:G73999_5x_10ul_RG3_01_19552:scan:1638	0.73	8	NoID
mzspec:MSV000088087:5848208:scan:1895	0.73	8	NoID
mzspec:MSV000083010:G73999_5x_10ul_RG3_01_19552:scan:1638	0.73	8	NoID
mzspec:MSV000082074:G73999_5x_10ul_RG3_01_19552:scan:1638	0.73	8	NoID
mzspec:MSV000081665:G73999_5x_10ul_RG3_01_19552:scan:1638	0.73	8	NoID
mzspec:MSV000081582:13A7_BA7_01_32841:scan:2547	0.73	8	NoID
mzspec:MSV000081936:G73999_5x_10ul_RG3_01_19552:scan:1638	0.73	8	NoID
mzspec:MSV000081582:1C8_RC8_01_12688:scan:2551	0.73	7	NoID
mzspec:MSV000081665:G79174_5x_RF4_01_19537:scan:1502	0.73	7	NoID
mzspec:MSV000081582:15F1_BF1_01_32959:scan:2514	0.73	7	NoID
mzspec:MSV000081582:1C6_RC6_01_12686:scan:2552	0.73	7	NoID
mzspec:MSV000081582:13C1_BC1_01_32848:scan:2523	0.73	6	NoID
mzspec:MSV000084322:Plate7_61540_Skin_GC4_01_27045:scan:2716	0.73	6	NoID
mzspec:MSV000084314:MSV000081508:scan:261652	0.73	5	NoID
mzspec:MSV000087694:53:scan:2288	0.72	8	NoID
mzspec:MSV000081582:13D7_BD7_01_32836:scan:2549	0.72	8	NoID
mzspec:MSV000086830:PLT6_B7:scan:5407	0.72	7	NoID
mzspec:MSV000088087:5774470:scan:1892	0.72	7	NoID
mzspec:MSV000081582:12A10_GA10_01_32888:scan:2558	0.72	7	NoID
mzspec:MSV000084463:Plate13_45488_Soil_GE2_01_27527:scan:2687	0.72	7	NoID
mzspec:MSV000084762:AHU134:scan:338	0.72	6	NoID
mzspec:MSV000081582:12F1_GF1_01_32900:scan:2529	0.71	10	NoID
mzspec:MSV000081582:1A11_RA11_01_12675:scan:2546	0.71	9	NoID
mzspec:MSV000079697:group5_P2_G9:scan:2242	0.71	9	NoID
mzspec:MSV000079719:group5_P2_G9:scan:2242	0.71	9	NoID
mzspec:MSV000079697:group5_P2_G11:scan:2237	0.71	8	NoID
