USI	Cosine	Matching Peaks	Status
mzspec:MSV000085119:P3_B2_BB2_01_54337:scan:1242	0.85	7	NoID
mzspec:MSV000085119:P1_F8_BF8_01_54182:scan:1242	0.8	6	NoID
mzspec:MSV000085119:P4_F8_GF8_01_54462:scan:1227	0.79	6	NoID
mzspec:MSV000085119:P3_E6_BE6_01_54365:scan:1239	0.76	5	NoID
mzspec:MSV000085119:P3_F1_BF1_01_54368:scan:1232	0.74	6	NoID
mzspec:MSV000085119:P3_A4_BA4_01_54331:scan:1242	0.74	6	NoID
mzspec:MSV000083835:31:scan:4893	0.74	6	NoID
mzspec:MSV000085119:P4_E6_GE6_01_54447:scan:1228	0.72	5	NoID
