USI	Cosine	Matching Peaks	Status
mzspec:MSV000089316:JVC00417:scan:4294967295	1.0	4	NoID
mzspec:MSV000088420:2020_1212_4x_05uL:scan:4294967295	0.99	4	NoID
mzspec:MSV000085847:1_D0_M_A1_MSMS_Pos:scan:4294967295	0.99	4	NoID
mzspec:MSV000089306:JVC00921:scan:4294967295	0.99	4	NoID
mzspec:MSV000085847:10_D5_M_A1_MSMS_Pos:scan:4294967295	0.98	4	NoID
mzspec:MSV000089306:JVC00903:scan:4294967295	0.98	4	NoID
mzspec:MSV000084060:KM0045:scan:4294967295	0.98	4	NoID
mzspec:MSV000084060:KM0022:scan:4294967295	0.98	4	NoID
mzspec:MSV000085847:27_D6_M_C3_MSMS_Pos:scan:4294967295	0.98	4	NoID
mzspec:MSV000088420:2021_0115_1x_60min:scan:4294967295	0.98	4	NoID
mzspec:MSV000084060:KM0042:scan:4294967295	0.97	4	NoID
mzspec:MSV000084060:KM-MS16:scan:4294967295	0.97	4	NoID
mzspec:MSV000085847:16_D5_M_C1_MSMS_Pos:scan:4294967295	0.97	4	NoID
mzspec:MSV000084060:KM0003:scan:4294967295	0.97	4	NoID
mzspec:MSV000085847:21_D6_M_A3_MSMS_Pos:scan:4294967295	0.97	4	NoID
mzspec:MSV000085847:15_D5_M_B3_MSMS_Pos:scan:4294967295	0.97	4	NoID
mzspec:MSV000084060:KM0063:scan:4294967295	0.97	4	NoID
mzspec:MSV000088420:2021_0115_1x_120min:scan:4294967295	0.96	4	NoID
mzspec:MSV000084060:KM0085:scan:4294967295	0.96	4	NoID
mzspec:MSV000085847:6_D0_M_B3_MSMS_Pos:scan:4294967295	0.96	4	NoID
mzspec:MSV000084060:KM0025:scan:4294967295	0.96	4	NoID
mzspec:MSV000088420:2021_0122_21min_RPLC_5uL_1x_inj_08:scan:4294967295	0.96	4	NoID
mzspec:MSV000089306:JVC00905:scan:4294967295	0.96	4	NoID
mzspec:MSV000085847:39_D8_M_A3_MSMS_Pos:scan:4294967295	0.96	4	NoID
mzspec:MSV000089316:JVC00442:scan:4294967295	0.96	4	NoID
mzspec:MSV000089316:JVC00440:scan:4294967295	0.96	4	NoID
mzspec:MSV000085870:PH697141_pos_IDA:scan:755	0.96	4	NoID
mzspec:MSV000084060:KM0004:scan:4294967295	0.96	4	NoID
mzspec:MSV000089316:JVC00441:scan:4294967295	0.96	4	NoID
mzspec:MSV000088420:2020_1208_1x_20uL:scan:4294967295	0.96	4	NoID
mzspec:MSV000085847:14_D5_M_B2_MSMS_Pos:scan:4294967295	0.95	4	NoID
mzspec:MSV000089316:JVC00444:scan:4294967295	0.95	4	NoID
mzspec:MSV000089316:JVC00407:scan:4294967295	0.95	4	NoID
mzspec:MSV000089316:JVC00412:scan:4294967295	0.95	4	NoID
mzspec:MSV000084060:KM0065:scan:4294967295	0.95	4	NoID
mzspec:MSV000085870:PH697115_pos_IDA:scan:778	0.95	4	NoID
mzspec:MSV000089306:JVC00904:scan:4294967295	0.95	4	NoID
mzspec:MSV000084060:KM0050:scan:4294967295	0.95	4	NoID
mzspec:MSV000088420:2020_1208_2x_15uL:scan:4294967295	0.95	4	NoID
mzspec:MSV000084060:KM0044:scan:4294967295	0.94	4	NoID
mzspec:MSV000084060:KM0104:scan:4294967295	0.94	4	NoID
mzspec:MSV000084060:KM-MS15:scan:4294967295	0.94	4	NoID
mzspec:MSV000084060:KM0014:scan:4294967295	0.94	4	NoID
mzspec:MSV000089316:JVC00408:scan:4294967295	0.94	4	NoID
mzspec:MSV000085870:PH697182_pos_IDA:scan:757	0.93	4	NoID
mzspec:MSV000084060:KM0083:scan:4294967295	0.93	4	NoID
mzspec:MSV000085870:PH697072_pos_IDA:scan:743	0.93	4	NoID
mzspec:MSV000085870:PH697146_pos_IDA:scan:733	0.93	4	NoID
mzspec:MSV000085847:4_D0_M_B1_MSMS_Pos:scan:4294967295	0.93	4	NoID
mzspec:MSV000088420:2021_0117_04x_5uL:scan:4294967295	0.93	4	NoID
