Dataset	Frequency
MSV000078903	1
MSV000078917	3
MSV000079134	76
MSV000079243	119
MSV000079274	543
MSV000079320	1
MSV000079329	81
MSV000079341	4
MSV000079344	2
MSV000079389	1
MSV000079398	340
MSV000079416	13
MSV000079446	26
MSV000079447	93
MSV000079516	7
MSV000079517	1
MSV000079518	4
MSV000079519	7
MSV000079520	3
MSV000079521	1
MSV000079523	3
MSV000079568	7
MSV000079581	2
MSV000079598	95
MSV000079615	41
MSV000079651	6
MSV000079652	84
MSV000079677	156
MSV000079679	33
MSV000079680	37
MSV000079697	652
MSV000079706	62
MSV000079707	50
MSV000079709	51
MSV000079710	85
MSV000079712	49
MSV000079714	76
MSV000079717	74
MSV000079718	60
MSV000079719	33
MSV000079720	121
MSV000079772	6
MSV000079773	12
MSV000079777	93
MSV000079778	141
MSV000079787	155
MSV000079788	663
MSV000079808	11
MSV000079813	63
MSV000079819	17
MSV000079820	3
MSV000079888	27
MSV000079949	484
MSV000080015	1
MSV000080016	43
MSV000080050	176
MSV000080074	7
MSV000080102	26
MSV000080117	5
MSV000080142	404
MSV000080167	80
MSV000080177	8
MSV000080179	27
MSV000080180	43
MSV000080181	27
MSV000080182	25
MSV000080183	463
MSV000080186	13
MSV000080187	14
MSV000080188	59
MSV000080239	29
MSV000080251	664
MSV000080286	2
MSV000080287	2
MSV000080288	2
MSV000080289	2
MSV000080290	2
MSV000080291	2
MSV000080292	2
MSV000080299	67
MSV000080337	694
MSV000080377	14
MSV000080397	648
MSV000080450	403
MSV000080469	23
MSV000080501	10
MSV000080507	1
MSV000080533	12
MSV000080554	1
MSV000080558	253
MSV000080559	17
MSV000080562	21
MSV000080574	225
MSV000080597	40
MSV000080604	1
MSV000080627	96
MSV000080628	77
MSV000080629	171
MSV000080630	56
MSV000080632	40
MSV000080655	160
MSV000080673	392
MSV000080895	36
MSV000080898	36
MSV000080899	36
MSV000080905	66
MSV000080918	253
MSV000080922	9
MSV000080958	210
MSV000080976	603
MSV000081004	48
MSV000081005	10
MSV000081065	17
MSV000081067	187
MSV000081077	11
MSV000081080	450
MSV000081098	1
MSV000081107	6
MSV000081108	1
MSV000081113	6
MSV000081116	58
MSV000081118	1
MSV000081119	1
MSV000081151	57
MSV000081152	176
MSV000081160	112
MSV000081171	23
MSV000081284	67
MSV000081287	5
MSV000081326	517
MSV000081343	244
MSV000081344	34
MSV000081347	28
MSV000081350	32
MSV000081351	188
MSV000081354	8
MSV000081357	111
MSV000081364	2
MSV000081432	142
MSV000081456	39
MSV000081463	199
MSV000081477	376
MSV000081482	164
MSV000081486	209
MSV000081492	22
MSV000081513	2
MSV000081548	75
MSV000081555	1
MSV000081571	30
MSV000081657	38
MSV000081659	30
MSV000081664	1
MSV000081665	23
MSV000081666	25
MSV000081669	23
MSV000081670	8
MSV000081673	51
MSV000081675	21
MSV000081676	16
MSV000081681	18
MSV000081682	31
MSV000081683	30
MSV000081694	1
MSV000081731	85
MSV000081748	22
MSV000081749	63
MSV000081750	13
MSV000081751	45
MSV000081752	70
MSV000081753	60
MSV000081777	352
MSV000081778	1
MSV000081780	95
MSV000081804	1
MSV000081807	1
MSV000081810	1
MSV000081936	70
MSV000081949	9
MSV000081950	69
MSV000081952	135
MSV000081955	47
MSV000081960	1
MSV000081981	358
MSV000081999	47
MSV000082000	35
MSV000082005	25
MSV000082045	647
MSV000082048	450
MSV000082049	1335
MSV000082068	52
MSV000082069	74
MSV000082071	60
MSV000082072	62
MSV000082073	83
MSV000082074	980
MSV000082082	173
MSV000082083	146
MSV000082084	9
MSV000082085	1
MSV000082086	7
MSV000082131	259
MSV000082157	335
MSV000082178	111
MSV000082220	132
MSV000082221	329
MSV000082261	54
MSV000082262	67
MSV000082268	963
MSV000082277	3
MSV000082312	63
MSV000082321	115
MSV000082322	5
MSV000082323	33
MSV000082324	10
MSV000082325	7
MSV000082331	20
MSV000082354	1
MSV000082374	96
MSV000082377	6
MSV000082378	71
MSV000082379	142
MSV000082380	132
MSV000082382	229
MSV000082383	86
MSV000082384	19
MSV000082385	9
MSV000082386	1
MSV000082387	109
MSV000082388	82
MSV000082391	122
MSV000082402	142
MSV000082406	8
MSV000082423	118
MSV000082428	18
MSV000082431	2
MSV000082433	183
MSV000082453	1
MSV000082463	7
MSV000082480	99
MSV000082490	22
MSV000082493	23
MSV000082582	143
MSV000082602	73
MSV000082608	280
MSV000082612	275
MSV000082614	54
MSV000082616	245
MSV000082618	185
MSV000082629	40
MSV000082630	35
MSV000082633	1
MSV000082649	6
MSV000082650	145
MSV000082661	1
MSV000082662	27
MSV000082667	612
MSV000082674	2
MSV000082678	4
