USI	Cosine	Matching Peaks	Status
mzspec:MSV000084314:MSV000080518:scan:62703	0.85	5	NoID
mzspec:MSV000081082:GG6P7_46jansenvillensis-MS1_GG6_01_28841:scan:4102	0.82	5	NoID
mzspec:MSV000080518:BG6P7_46jansenvillensis_BG6_01_28839:scan:4102	0.82	5	NoID
mzspec:MSV000081082:GA8P7_18obesa-MS1_GA8_01_28637:scan:4109	0.81	4	NoID
mzspec:MSV000080518:BA8P7_18obesa_BA8_01_28635:scan:4109	0.81	4	NoID
mzspec:MSV000080518:BE11P7_311ammak_BE11_01_28792:scan:4105	0.78	5	NoID
mzspec:MSV000081082:GE11P7_311ammak-MS1-RERUN_GE11_01_28883:scan:4105	0.78	5	NoID
mzspec:MSV000082736:20141113_121a_Plasma_Positive_01:scan:1390	0.72	4	NoID
mzspec:MSV000082736:20141113_401a_Plasma_Positive_01:scan:1535	0.71	4	NoID
