USI	Cosine	Matching Peaks	Status
mzspec:MSV000085119:P5_G9_GG9_01_54014:scan:1336	1.0	8	NoID
mzspec:MSV000085119:P4_G11_BG11_01_53905:scan:1332	0.99	8	NoID
mzspec:MSV000085119:P1_B2_GB2_02_53340:scan:1306	0.99	7	NoID
mzspec:MSV000085119:P1_A10_GA10_02_53332:scan:1313	0.98	8	NoID
mzspec:MSV000085119:P4_F6_BF6_01_53887:scan:1331	0.98	7	NoID
mzspec:MSV000085119:P4_C3_BC3_01_53843:scan:1324	0.98	7	NoID
mzspec:MSV000085119:P4_B2_BB2_01_53829:scan:1324	0.98	7	NoID
mzspec:MSV000085119:P1_B8_GB8_02_53352:scan:1311	0.97	7	NoID
mzspec:MSV000081673:G78936_rerun_BD10_01_18711:scan:1887	0.97	7	NoID
mzspec:MSV000082074:G78936_rerun_BD10_01_18711:scan:1887	0.97	7	NoID
mzspec:MSV000083010:G78936_rerun_BD10_01_18711:scan:1887	0.97	7	NoID
mzspec:MSV000084900:G78936_rerun_BD10_01_18711:scan:1887	0.97	7	NoID
mzspec:MSV000081548:MB7148_2_4_RB4_01_37597:scan:1593	0.97	7	NoID
mzspec:MSV000081936:G78936_rerun_BD10_01_18711:scan:1887	0.97	7	NoID
mzspec:MSV000085119:P2_A5_BA5_01_53650:scan:1338	0.97	7	NoID
mzspec:MSV000085119:P5_G5_GG5_01_54010:scan:1331	0.97	7	NoID
mzspec:MSV000085119:P5_F9_GF9_01_54001:scan:1336	0.97	7	NoID
mzspec:MSV000085119:P5_E5_GE5_01_53984:scan:1342	0.96	7	NoID
mzspec:MSV000085119:P2_H9_BH9_01_53744:scan:1344	0.96	7	NoID
mzspec:MSV000080141:A2133B_32B06_GB6_01_25808:scan:3505	0.96	7	NoID
mzspec:MSV000085119:P5_E1_GE1_01_53980:scan:1337	0.95	7	NoID
mzspec:MSV000085119:P3_D2_GD2_01_53779:scan:1377	0.95	7	NoID
mzspec:MSV000085119:P5_H9_GH9_01_54027:scan:1331	0.95	7	NoID
mzspec:MSV000079274:1520.D_RB10_01_7052:scan:2895	0.95	7	NoID
mzspec:MSV000085119:P1_C3_GC3_02_53366:scan:1312	0.95	6	NoID
