Dataset	Frequency
MSV000079329	2
MSV000079517	2
MSV000079519	1
MSV000079568	3
MSV000079598	8
MSV000079651	1
MSV000079697	498
MSV000079706	53
MSV000079707	12
MSV000079709	92
MSV000079710	78
MSV000079712	74
MSV000079714	38
MSV000079717	40
MSV000079718	25
MSV000079719	9
MSV000079720	92
MSV000079772	14
MSV000079773	4
MSV000079813	3
MSV000080167	31
MSV000080177	2
MSV000080181	1
MSV000080182	1
MSV000080183	101
MSV000080507	19
MSV000080518	1
MSV000080533	17
MSV000080559	1
MSV000080562	22
MSV000080627	58
MSV000080628	17
MSV000080673	6
MSV000080898	1
MSV000080899	1
MSV000080905	2
MSV000080912	2
MSV000081067	2
MSV000081068	2
MSV000081151	11
MSV000081343	102
MSV000081351	8
MSV000081354	21
MSV000081364	20
MSV000081482	36
MSV000081492	4
MSV000081544	1
MSV000081731	51
MSV000081949	1
MSV000081957	4
MSV000081981	4
MSV000082082	163
MSV000082083	140
MSV000082085	18
MSV000082086	9
MSV000082268	5
MSV000082312	112
MSV000082377	24
MSV000082378	21
MSV000082379	140
MSV000082380	61
MSV000082382	101
MSV000082383	86
MSV000082384	17
MSV000082385	9
MSV000082402	140
MSV000082433	201
MSV000082480	44
MSV000082582	3
MSV000082633	78
MSV000082647	1
MSV000082662	32
MSV000082813	53
MSV000082869	183
MSV000082952	22
MSV000082953	27
MSV000082969	60
MSV000082972	53
MSV000082973	119
MSV000082999	15
MSV000083098	13
MSV000083134	13
MSV000083183	74
MSV000083264	1
MSV000083268	4
MSV000083300	1
MSV000083306	29
MSV000083377	6
MSV000083383	109
MSV000083387	7
MSV000083395	3
MSV000083449	3
MSV000083462	1
MSV000083481	1
MSV000083482	17
MSV000083483	13
MSV000083521	2
MSV000083522	20
MSV000083523	50
MSV000083541	3
MSV000083559	6
MSV000083631	63
MSV000083632	10
MSV000083660	3
MSV000083664	1
MSV000083689	15
MSV000083729	2
MSV000083756	1
MSV000083758	1
MSV000083772	96
MSV000083888	2
MSV000083889	146
MSV000084030	2
MSV000084045	12
MSV000084092	3
MSV000084099	45
MSV000084116	7
MSV000084118	5
MSV000084119	6
MSV000084152	12
MSV000084158	1
MSV000084165	3
MSV000084278	6
MSV000084312	6
MSV000084314	84
MSV000084472	8
MSV000084512	21
MSV000084628	6
MSV000084674	34
MSV000084738	16
MSV000084744	3
MSV000084753	26
MSV000084783	230
MSV000084873	25
MSV000084909	1
MSV000084955	2
MSV000085000	4
MSV000085024	10
MSV000085025	33
MSV000085031	2
MSV000085129	120
MSV000085326	36
MSV000085352	3
MSV000085404	6
MSV000085417	62
MSV000085443	6
MSV000085444	6
MSV000085480	700
MSV000085607	4
MSV000085688	2
MSV000085724	4
MSV000085777	17
MSV000085778	16
MSV000085779	36
MSV000085786	62
MSV000085843	74
MSV000085844	16
MSV000085852	519
MSV000085864	54
MSV000085870	1
MSV000085891	33
MSV000085991	1
MSV000086236	113
MSV000086246	64
MSV000086270	65
MSV000086360	38
MSV000086415	132
MSV000086482	29
MSV000086495	1
MSV000086522	8
MSV000086666	6
MSV000086760	64
MSV000086821	48
MSV000086830	141
MSV000086989	6
MSV000086993	3
MSV000087005	17
MSV000087087	5
MSV000087359	1
MSV000087523	16
MSV000087572	1
MSV000087612	4
MSV000087650	28
MSV000087690	1
MSV000087692	11
MSV000087702	14
MSV000087711	10
MSV000087728	2
MSV000087747	13
MSV000087809	5
MSV000087948	4
MSV000087995	17
MSV000088021	167
MSV000088040	21
MSV000088087	16
MSV000088137	6
MSV000088164	166
MSV000088196	1
MSV000088235	4
MSV000088242	56
MSV000088335	1
MSV000088420	1
MSV000088546	48
MSV000088564	7
MSV000088570	3
MSV000088594	35
MSV000088640	50
MSV000088645	107
MSV000088646	281
MSV000088661	4
MSV000088690	1
MSV000088741	1
MSV000088823	85
MSV000088843	48
MSV000089210	1
MSV000089313	213
MSV000089558	118
