Dataset	Frequency
MSV000080540	11
MSV000080960	30
MSV000081077	5
MSV000081118	1
MSV000081119	1
MSV000081160	119
MSV000081346	5
MSV000081464	93
MSV000081804	6
MSV000081808	15
MSV000081810	1
MSV000081879	1
MSV000082331	66
MSV000082613	14
MSV000082615	3
MSV000082619	1
MSV000082700	2
MSV000082712	14
MSV000082794	29
MSV000082944	4
MSV000083055	3
MSV000083102	1
MSV000083105	4
MSV000083264	1
MSV000083300	8
MSV000083473	1
MSV000083825	4
MSV000083835	4
MSV000083989	184
MSV000084186	225
MSV000084314	16
MSV000084460	1
MSV000084479	1
MSV000084541	9
MSV000084595	1
MSV000085071	46
MSV000085119	5
MSV000085467	4
MSV000085657	2
MSV000085744	3
MSV000085917	1
MSV000085920	1
MSV000086101	2
MSV000086251	1
MSV000086252	1
MSV000086878	1
MSV000087012	4
MSV000087646	18
MSV000087694	3
MSV000087711	6
MSV000087728	5
MSV000088332	10
MSV000088661	2
MSV000089210	4
MSV000089316	14
MSV000089731	1
