file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	MassIVE	Filename	node_id
mzspec:MSV000084900:G87550_1x_BH2_01_26646	-0.0	mzspec:MSV000084900:G87550_1x_BH2_01_26646:scan:1424	1	0.86	6	MSV000084900	NoID	MSV000084900	G87550_1x_BH2_01_26646.mzXML	complex
mzspec:MSV000084900:G79167_2x_RG4_01_19206	-0.0	mzspec:MSV000084900:G79167_2x_RG4_01_19206:scan:1419	1	0.84	7	MSV000084900	NoID	MSV000084900	G79167_2x_RG4_01_19206.mzXML	fruit
mzspec:MSV000084900:G86865_1x_RB9_01_23500	-0.0	mzspec:MSV000084900:G86865_1x_RB9_01_23500:scan:1423	1	0.83	8	MSV000084900	NoID	MSV000084900	G86865_1x_RB9_01_23500.mzXML	lemon
mzspec:MSV000084900:G75690_1x_RE6_01_18855	-0.0	mzspec:MSV000084900:G75690_1x_RE6_01_18855:scan:1422	1	0.83	5	MSV000084900	NoID	MSV000084900	G75690_1x_RE6_01_18855.mzXML	tomatillo
mzspec:MSV000084900:G72728_5x_BA9_01_18264	0.0	mzspec:MSV000084900:G72728_5x_BA9_01_18264:scan:1421	1	0.83	4	MSV000084900	NoID	MSV000084900	G72728_5x_BA9_01_18264.mzXML	not collected
mzspec:MSV000084900:G72701_10x_BH8_01_17936	-0.0	mzspec:MSV000084900:G72701_10x_BH8_01_17936:scan:1415	1	0.83	4	MSV000084900	NoID	MSV000084900	G72701_10x_BH8_01_17936.mzXML	grape
mzspec:MSV000084900:G75762_1x_10ul_RF9_01_19888	-0.0	mzspec:MSV000084900:G75762_1x_10ul_RF9_01_19888:scan:1424	1	0.83	4	MSV000084900	NoID	MSV000084900	G75762_1x_10ul_RF9_01_19888.mzXML	plant
mzspec:MSV000084900:G78913_RF3_01_17605	-0.0	mzspec:MSV000084900:G78913_RF3_01_17605:scan:1370	1	0.82	9	MSV000084900	NoID	MSV000084900	G78913_RF3_01_17605.mzXML	forbidden rice
mzspec:MSV000084900:G78997_1x_RD12_01_18844	-0.0	mzspec:MSV000084900:G78997_1x_RD12_01_18844:scan:1412	1	0.82	8	MSV000084900	NoID	MSV000084900	G78997_1x_RD12_01_18844.mzXML	passionfruit
mzspec:MSV000084900:G79641_1x_RD2_01_18827	-0.0	mzspec:MSV000084900:G79641_1x_RD2_01_18827:scan:1418	1	0.82	8	MSV000084900	NoID	MSV000084900	G79641_1x_RD2_01_18827.mzXML	banana
mzspec:MSV000084900:G78842_BE12_01_19014	-0.0	mzspec:MSV000084900:G78842_BE12_01_19014:scan:1430	1	0.82	8	MSV000084900	NoID	MSV000084900	G78842_BE12_01_19014.mzXML	complex
mzspec:MSV000084900:G73723_1x_RA8_01_18792	-0.0	mzspec:MSV000084900:G73723_1x_RA8_01_18792:scan:1412	1	0.82	8	MSV000084900	NoID	MSV000084900	G73723_1x_RA8_01_18792.mzXML	maitake mushroom
mzspec:MSV000084900:G79311_1x_RB7_01_18804	0.0	mzspec:MSV000084900:G79311_1x_RB7_01_18804:scan:1418	1	0.82	8	MSV000084900	NoID	MSV000084900	G79311_1x_RB7_01_18804.mzXML	oyster mushroom
mzspec:MSV000084900:G78866_5x_BE12_01_20016	-0.0	mzspec:MSV000084900:G78866_5x_BE12_01_20016:scan:1416	1	0.82	8	MSV000084900	NoID	MSV000084900	G78866_5x_BE12_01_20016.mzXML	grain/grass
mzspec:MSV000084900:72504_1x_BH8_01_17502	-0.0	mzspec:MSV000084900:72504_1x_BH8_01_17502:scan:1411	1	0.82	8	MSV000084900	NoID	MSV000084900	72504_1x_BH8_01_17502.mzXML	turkish fig
mzspec:MSV000084900:G87471_1x_RE2_01_26289	0.0	mzspec:MSV000084900:G87471_1x_RE2_01_26289:scan:1391	1	0.82	7	MSV000084900	NoID	MSV000084900	G87471_1x_RE2_01_26289.mzXML	kumquat
mzspec:MSV000084900:G72740_10x_BA2_01_17864	-0.0	mzspec:MSV000084900:G72740_10x_BA2_01_17864:scan:1432	1	0.82	6	MSV000084900	NoID	MSV000084900	G72740_10x_BA2_01_17864.mzXML	lemon
mzspec:MSV000084900:G87536_1x_RC8_01_26265	-0.0	mzspec:MSV000084900:G87536_1x_RC8_01_26265:scan:1410	1	0.82	6	MSV000084900	NoID	MSV000084900	G87536_1x_RC8_01_26265.mzXML	betel nut
mzspec:MSV000084900:G87349_RC4_01_26099	0.0	mzspec:MSV000084900:G87349_RC4_01_26099:scan:1402	1	0.81	8	MSV000084900	NoID	MSV000084900	G87349_RC4_01_26099.mzXML	bergamot
mzspec:MSV000084900:G87450_1x_BE2_01_26049	-0.0	mzspec:MSV000084900:G87450_1x_BE2_01_26049:scan:1392	1	0.81	8	MSV000084900	NoID	MSV000084900	G87450_1x_BE2_01_26049.mzXML	complex
mzspec:MSV000084900:G72462_10x_BF7_01_17855	-0.0	mzspec:MSV000084900:G72462_10x_BF7_01_17855:scan:1410	1	0.81	8	MSV000084900	NoID	MSV000084900	G72462_10x_BF7_01_17855.mzXML	plant
mzspec:MSV000084900:G78982_1x_RF7_01_18968	-0.0	mzspec:MSV000084900:G78982_1x_RF7_01_18968:scan:1418	1	0.81	8	MSV000084900	NoID	MSV000084900	G78982_1x_RF7_01_18968.mzXML	Frederick passion fruit
mzspec:MSV000084900:G74124_1x_10ul_RD10_01_19822	-0.0	mzspec:MSV000084900:G74124_1x_10ul_RD10_01_19822:scan:1424	1	0.81	8	MSV000084900	NoID	MSV000084900	G74124_1x_10ul_RD10_01_19822.mzXML	fleshy fruit
mzspec:MSV000084900:G72517_10x_BH10_01_17938	-0.0	mzspec:MSV000084900:G72517_10x_BH10_01_17938:scan:1416	1	0.81	8	MSV000084900	NoID	MSV000084900	G72517_10x_BH10_01_17938.mzXML	pineapple
mzspec:MSV000084900:G72784_10x_BA5_01_17870	-0.0	mzspec:MSV000084900:G72784_10x_BA5_01_17870:scan:1393	1	0.81	6	MSV000084900	NoID	MSV000084900	G72784_10x_BA5_01_17870.mzXML	fruit
mzspec:MSV000084900:G75711_RC6_01_18378	-0.0	mzspec:MSV000084900:G75711_RC6_01_18378:scan:1401	1	0.81	5	MSV000084900	NoID	MSV000084900	G75711_RC6_01_18378.mzXML	hulled millet
mzspec:MSV000084900:G78835_1x_RC12_01_18824	-0.0	mzspec:MSV000084900:G78835_1x_RC12_01_18824:scan:1412	1	0.8	8	MSV000084900	NoID	MSV000084900	G78835_1x_RC12_01_18824.mzXML	plantain
mzspec:MSV000084900:G73692_5x_10ul_rerun_RH8_01_19600	-0.0	mzspec:MSV000084900:G73692_5x_10ul_rerun_RH8_01_19600:scan:1417	1	0.8	8	MSV000084900	NoID	MSV000084900	G73692_5x_10ul_rerun_RH8_01_19600.mzXML	green bean
mzspec:MSV000084900:G73940_1x_BE12_01_17316	-0.0	mzspec:MSV000084900:G73940_1x_BE12_01_17316:scan:1418	1	0.8	8	MSV000084900	NoID	MSV000084900	G73940_1x_BE12_01_17316.mzXML	corn
mzspec:MSV000084900:G73729_RC5_01_17561	-0.0	mzspec:MSV000084900:G73729_RC5_01_17561:scan:1402	1	0.8	7	MSV000084900	NoID	MSV000084900	G73729_RC5_01_17561.mzXML	oat
mzspec:MSV000084900:72657_1x_BE5_01_17445	-0.0	mzspec:MSV000084900:72657_1x_BE5_01_17445:scan:1413	1	0.8	7	MSV000084900	NoID	MSV000084900	72657_1x_BE5_01_17445.mzXML	barlett pear
mzspec:MSV000084900:G79236_2x_RF6_01_19183	-0.01	mzspec:MSV000084900:G79236_2x_RF6_01_19183:scan:1421	1	0.8	6	MSV000084900	NoID	MSV000084900	G79236_2x_RF6_01_19183.mzXML	mushroom
mzspec:MSV000084900:G79695_5x_10ul_RF12_01_19558	-0.0	mzspec:MSV000084900:G79695_5x_10ul_RF12_01_19558:scan:1415	1	0.8	6	MSV000084900	NoID	MSV000084900	G79695_5x_10ul_RF12_01_19558.mzXML	fruit
mzspec:MSV000084900:VA2_2x_RB2_01_21610	-0.0	mzspec:MSV000084900:VA2_2x_RB2_01_21610:scan:1331	1	0.8	5	MSV000084900	NoID	MSV000084900	VA2_2x_RB2_01_21610.mzXML	white rice
mzspec:MSV000084900:G75706_RF9_01_17618	-0.0	mzspec:MSV000084900:G75706_RF9_01_17618:scan:1385	1	0.8	5	MSV000084900	NoID	MSV000084900	G75706_RF9_01_17618.mzXML	rolled oats
mzspec:MSV000084900:G79753_5x_BC9_01_19979	-0.0	mzspec:MSV000084900:G79753_5x_BC9_01_19979:scan:1396	1	0.79	8	MSV000084900	NoID	MSV000084900	G79753_5x_BC9_01_19979.mzXML	sunflower seed
mzspec:MSV000084900:G75138_RE9_01_18374	-0.0	mzspec:MSV000084900:G75138_RE9_01_18374:scan:1417	1	0.79	8	MSV000084900	NoID	MSV000084900	G75138_RE9_01_18374.mzXML	chia
mzspec:MSV000084900:G75709_rerun_5ul_RD9_01_17672	-0.0	mzspec:MSV000084900:G75709_rerun_5ul_RD9_01_17672:scan:1388	1	0.79	8	MSV000084900	NoID	MSV000084900	G75709_rerun_5ul_RD9_01_17672.mzXML	long grain brown rice
mzspec:MSV000084900:G78996_1x_RD3_01_18828	-0.0	mzspec:MSV000084900:G78996_1x_RD3_01_18828:scan:1418	1	0.79	8	MSV000084900	NoID	MSV000084900	G78996_1x_RD3_01_18828.mzXML	passionfruit
mzspec:MSV000084900:G83203_5x_RB7_01_21421	-0.0	mzspec:MSV000084900:G83203_5x_RB7_01_21421:scan:1398	1	0.79	8	MSV000084900	NoID	MSV000084900	G83203_5x_RB7_01_21421.mzXML	rolled oats
mzspec:MSV000084900:G79513_1x_RG4_01_20557	-0.0	mzspec:MSV000084900:G79513_1x_RG4_01_20557:scan:1412	1	0.79	8	MSV000084900	NoID	MSV000084900	G79513_1x_RG4_01_20557.mzXML	king oyster mushroom
