Dataset	Frequency
MSV000082691	2
MSV000082692	5
MSV000082695	14
MSV000082699	2
MSV000082704	2
MSV000082706	19
MSV000082708	27
MSV000082712	4
MSV000082713	24
MSV000082714	5
MSV000082716	28
MSV000082717	5
MSV000082720	6
MSV000082721	7
MSV000082723	23
MSV000082725	1
MSV000082727	2
MSV000082728	52
MSV000082729	4
MSV000082730	5
MSV000082731	6
MSV000082732	11
MSV000082733	4
MSV000082734	4
MSV000082735	44
MSV000082737	3
MSV000082739	2
MSV000082740	56
MSV000082741	6
MSV000082742	15
MSV000082743	36
MSV000082744	66
MSV000084314	9
MSV000087694	25
MSV000088324	1
