USI	GNPSLibraryAccession	Cosine	Matching Peaks	CompoundName	Adduct	Charge
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006123380	CCMSLIB00006123380	0.92	4	L-Citrulline - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006123390	CCMSLIB00006123390	0.9	4	L-Citrulline - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006123399	CCMSLIB00006123399	0.85	4	L-Citrulline - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006123394	CCMSLIB00006123394	0.83	4	L-Citrulline - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006123397	CCMSLIB00006123397	0.8	4	L-Citrulline - 40.0 eV	M-H	1
mzspec:GNPS:GNPS-LIBRARY:accession:CCMSLIB00006123392	CCMSLIB00006123392	0.8	4	L-Citrulline - 40.0 eV	M-H	1
