Dataset	Frequency
MSV000078604	2
MSV000078891	1
MSV000079134	65
MSV000079181	8
MSV000079274	2
MSV000079320	1
MSV000079329	4
MSV000079341	1
MSV000079389	8
MSV000079398	1
MSV000079523	58
MSV000079575	28
MSV000079598	95
MSV000079697	354
MSV000079706	72
MSV000079707	35
MSV000079709	12
MSV000079710	42
MSV000079712	30
MSV000079714	60
MSV000079717	49
MSV000079718	28
MSV000079719	10
MSV000079720	16
MSV000079773	16
MSV000079778	1
MSV000079788	1
MSV000079808	1
MSV000079813	1
MSV000079819	14
MSV000080015	8
MSV000080030	4
MSV000080031	1
MSV000080142	225
MSV000080167	56
MSV000080176	8
MSV000080177	3
MSV000080178	2
MSV000080179	94
MSV000080186	33
MSV000080187	61
MSV000080188	19
MSV000080299	35
MSV000080335	2
MSV000080469	23
MSV000080492	2
MSV000080507	17
MSV000080518	9
MSV000080559	16
MSV000080562	24
MSV000080604	1
MSV000080628	8
MSV000080629	4
MSV000080673	1
MSV000080905	149
MSV000081005	8
MSV000081064	2
MSV000081065	6
MSV000081067	23
MSV000081068	2
MSV000081343	2
MSV000081351	9
MSV000081354	10
MSV000081357	2
MSV000081432	1
MSV000081456	1
MSV000081463	1
MSV000081492	4
MSV000081508	74
MSV000081544	1
MSV000081548	4
MSV000081555	2
MSV000081580	1
MSV000081582	156
MSV000081665	1
MSV000081676	1
MSV000081681	1
MSV000081682	1
MSV000081694	8
MSV000081731	65
MSV000081741	1
MSV000081751	1
MSV000081804	12
MSV000081807	1
MSV000081808	34
MSV000081810	3
MSV000081816	40
MSV000081832	2
MSV000081893	1
MSV000081894	3
MSV000081952	58
MSV000081981	1
MSV000082074	4
MSV000082081	4
MSV000082082	16
MSV000082083	305
MSV000082084	15
MSV000082085	18
MSV000082086	41
MSV000082156	1
MSV000082261	3
MSV000082262	1
MSV000082277	4
MSV000082312	73
MSV000082331	20
MSV000082380	21
MSV000082432	44
MSV000082433	49
MSV000082582	4
MSV000082614	1
MSV000082616	1
MSV000082633	16
MSV000082647	18
MSV000082667	4
MSV000082674	14
MSV000082678	2
MSV000082680	2
MSV000082691	1
MSV000082712	12
MSV000082714	1
MSV000082728	10
MSV000082735	3
MSV000082743	24
MSV000082802	110
MSV000082831	1
MSV000082869	24
MSV000082905	2
MSV000082924	8
MSV000082952	7
MSV000082953	232
MSV000083010	4
MSV000083024	3
MSV000083077	60
MSV000083098	13
MSV000083134	1
MSV000083183	1
MSV000083264	5
MSV000083274	6
MSV000083300	60
MSV000083306	114
MSV000083320	103
MSV000083365	71
MSV000083372	13
MSV000083383	82
MSV000083387	20
MSV000083388	1
MSV000083431	1
MSV000083475	8
MSV000083521	19
MSV000083522	40
MSV000083523	21
MSV000083541	8
MSV000083559	87
MSV000083593	87
MSV000083631	3
MSV000083632	10
MSV000083660	3
MSV000083664	4
MSV000083705	1
