Dataset	Frequency
MSV000079181	98
MSV000079356	1
MSV000079389	44
MSV000079523	32
MSV000079598	2
MSV000079697	105
MSV000079706	3
MSV000079707	10
MSV000079709	1
MSV000079710	30
MSV000079712	27
MSV000079714	10
MSV000079717	2
MSV000079718	12
MSV000079719	6
MSV000079720	6
MSV000079819	3
MSV000080030	592
MSV000080031	39
MSV000080335	1
MSV000080442	7
MSV000080443	10
MSV000080444	15
MSV000080469	2
MSV000081379	169
MSV000081508	191
MSV000081580	12
MSV000081582	273
MSV000081676	1
MSV000081694	15
MSV000081816	33
MSV000081832	2
MSV000082074	1
MSV000082331	11
MSV000082432	394
MSV000082433	1
MSV000082493	11
MSV000082647	1
MSV000082674	147
MSV000082869	2
MSV000082924	9
MSV000082944	2
MSV000082953	3
MSV000083055	1
MSV000083320	13
MSV000083411	1
MSV000083462	1
MSV000083956	1
MSV000084314	42
MSV000084322	2
MSV000084590	16
MSV000085480	3
MSV000085852	1
MSV000085918	1
MSV000085920	1
MSV000085922	1
MSV000085944	86
MSV000086252	1
MSV000086302	1
MSV000086676	16
MSV000086882	1
MSV000087694	1
MSV000088606	10
MSV000088670	1
MSV000088842	129
MSV000089210	2
MSV000089524	12
