Dataset	Frequency
MSV000078570	6
MSV000078656	1
MSV000078738	1
MSV000078903	1
MSV000079104	33
MSV000079105	6
MSV000079134	22
MSV000079243	110
MSV000079274	447
MSV000079329	11
MSV000079344	1
MSV000079398	73
MSV000079416	72
MSV000079421	2
MSV000079444	10
MSV000079446	30
MSV000079447	16
MSV000079502	4
MSV000079503	3
MSV000079516	11
MSV000079517	2
MSV000079518	6
MSV000079519	7
MSV000079520	5
MSV000079521	3
MSV000079523	1
MSV000079598	46
MSV000079615	26
MSV000079621	6
MSV000079628	1
MSV000079651	1
MSV000079652	73
MSV000079677	379
MSV000079679	47
MSV000079680	171
MSV000079697	294
MSV000079706	8
MSV000079707	42
MSV000079709	5
MSV000079710	69
MSV000079712	37
MSV000079714	26
MSV000079717	19
MSV000079718	60
MSV000079719	31
MSV000079772	1
MSV000079773	7
MSV000079777	86
MSV000079778	41
MSV000079787	91
MSV000079788	293
MSV000079808	2
MSV000079813	13
MSV000079819	8
MSV000079820	1
MSV000079888	31
MSV000079949	309
MSV000080016	20
MSV000080030	3
MSV000080050	116
MSV000080074	1
MSV000080102	22
MSV000080116	2
MSV000080117	6
MSV000080142	137
MSV000080167	11
MSV000080176	1
MSV000080177	7
MSV000080179	25
MSV000080180	41
MSV000080181	15
MSV000080182	37
MSV000080183	84
MSV000080186	8
MSV000080187	17
MSV000080188	92
MSV000080239	17
MSV000080251	647
MSV000080286	2
MSV000080287	2
MSV000080288	2
MSV000080289	2
MSV000080290	2
MSV000080291	2
MSV000080292	2
MSV000080299	146
MSV000080337	444
MSV000080377	6
MSV000080397	600
MSV000080450	150
MSV000080469	18
MSV000080501	11
MSV000080533	13
MSV000080554	2
MSV000080558	115
MSV000080559	12
MSV000080562	2
MSV000080574	13
MSV000080597	16
MSV000080627	64
MSV000080628	2
MSV000080629	10
MSV000080632	16
MSV000080655	218
MSV000080673	96
MSV000080895	36
MSV000080898	36
MSV000080899	36
MSV000080905	34
MSV000080918	115
MSV000080922	41
MSV000080958	18
MSV000080960	1
MSV000080976	674
MSV000081004	12
MSV000081005	4
MSV000081065	3
MSV000081067	173
MSV000081080	448
MSV000081098	3
MSV000081107	6
MSV000081108	1
MSV000081116	40
MSV000081151	16
MSV000081152	246
MSV000081160	17
MSV000081171	2
MSV000081284	261
MSV000081287	5
MSV000081326	338
MSV000081343	172
MSV000081344	60
MSV000081347	78
MSV000081350	55
MSV000081351	11
MSV000081354	1
MSV000081357	111
MSV000081364	5
MSV000081379	11
MSV000081432	123
MSV000081456	22
MSV000081463	189
MSV000081477	375
MSV000081482	27
MSV000081486	74
MSV000081492	13
MSV000081524	2
MSV000081544	1
MSV000081548	31
MSV000081555	6
MSV000081571	163
MSV000081657	92
MSV000081659	78
MSV000081664	1
MSV000081665	74
MSV000081666	48
MSV000081669	70
MSV000081670	83
MSV000081673	92
MSV000081675	77
MSV000081676	49
MSV000081681	70
MSV000081682	62
MSV000081683	89
MSV000081731	51
MSV000081748	82
MSV000081749	47
MSV000081750	87
MSV000081751	35
MSV000081752	63
MSV000081753	88
MSV000081777	466
MSV000081778	1
MSV000081780	95
MSV000081807	1
MSV000081936	198
MSV000081949	4
MSV000081950	45
MSV000081952	9
MSV000081955	44
MSV000081957	4
MSV000081960	1
MSV000081981	94
MSV000081999	63
MSV000082000	48
MSV000082005	59
MSV000082045	876
MSV000082048	213
MSV000082049	942
MSV000082068	46
MSV000082069	72
MSV000082071	52
MSV000082072	54
MSV000082073	78
MSV000082074	1789
MSV000082082	115
MSV000082083	1
MSV000082084	1
MSV000082086	3
MSV000082131	256
MSV000082156	3
MSV000082157	269
MSV000082178	164
MSV000082220	124
MSV000082221	326
MSV000082261	21
MSV000082262	42
MSV000082268	917
MSV000082312	4
MSV000082321	111
MSV000082322	13
MSV000082323	43
MSV000082324	29
MSV000082325	12
MSV000082331	15
MSV000082374	65
MSV000082377	2
MSV000082378	67
MSV000082379	142
MSV000082380	126
MSV000082382	155
MSV000082383	81
MSV000082384	19
MSV000082385	9
MSV000082386	3
MSV000082387	110
MSV000082388	79
MSV000082391	113
MSV000082402	142
MSV000082406	6
MSV000082423	98
MSV000082428	15
MSV000082431	3
MSV000082432	16
MSV000082433	60
MSV000082453	2
MSV000082480	1
MSV000082481	469
MSV000082490	6
MSV000082493	29
MSV000082582	19
MSV000082602	57
MSV000082608	33
MSV000082612	254
MSV000082614	42
MSV000082616	214
MSV000082618	175
MSV000082629	14
MSV000082630	290
MSV000082647	31
MSV000082649	77
MSV000082650	12
MSV000082661	1
MSV000082662	14
MSV000082667	663
MSV000082674	1
MSV000082678	2
MSV000082685	1
MSV000082710	1
MSV000082713	1
MSV000082743	1
MSV000082782	1
MSV000082791	1
MSV000082802	87
MSV000082813	2
MSV000082820	24
MSV000082821	19
MSV000082869	788
MSV000082891	5
MSV000082905	2
MSV000082944	2
MSV000082960	71
MSV000082962	7
MSV000082963	71
MSV000082969	583
MSV000082972	2
MSV000082973	35
MSV000082978	1
MSV000083004	219
MSV000083010	1782
MSV000083014	374
MSV000083024	210
MSV000083032	20
MSV000083040	144
MSV000083049	84
MSV000083055	1
MSV000083065	219
MSV000083073	66
MSV000083077	33
MSV000083083	90
MSV000083102	1
MSV000083110	3
MSV000083134	3
MSV000083183	115
MSV000083263	2
MSV000083272	5
MSV000083274	3
MSV000083275	21
MSV000083300	83
MSV000083302	166
MSV000083306	123
MSV000083320	126
MSV000083353	164
MSV000083357	11
MSV000083359	75
MSV000083372	3
MSV000083378	12
MSV000083383	15
