id	Zod_quality	Zod_precursorMass	Zod_SiriusMF	Zod_SiriusScore	Zod_numberOfCandidates	Zod_hasDummy	Zod_connectedCompounds	Zod_biggestTreeSize	Zod_maxExplainedIntensity	Zod_ZodiacMF	Zod_ZodiacMFIon	Zod_ZodiacScore	Zod_treeSize	Zod_explainedIntensity	Zod_ZodiacMF2	Zod_ZodiacMFIon2	Zod_ZodiacScore2	Zod_treeSize2	Zod_explainedIntensity2	Zod_ZodiacMF3	Zod_ZodiacMFIon3	Zod_ZodiacScore3	Zod_treeSize3	Zod_explainedIntensity3	Zod_ZodiacMF4	Zod_ZodiacMFIon4	Zod_ZodiacScore4	Zod_treeSize4	Zod_explainedIntensity4	Zod_ZodiacMF5	Zod_ZodiacMFIon5	Zod_ZodiacScore5	Zod_treeSize5	Zod_explainedIntensity5	Zod_ZodiacMF6	Zod_ZodiacMFIon6	Zod_ZodiacScore6	Zod_treeSize6	Zod_explainedIntensity6	Zod_ZodiacMF7	Zod_ZodiacMFIon7	Zod_ZodiacScore7	Zod_treeSize7	Zod_explainedIntensity7	Zod_ZodiacMF8	Zod_ZodiacMFIon8	Zod_ZodiacScore8	Zod_treeSize8	Zod_explainedIntensity8	Zod_ZodiacMF9	Zod_ZodiacMFIon9	Zod_ZodiacScore9	Zod_treeSize9	Zod_explainedIntensity9	Zod_ZodiacMF10	Zod_ZodiacMFIon10	Zod_ZodiacScore10	Zod_treeSize10	Zod_explainedIntensity10	Zod_ZodiacMF11	Zod_ZodiacMFIon11	Zod_ZodiacScore11	Zod_treeSize11	Zod_explainedIntensity11	Zod_ZodiacMF12	Zod_ZodiacMFIon12	Zod_ZodiacScore12	Zod_treeSize12	Zod_explainedIntensity12	Zod_ZodiacMF13	Zod_ZodiacMFIon13	Zod_ZodiacScore13	Zod_treeSize13	Zod_explainedIntensity13	Zod_ZodiacMF14	Zod_ZodiacMFIon14	Zod_ZodiacScore14	Zod_treeSize14	Zod_explainedIntensity14	Zod_ZodiacMF15	Zod_ZodiacMFIon15	Zod_ZodiacScore15	Zod_treeSize15	Zod_explainedIntensity15	Zod_ZodiacMF16	Zod_ZodiacMFIon16	Zod_ZodiacScore16	Zod_treeSize16	Zod_explainedIntensity16	Zod_ZodiacMF17	Zod_ZodiacMFIon17	Zod_ZodiacScore17	Zod_treeSize17	Zod_explainedIntensity17	Zod_ZodiacMF18	Zod_ZodiacMFIon18	Zod_ZodiacScore18	Zod_treeSize18	Zod_explainedIntensity18	Zod_ZodiacMF19	Zod_ZodiacMFIon19	Zod_ZodiacScore19	Zod_treeSize19	Zod_explainedIntensity19	Zod_ZodiacMF20	Zod_ZodiacMFIon20	Zod_ZodiacScore20	Zod_treeSize20	Zod_explainedIntensity20	Zod_ZodiacMF21	Zod_ZodiacMFIon21	Zod_ZodiacScore21	Zod_treeSize21	Zod_explainedIntensity21	Zod_ZodiacMF22	Zod_ZodiacMFIon22	Zod_ZodiacScore22	Zod_treeSize22	Zod_explainedIntensity22	Zod_ZodiacMF23	Zod_ZodiacMFIon23	Zod_ZodiacScore23	Zod_treeSize23	Zod_explainedIntensity23	Zod_ZodiacMF24	Zod_ZodiacMFIon24	Zod_ZodiacScore24	Zod_treeSize24	Zod_explainedIntensity24	Zod_ZodiacMF25	Zod_ZodiacMFIon25	Zod_ZodiacScore25	Zod_treeSize25	Zod_explainedIntensity25	Zod_ZodiacMF26	Zod_ZodiacMFIon26	Zod_ZodiacScore26	Zod_treeSize26	Zod_explainedIntensity26	Zod_ZodiacMF27	Zod_ZodiacMFIon27	Zod_ZodiacScore27	Zod_treeSize27	Zod_explainedIntensity27	Zod_ZodiacMF28	Zod_ZodiacMFIon28	Zod_ZodiacScore28	Zod_treeSize28	Zod_explainedIntensity28	Zod_ZodiacMF29	Zod_ZodiacMFIon29	Zod_ZodiacScore29	Zod_treeSize29	Zod_explainedIntensity29	Zod_ZodiacMF30	Zod_ZodiacMFIon30	Zod_ZodiacScore30	Zod_treeSize30	Zod_explainedIntensity30	Zod_ZodiacMF31	Zod_ZodiacMFIon31	Zod_ZodiacScore31	Zod_treeSize31	Zod_explainedIntensity31	Zod_ZodiacMF32	Zod_ZodiacMFIon32	Zod_ZodiacScore32	Zod_treeSize32	Zod_explainedIntensity32	Zod_ZodiacMF33	Zod_ZodiacMFIon33	Zod_ZodiacScore33	Zod_treeSize33	Zod_explainedIntensity33	Zod_ZodiacMF34	Zod_ZodiacMFIon34	Zod_ZodiacScore34	Zod_treeSize34	Zod_explainedIntensity34	Zod_ZodiacMF35	Zod_ZodiacMFIon35	Zod_ZodiacScore35	Zod_treeSize35	Zod_explainedIntensity35	Zod_ZodiacMF36	Zod_ZodiacMFIon36	Zod_ZodiacScore36	Zod_treeSize36	Zod_explainedIntensity36	Zod_ZodiacMF37	Zod_ZodiacMFIon37	Zod_ZodiacScore37	Zod_treeSize37	Zod_explainedIntensity37	Zod_ZodiacMF38	Zod_ZodiacMFIon38	Zod_ZodiacScore38	Zod_treeSize38	Zod_explainedIntensity38	Zod_ZodiacMF39	Zod_ZodiacMFIon39	Zod_ZodiacScore39	Zod_treeSize39	Zod_explainedIntensity39	Zod_ZodiacMF40	Zod_ZodiacMFIon40	Zod_ZodiacScore40	Zod_treeSize40	Zod_explainedIntensity40	Zod_ZodiacMF41	Zod_ZodiacMFIon41	Zod_ZodiacScore41	Zod_treeSize41	Zod_explainedIntensity41	Zod_ZodiacMF42	Zod_ZodiacMFIon42	Zod_ZodiacScore42	Zod_treeSize42	Zod_explainedIntensity42	Zod_ZodiacMF43	Zod_ZodiacMFIon43	Zod_ZodiacScore43	Zod_treeSize43	Zod_explainedIntensity43	Zod_ZodiacMF44	Zod_ZodiacMFIon44	Zod_ZodiacScore44	Zod_treeSize44	Zod_explainedIntensity44	Zod_ZodiacMF45	Zod_ZodiacMFIon45	Zod_ZodiacScore45	Zod_treeSize45	Zod_explainedIntensity45	Zod_ZodiacMF46	Zod_ZodiacMFIon46	Zod_ZodiacScore46	Zod_treeSize46	Zod_explainedIntensity46	Zod_ZodiacMF47	Zod_ZodiacMFIon47	Zod_ZodiacScore47	Zod_treeSize47	Zod_explainedIntensity47	Zod_ZodiacMF48	Zod_ZodiacMFIon48	Zod_ZodiacScore48	Zod_treeSize48	Zod_explainedIntensity48	Zod_ZodiacMF49	Zod_ZodiacMFIon49	Zod_ZodiacScore49	Zod_treeSize49	Zod_explainedIntensity49	Zod_ZodiacMF50	Zod_ZodiacMFIon50	Zod_ZodiacScore50	Zod_treeSize50	Zod_explainedIntensity50	Zod_ZodiacMF51	Zod_ZodiacMFIon51	Zod_ZodiacScore51	Zod_treeSize51	Zod_explainedIntensity51	Zod_ZodiacMF52	Zod_ZodiacMFIon52	Zod_ZodiacScore52	Zod_treeSize52	Zod_explainedIntensity52	Zod_ZodiacMF53	Zod_ZodiacMFIon53	Zod_ZodiacScore53	Zod_treeSize53	Zod_explainedIntensity53	Zod_ZodiacMF54	Zod_ZodiacMFIon54	Zod_ZodiacScore54	Zod_treeSize54	Zod_explainedIntensity54	Zod_ZodiacMF55	Zod_ZodiacMFIon55	Zod_ZodiacScore55	Zod_treeSize55	Zod_explainedIntensity55	Zod_ZodiacMF56	Zod_ZodiacMFIon56	Zod_ZodiacScore56	Zod_treeSize56	Zod_explainedIntensity56
10428	PoorlyExplained	278.168	C20H23O	0.317	10	False	0	1	0.0	C20H23O	[M - H]-	0.314	1.0	0.0	C17H25N	[M + Cl]-	0.26	1.0	0.0	C18H21N3	[M - H]-	0.11	1.0	0.0	C11H25BN2O3	[M + Cl]-	0.053	1.0	0.0	C12H23F2N3O2	[M - H]-	0.049	1.0	0.0	C17H26ClN	[M - H]-	0.049	1.0	0.0	C15H25N3S	[M - H]-	0.048	1.0	0.0	C14H26FNO	[M + Cl]-	0.042	1.0	0.0	C15H22FN3O	[M - H]-	0.041	1.0	0.0	C12H21BN4O3	[M - H]-	0.036	1.0	0.0																																																																																																																																																																																																																																						
9162	UNKNOWN	279.039	C9H13ClN2O6	0.992	12	False	9	13	0.871	C9H13ClN2O6	[M - H]-	0.993	8.0	0.847	C10H9ClN6O2	[M - H]-	0.007	9.0	0.871	C10H8N6O2	[M + Cl]-	0.0	8.0	0.429	C8H10F2N4O3S	[M - H]-	0.0	13.0	0.434	C15H9BClNO2	[M - H]-	0.0	10.0	0.789	C7H13FN6	[M + Br]-	0.0	3.0	0.047	C10H14ClFN2O2S	[M - H]-	0.0	12.0	0.844	C12H10BClFNO3	[M - H]-	0.0	11.0	0.791	C10H17ClN2OS2	[M - H]-	0.0	9.0	0.634	C9H12N2O6	[M + Cl]-	0.0	7.0	0.405	C9H15ClF2O3	[M + Cl]-	0.0	7.0	0.645	C14H16O	[M + Br]-	0.0	1.0	0.0																																																																																																																																																																																																																												
3170	PoorlyExplained	279.059	C8H8N8O4	0.743	11	False	0	2	0.985	C8H8N8O4	[M - H]-	0.743	2.0	0.985	C7H12N4O8	[M - H]-	0.205	2.0	0.985	C7H12N6O4	[M + Cl]-	0.013	2.0	0.985	C8H16N4O3S2	[M - H]-	0.009	2.0	0.985	C10H11F3N2O4	[M - H]-	0.008	2.0	0.985	C18H12O	[M + Cl]-	0.006	1.0	0.0	C8H10F2N6O	[M + Cl]-	0.006	2.0	0.985	C13H10F2N2O3	[M - H]-	0.005	2.0	0.985	C6H16N2O8	[M + Cl]-	0.004	2.0	0.985	C11H20O3	[M + Br]-	0.004	1.0	0.0	C7H16N6O	[M + Br]-	0.0	1.0	0.0																																																																																																																																																																																																																																	
2071	UNKNOWN	279.133	C14H20N2O4	0.997	12	False	1	10	0.94	C14H20N2O4	[M - H]-	0.999	7.0	0.651	C10H16N8O2	[M - H]-	0.001	7.0	0.787	C12H17BFN3O3	[M - H]-	0.001	8.0	0.825	C15H18F2N2O	[M - H]-	0.0	5.0	0.397	C9H21ClN6O2	[M - H]-	0.0	7.0	0.651	C12H20BN3O2S	[M - H]-	0.0	10.0	0.94	C12H18N5O3	[M - H]-	0.0	7.0	0.651	C11H22N3O3	[M + Cl]-	0.0	7.0	0.651	C12H19F3N2O2	[M - H]-	0.0	6.0	0.612	C13H28O	[M + Br]-	0.0	1.0	0.0	C11H21BFNO3	[M + Cl]-	0.0	6.0	0.687	C9H20N4O6	[M - H]-	0.0	7.0	0.651																																																																																																																																																																																																																												
1923	PoorlyExplained	279.164	C13H28O4S	0.963	11	False	4	4	0.715	C13H28O4S	[M - H]-	1.0	4.0	0.715	C13H30O2P2	[M - H]-	0.0	3.0	0.701	C15H29Cl	[M + Cl]-	0.0	3.0	0.701	C6H14B10N	[M + Br]-	0.0	1.0	0.0	C17H20N4	[M - H]-	0.0	1.0	0.0	C10H24BN3O3	[M + Cl]-	0.0	1.0	0.0	C16H24N2	[M + Cl]-	0.0	1.0	0.0	C16H25ClN2	[M - H]-	0.0	1.0	0.0	C13H25FN2O	[M + Cl]-	0.0	1.0	0.0	C14H24N4S	[M - H]-	0.0	1.0	0.0	C15H30Cl2	[M - H]-	0.0	3.0	0.701																																																																																																																																																																																																																																	
5472	PoorlyExplained	279.232	C18H32O2	1.0	4	False	1	5	0.057	C18H32O2	[M - H]-	1.0	2.0	0.009	C13H32N4	[M + Cl]-	0.0	2.0	0.006	C14H28N6	[M - H]-	0.0	2.0	0.006	C16H31F3	[M - H]-	0.0	5.0	0.057																																																																																																																																																																																																																																																																				
9433	UNKNOWN	280.983	C8H10N2O3S2	0.297	11	False	0	7	0.74	C8H10N2O3S2	[M + Cl]-	0.29	6.0	0.666	C12H10O3	[M + Br]-	0.233	1.0	0.0	C7H4BF2NO6	[M + Cl]-	0.16	5.0	0.358	C8H11ClN2O3S2	[M - H]-	0.102	6.0	0.656	C7H11N2O4PS2	[M - H]-	0.088	7.0	0.74	C10H6BNO4S	[M + Cl]-	0.046	5.0	0.358	C4H10N2O8S	[M + Cl]-	0.041	6.0	0.632	C8H8ClFN2O4S	[M - H]-	0.015	7.0	0.74	C8H2F4N2O5	[M - H]-	0.012	4.0	0.275	C7H6N2O8	[M + Cl]-	0.011	2.0	0.084	C6H10BNO6	[M + Br]-	0.001	2.0	0.09																																																																																																																																																																																																																																	
2117	UNKNOWN	281.114	C13H18N2O5	1.0	12	False	10	17	0.894	C13H18N2O5	[M - H]-	1.0	17.0	0.888	C11H16N5O4	[M - H]-	0.0	16.0	0.884	C11H18BN3O3S	[M - H]-	0.0	17.0	0.894	C6H10B9NO	[M + Br]-	0.0	4.0	0.577	C12H26O2	[M + Br]-	0.0	2.0	0.463	C11H17F3N2O3	[M - H]-	0.0	16.0	0.884	C16H15BFNO2	[M - H]-	0.0	14.0	0.83	C10H19FN2O6	[M - H]-	0.0	16.0	0.88	C13H16BF2NO3	[M - H]-	0.0	17.0	0.859	C10H22BNO3S	[M + Cl]-	0.0	17.0	0.888	C9H14N8O3	[M - H]-	0.0	16.0	0.879	C8H18N6O3	[M + Cl]-	0.0	16.0	0.884																																																																																																																																																																																																																												
884	PoorlyExplained	281.982	C11H5NO6	0.275	10	False	0	2	1.0	C11H5NO6	[M + Cl]-	0.271	2.0	1.0	C5H9N5O4	[M + Br]-	0.256	2.0	1.0	C10H9BO4	[M + Br]-	0.11	2.0	1.0	C9H5N3O6S	[M - H]-	0.106	2.0	1.0	C11H6ClN3O2	[M + Cl]-	0.062	2.0	1.0	C11H7Cl2N3O2	[M - H]-	0.055	2.0	1.0	C11H6ClNO6	[M - H]-	0.048	2.0	1.0	C3H11N3O6P2	[M + Cl]-	0.032	2.0	1.0	C8H9NO6S	[M + Cl]-	0.031	2.0	1.0	C10H10BBrO4	[M - H]-	0.028	2.0	1.0																																																																																																																																																																																																																																						
9187	UNKNOWN	282.097	C13H17NO6	0.837	12	False	14	21	0.887	C13H17NO6	[M - H]-	0.872	15.0	0.733	C8H17N5O4	[M + Cl]-	0.126	20.0	0.883	C10H19N2O5	[M + Cl]-	0.001	20.0	0.885	C14H18FNO2S	[M - H]-	0.001	16.0	0.707	C15H23	[M + Br]-	0.0	1.0	0.0	C11H17BN2O4S	[M - H]-	0.0	19.0	0.87	C9H13N7O4	[M - H]-	0.0	15.0	0.275	C16H14BFO3	[M - H]-	0.0	14.0	0.742	C7H18N5O5P	[M - H]-	0.0	16.0	0.871	C10H22FN3	[M + Br]-	0.0	2.0	0.003	C11H16F3NO4	[M - H]-	0.0	21.0	0.887	C19H13BO2	[M - H]-	0.0	10.0	0.564																																																																																																																																																																																																																												
1658	PoorlyExplained	282.155	C11H25NO7	0.841	11	False	4	3	0.963	C11H25NO7	[M - H]-	0.806	2.0	0.946	C12H21N5O3	[M - H]-	0.14	2.0	0.946	C15H25NO2S	[M - H]-	0.055	3.0	0.963	C14H24BClNO2	[M - H]-	0.0	3.0	0.963	C12H21BN4O	[M + Cl]-	0.0	2.0	0.946	C10H20F3N5O	[M - H]-	0.0	2.0	0.946	C12H26FNO3S	[M - H]-	0.0	2.0	0.946	C15H19BN3O2	[M - H]-	0.0	2.0	0.946	C12H21BF4O2	[M - H]-	0.0	2.0	0.946	C11H22BN4O2P	[M - H]-	0.0	2.0	0.946	C14H23BNO2	[M + Cl]-	0.0	3.0	0.963																																																																																																																																																																																																																																	
4630	PoorlyExplained	282.156	C11H25NO7	0.679	12	False	11	4	0.896	C17H21BO3	[M - H]-	0.631	4.0	0.896	C15H25NO2S	[M - H]-	0.19	3.0	0.711	C12H26FNO3S	[M - H]-	0.082	4.0	0.896	C12H21BF4O2	[M - H]-	0.04	3.0	0.711	C11H25NO7	[M - H]-	0.037	3.0	0.8	C11H22BN4O2P	[M - H]-	0.012	3.0	0.711	C12H21N5O3	[M - H]-	0.007	3.0	0.8	C14H25BO3S	[M - H]-	0.0	2.0	0.615	C10H20F3N5O	[M - H]-	0.0	3.0	0.711	C12H23F2N3	[M + Cl]-	0.0	1.0	0.0	C12H21BN4O	[M + Cl]-	0.0	2.0	0.615	C14H22BFO4	[M - H]-	0.0	3.0	0.8																																																																																																																																																																																																																												
7185	PoorlyExplained	283.102	C10H20O9	1.0	13	False	8	4	0.926	C10H20O9	[M - H]-	1.0	4.0	0.926	C11H18F2O6	[M - H]-	0.0	4.0	0.926	C10H16B2O8	[M - H]-	0.0	4.0	0.926	C12H14F2N4O2	[M - H]-	0.0	4.0	0.926	C9H15F3N4O3	[M - H]-	0.0	3.0	0.902	C12H12BN5O3	[M - H]-	0.0	3.0	0.902	C6H20N8	[M + Br]-	0.0	1.0	0.0	C11H24O4S2	[M - H]-	0.0	3.0	0.902	C10H24N2O2	[M + Br]-	0.0	1.0	0.0	C9H20N4O2S	[M + Cl]-	0.0	3.0	0.902	C11H16BN3O3	[M + Cl]-	0.0	3.0	0.902	C9H18F2N4O2S	[M - H]-	0.0	3.0	0.902	C14H20O4S	[M - H]-	0.0	3.0	0.902																																																																																																																																																																																																																							
6180	PoorlyExplained	283.264	C18H36O2	0.999	2	False	0	1	0.0	C18H36O2	[M - H]-	0.999	1.0	0.0	C14H32N6	[M - H]-	0.001	1.0	0.0																																																																																																																																																																																																																																																																														
3526	UNKNOWN	284.136	C11H19N5O4	1.0	10	False	12	12	0.968	C11H19N5O4	[M - H]-	1.0	12.0	0.968	C14H18F3N3	[M - H]-	0.0	5.0	0.605	C9H18F3N5O2	[M - H]-	0.0	11.0	0.891	C13H20BFN2O	[M + Cl]-	0.0	6.0	0.796	C11H19BN4O2	[M + Cl]-	0.0	12.0	0.904	C12H15N9	[M - H]-	0.0	7.0	0.655	C9H24N3O5P	[M - H]-	0.0	9.0	0.741	C12H17F2N5O	[M - H]-	0.0	10.0	0.845	C10H23N3O4	[M + Cl]-	0.0	8.0	0.664	C16H19BN2	[M + Cl]-	0.0	5.0	0.783																																																																																																																																																																																																																																						
2459	UNKNOWN	284.223	C16H31NO3	1.0	4	False	9	7	0.953	C16H31NO3	[M - H]-	1.0	7.0	0.953	C14H28FN5	[M - H]-	0.0	1.0	0.0	C12H27N7O	[M - H]-	0.0	2.0	0.005	C2H23N17	[M - H]-	0.0	1.0	0.0																																																																																																																																																																																																																																																																				
1593	UNKNOWN	285.242	C17H34O3	1.0	4	False	9	23	0.916	C17H34O3	[M - H]-	1.0	23.0	0.916	C17H30B2O2	[M - H]-	0.0	21.0	0.911	C13H30N6O	[M - H]-	0.0	15.0	0.727	C18H32F2	[M - H]-	0.0	3.0	0.007																																																																																																																																																																																																																																																																				
5342	UNKNOWN	285.243	C17H34O3	1.0	3	False	9	6	0.863	C17H34O3	[M - H]-	1.0	6.0	0.863	C13H30N6O	[M - H]-	0.0	2.0	0.028	C17H30B2O2	[M - H]-	0.0	4.0	0.851																																																																																																																																																																																																																																																																									
9052	UNKNOWN	285.887	C6H4BBrClFO2	0.515	11	False	9	12	0.817	C6H4BCl2FO2	[M + Br]-	0.872	11.0	0.743	C6H4BBrClFO2	[M + Cl]-	0.128	12.0	0.817	C4H2BrN3O5	[M + Cl]-	0.0	5.0	0.28	C2H6FNO5S2	[M + Br]-	0.0	3.0	0.236	C2H3Cl2N3O5S	[M + Cl]-	0.0	10.0	0.492	C5H6BrNO4S2	[M - H]-	0.0	5.0	0.187	C4H6N3OPS2	[M + Br]-	0.0	3.0	0.236	C4H2IN3O2	[M + Cl]-	0.0	4.0	0.245	C3H6ClNO4S3	[M + Cl]-	0.0	6.0	0.309	C4H2ClN3O5	[M + Br]-	0.0	5.0	0.28	C9H7Br2N	[M - H]-	0.0	1.0	0.0																																																																																																																																																																																																																																	
10671	UNKNOWN	286.113	C10H17N5O5	0.716	11	False	6	7	0.931	C11H13BN6O3	[M - H]-	0.529	6.0	0.931	C13H21NO4S	[M - H]-	0.235	6.0	0.925	C10H17N5O5	[M - H]-	0.198	5.0	0.888	C9H21NO9	[M - H]-	0.027	3.0	0.877	C13H15BN3O4	[M - H]-	0.007	6.0	0.926	C10H17BN4O3	[M + Cl]-	0.004	6.0	0.929	C8H21N5O2S	[M + Cl]-	0.0	7.0	0.912	C13H16BF3O3	[M - H]-	0.0	4.0	0.909	C5H21N9	[M + Br]-	0.0	1.0	0.0	C11H15F2N5O2	[M - H]-	0.0	4.0	0.888	C12H18BFO6	[M - H]-	0.0	2.0	0.832																																																																																																																																																																																																																																	
5548	PoorlyExplained	286.911	C10H5ClO3	0.569	11	False	44	4	0.996	C3H8O7S3	[M + Cl]-	0.994	4.0	0.996	C8H6Cl2O3S	[M + Cl]-	0.006	4.0	0.996	C10H5ClO3	[M + Br]-	0.0	3.0	0.937	C8H7Cl3O3S	[M - H]-	0.0	4.0	0.996	C7H8O2S4	[M + Cl]-	0.0	3.0	0.937	C7H6ClFO4	[M + Br]-	0.0	3.0	0.937	C4H10ClIO2	[M + Cl]-	0.0	3.0	0.937	C6H6O5P2S	[M + Cl]-	0.0	4.0	0.996	C10H6BrClO3	[M - H]-	0.0	3.0	0.937	C5H5N2O4PS2	[M + Cl]-	0.0	3.0	0.937	C10H5BrO3	[M + Cl]-	0.0	3.0	0.937																																																																																																																																																																																																																																	
582	PoorlyExplained	286.912	C10H5ClO3	0.516	10	False	44	4	0.996	C3H8O7S3	[M + Cl]-	0.996	4.0	0.996	C8H6Cl2O3S	[M + Cl]-	0.004	4.0	0.996	C10H5ClO3	[M + Br]-	0.0	3.0	0.939	C10H6BrClO3	[M - H]-	0.0	3.0	0.939	C8H7Cl3O3S	[M - H]-	0.0	4.0	0.996	C4H10ClIO2	[M + Cl]-	0.0	3.0	0.939	C10H5BrO3	[M + Cl]-	0.0	3.0	0.939	C6H6O5P2S	[M + Cl]-	0.0	4.0	0.996	C7H6ClFO4	[M + Br]-	0.0	3.0	0.939	C5H5N2O4PS2	[M + Cl]-	0.0	3.0	0.939																																																																																																																																																																																																																																						
9536	PoorlyExplained	286.949	C7H6F2O6S2	0.959	10	False	9	14	0.639	C7H6F2O6S2	[M - H]-	0.996	12.0	0.58	C5H5F5O4S2	[M - H]-	0.004	12.0	0.563	C4H4N4O7S	[M + Cl]-	0.0	11.0	0.461	C9H4O9S	[M - H]-	0.0	8.0	0.382	C8H6BO6	[M + Br]-	0.0	8.0	0.43	C6H4BF4NO2	[M + Br]-	0.0	11.0	0.528	C6H5FO10S	[M - H]-	0.0	9.0	0.414	C6H6Cl2N4O3	[M + Cl]-	0.0	11.0	0.45	C8H7F3O2S3	[M - H]-	0.0	14.0	0.639	C7H3F3O7S	[M - H]-	0.0	10.0	0.431																																																																																																																																																																																																																																						
1145	UNKNOWN	286.968	C4H4F4N2O6	0.23	10	False	8	6	0.872	C4H4F4N2O6	[M + Cl]-	0.589	5.0	0.811	C6H7BF3NO3	[M + Br]-	0.078	5.0	0.802	C9H6BF2NO2	[M + Br]-	0.064	4.0	0.783	C9H9BrF4O	[M - H]-	0.06	5.0	0.845	C7H8F2O6P2	[M - H]-	0.057	6.0	0.872	C8H7F3O4S2	[M - H]-	0.057	5.0	0.83	C9H8F4O	[M + Br]-	0.033	4.0	0.783	C7H3F3N2O5	[M + Cl]-	0.031	4.0	0.783	C6H9FN2O5	[M + Br]-	0.017	3.0	0.741	C10H6ClFN2O3S	[M - H]-	0.014	6.0	0.858																																																																																																																																																																																																																																						
8882	UNKNOWN	286.997	C7H10F2N2O4S2	1.0	12	False	10	20	0.861	C7H10F2N2O4S2	[M - H]-	1.0	20.0	0.861	C10H9N2O4P	[M + Cl]-	0.0	12.0	0.316	C10H9FN2O3S2	[M - H]-	0.0	17.0	0.376	C9H10N2O5P2	[M - H]-	0.0	15.0	0.788	C9H5FN4O4	[M + Cl]-	0.0	12.0	0.257	C8H10BN2O4	[M + Br]-	0.0	13.0	0.657	C7H5ClF4N4O2	[M - H]-	0.0	17.0	0.356	C9H8N2O7S	[M - H]-	0.0	14.0	0.336	C10H10ClN2O4P	[M - H]-	0.0	16.0	0.761	C7H7F3N2O5S	[M - H]-	0.0	17.0	0.376	C10H6F2N2O4S	[M - H]-	0.0	13.0	0.292	C6H10F2N4O2	[M + Br]-	0.0	14.0	0.262																																																																																																																																																																																																																												
6088	PoorlyExplained	287.01	C9H14F2O3	0.495	10	False	10	7	0.405	C12H13FO2	[M + Br]-	0.375	4.0	0.272	C9H14F2O3	[M + Br]-	0.272	5.0	0.351	C7H14FN2O3PS2	[M - H]-	0.197	7.0	0.405	C9H15BrF2O3	[M - H]-	0.088	5.0	0.351	C9H13BBrNO4	[M - H]-	0.045	6.0	0.277	C9H13ClO6	[M + Cl]-	0.006	4.0	0.224	C9H12BNO4	[M + Br]-	0.006	4.0	0.224	C9H14Cl2O6	[M - H]-	0.004	4.0	0.224	C12H14BrFO2	[M - H]-	0.004	4.0	0.272	C9H14FO3PS	[M + Cl]-	0.003	5.0	0.351																																																																																																																																																																																																																																						
3400	UNKNOWN	287.077	C12H16O8	1.0	12	False	11	6	0.897	C12H16O8	[M - H]-	1.0	6.0	0.897	C13H20O3S2	[M - H]-	0.0	6.0	0.897	C10H25O2P	[M + Br]-	0.0	2.0	0.29	C12H20N2O	[M + Br]-	0.0	2.0	0.29	C9H17BN3O3PS	[M - H]-	0.0	6.0	0.897	C7H16N4O6	[M + Cl]-	0.0	6.0	0.897	C10H18F2O5S	[M - H]-	0.0	6.0	0.897	C11H19F2O2P	[M + Cl]-	0.0	5.0	0.6	C12H18BCl2NO2	[M - H]-	0.0	5.0	0.69	C10H16ClF3N2O2	[M - H]-	0.0	5.0	0.704	C13H12N4O4	[M - H]-	0.0	5.0	0.78	C9H16F3N2O3P	[M - H]-	0.0	5.0	0.704																																																																																																																																																																																																																												
4303	PoorlyExplained	287.982	C10H8FNO4S2	0.921	10	False	12	26	0.731	C10H8FNO4S2	[M - H]-	0.855	23.0	0.437	C5H8N3O7P	[M + Cl]-	0.077	26.0	0.466	C9H7NO8S	[M - H]-	0.061	21.0	0.415	C8H9BNO5	[M + Br]-	0.007	18.0	0.731	C11H7BN2O2	[M + Br]-	0.0	15.0	0.681	C7H6F3NO6S	[M - H]-	0.0	22.0	0.428	C10H9ClNO5P	[M - H]-	0.0	21.0	0.403	C6H8ClN3O6	[M + Cl]-	0.0	20.0	0.387	C10H11NO3S3	[M - H]-	0.0	21.0	0.414	C13H7NO3S2	[M - H]-	0.0	15.0	0.318																																																																																																																																																																																																																																						
8460	UNKNOWN	287.994	C9H12BBrO5	0.824	11	False	10	11	0.981	C9H12BBrO5	[M - H]-	0.81	11.0	0.952	C6H12NO8PS	[M - H]-	0.164	10.0	0.948	C7H11NO7S	[M + Cl]-	0.025	10.0	0.948	C8H7N3O7S	[M - H]-	0.001	10.0	0.967	C5H10F3NO5S	[M + Cl]-	0.0	11.0	0.981	C9H11BO5	[M + Br]-	0.0	10.0	0.515	C9H8N3O4P	[M + Cl]-	0.0	11.0	0.98	C8H4FN5O4	[M + Cl]-	0.0	10.0	0.967	C10H7BN4O	[M + Br]-	0.0	9.0	0.323	C8H12FNO3S2	[M + Cl]-	0.0	10.0	0.948	C10H9Cl2N3O3	[M - H]-	0.0	9.0	0.97																																																																																																																																																																																																																																	
