shared_name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
5062	C10H11N3O5	[M - H]-	0.999	24.226	9	0.916	295_CARA_HILIC_neg_SIRIUS_charge0_removed_5062	-2.357	6.682
11075	C7H14O7	[M - H]-	0.999	22.238	3	1.0	3382_CARA_HILIC_neg_SIRIUS_charge0_removed_11075	-4.67	1.474
6413	C48H87NO9	[M - H]-	0.999	23.782	7	0.689	1110_CARA_HILIC_neg_SIRIUS_charge0_removed_6413	-0.008	8.396
7441	C3H6F2O3S2	[M - H]-	0.999	22.98	6	0.748	14_CARA_HILIC_neg_SIRIUS_charge0_removed_7441	0.178	3.358
745	C10H6Cl2NO3PS	[M + Br]-	0.999	22.633	10	0.921	3783_CARA_HILIC_neg_SIRIUS_charge0_removed_745	-9.483	7.23
1441	C5H10O6	[M - H]-	0.999	22.015	3	0.845	5394_CARA_HILIC_neg_SIRIUS_charge0_removed_1441	-4.615	3.624
2690	C24H39N5O16	[M - H]-	0.999	14.689	7	0.947	1711_CARA_HILIC_neg_SIRIUS_charge0_removed_2690	2.141	2.387
1588	C6H6N2O2	[M - H]-	0.999	18.774	5	0.988	2621_CARA_HILIC_neg_SIRIUS_charge0_removed_1588	2.547	3.182
7486	C16H28N4O12	[M - H]-	0.999	21.489	6	0.928	2504_CARA_HILIC_neg_SIRIUS_charge0_removed_7486	-1.276	4.942
2816	C8H9FO4	[M - H]-	0.999	21.425	5	0.979	1519_CARA_HILIC_neg_SIRIUS_charge0_removed_2816	5.29	7.82
4810	C15H22O17	[M - H]-	0.999	17.665	5	0.961	5284_CARA_HILIC_neg_SIRIUS_charge0_removed_4810	-0.26	6.908
6359	C23H34O5	[M - H]-	0.999	17.912	3	0.73	2007_CARA_HILIC_neg_SIRIUS_charge0_removed_6359	-1.407	2.892
3255	C20H32O5	[M - H]-	0.999	19.117	4	0.884	1817_CARA_HILIC_neg_SIRIUS_charge0_removed_3255	2.569	3.009
2312	C14H30O5S	[M - H]-	0.999	14.718	6	0.961	2259_CARA_HILIC_neg_SIRIUS_charge0_removed_2312	1.557	2.692
1703	C44H87NO6	[M - H]-	0.999	19.398	6	0.931	3642_CARA_HILIC_neg_SIRIUS_charge0_removed_1703	2.673	6.694
6111	C16H29N3O4	[M - H]-	0.999	15.551	7	0.41	505_CARA_HILIC_neg_SIRIUS_charge0_removed_6111	-4.69	4.984
3694	C13H19N3O5S3	[M - H4O2 - H]-	0.999	17.943	9	0.996	5053_CARA_HILIC_neg_SIRIUS_charge0_removed_3694	-101175.26	3.516
8664	C21H36N4O4	[M - H]-	0.999	15.266	5	0.428	3447_CARA_HILIC_neg_SIRIUS_charge0_removed_8664	-7.315	5.172
2363	C27H57NO4	[M - H]-	0.999	10.978	4	0.942	604_CARA_HILIC_neg_SIRIUS_charge0_removed_2363	-0.835	3.949
996	C2H4ClF3O3S	[M + Cl]-	0.999	17.033	5	1.0	161_CARA_HILIC_neg_SIRIUS_charge0_removed_996	-1.612	1.78
2726	C20H32O5	[M - H]-	0.999	15.06	6	0.266	2658_CARA_HILIC_neg_SIRIUS_charge0_removed_2726	7.125	2.831
