rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	ionMass	retentionTimeInSeconds	id
5235	C6H3Cl4N3O3	[M - H]-	C6H3Cl4N3O3	0.16080402010050254	-0.7379356431015631	-0.7379356431015631	0.0	1	0.0	-1.5171014137776884	1.5171014137776884	-0.9056835241940969	303.8853	96.547	3861_CARA_HILIC_neg_SIRIUS_charge0_removed_2187
5236	C54H64	[M + Br]-	C54H64	0.16080402010050251	5.8608505653261584	5.8608505653261584	0.0	1	0.0	-1.6353401194257196	1.6353401194257196	-2.0061809420275494	791.4181	83.796	91_CARA_HILIC_neg_SIRIUS_charge0_removed_9500
5237	C37H49N9O14	[M - H]-	C37H49N9O14	0.1608040201005025	10.14475177547394	7.289520662004478	2.855231113469462	2	1.0	-4.946189348985848	4.946189348985848	-5.248305719039538	842.3282	163.067	1060_CARA_HILIC_neg_SIRIUS_charge0_removed_10571
5238	C50H44O3	[M - H]-	C50H44O3	0.16030150753768846	5.810088550405336	5.810088550405336	0.0	1	0.0	2.1850923361358983	2.1850923361358983	2.2148596620353476	691.3233	78.236	3546_CARA_HILIC_neg_SIRIUS_charge0_removed_4363
5239	C27H47N5O13	[M - H]-	C27H47N5O13	0.15929648241206032	16.626713444737113	16.626713444737113	0.0	8	0.9248413915670464	2.928842207644617	3.9653962420895787	9.77900763310549	648.3161	75.537	3014_CARA_HILIC_neg_SIRIUS_charge0_removed_4704
5240	C27H44F3N3O2	[M - H]-	C27H44F3N3O2	0.15929648241206032	16.098573890288684	16.098573890288684	0.0	5	0.8182608767988575	-2.0752145919623968	4.804504582875902	5.045100473870848	498.3338	110.444	393_CARA_HILIC_neg_SIRIUS_charge0_removed_8698
5241	C34H26N10O13S3	[M + Br]-	C34H26N10O13S3	0.15879396984924624	1.7036038759914771	1.7036038759914771	0.0	4	0.8630348578494187	-3.146797262105785	6.430282820180598	7.544774947681612	957.0104	194.55	2654_CARA_HILIC_neg_SIRIUS_charge0_removed_4052
5242	C47H40O2	[M + Cl]-	C47H40O2	0.15829145728643218	5.927217958935572	5.927217958935572	0.0	1	0.0	-0.8809211049459678	0.8809211049459678	-0.49425562041555765	671.2719	81.203	3279_CARA_HILIC_neg_SIRIUS_charge0_removed_3024
5243	C44H48O14	[M + Cl]-	C44H48O14	0.15829145728643218	5.906426403091179	5.906426403091179	0.0	1	0.0	1.1219222677942227	1.1219222677942227	1.7868648703275225	835.2753	77.538	2686_CARA_HILIC_neg_SIRIUS_charge0_removed_1652
5244	C10H8N2O4S6	[M + Br]-	C10H8N2O4S6	0.15829145728643218	0.9221800026048488	0.9221800026048488	0.0	4	0.6075202055984827	6.0351706796244216	6.0351706796244216	3.629948340640073	490.8015	175.708	1544_CARA_HILIC_neg_SIRIUS_charge0_removed_207
