FAMILY_ID	row_id	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X960398	398		Dn, < 0.01		Dn, < 0.001										Dn, < 0.01
X960401	401	Dn, < 0.1									Dn, < 0.1		Dn, < 0.1		
X960403	403														Dn, < 0.1
X960404	404	Dn, < 0.1	Up, < 0.1		Up, < 0.1		Dn, < 0.1							Dn, < 0.01	
X960408	408											Up, < 0.1			
X960411	411						Up, < 0.01	Up, < 0.1	Up, < 0.01		Up, < 0.01			Dn, < 0.1	
X960412	412								Up, < 0.1						
X960414	414					Up, < 0.1					Dn, < 0.1		Dn, < 0.1		
X960419	419			Dn, < 0.1	Up, < 0.1			Dn, < 0.1							
X960423	423								Up, < 0.1						
X960425	425	Up, < 0.1		Up, < 0.01			Up, < 0.01	Up, < 0.1	Up, < 0.01		Up, < 0.01				
X960426	426					Up, < 0.1									
X960428	428					Up, < 0.01									
X960430	430					Up, < 0.1			Up, < 0.1				Dn, < 0.1		
X960431	431			Up, < 0.1					Up, < 0.1						Dn, < 0.1
X960439	439					Up, < 0.1								Dn, < 0.1	
X960445	445					Up, < 0.1									
X960446	446			Dn, < 0.1											
X960447	447		Up, < 0.01		Up, < 0.01										Up, < 0.1
X960452	452		Up, < 0.1		Up, < 0.1	Dn, < 0.1									Up, < 0.1
X960463	463					Dn, < 0.01									
X960480	480					Up, < 0.1				Up, < 0.1					
X960481	481			Up, < 0.1											
X960483	483					Up, < 0.01			Up, < 0.1						
X960485	485					Up, < 0.001									
X960490	490		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1							Dn, < 0.01	Dn, < 0.01
X960494	494		Dn, < 0.1		Dn, < 0.1		Dn, < 0.001	Dn, < 0.001	Dn, < 0.001		Dn, < 0.01				
X960496	496					Up, < 0.01									
X960501	501					Dn, < 0.1									
X960513	513	Up, < 0.1		Up, < 0.1		Up, < 0.1									
X960516	516		Up, < 0.1		Up, < 0.1	Dn, < 0.1			Dn, < 0.1	Dn, < 0.1					
X960529	529					Up, < 0.1									
X960538	538				Dn, < 0.1	Up, < 0.01									Dn, < 0.1
X960542	542												Up, < 0.1		
X960544	544													Dn, < 0.1	
X960550	550		Up, < 0.1		Up, < 0.1			Up, < 0.1		Dn, < 0.1					
X960551	551	Dn, < 0.1		Dn, < 0.1										Dn, < 0.01	
X960553	553					Up, < 0.1	Up, < 0.1		Up, < 0.1						
X960557	557	Dn, < 0.1		Dn, < 0.1								Up, < 0.1	Up, < 0.1		
X960575	575		Up, < 0.1		Up, < 0.1										
X960577	577					Up, < 0.1						Dn, < 0.1			
X960592	592		Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.1				Dn, < 0.1	Dn, < 0.1	Dn, < 0.1	Dn, < 0.1	Dn, < 0.01
X960596	596					Up, < 0.1					Up, < 0.1		Up, < 0.1		
X960611	611									Up, < 0.1					
X960612	612	Up, < 0.1		Up, < 0.1											Dn, < 0.1
X960632	632					Up, < 0.1									
X960635	635		Dn, < 0.01		Dn, < 0.01	Up, < 0.01									Dn, < 0.01
X960636	636		Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.1									Dn, < 0.001
X960639	639														Dn, < 0.1
X960651	651	Up, < 0.1												Up, < 0.1	
X960659	659			Up, < 0.1			Dn, < 0.1								
X960666	666	Dn, < 0.1		Dn, < 0.1		Up, < 0.1									
X960667	667	Dn, < 0.1													
X960672	672														Dn, < 0.1
X960673	673								Dn, < 0.1					Up, < 0.01	
X960692	692						Up, < 0.1		Up, < 0.001	Up, < 0.1			Dn, < 0.1		
X960693	693		Up, < 0.01	Dn, < 0.1	Up, < 0.01		Dn, < 0.001	Dn, < 0.001	Dn, < 0.1		Dn, < 0.01				
X960712	712													Dn, < 0.01	
X960719	719		Up, < 0.1		Up, < 0.1						Up, < 0.1				
X960720	720		Dn, < 0.1	Up, < 0.1	Dn, < 0.1			Dn, < 0.1			Up, < 0.1	Up, < 0.01			
X960726	726														Up, < 0.1
X960743	743										Up, < 0.1	Up, < 0.1	Up, < 0.1	Dn, < 0.01	
X960748	748					Up, < 0.01									Dn, < 0.1
X960751	751			Up, < 0.1		Up, < 0.1	Dn, < 0.1								
X960764	764						Dn, < 0.1	Dn, < 0.1							
X960788	788	Dn, < 0.1		Dn, < 0.1											
X960793	793													Dn, < 0.1	
X960795	795								Up, < 0.1						
X960796	796					Up, < 0.1									
X960803	803		Up, < 0.01	Dn, < 0.1	Up, < 0.01	Dn, < 0.01									
X960807	807		Up, < 0.1		Up, < 0.1	Dn, < 0.1									
X960837	837		Dn, < 0.1	Up, < 0.1	Dn, < 0.1										Dn, < 0.1
X960843	843								Dn, < 0.1				Up, < 0.1		
X960851	851					Dn, < 0.1									
X960857	857													Dn, < 0.1	
X960865	865	Dn, < 0.1												Dn, < 0.1	
X960870	870	Dn, < 0.1					Up, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1			Dn, < 0.1	
X960875	875										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		
X960883	883		Up, < 0.01		Up, < 0.01		Up, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.01			Dn, < 0.1	
X960892	892					Dn, < 0.1									Dn, < 0.1
X960894	894						Up, < 0.1	Up, < 0.1							
X960910	910						Up, < 0.1				Up, < 0.1		Up, < 0.1		
X960911	911								Up, < 0.001	Up, < 0.1			Dn, < 0.1		
X960920	920								Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X960934	934		Up, < 0.1		Up, < 0.1		Dn, < 0.1				Dn, < 0.1				
X960943	943	Dn, < 0.001		Dn, < 0.001							Up, < 0.1				
X960944	944						Up, < 0.1				Up, < 0.001	Up, < 0.01	Up, < 0.1		
X960969	969	Up, < 0.1													
X960972	972						Dn, < 0.1				Dn, < 0.1		Dn, < 0.1	Dn, < 0.1	
X960981	981													Up, < 0.1	
X960991	991							Dn, < 0.1		Up, < 0.1					
X960998	998	Dn, < 0.1												Dn, < 0.1	
X961035	1035													Up, < 0.1	
X961092	1092	Up, < 0.1							Dn, < 0.1	Dn, < 0.1					
X961096	1096		Up, < 0.1		Up, < 0.1	Up, < 0.1						Up, < 0.1	Up, < 0.1		
X961105	1105								Up, < 0.1			Dn, < 0.1	Dn, < 0.1		
X961124	1124	Up, < 0.1				Up, < 0.01									
X961128	1128														Dn, < 0.1
X961177	1177	Up, < 0.1													
X961180	1180							Dn, < 0.1		Up, < 0.1					
X961193	1193						Dn, < 0.1		Dn, < 0.1						
X961214	1214			Dn, < 0.1	Up, < 0.1						Up, < 0.1				
X961221	1221		Up, < 0.1		Up, < 0.1				Up, < 0.1						
X961242	1242										Up, < 0.1		Up, < 0.1		
X961243	1243		Up, < 0.01		Up, < 0.01										Up, < 0.01
X961246	1246					Up, < 0.1						Dn, < 0.1			Dn, < 0.1
X961263	1263		Up, < 0.1		Up, < 0.1										
X961321	1321		Dn, < 0.01		Dn, < 0.01	Up, < 0.1									Dn, < 0.01
X961325	1325						Dn, < 0.1								
X961339	1339	Dn, < 0.1		Dn, < 0.1				Up, < 0.1						Dn, < 0.1	Dn, < 0.1
X961365	1365		Dn, < 0.1		Dn, < 0.1	Up, < 0.01									Dn, < 0.01
X961417	1417													Dn, < 0.1	
X961434	1434					Up, < 0.1	Dn, < 0.1				Dn, < 0.1				Dn, < 0.1
X961553	1553													Up, < 0.1	
X961634	1634										Dn, < 0.1				
X961684	1684	Dn, < 0.1				Up, < 0.1									
X961738	1738						Up, < 0.1	Up, < 0.1							
X961809	1809					Up, < 0.01	Up, < 0.1		Up, < 0.01						
X970002	2		Dn, < 0.1		Dn, < 0.01	Up, < 0.1									Dn, < 0.1
X970007	7					Dn, < 0.1									
X970008	8		Up, < 0.1		Up, < 0.1										
X970010	10		Dn, < 0.1		Dn, < 0.1	Up, < 0.001									Dn, < 0.1
X970011	11					Dn, < 0.1			Dn, < 0.1						Up, < 0.1
X970013	13					Up, < 0.01									
X970015	15	Up, < 0.001		Up, < 0.01				Dn, < 0.01		Up, < 0.1		Up, < 0.1			
X970016	16							Dn, < 0.1				Up, < 0.1			
X970018	18			Up, < 0.1											Dn, < 0.1
X970022	22		Up, < 0.1		Up, < 0.1										Up, < 0.1
X970024	24		Dn, < 0.1		Dn, < 0.1	Up, < 0.01									
X970027	27						Dn, < 0.1								Dn, < 0.1
X970029	29						Up, < 0.001	Up, < 0.01	Up, < 0.001		Up, < 0.001				
X970031	31					Up, < 0.1									
X970032	32		Dn, < 0.1		Dn, < 0.1										
X970033	33					Up, < 0.01	Dn, < 0.1							Dn, < 0.1	
X970034	34	Dn, < 0.1		Dn, < 0.01											
X970035	35					Up, < 0.1									
X970037	37					Up, < 0.1									
X970038	38					Up, < 0.01									
X970039	39		Dn, < 0.1		Dn, < 0.1	Up, < 0.01									Dn, < 0.1
X970040	40					Up, < 0.001									
X970042	42						Up, < 0.1		Up, < 0.01						
X970044	44					Up, < 0.01									
X970045	45								Up, < 0.1	Up, < 0.1					
X970050	50		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.01									
X970051	51		Up, < 0.1		Up, < 0.1										
X970052	52					Up, < 0.001									
X970055	55		Dn, < 0.01		Dn, < 0.01						Dn, < 0.01	Dn, < 0.1	Dn, < 0.01		
X970057	57	Up, < 0.1													
X970065	65								Up, < 0.1			Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X970067	67					Up, < 0.1									
X970071	71							Up, < 0.1							
X970072	72			Dn, < 0.1				Up, < 0.1				Dn, < 0.1			
X970078	78					Dn, < 0.1	Up, < 0.1								
X970079	79													Up, < 0.1	
X970084	84		Dn, < 0.1		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Dn, < 0.1	Up, < 0.1	Up, < 0.01			Dn, < 0.1		Dn, < 0.1
X970085	85										Up, < 0.1			Dn, < 0.1	
X970086	86					Up, < 0.1									
X970088	88		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X970089	89	Up, < 0.1		Up, < 0.1				Dn, < 0.1							
X970092	92	Up, < 0.1												Up, < 0.1	
X970093	93					Up, < 0.1								Up, < 0.1	
X970094	94		Dn, < 0.01	Up, < 0.01	Dn, < 0.01	Up, < 0.01	Dn, < 0.1	Dn, < 0.1		Up, < 0.1	Dn, < 0.01		Dn, < 0.01		Dn, < 0.01
X970095	95					Up, < 0.01									
X970097	97					Up, < 0.1			Dn, < 0.1						Up, < 0.1
X970099	99					Dn, < 0.1									
X970100	100							Dn, < 0.1		Up, < 0.1					
X970102	102														Dn, < 0.1
X970106	106			Up, < 0.1		Up, < 0.1	Dn, < 0.1	Dn, < 0.01		Up, < 0.01					
X970109	109					Up, < 0.1									
X970112	112					Up, < 0.1									
X970113	113													Up, < 0.1	
X970118	118		Dn, < 0.1		Dn, < 0.1	Up, < 0.001									Dn, < 0.1
X970120	120					Dn, < 0.1									
X970121	121						Dn, < 0.01		Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Dn, < 0.1	
X970125	125			Up, < 0.1		Up, < 0.1			Up, < 0.1				Dn, < 0.1		
X970128	128					Up, < 0.1									
X970129	129					Up, < 0.01									Dn, < 0.1
X970130	130		Up, < 0.1		Up, < 0.1										
X970134	134								Up, < 0.1					Dn, < 0.1	
X970135	135	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1										
X970146	146												Up, < 0.1		
X970152	152						Up, < 0.1		Up, < 0.1		Up, < 0.1				
X970154	154					Up, < 0.1									
X970156	156					Dn, < 0.1									Up, < 0.01
X970160	160					Dn, < 0.01									
X970161	161							Up, < 0.1							
X970165	165						Dn, < 0.1		Dn, < 0.1						Dn, < 0.1
X970166	166		Dn, < 0.01	Up, < 0.1	Dn, < 0.001	Up, < 0.01		Dn, < 0.1		Up, < 0.1					Dn, < 0.1
X970177	177					Up, < 0.001									Dn, < 0.1
X970180	180		Dn, < 0.1		Dn, < 0.1	Up, < 0.1			Up, < 0.1				Dn, < 0.1		Dn, < 0.1
X970185	185			Up, < 0.1					Up, < 0.1	Up, < 0.1					
X970194	194								Dn, < 0.1				Up, < 0.1		
X970197	197		Dn, < 0.1		Dn, < 0.1	Dn, < 0.1									
X970199	199		Dn, < 0.01		Dn, < 0.01										Dn, < 0.1
X970206	206					Up, < 0.01									
X970207	207		Up, < 0.1		Up, < 0.1										
X970209	209														Up, < 0.1
X970216	216					Up, < 0.1	Dn, < 0.1		Dn, < 0.01				Up, < 0.1		
X970221	221		Up, < 0.1		Up, < 0.1	Up, < 0.1		Dn, < 0.1	Dn, < 0.1			Up, < 0.1	Up, < 0.1		
X970225	225		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X970226	226					Up, < 0.01									
X970227	227	Dn, < 0.1							Up, < 0.1				Dn, < 0.1	Dn, < 0.1	
X970228	228		Up, < 0.1		Up, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1			Dn, < 0.1	
X970232	232					Up, < 0.1									
X970236	236					Up, < 0.01									
X970240	240						Dn, < 0.1								Dn, < 0.1
X970250	250		Up, < 0.01		Up, < 0.01									Up, < 0.1	
X970251	251	Up, < 0.1		Up, < 0.1											Dn, < 0.1
X970254	254					Dn, < 0.1	Up, < 0.1				Up, < 0.1				
X970257	257					Up, < 0.01									
X970268	268					Dn, < 0.1									
X970269	269								Up, < 0.1	Up, < 0.1					
X970271	271					Up, < 0.01									
X970277	277		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.01				Up, < 0.1			Dn, < 0.1		Dn, < 0.1
X970283	283						Up, < 0.1								
X970288	288								Up, < 0.1				Dn, < 0.1		
X970299	299		Dn, < 0.1		Dn, < 0.1						Dn, < 0.01		Dn, < 0.01		
X970307	307														Dn, < 0.1
X970312	312		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1								Up, < 0.1	Dn, < 0.1
X970323	323					Up, < 0.1									
X970325	325		Up, < 0.1		Up, < 0.1		Dn, < 0.1		Dn, < 0.01		Dn, < 0.1				
X970327	327		Up, < 0.1		Up, < 0.1	Up, < 0.1									
X970338	338		Up, < 0.1		Up, < 0.1									Dn, < 0.1	
X970342	342	Up, < 0.1							Dn, < 0.1					Up, < 0.1	Up, < 0.1
X970343	343		Up, < 0.1		Up, < 0.1										Up, < 0.1
X970346	346			Dn, < 0.1			Up, < 0.01	Up, < 0.01	Up, < 0.1		Up, < 0.01				Dn, < 0.1
X970349	349	Up, < 0.1													
X970350	350					Up, < 0.01			Up, < 0.1				Dn, < 0.1		
X970359	359					Up, < 0.001									
X970361	361						Dn, < 0.1		Dn, < 0.1						
X970375	375					Up, < 0.001									
X970380	380		Up, < 0.01		Up, < 0.001	Dn, < 0.1									
X970389	389	Dn, < 0.1												Dn, < 0.1	
X970393	393						Dn, < 0.1							Dn, < 0.1	
X970411	411					Up, < 0.1									
X970412	412					Up, < 0.001									Dn, < 0.1
X970414	414					Up, < 0.1		Dn, < 0.1	Up, < 0.01	Up, < 0.001	Dn, < 0.1		Dn, < 0.001		
X970425	425								Up, < 0.1						
X970454	454		Dn, < 0.1		Dn, < 0.1	Up, < 0.01									Dn, < 0.1
X970472	472		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.01	Dn, < 0.1								Dn, < 0.01
X970474	474												Dn, < 0.1		
X970480	480	Up, < 0.1		Up, < 0.1											
X970482	482						Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1				Up, < 0.1
X970497	497					Up, < 0.1									
X970502	502	Up, < 0.1		Up, < 0.1										Up, < 0.1	
X970504	504		Up, < 0.1		Up, < 0.1						Up, < 0.1	Up, < 0.1	Up, < 0.1		
X970509	509					Up, < 0.01									
X970512	512					Up, < 0.01			Up, < 0.1						
X970515	515	Up, < 0.1		Up, < 0.1											
X970517	517			Dn, < 0.1											Up, < 0.1
X970519	519					Up, < 0.1							Dn, < 0.1		
X970522	522	Dn, < 0.1				Up, < 0.001									
X970524	524			Up, < 0.1		Up, < 0.1									
X970533	533		Up, < 0.1			Up, < 0.01						Up, < 0.1	Up, < 0.1	Up, < 0.1	
X970536	536		Dn, < 0.1		Dn, < 0.1										
X970543	543		Dn, < 0.01		Dn, < 0.01								Dn, < 0.1		Dn, < 0.01
X970549	549					Dn, < 0.01									
X970563	563												Dn, < 0.1		Dn, < 0.1
X970573	573		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X970587	587		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X970599	599	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1						Dn, < 0.1				
X970625	625	Dn, < 0.1		Dn, < 0.01											
X970638	638	Up, < 0.1		Up, < 0.01		Up, < 0.1									
X970649	649	Up, < 0.1											Up, < 0.1		
X970659	659								Dn, < 0.1						
X970663	663					Up, < 0.01			Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X970664	664				Up, < 0.1										
X970677	677													Dn, < 0.1	
X970680	680								Dn, < 0.1					Up, < 0.1	
X970687	687	Up, < 0.1		Up, < 0.1		Up, < 0.1								Up, < 0.1	
X970688	688	Up, < 0.1		Up, < 0.1				Dn, < 0.01	Up, < 0.1	Up, < 0.01			Dn, < 0.1		
X970706	706										Up, < 0.1		Up, < 0.1		
X970717	717														Dn, < 0.1
X970731	731			Up, < 0.1		Up, < 0.01									Dn, < 0.1
X970732	732					Dn, < 0.1							Up, < 0.1		
X970737	737					Up, < 0.01	Up, < 0.1		Up, < 0.1						
X970745	745						Up, < 0.1				Up, < 0.1				
X970784	784														Up, < 0.1
X970791	791					Dn, < 0.1						Dn, < 0.1	Dn, < 0.1		
X970813	813					Up, < 0.01									
X970860	860	Dn, < 0.1				Up, < 0.1									
X970932	932					Up, < 0.001									
X970960	960	Dn, < 0.1													
