FAMILY_ID	row_id	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X950280	280								Dn, < 0.1						
X950281	281								Dn, < 0.1				Up, < 0.1		
X950283	283	Dn, < 0.1													
X950287	287					Up, < 0.1									Dn, < 0.1
X950288	288						Dn, < 0.1	Dn, < 0.01			Dn, < 0.1				
X950296	296								Up, < 0.1						
X950297	297														Up, < 0.1
X950300	300						Up, < 0.1		Up, < 0.1						
X950302	302								Up, < 0.01	Up, < 0.1			Dn, < 0.01		
X950313	313													Dn, < 0.1	
X950314	314										Dn, < 0.1	Dn, < 0.1			
X950319	319											Up, < 0.1	Up, < 0.1	Dn, < 0.1	
X950321	321													Up, < 0.1	Dn, < 0.1
X950322	322					Up, < 0.1	Dn, < 0.1			Up, < 0.1					Dn, < 0.01
X950329	329					Dn, < 0.1		Dn, < 0.1	Dn, < 0.1						
X950331	331	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1									Up, < 0.1
X950333	333								Dn, < 0.1	Dn, < 0.1					
X950348	348					Up, < 0.01								Dn, < 0.1	
X950353	353	Dn, < 0.001	Up, < 0.1	Dn, < 0.001	Up, < 0.1									Dn, < 0.1	
X950358	358	Up, < 0.1				Up, < 0.1									Up, < 0.01
X950359	359					Up, < 0.1									Dn, < 0.1
X950360	360	Up, < 0.1				Up, < 0.1									Dn, < 0.1
X950361	361										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X950383	383			Dn, < 0.1			Up, < 0.1				Up, < 0.1				
X950390	390	Dn, < 0.1							Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X950391	391					Dn, < 0.1									
X950392	392					Up, < 0.1									
X950396	396	Up, < 0.1													Up, < 0.1
X950400	400							Up, < 0.1		Dn, < 0.1					
X950406	406				Dn, < 0.1	Up, < 0.01	Dn, < 0.1								
X950409	409							Dn, < 0.1		Up, < 0.1		Up, < 0.1			
X950425	425			Up, < 0.1					Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X950428	428				Dn, < 0.1	Up, < 0.01		Dn, < 0.1		Up, < 0.1					
X950430	430			Dn, < 0.1			Up, < 0.1				Up, < 0.1		Up, < 0.1		Up, < 0.1
X950432	432					Dn, < 0.1									
X950434	434	Up, < 0.1								Up, < 0.1			Dn, < 0.1		
X950466	466					Up, < 0.1					Up, < 0.1				Dn, < 0.1
X950474	474									Up, < 0.1			Dn, < 0.1		
X950477	477	Dn, < 0.1									Dn, < 0.1		Dn, < 0.1		
X950478	478						Dn, < 0.1		Dn, < 0.1				Up, < 0.1		
X950483	483		Dn, < 0.1		Dn, < 0.1										
X950484	484									Dn, < 0.1					
X950485	485	Up, < 0.1													
X950490	490								Dn, < 0.01	Dn, < 0.01			Up, < 0.1	Up, < 0.1	
X950491	491	Dn, < 0.01	Up, < 0.1	Dn, < 0.1										Dn, < 0.01	Up, < 0.1
X950503	503	Dn, < 0.1		Dn, < 0.1										Dn, < 0.1	Up, < 0.1
X950504	504							Dn, < 0.01		Up, < 0.1		Up, < 0.01			
X950509	509							Dn, < 0.1				Up, < 0.1			
X950512	512	Dn, < 0.1		Dn, < 0.1		Up, < 0.1		Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1	Dn, < 0.1	
X950516	516		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1								
X950517	517	Up, < 0.1							Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X950521	521	Up, < 0.1													
X950525	525	Dn, < 0.1													
X950528	528						Dn, < 0.1		Dn, < 0.1				Up, < 0.1		
X950535	535						Dn, < 0.1		Dn, < 0.1		Dn, < 0.1				
X950536	536					Up, < 0.1			Up, < 0.1						
X950545	545					Up, < 0.1	Dn, < 0.1							Dn, < 0.01	
X950548	548								Dn, < 0.1						
X950550	550						Dn, < 0.1								Dn, < 0.1
X950557	557												Up, < 0.1		
X950559	559													Up, < 0.1	
X950563	563					Dn, < 0.1	Dn, < 0.1		Dn, < 0.01				Up, < 0.1		
X950564	564						Dn, < 0.1		Dn, < 0.1						
X950570	570					Up, < 0.1					Up, < 0.1		Up, < 0.1		
X950571	571													Dn, < 0.1	
X950572	572	Dn, < 0.01	Up, < 0.1	Dn, < 0.001	Up, < 0.1	Dn, < 0.1			Up, < 0.1						Up, < 0.1
X950579	579					Dn, < 0.1							Up, < 0.1		Up, < 0.1
X950584	584										Dn, < 0.1		Dn, < 0.01		
X950592	592	Dn, < 0.1		Dn, < 0.01		Up, < 0.1					Up, < 0.1			Dn, < 0.1	
X950593	593								Up, < 0.001	Up, < 0.1			Dn, < 0.1		
X950594	594	Dn, < 0.1							Dn, < 0.01				Up, < 0.01		
X950602	602					Up, < 0.01			Up, < 0.1						
X950611	611	Dn, < 0.1		Dn, < 0.1										Dn, < 0.1	
X950613	613	Dn, < 0.1					Dn, < 0.1	Dn, < 0.01				Up, < 0.1		Dn, < 0.1	Dn, < 0.1
X950618	618			Dn, < 0.1		Dn, < 0.1									
X950632	632	Up, < 0.1				Up, < 0.1	Up, < 0.1		Up, < 0.01	Up, < 0.1			Dn, < 0.1		
X950633	633										Up, < 0.1				
X950637	637	Dn, < 0.1		Dn, < 0.01		Dn, < 0.001				Dn, < 0.1					
X950638	638													Dn, < 0.1	
X950641	641		Dn, < 0.1		Dn, < 0.01	Up, < 0.1	Dn, < 0.1				Dn, < 0.1		Dn, < 0.1	Dn, < 0.1	Dn, < 0.1
X950642	642		Dn, < 0.1		Dn, < 0.1	Up, < 0.01	Dn, < 0.1	Dn, < 0.1		Up, < 0.1					
X950645	645								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X950649	649						Dn, < 0.1								
X950653	653					Up, < 0.1									
X950655	655					Up, < 0.01									
X950657	657					Dn, < 0.1									
X950668	668					Dn, < 0.1									
X950675	675						Dn, < 0.1							Dn, < 0.1	
X950677	677		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X950680	680								Dn, < 0.1						
X950687	687	Up, < 0.1		Up, < 0.1										Up, < 0.01	
X950695	695		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X950696	696					Dn, < 0.01								Dn, < 0.1	
X950705	705					Dn, < 0.1									
X950714	714										Dn, < 0.1			Up, < 0.01	
X950726	726	Up, < 0.1													
X950732	732					Up, < 0.01									
X950752	752										Up, < 0.1				Up, < 0.1
X950757	757					Dn, < 0.1								Dn, < 0.1	
X950759	759					Up, < 0.001									
X950766	766	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1										Up, < 0.1
X950769	769						Up, < 0.1	Up, < 0.1	Up, < 0.01					Dn, < 0.1	
X950784	784			Dn, < 0.1							Up, < 0.1				
X950789	789					Up, < 0.1			Up, < 0.1	Up, < 0.1	Up, < 0.1	Up, < 0.1		Dn, < 0.1	
X950796	796								Dn, < 0.1				Up, < 0.1		
X950798	798			Dn, < 0.1			Up, < 0.1								
X950799	799												Up, < 0.1	Up, < 0.1	
X950803	803	Dn, < 0.1													
X950809	809		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1							Dn, < 0.1	
X950810	810					Up, < 0.1									
X950813	813					Up, < 0.1			Up, < 0.1					Dn, < 0.1	
X950816	816		Up, < 0.1	Up, < 0.1	Up, < 0.1										
X950827	827		Up, < 0.1		Up, < 0.1										Up, < 0.1
X950838	838	Up, < 0.1					Dn, < 0.1		Dn, < 0.1						
X950841	841					Dn, < 0.1									
X950845	845		Dn, < 0.1		Dn, < 0.1	Up, < 0.001	Dn, < 0.01	Dn, < 0.1		Up, < 0.1				Dn, < 0.1	Dn, < 0.1
X950846	846	Dn, < 0.1													
X950851	851	Up, < 0.1		Up, < 0.1					Dn, < 0.1				Up, < 0.1	Up, < 0.1	Dn, < 0.1
X950859	859	Up, < 0.001		Up, < 0.01											
X950860	860	Up, < 0.1				Dn, < 0.1			Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X950869	869	Up, < 0.1		Up, < 0.1										Up, < 0.1	
X950873	873		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1								
X950904	904													Dn, < 0.1	
X950906	906		Up, < 0.1		Up, < 0.1										
X950911	911					Up, < 0.01									
X950921	921						Up, < 0.1		Up, < 0.1						
X950925	925						Dn, < 0.1								
X950929	929	Up, < 0.1							Up, < 0.1	Up, < 0.1					
X950966	966	Up, < 0.1							Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X950968	968		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X950987	987														Dn, < 0.1
