FAMILY_ID	row_id	p_value|base|sebum	p_value|base|skicon	p_value|groups|oily-norm	p_value|groups|skicon	p_value|oily|exfol	p_value|oily|F-B	p_value|oily|F-B|A	p_value|oily|F-B|B	p_value|oily|F-B|B-A	p_value|oily|F-B|C	p_value|oily|F-B|C-A	p_value|oily|F-B|C-B	p_value|oily|sebum	p_value|oily|skicon
X950069	69	0.179	0.262	0.136	0.269	0.767	0.126	0.984	0.018	0.124	0.935	0.965	0.135	0.633	0.645
X950070	70	0.13	0.339	0.875	0.254	0.591	0.21	0.903	0.851	0.978	0.394	0.604	0.593	0.313	0.432
X950071	71	0.051	0.114	0.05	0.127	0.05	0.17	0.658	0.226	0.655	0.929	0.707	0.395	0.598	0.261
X950073	73	0.488	0.436	0.659	0.407	0.181	0.135	0.034	0.219	0.384	0.134	0.012	0.055	0.547	0.517
X950074	74	0.961	0.005	0.404	0.004	0.808	0.219	0.922	0.625	0.81	0.536	0.711	0.872	0.515	0.036
X950077	77	0.978	0.214	0.807	0.201	0.091	0.926	0.658	0.093	0.448	0.048	0.086	0.011	0.714	0.422
X950078	78	0.93	0.171	0.467	0.147	0.012	0.167	0.949	0.243	0.421	0.613	0.687	0.712	0.523	0.359
X950079	79	0.052	0.479	0.133	0.417	0.076	0.088	0.897	0.09	0.315	0.231	0.347	0.047	0.029	0.198
X950080	80	0.595	0.113	0.093	0.083	0.071	0.003	0.002	0.027	0.311	0.074	0.318	0.945	0.59	0.483
X950083	83	0.095	0.304	0.251	0.362	0.011	0.446	0.972	0.881	0.945	0.66	0.736	0.665	0.081	0.956
X950085	85	0.404	0.731	0.893	0.812	0.601	0.699	0.646	0.287	0.3	0.262	0.635	0.125	0.56	0.649
X950086	86	0.732	0.037	0.531	0.034	0.015	0.758	0.587	0.609	0.457	0.686	0.921	0.523	0.909	0.043
X950088	88	0.356	0.754	0.611	0.812	0.009	0.664	0.848	0.926	0.931	0.961	0.92	0.982	0.199	0.981
X950089	89	0.017	0.476	0.038	0.55	0.989	0.849	0.783	0.089	0.19	0.258	0.32	0.808	0.074	0.731
X950091	91	0.516	0.747	0.604	0.773	0.216	0.9	0.398	0.29	0.187	0.954	0.523	0.522	0.91	0.871
X950094	94	0.82	0.806	0.707	0.864	0.66	0.089	0.168	0.427	0.58	0.324	0.097	0.208	0.23	0.056
X950095	95	0.204	0.185	0.459	0.222	0.348	0.51	0.382	0.816	0.601	0.316	0.927	0.534	0.602	0.911
X950096	96	0.625	0.282	0.858	0.303	0.119	0.803	0.799	0.962	0.821	0.366	0.413	0.508	0.872	0.756
X950099	99	0.516	0.922	0.108	0.851	0.477	0.117	0.855	0.692	0.693	0.044	0.118	0.19	0.404	0.796
X950101	101	0.662	0.33	0.115	0.268	0.627	0.109	0.003	0.911	0.024	0.207	0.194	0.368	0.792	0.487
X950102	102	0.064	0.722	0.102	0.784	0.769	0.318	0.881	0.098	0.235	0.938	0.959	0.258	0.265	0.328
X950105	105	0.007	0.31	0.012	0.264	0.232	0.154	0.093	0.505	0.088	0.953	0.247	0.636	0.026	0.549
X950110	110	0.852	0.127	0.371	0.096	0.229	0.001	0	0.033	0.098	0.005	0.441	0.397	0.223	0.248
X950112	112	0.345	0.07	0.915	0.051	0.523	0.124	0.875	0.475	0.734	0.361	0.592	0.809	0.595	0.049
X950117	117	0.675	0.679	0.828	0.617	0.896	0.125	0.629	0.171	0.603	0.737	0.563	0.255	0.553	0.066
X950119	119	0.248	0.214	0.033	0.177	0.065	0.001	0.063	0.002	0.519	0.762	0.261	0.067	0.306	0.803
X950121	121	0.763	0.998	0.748	0.993	0.651	0.593	0.228	0.067	0.038	0.202	0.96	0.033	0.349	0.735
X950123	123	0.318	0.192	0.723	0.23	0.199	0.473	0.161	0.751	0.38	0.296	0.796	0.548	0.313	0.748
X950125	125	0.238	0.026	0.044	0.02	0.75	0.017	0.529	0.215	0.747	0.607	0.934	0.681	0.171	0.025
X950126	126	0.001	0.031	0.024	0.058	0.011	0.427	0.805	0.997	0.852	0.545	0.799	0.644	0.002	0.069
X950127	127	0.086	0.229	0.303	0.288	0.354	0.34	0.158	0.575	0.464	0.566	0.546	0.936	0.754	0.991
X950130	130	0.953	0.115	0.308	0.086	0.036	0.13	0.663	0.582	0.984	0.37	0.742	0.737	0.435	0.168
X950132	132	0.078	0.442	0.12	0.49	0.782	0.941	0.594	0.844	0.593	0.106	0.129	0.262	0.119	0.273
X950135	135	0.409	0.38	0.964	0.445	0.878	0.101	0.624	0.044	0.343	0.72	0.926	0.295	0.226	0.073
X950136	136	0.324	0.4	0.539	0.358	0.281	0.41	0.534	0.321	0.266	0.616	0.429	0.802	0.007	0.331
X950137	137	0.406	0.522	0.769	0.468	0.075	0.756	0.934	0.879	0.973	0.39	0.582	0.574	0.29	0.149
X950138	138	0.139	0.986	0.371	0.897	0.015	0.775	0.061	0.004	0.001	0.171	0.705	0.004	0.839	0.601
X950139	139	0.417	0.778	0.886	0.856	0.052	0.702	0.574	0.872	0.744	0.887	0.619	0.832	0.1	0.965
X950141	141	0.094	0.438	0.193	0.387	0.535	0.867	0.07	0.623	0.275	0.176	0.028	0.177	0.284	0.943
X950142	142	0.761	0.416	0.583	0.424	0.803	0.464	0.378	0.582	0.747	0.417	0.233	0.331	0.34	0.505
X950143	143	0.101	0.18	0.128	0.201	0.677	0.594	0.341	0.09	0.705	0.424	0.218	0.09	0.32	0.702
X950145	145	0.122	0.934	0.097	0.963	0.188	0.253	0.774	0.002	0.022	0.309	0.603	0.005	0.745	0.415
X950146	146	0.583	0.188	0.373	0.133	0.779	0.017	0.56	0.514	0.979	0.221	0.645	0.599	0.117	0.061
X950147	147	0.001	0.747	0.004	0.637	0.03	0.364	0.593	0.035	0.077	0.209	0.604	0.022	0.281	0.674
X950148	148	0.209	0.165	0.453	0.197	0.486	0.552	0.386	0.426	0.878	0.435	0.95	0.932	0.322	0.75
X950149	149	0.164	0.119	0.128	0.123	0.004	0.255	0.654	0.467	0.9	0.401	0.78	0.86	0.8	0.267
X950154	154	0.011	0.723	0.054	0.62	0.417	0.216	0.5	0.004	0.018	0.308	0.804	0.009	0.366	0.915
X950155	155	0.229	0.491	0.373	0.538	0.328	0.801	0.84	0.7	0.926	0.451	0.499	0.41	0.732	0.708
X950157	157	0.508	0.172	0.828	0.151	0.959	0.386	0.717	0.048	0.119	0.728	0.616	0.302	0.463	0.129
X950158	158	0.255	0.685	0.901	0.561	0.765	0.072	0.882	0.03	0.125	0.666	0.682	0.269	0.553	0.498
X950162	162	0.456	0.739	0.875	0.808	0.029	0.661	0.449	0.205	0.808	0.583	0.883	0.687	0.128	0.634
X950164	164	0.815	0.037	0.527	0.033	0.05	0.479	0.912	0.296	0.448	0.504	0.693	0.238	0.657	0.126
X950167	167	0.001	0.725	0.001	0.804	0.938	0.403	0.833	0.698	0.93	0.597	0.601	0.513	0.102	0.927
X950169	169	0.058	0.157	0.154	0.196	0.421	0.745	0.629	0.689	0.531	0.999	0.731	0.798	0.824	0.164
X950173	173	0.494	0.077	0.845	0.059	0.05	0.083	0.178	0.94	0.279	0.348	0.767	0.443	0.713	0.024
X950176	176	0.395	0.269	0.392	0.256	0.17	0.354	0.983	0.25	0.448	0.783	0.834	0.593	0.673	0.82
X950179	179	0.012	0.747	0.014	0.681	0.849	0.13	0.78	0.851	0.738	0.275	0.562	0.338	0.077	0.596
X950182	182	0.656	0.415	0.948	0.374	0.074	0.328	0.876	0.012	0.124	0.356	0.445	0.021	0.563	0.454
X950183	183	0.325	0.297	0.094	0.31	0.48	0.278	0.531	0.336	0.274	0.098	0.456	0.062	0.483	0.397
X950186	186	0.882	0.959	0.776	0.95	0.858	0.038	0.078	0.015	0.805	0.453	0.077	0.033	0.502	0.585
X950187	187	0.004	0.517	0.036	0.422	0.701	0.224	0.414	0.063	0.07	0.527	0.896	0.094	0.068	0.699
X950189	189	0.092	0.326	0.32	0.399	0.393	0.581	0.485	0.884	0.659	0.492	0.994	0.665	0.936	0.784
X950190	190	0.013	0.702	0.063	0.602	0.815	0.965	0.784	0.52	0.837	0.635	0.887	0.959	0.304	0.804
X950191	191	0.868	0.459	0.996	0.472	0.144	0.043	0.429	0.244	0.882	0.988	0.568	0.444	0.069	0.733
X950192	192	0.014	0.707	0.134	0.584	0.011	0.11	0.504	0.93	0.648	0.831	0.747	0.914	0.136	0.333
X950193	193	0.54	0.04	0.916	0.033	0.33	0.423	0.869	0.998	0.899	0.529	0.578	0.628	0.806	0.109
X950196	196	0.484	0.33	0.786	0.269	0.368	0.475	0.864	0.614	0.846	0.742	0.911	0.942	0.298	0.135
X950198	198	0.069	0.623	0.52	0.504	0.164	0.283	0.309	0.945	0.461	0.877	0.539	0.941	0.733	0.27
X950200	200	0.034	0.229	0.082	0.277	0.071	0.86	0.645	0.173	0.22	0.503	0.881	0.166	0.845	0.781
X950201	201	0.144	0.332	0.212	0.368	0.481	0.73	0.452	0.607	0.805	0.671	0.406	0.512	0.157	0.873
X950202	202	0.946	0.234	0.7	0.253	0.857	0.386	0.973	0.263	0.453	0.588	0.684	0.756	0.802	0.248
X950209	209	0.023	0.024	0.01	0.024	0.083	0.42	0.294	0.358	0.83	0.41	0.188	0.224	0.547	0.05
X950212	212	0.012	0.635	0.012	0.579	0.203	0.953	0.57	0.566	0.422	0.878	0.769	0.626	0.669	0.389
X950214	214	0.492	0.369	0.551	0.286	0.314	0.071	0.768	0.135	0.455	0.529	0.812	0.623	0.542	0.297
X950217	217	0.304	0.683	0.172	0.684	0.283	0.708	0.632	0.804	0.598	0.185	0.203	0.388	0.202	0.823
X950218	218	0.441	0.041	0.118	0.032	0.561	0.125	0.145	0.157	0.835	0.647	0.176	0.208	0.839	0.133
X950219	219	0.028	0.126	0.242	0.187	0.244	0.113	0.373	0.238	0.936	0.199	0.775	0.819	0.506	0.062
X950220	220	0.17	0.605	0.251	0.558	0.502	0.404	0.815	0.5	0.798	0.755	0.7	0.502	0.334	0.753
X950223	223	0.117	0.343	0.419	0.284	0.406	0.053	0.715	0.413	0.803	0.458	0.788	0.968	0.033	0.686
X950225	225	0.022	0.281	0.352	0.207	0.328	0.206	0.825	0.848	0.963	0.118	0.205	0.185	0.56	0.054
X950226	226	0.974	0.074	0.764	0.077	0.445	0.077	0.648	0.764	0.588	0.668	0.984	0.602	0.055	0.07
X950228	228	0.023	0.444	0.258	0.582	0.782	0.17	0.771	0.351	0.411	0.221	0.284	0.732	0.851	0.596
X950231	231	0.131	0.217	0.153	0.196	0.861	0.976	0.648	0.998	0.725	0.447	0.828	0.559	0.759	0.466
X950233	233	0.086	0.148	0.38	0.116	0.478	0.971	0.74	0.667	0.982	0.467	0.778	0.778	0.573	0.047
X950241	241	0.671	0.025	0.506	0.017	0.314	0.099	0.789	0.151	0.466	0.698	0.932	0.524	0.838	0.035
X950242	242	0.056	0.513	0.076	0.562	0.251	0.432	0.501	0.284	0.859	0.708	0.832	0.683	0.664	0.224
X950245	245	0.647	0.368	0.388	0.348	0.697	0.008	0.039	0.017	0.981	0.027	0.912	0.887	0.342	0.143
X950247	247	0.012	0.301	0.022	0.257	0.969	0.23	0.863	0.549	0.8	0.488	0.711	0.883	0.535	0.319
X950248	248	0.014	0.921	0.036	0.987	0	0.418	0.641	0.082	0.14	0.254	0.629	0.049	0.2	0.59
X950249	249	0.391	0.837	0.522	0.877	0.26	0.863	0.712	0.941	0.814	0.73	0.614	0.756	0.385	0.259
X950250	250	0.328	0.263	0.584	0.299	0.003	0.757	0.224	0.626	0.533	0.692	0.558	0.992	0.023	0.053
X950251	251	0.764	0.519	0.658	0.513	0.334	0.906	0.247	0.433	0.166	0.384	0.835	0.244	0.822	0.554
X950252	252	0.95	0.834	0.775	0.801	0.014	0.226	0.785	0.034	0.235	0.739	0.965	0.253	0.232	0.104
X950254	254	0.234	0.573	0.721	0.441	0.621	0.42	0.261	0.365	0.152	0.013	0.303	0.013	0.527	0.82
X950256	256	0.356	0.494	0.562	0.538	0.013	0.128	0.896	0.017	0.096	0.68	0.701	0.206	0.649	0.953
X950259	259	0.294	0.385	0.989	0.31	0.233	0.152	0.712	0.409	0.802	0.491	0.821	0.996	0.606	0.324
X950260	260	0.134	0.428	0.156	0.46	0.01	0.737	0.969	0.306	0.489	0.331	0.508	0.163	0.651	0.948
X950262	262	0.694	0.381	0.426	0.359	0.994	0	0.041	0.002	0.569	0	0.082	0.182	0.684	0.901
X950264	264	0.218	0.202	0.493	0.241	0.167	0.583	0.901	0.627	0.684	0.351	0.455	0.686	0.946	0.496
X950267	267	0.077	0.031	0.262	0.044	0.057	0.209	0.432	0.781	0.671	0.622	0.835	0.842	0.245	0.601
X950268	268	0.372	0.502	0.447	0.528	0.763	0.778	0.884	0.173	0.321	0.425	0.644	0.139	0.625	0.164
X950270	270	0.141	0.117	0.094	0.119	0.016	0.894	0.984	0.869	0.903	0.375	0.521	0.566	0.274	0.388
X950271	271	0.023	0.201	0.033	0.234	0.083	0.737	0.331	0.272	0.971	0.993	0.487	0.473	0.07	0.526
X950274	274	0.077	0.179	0.08	0.197	0.035	0.698	0.965	0.801	0.898	0.571	0.711	0.786	0.713	0.613
X950275	275	0.218	0.061	0.372	0.072	0.3	0.824	0.414	0.344	0.22	0.582	0.335	0.85	0.3	0.503
X950279	279	0.106	0.541	0.129	0.501	0.284	0.815	0.079	0.677	0.274	0.409	0.07	0.369	0.123	0.891
X950280	280	0.477	0.871	0.821	0.972	0.96	0.393	0.591	0.073	0.444	0.692	0.51	0.144	0.509	0.513
X950281	281	0.295	0.92	0.544	0.855	0.465	0.632	0.902	0.056	0.247	0.477	0.555	0.077	0.527	0.45
X950283	283	0.028	0.972	0.111	0.865	0.24	0.502	0.953	0.631	0.723	0.835	0.916	0.639	0.153	0.856
X950285	285	0.929	0.551	0.541	0.604	0.447	0.606	0.868	0.908	0.84	0.199	0.304	0.361	0.826	0.923
X950287	287	0.723	0.103	0.683	0.103	0.012	0.563	0.961	0.989	0.977	0.879	0.942	0.914	0.694	0.09
X950288	288	0.625	0.136	0.332	0.123	0.286	0.013	0.003	0.136	0.154	0.032	0.506	0.473	0.361	0.121
X950296	296	0.152	0.207	0.466	0.17	0.451	0.182	0.679	0.079	0.147	0.859	0.867	0.202	0.37	0.264
X950297	297	0.587	0.135	0.358	0.138	0.428	0.365	0.514	0.501	0.947	0.842	0.547	0.559	0.93	0.082
X950300	300	0.468	0.153	0.518	0.143	0.944	0.068	0.495	0.014	0.268	0.996	0.631	0.108	0.521	0.23
X950302	302	0.635	0.958	0.988	0.986	0.882	0.739	0.821	0.003	0.034	0.192	0.442	0.004	0.39	0.888
X950304	304	0.712	0.4	0.98	0.372	0.35	0.71	0.427	0.69	0.387	0.212	0.151	0.48	0.282	0.576
X950305	305	0.834	0.459	0.772	0.458	0.829	0.816	0.736	0.23	0.303	0.918	0.869	0.393	0.306	0.331
X950306	306	0.373	0.469	0.69	0.522	0.738	0.969	0.722	0.862	0.872	0.725	0.997	0.875	0.677	0.94
X950313	313	0.306	0.741	0.982	0.636	0.54	0.109	0.761	0.4	0.756	0.931	0.782	0.542	0.095	0.176
X950314	314	0.198	0.798	0.134	0.809	0.81	0.341	0.629	0.622	0.493	0.049	0.083	0.223	0.687	0.144
X950316	316	0.777	0.583	0.383	0.488	0.3	0.162	0.764	0.435	0.784	0.516	0.804	0.996	0.432	0.51
X950319	319	0.937	0.695	0.664	0.65	0.306	0.129	0.219	0.167	0.96	0.205	0.08	0.066	0.084	0.697
X950321	321	0.975	0.744	0.977	0.749	0.257	0.624	0.897	0.134	0.284	0.31	0.417	0.844	0.026	0.054
X950322	322	0.612	0.49	0.891	0.454	0.021	0.087	0.106	0.31	0.061	0.266	0.713	0.135	0.511	0.009
X950329	329	0.979	0.179	0.454	0.152	0.02	0.118	0.097	0.086	0.866	0.166	0.839	0.959	0.146	0.65
X950330	330	0.157	0.9	0.218	0.951	0.256	0.82	0.971	0.352	0.53	0.324	0.501	0.179	0.272	0.631
X950331	331	0.084	0.096	0.032	0.093	0.013	0.669	0.743	0.564	0.535	0.887	0.896	0.631	0.919	0.078
X950333	333	0.28	0.574	0.671	0.65	0.69	0.382	0.653	0.016	0.057	0.82	0.632	0.158	0.709	0.987
X950340	340	0.983	0.694	0.57	0.743	0.46	0.946	0.954	0.152	0.331	0.975	0.95	0.366	0.338	0.378
X950343	343	0.69	0.294	0.451	0.231	0.618	0.208	0.703	0.558	0.932	0.718	0.988	0.919	0.606	0.318
X950345	345	0.345	0.539	0.414	0.51	0.976	0.395	0.812	0.725	0.683	0.985	0.856	0.832	0.153	0.882
X950348	348	0.842	0.726	0.857	0.718	0.001	0.689	0.69	0.802	0.885	0.864	0.872	0.976	0.072	0.847
X950353	353	0	0.023	0	0.039	0.217	0.572	0.525	0.36	0.917	0.325	0.803	0.868	0.022	0.11
X950355	355	0.924	0.267	0.182	0.206	0.533	0.877	0.318	0.961	0.426	0.397	0.195	0.536	0.363	0.332
X950356	356	0.251	0.371	0.28	0.347	0.513	0.864	0.453	0.281	0.207	0.399	0.262	0.959	0.588	0.354
X950358	358	0.049	0.263	0.183	0.216	0.045	0.387	0.88	0.966	0.93	0.964	0.94	0.994	0.34	0.009
X950359	359	0.94	0.14	0.955	0.134	0.083	0.673	0.559	0.814	0.549	0.288	0.246	0.506	0.348	0.058
X950360	360	0.068	0.126	0.291	0.17	0.028	0.323	0.435	0.41	0.261	0.139	0.112	0.539	0.286	0.079
X950361	361	0.235	0.856	0.132	0.854	0.176	0.546	0.318	0.339	0.88	0.088	0.058	0.057	0.736	0.105
X950375	375	0.941	0.635	0.333	0.548	0.353	0.168	0.914	0.249	0.507	0.191	0.392	0.791	0.859	0.406
X950383	383	0.277	0.965	0.054	0.916	0.493	0.086	0.336	0.627	0.669	0.022	0.323	0.138	0.754	0.971
X950389	389	0.953	0.821	0.682	0.791	0.876	0.844	0.43	0.494	0.298	0.31	0.204	0.733	0.312	0.369
X950390	390	0.045	0.302	0.126	0.363	0.294	0.84	0.364	0.028	0.036	0.333	0.966	0.033	0.941	0.798
X950391	391	0.427	0.393	0.248	0.38	0.015	0.24	0.819	0.231	0.548	0.392	0.656	0.905	0.7	0.674
X950392	392	0.458	0.731	0.523	0.757	0.039	0.948	0.326	0.237	0.133	0.577	0.761	0.236	0.99	0.736
X950396	396	0.039	0.523	0.414	0.41	0.77	0.453	0.72	0.975	0.768	0.449	0.777	0.548	0.826	0.083
X950400	400	0.278	0.532	0.179	0.532	0.814	0.272	0.021	0.211	0.011	0.276	0.362	0.104	0.772	0.23
X950402	402	0.693	0.534	0.505	0.543	0.186	0.55	0.82	0.603	0.872	0.267	0.344	0.238	0.294	0.74
X950406	406	0.78	0.12	0.286	0.098	0.002	0.034	0.105	0.787	0.28	0.396	0.574	0.632	0.237	0.455
X950409	409	0.696	0.182	0.965	0.198	0.276	0.471	0.077	0.273	0.042	0.15	0.026	0.684	0.139	0.414
X950410	410	0.568	0.366	0.927	0.319	0.735	0.946	0.958	0.157	0.38	0.349	0.483	0.106	0.236	0.901
X950415	415	0.795	0.134	0.398	0.114	0.352	0.472	0.948	0.918	0.988	0.994	0.958	0.941	0.123	0.237
X950417	417	0.925	0.407	0.376	0.342	0.856	0.65	0.532	0.809	0.746	0.188	0.171	0.244	0.215	0.914
X950422	422	0.573	0.76	0.51	0.643	0.826	0.489	0.755	0.888	0.882	0.294	0.599	0.473	0.538	0.209
X950425	425	0.176	0.613	0.095	0.604	0.828	0.892	0.436	0.02	0.037	0.736	0.753	0.077	0.12	0.782
X950428	428	0.625	0.105	0.169	0.075	0.003	0.243	0.034	0.351	0.027	0.53	0.291	0.289	0.614	0.36
X950430	430	0.182	0.451	0.062	0.433	0.493	0.092	0.211	0.525	0.173	0.016	0.383	0.024	0.911	0.08
X950432	432	0.64	0.126	0.719	0.131	0.013	0.494	0.97	0.391	0.6	0.997	0.976	0.578	0.926	0.396
X950434	434	0.05	0.5	0.517	0.388	0.529	0.788	0.21	0.209	0.08	0.148	0.886	0.058	0.433	0.233
X950439	439	0.263	0.7	0.966	0.59	0.284	0.643	0.983	0.568	0.725	0.8	0.846	0.575	0.571	0.316
X950449	449	0.433	0.194	0.429	0.2	0.55	0.887	0.399	0.61	0.75	0.427	0.249	0.35	0.82	0.363
X950466	466	0.469	0.611	0.424	0.599	0.045	0.106	0.286	0.171	0.945	0.021	0.355	0.35	0.465	0.082
X950474	474	0.628	0.922	0.872	0.881	0.568	0.517	0.133	0.179	0.047	0.159	0.944	0.055	0.682	0.781
X950477	477	0.09	0.323	0.445	0.413	0.811	0.936	0.443	0.142	0.128	0.079	0.471	0.024	0.814	0.612
X950478	478	0.514	0.295	0.163	0.26	0.916	0.08	0.334	0.02	0.418	0.333	0.174	0.026	0.607	0.325
X950483	483	0.567	0.019	0.815	0.014	0.172	0.177	0.95	0.318	0.551	0.647	0.779	0.769	0.581	0.13
X950484	484	0.641	0.697	0.5	0.689	0.402	0.796	0.172	0.313	0.093	0.765	0.239	0.664	0.758	0.23
X950485	485	0.041	0.959	0.495	0.792	0.371	0.435	0.799	0.765	0.699	0.126	0.362	0.173	0.677	0.107
X950490	490	0.93	0.382	0.571	0.34	0.718	0.791	0.209	0.007	0.008	0.725	0.518	0.041	0.068	0.93
X950491	491	0.004	0.057	0.069	0.1	0.81	0.11	0.475	0.633	0.394	0.282	0.794	0.259	0.006	0.092
X950503	503	0.015	0.326	0.01	0.353	0.159	0.559	0.458	0.545	0.857	0.602	0.875	0.992	0.087	0.095
X950504	504	0.892	0.26	0.486	0.282	0.792	0.15	0.006	0.786	0.045	0.144	0.003	0.195	0.296	0.762
X950509	509	0.753	0.3	0.485	0.312	0.539	0.763	0.067	0.71	0.236	0.386	0.058	0.367	0.611	0.975
X950512	512	0.014	0.149	0.013	0.168	0.034	0.189	0.04	0.021	0.939	0.627	0.072	0.062	0.097	0.527
X950513	513	0.113	0.217	0.542	0.169	0.113	0.305	0.296	0.776	0.325	0.711	0.629	0.641	0.294	0.675
X950516	516	0.299	0.061	0.216	0.06	0.735	0.067	0.598	0.106	0.514	0.794	0.85	0.393	0.599	0.121
X950517	517	0.061	0.885	0.373	0.757	0.714	0.674	0.205	0.016	0.013	0.764	0.489	0.071	0.906	0.461
X950521	521	0.082	0.918	0.196	0.837	0.781	0.615	0.982	0.619	0.736	0.627	0.743	0.489	0.988	0.318
X950525	525	0.073	0.632	0.149	0.702	0.57	0.199	0.93	0.101	0.258	0.506	0.595	0.574	0.469	0.49
X950528	528	0.529	0.307	0.875	0.273	0.932	0.083	0.605	0.018	0.24	0.591	0.457	0.052	0.821	0.187
X950535	535	0.192	0.45	0.701	0.544	0.235	0.014	0.997	0.023	0.136	0.041	0.144	0.928	0.284	0.908
X950536	536	0.92	0.548	0.803	0.537	0.015	0.566	0.932	0.034	0.148	0.438	0.543	0.422	0.12	0.681
X950545	545	0.142	0.561	0.3	0.501	0.016	0.064	0.666	0.608	0.999	0.815	0.638	0.611	0.01	0.242
X950548	548	0.303	0.208	0.188	0.204	0.264	0.407	0.983	0.036	0.165	0.901	0.942	0.143	0.9	0.317
X950550	550	0.474	0.259	0.219	0.239	0.62	0.032	0.368	0.191	0.875	0.161	0.716	0.813	0.9	0.043
X950554	554	0.218	0.237	0.226	0.215	0.426	0.168	0.897	0.237	0.491	0.827	0.803	0.371	0.398	0.836
X950557	557	0.818	0.491	0.693	0.482	0.278	0.617	0.942	0.451	0.667	0.112	0.237	0.091	0.529	0.514
X950559	559	0.418	0.189	0.614	0.17	0.317	0.171	0.804	0.414	0.736	0.75	0.689	0.442	0.011	0.247
X950563	563	0.842	0.891	0.764	0.941	0.066	0.064	0.247	0.004	0.301	0.593	0.233	0.023	0.787	0.663
X950564	564	0.896	0.469	0.671	0.427	0.376	0.047	0.502	0.014	0.265	0.88	0.712	0.133	0.903	0.232
X950570	570	0.707	0.868	0.452	0.892	0.019	0.45	0.391	0.397	0.232	0.083	0.524	0.063	0.479	0.233
X950571	571	0.419	0.627	0.23	0.61	0.249	0.103	0.298	0.923	0.461	0.801	0.575	0.896	0.085	0.863
X950572	572	0.009	0.041	0.001	0.033	0.024	0.238	0.99	0.057	0.218	0.623	0.734	0.383	0.296	0.083
X950577	577	0.707	0.152	0.247	0.127	0.832	0.143	0.345	0.229	0.956	0.786	0.39	0.325	0.71	0.251
X950579	579	0.538	0.413	0.713	0.342	0.067	0.677	0.944	0.225	0.464	0.237	0.374	0.095	0.143	0.051
X950584	584	0.214	0.139	0.599	0.175	0.465	0.609	0.449	0.13	0.122	0.017	0.228	0.006	0.595	0.283
X950592	592	0.018	0.441	0.005	0.447	0.045	0.552	0.819	0.748	0.975	0.044	0.198	0.173	0.073	0.355
X950593	593	0.301	0.939	0.483	0.884	0.233	0.123	0.797	0.001	0.015	0.739	0.957	0.013	0.807	0.648
X950594	594	0.049	0.507	0.106	0.577	0.623	0.194	0.623	0.006	0.143	0.221	0.226	0.007	0.581	0.303
X950598	598	0.158	0.903	0.596	0.792	0.85	0.441	0.649	0.198	0.627	0.905	0.812	0.458	0.598	0.566
X950602	602	0.74	0.253	0.599	0.246	0.007	0.7	0.922	0.074	0.215	0.753	0.879	0.162	0.525	0.592
X950606	606	0.112	0.802	0.923	0.644	0.88	0.32	0.96	0.668	0.753	0.63	0.706	0.925	0.485	0.746
X950607	607	0.221	0.851	0.203	0.877	0.927	0.245	0.574	0.387	0.898	0.435	0.876	0.968	0.905	0.287
X950611	611	0.038	0.46	0.035	0.422	0.872	0.798	0.963	0.72	0.845	0.151	0.322	0.38	0.06	0.316
X950613	613	0.095	0.181	0.901	0.125	0.535	0.015	0.009	0.437	0.116	0.321	0.011	0.21	0.054	0.035
X950618	618	0.188	0.118	0.093	0.113	0.016	0.295	0.884	0.593	0.649	0.834	0.801	0.854	0.443	0.161
X950632	632	0.098	0.492	0.391	0.413	0.047	0.078	0.556	0.004	0.02	0.95	0.645	0.062	0.407	0.249
X950633	633	0.937	0.678	0.594	0.713	0.855	0.49	0.963	0.926	0.924	0.058	0.165	0.159	0.376	0.137
X950637	637	0.012	0.91	0.008	0.961	0.001	0.991	0.177	0.129	0.047	0.672	0.506	0.193	0.68	0.177
X950638	638	0.895	0.411	0.94	0.424	0.73	0.435	0.477	0.376	0.267	0.946	0.581	0.603	0.069	0.964
X950641	641	0.76	0.011	0.291	0.006	0.018	0.091	0.469	0.127	0.126	0.089	0.478	0.025	0.047	0.014
X950642	642	0.56	0.066	0.514	0.046	0.004	0.029	0.041	0.722	0.072	0.117	0.721	0.153	0.379	0.144
X950645	645	0.795	0.2	0.553	0.187	0.848	0.336	0.225	0.091	0.046	0.381	0.808	0.08	0.105	0.638
X950649	649	0.587	0.499	0.932	0.445	0.257	0.1	0.213	0.415	0.663	0.601	0.604	0.9	0.759	0.478
X950653	653	0.503	0.327	0.943	0.279	0.022	0.663	0.503	0.141	0.656	0.635	0.419	0.19	0.506	0.328
X950655	655	0.812	0.764	0.823	0.809	0.003	0.884	0.145	0.598	0.147	0.608	0.497	0.465	0.287	0.219
X950657	657	0.347	0.134	0.39	0.122	0.017	0.832	0.987	0.792	0.877	0.217	0.386	0.425	0.108	0.549
X950661	661	0.732	0.691	0.567	0.68	0.72	0.2	0.211	0.208	0.904	0.298	0.877	0.964	0.581	0.553
X950662	662	0.205	0.457	0.613	0.388	0.895	0.726	0.483	0.28	0.22	0.154	0.134	0.685	0.432	0.353
X950665	665	0.297	0.732	0.179	0.729	0.343	0.947	0.982	0.696	0.788	0.417	0.576	0.384	0.653	0.303
X950668	668	0.645	0.697	0.712	0.618	0.099	0.4	0.88	0.174	0.443	0.978	0.931	0.39	0.968	0.761
X950675	675	0.559	0.376	0.151	0.328	0.141	0.043	0.186	0.236	0.799	0.77	0.253	0.324	0.064	0.513
