FAMILY_ID	row_id	p_value|base|sebum	p_value|base|skicon	p_value|groups|oily-norm	p_value|groups|skicon	p_value|oily|exfol	p_value|oily|F-B	p_value|oily|F-B|A	p_value|oily|F-B|B	p_value|oily|F-B|B-A	p_value|oily|F-B|C	p_value|oily|F-B|C-A	p_value|oily|F-B|C-B	p_value|oily|sebum	p_value|oily|skicon
X940796	796	0.37	0.01	0.467	0.011	0.601	0.253	0.636	0.858	0.804	0.555	0.934	0.735	0.545	0.121
X940816	816	0.793	0.273	0.96	0.257	0.009	0.645	0.586	0.534	0.415	0.245	0.229	0.619	0.214	0.159
X940819	819	0.893	0.415	0.802	0.386	0.139	0.548	0.194	0.327	0.107	0.606	0.573	0.307	0.538	0.602
X940820	820	0.474	0.658	0.191	0.621	0.102	0.795	0.615	0.294	0.768	0.626	0.485	0.295	0.376	0.564
X940826	826	0.167	0.328	0.612	0.407	0.217	0.804	0.668	0.688	0.944	0.645	0.53	0.542	0.791	0.121
X940827	827	0.297	0.217	0.353	0.233	0.865	0.331	0.036	0.794	0.075	0.193	0.553	0.244	0.299	0.568
X940833	833	0.904	0.035	0.97	0.036	0.609	0.252	0.278	0.578	0.236	0.199	0.884	0.181	0.357	0.924
X940843	843	0.77	0.8	0.852	0.816	0.146	0.734	0.8	0.1	0.208	0.806	0.725	0.376	0.117	0.128
X940844	844	0.653	0.702	0.819	0.635	0.383	0.486	0.582	0.693	0.5	0.997	0.695	0.801	0.513	0.015
X940845	845	0.777	0.122	0.743	0.122	0.139	0.844	0.923	0.817	0.824	0.14	0.325	0.2	0.137	0.832
X940847	847	0.559	0.107	0.607	0.1	0.005	0.18	0.453	0.389	0.984	0.981	0.583	0.566	0.24	0.911
X940852	852	0.016	0.639	0.006	0.661	0.688	0.885	0.764	0.542	0.871	0.667	0.606	0.471	0.251	0.199
X940863	863	0.96	0.643	0.702	0.678	0.478	0.872	0.958	0.351	0.575	0.818	0.9	0.67	0.098	0.324
X940871	871	0.114	0.677	0.229	0.746	0.964	0.165	0.827	0.252	0.365	0.87	0.969	0.387	0	0.547
X940875	875	0.436	0.885	0.217	0.906	0.751	0.785	0.519	0.97	0.604	0.402	0.296	0.536	0.204	0.279
X940882	882	0.073	0.063	0.117	0.076	0.813	0.319	0.623	0.658	0.926	0.943	0.766	0.818	0.204	0.202
X940889	889	0.914	0.361	0.733	0.347	0.894	0.517	0.962	0.293	0.52	0.521	0.674	0.85	0.859	0.342
X940892	892	0.567	0.537	0.86	0.472	0.011	0.605	0.226	0.226	0.882	0.047	0.026	0.023	0.262	0.125
X940895	895	0.873	0.423	0.839	0.421	0.493	0.925	0.663	0.183	0.234	0.504	0.436	0.723	0.212	0.472
X940907	907	0.297	0.452	0.466	0.412	0.171	0.304	0.031	0.525	0.04	0.63	0.062	0.968	0.095	0.337
X940912	912	0.699	0.288	0.158	0.236	0.823	0.198	0.026	0.481	0.197	0.138	0.574	0.487	0.238	0.389
X940917	917	0.056	0.233	0.118	0.276	0.08	0.285	0.83	0.82	0.756	0.274	0.354	0.487	0.12	0.242
X940925	925	0.157	0.013	0.243	0.016	0.819	0.986	0.755	0.864	0.727	0.422	0.728	0.469	0.888	0.124
X940936	936	0.043	0.328	0.076	0.376	0.01	0.994	0.216	0.222	0.87	0.14	0.058	0.058	0.436	0.59
X940941	941	0.07	0.008	0.826	0.017	0.28	0.386	0.313	0.341	0.872	0.483	0.825	0.938	0.537	0.9
X940946	946	0.806	0.176	0.747	0.174	0.002	0.449	0.31	0.826	0.522	0.224	0.118	0.283	0.295	0.07
X940961	961	0.137	0.144	0.028	0.126	0.204	0.239	0.672	0.252	0.675	0.539	0.464	0.229	0.786	0.025
X940966	966	0.277	0.927	0.126	0.914	0.026	0.197	0.52	0.044	0.405	0.926	0.602	0.167	0.828	0.97
X940968	968	0.485	0.806	0.416	0.799	0.243	0.547	0.491	0.029	0.36	0.276	0.21	0.027	0.147	0.246
X940984	984	0.559	0.82	0.322	0.797	0.915	0.184	0.374	0.561	0.756	0.257	0.861	0.617	0.71	0.222
X941001	1001	0.757	0.627	0.13	0.534	0.042	0.192	0.075	0.283	0.042	0.11	0.893	0.058	0.793	0.34
X941014	1014	0.471	0.08	0.741	0.092	0.966	0.724	0.655	0.099	0.16	0.951	0.72	0.304	0.45	0.348
X941019	1019	0.507	0.21	0.698	0.229	0.552	0.435	0.289	0.805	0.331	0.255	0.955	0.302	0.746	0.103
X941024	1024	0.849	0.387	0.725	0.35	0.026	0.219	0.512	0.709	0.459	0.554	0.378	0.83	0.034	0.998
X941028	1028	0.566	0.143	0.744	0.13	0.41	0.88	0.686	0.003	0.094	0.517	0.457	0.016	0.019	0.908
X941037	1037	0.34	0.132	0.845	0.097	0.269	0.59	0.629	0.967	0.731	0.797	0.873	0.865	0.226	0.087
X941043	1043	0.39	0.29	0.975	0.349	0.634	0.183	0.79	0.091	0.368	0.051	0.224	0.671	0.159	0.164
