MET_CHEM_NO	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X9400147			Up, < 0.1					Dn, < 0.01	Dn, < 0.01			Up, < 0.01		
X9400148		Up, < 0.1		Up, < 0.1										
X9400149		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1		
X9400150					Dn, < 0.1									
X9400152									Dn, < 0.1				Up, < 0.01	
X9400154						Dn, < 0.1								
X9400156														Dn, < 0.1
X9400161								Dn, < 0.1				Up, < 0.1		
X9400162									Dn, < 0.1					Dn, < 0.1
X9400166														Dn, < 0.1
X9400167								Dn, < 0.1				Up, < 0.1		
X9400172						Dn, < 0.1	Dn, < 0.1			Dn, < 0.1		Dn, < 0.1		
X9400174								Up, < 0.01					Dn, < 0.1	
X9400175		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400176				Up, < 0.1										
X9400179		Up, < 0.1		Up, < 0.1	Dn, < 0.01									
X9400180														Dn, < 0.1
X9400182								Up, < 0.01	Up, < 0.01				Dn, < 0.1	
X9400183	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X9400184								Dn, < 0.1				Up, < 0.1		
X9400186	Up, < 0.1		Up, < 0.1											
X9400190														Dn, < 0.01
X9400191					Dn, < 0.1									
X9400194		Up, < 0.1		Up, < 0.1				Dn, < 0.001	Dn, < 0.1			Up, < 0.01	Up, < 0.1	
X9400195								Dn, < 0.1	Dn, < 0.1				Up, < 0.1	
X9400196													Up, < 0.1	
X9400197			Dn, < 0.1											
X9400198					Dn, < 0.1									Up, < 0.1
X9400202		Up, < 0.1		Up, < 0.1										
X9400203			Up, < 0.1										Up, < 0.1	
X9400204		Up, < 0.1		Up, < 0.1				Dn, < 0.1	Dn, < 0.1			Up, < 0.1		Up, < 0.1
X9400205								Dn, < 0.1				Up, < 0.1		
X9400207													Up, < 0.01	
X9400209									Dn, < 0.1					Dn, < 0.1
X9400210						Up, < 0.1	Up, < 0.1	Dn, < 0.1	Dn, < 0.1	Up, < 0.1		Up, < 0.01	Up, < 0.01	
X9400211														Dn, < 0.1
X9400212		Up, < 0.01		Up, < 0.01									Up, < 0.1	Up, < 0.1
X9400215								Dn, < 0.1					Up, < 0.1	
X9400216					Dn, < 0.1									
X9400219													Up, < 0.1	
X9400220													Up, < 0.1	
X9400222													Up, < 0.1	
X9400223								Dn, < 0.1						Up, < 0.1
X9400224		Up, < 0.1		Up, < 0.1										
X9400225					Dn, < 0.1								Dn, < 0.01	
X9400226													Up, < 0.1	Dn, < 0.1
X9400228		Up, < 0.1		Up, < 0.1										
X9400229								Dn, < 0.1				Up, < 0.1		
X9400230														Dn, < 0.1
X9400231													Up, < 0.01	
X9400232	Up, < 0.1		Up, < 0.001										Up, < 0.1	
X9400234										Dn, < 0.1	Dn, < 0.1	Dn, < 0.01		
X9400238				Up, < 0.1		Up, < 0.1				Up, < 0.1		Up, < 0.1	Up, < 0.01	
X9400239	Up, < 0.1													
X9400244														Dn, < 0.1
X9400246								Dn, < 0.1					Up, < 0.1	
X9400249			Dn, < 0.1							Up, < 0.1				
X9400250								Dn, < 0.01	Dn, < 0.1			Up, < 0.1	Up, < 0.01	
X9400253						Dn, < 0.001	Dn, < 0.001	Dn, < 0.01		Dn, < 0.001		Dn, < 0.1		
X9400255										Up, < 0.01	Up, < 0.01	Up, < 0.1	Dn, < 0.1	
X9400256						Dn, < 0.1							Dn, < 0.1	
X9400260		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9400262													Dn, < 0.1	
X9400264							Dn, < 0.1							
X9400265			Up, < 0.1					Dn, < 0.1			Up, < 0.1	Up, < 0.1		
X9400267						Up, < 0.01		Up, < 0.1					Up, < 0.1	Up, < 0.1
X9400270														Dn, < 0.1
X9400271	Dn, < 0.1		Dn, < 0.01											
X9400273		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9400274														Dn, < 0.1
X9400277								Dn, < 0.1						
X9400278														Dn, < 0.01
X9400279					Dn, < 0.1									Dn, < 0.1
X9400281						Up, < 0.1							Up, < 0.1	
X9400282	Up, < 0.1	Up, < 0.1		Up, < 0.1				Dn, < 0.1						
X9400283	Up, < 0.001		Up, < 0.01										Up, < 0.1	
X9400284	Up, < 0.1		Up, < 0.1											
X9400285												Up, < 0.1		
X9400286								Dn, < 0.1					Up, < 0.1	
X9400287	Up, < 0.1													Dn, < 0.1
X9400288							Up, < 0.1			Up, < 0.1				
X9400290				Dn, < 0.1									Dn, < 0.1	Dn, < 0.1
X9400291		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.1
X9400293						Dn, < 0.1		Dn, < 0.1			Up, < 0.1	Up, < 0.1	Dn, < 0.01	
X9400295													Dn, < 0.01	
X9400296						Up, < 0.1		Up, < 0.1		Up, < 0.1				
X9400297												Up, < 0.1	Up, < 0.1	
X9400298														Dn, < 0.1
X9400301										Dn, < 0.1				Dn, < 0.1
X9400303	Up, < 0.1		Up, < 0.1			Dn, < 0.1		Dn, < 0.01				Up, < 0.1		
X9400305						Up, < 0.1	Up, < 0.1		Dn, < 0.1	Up, < 0.1		Up, < 0.1	Up, < 0.1	
X9400306							Up, < 0.1		Dn, < 0.1					
X9400307		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9400308								Dn, < 0.1						
X9400309						Dn, < 0.1		Dn, < 0.1				Up, < 0.1		Dn, < 0.1
X9400310						Up, < 0.1		Up, < 0.01		Up, < 0.01			Dn, < 0.1	
X9400311		Dn, < 0.1		Dn, < 0.1	Up, < 0.001	Dn, < 0.1					Up, < 0.1		Dn, < 0.01	
X9400312								Dn, < 0.1						
X9400313					Up, < 0.1									
X9400314											Dn, < 0.1			
X9400316	Up, < 0.1		Up, < 0.1											
X9400318		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9400319								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400321									Dn, < 0.1		Dn, < 0.1			
X9400323							Up, < 0.1							
X9400324	Up, < 0.1													
X9400330		Up, < 0.1	Up, < 0.1	Up, < 0.1										
X9400333					Up, < 0.1	Dn, < 0.1								Dn, < 0.1
X9400334										Up, < 0.1		Up, < 0.1	Up, < 0.1	
X9400335													Up, < 0.1	Dn, < 0.1
X9400336					Dn, < 0.1		Up, < 0.1		Dn, < 0.1					
X9400337								Dn, < 0.1				Up, < 0.1		
X9400338			Dn, < 0.1											
X9400339	Up, < 0.01													
X9400341								Dn, < 0.1				Up, < 0.1		
X9400342			Dn, < 0.1											
X9400343		Up, < 0.1		Up, < 0.1									Dn, < 0.1	
X9400344						Up, < 0.001	Up, < 0.1	Up, < 0.01		Up, < 0.001				
X9400346						Up, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1				
X9400347						Up, < 0.1		Up, < 0.01		Up, < 0.001	Up, < 0.1		Dn, < 0.1	
X9400348					Dn, < 0.1									
X9400349					Up, < 0.1						Up, < 0.1	Up, < 0.1		Dn, < 0.1
X9400352								Dn, < 0.1						Dn, < 0.1
X9400354								Dn, < 0.01	Dn, < 0.1			Up, < 0.1		
X9400355	Up, < 0.001		Up, < 0.01				Dn, < 0.1							
X9400356								Dn, < 0.1				Up, < 0.1		
X9400357		Up, < 0.1		Up, < 0.1										
X9400358								Dn, < 0.1	Dn, < 0.1					
X9400359	Dn, < 0.1		Dn, < 0.01		Dn, < 0.1									
X9400360					Up, < 0.1									
X9400364											Up, < 0.1			
X9400365	Up, < 0.01		Up, < 0.01										Up, < 0.01	
X9400367		Up, < 0.1		Up, < 0.1										Up, < 0.1
X9400369										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9400370													Dn, < 0.1	
X9400371	Up, < 0.1												Up, < 0.1	
X9400372								Dn, < 0.1				Up, < 0.1		
X9400377		Dn, < 0.1		Dn, < 0.1										
X9400378				Dn, < 0.1										Dn, < 0.01
X9400379													Up, < 0.1	
X9400380								Up, < 0.1				Dn, < 0.1		
