MET_CHEM_NO	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X9407156									Up, < 0.1					
X9407159								Up, < 0.1						
X9407160										Up, < 0.1		Up, < 0.1		
X9407165		Dn, < 0.1		Dn, < 0.1	Up, < 0.1								Dn, < 0.1	
X9407166					Up, < 0.1									
X9407168		Up, < 0.1		Up, < 0.1							Dn, < 0.1			
X9407170					Up, < 0.1									
X9407172		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9407174						Up, < 0.1		Up, < 0.1		Up, < 0.1				
X9407175						Up, < 0.1				Up, < 0.1				
X9407176					Dn, < 0.1									
X9407177		Up, < 0.01	Dn, < 0.1	Up, < 0.01	Dn, < 0.1		Dn, < 0.1			Dn, < 0.1				Up, < 0.1
X9407178						Up, < 0.1				Up, < 0.1				
X9407179	Dn, < 0.1		Dn, < 0.1				Dn, < 0.1							
X9407184		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9407187		Up, < 0.01		Up, < 0.01									Dn, < 0.1	
X9407190					Up, < 0.1			Up, < 0.1	Up, < 0.1			Dn, < 0.01		
X9407191		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9407192														Dn, < 0.01
X9407198					Up, < 0.1									
X9407199								Up, < 0.1				Dn, < 0.1		
X9407203					Up, < 0.1			Up, < 0.01	Up, < 0.1			Dn, < 0.01	Dn, < 0.1	
X9407204	Up, < 0.1	Dn, < 0.1												
X9407205												Up, < 0.1		
X9407207												Up, < 0.1		
X9407208					Up, < 0.1									
X9407209								Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X9407214	Up, < 0.1													
X9407215														Up, < 0.1
X9407216	Up, < 0.1													
X9407218					Dn, < 0.1									
X9407220			Dn, < 0.1		Dn, < 0.1									Up, < 0.1
X9407221												Dn, < 0.1		
X9407224	Up, < 0.1	Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9407229		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9407231								Up, < 0.1						Up, < 0.1
X9407233						Up, < 0.1								
X9407234										Dn, < 0.1		Dn, < 0.1		
X9407235		Up, < 0.1		Up, < 0.1			Up, < 0.01		Dn, < 0.1		Dn, < 0.1			
X9407237					Up, < 0.1			Dn, < 0.1						
X9407239														Dn, < 0.1
X9407240	Dn, < 0.1	Up, < 0.1	Dn, < 0.1											
X9407243					Up, < 0.1								Dn, < 0.1	
X9407247								Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.01		
X9407248	Up, < 0.1													
X9407249			Dn, < 0.1							Up, < 0.1	Up, < 0.1			
X9407250								Up, < 0.1	Up, < 0.1					
X9407253					Up, < 0.1			Up, < 0.1						
X9407255										Dn, < 0.1			Up, < 0.1	
X9407256					Up, < 0.1					Up, < 0.1			Dn, < 0.1	
X9407257		Dn, < 0.1		Dn, < 0.1										
X9407262						Up, < 0.1		Up, < 0.01		Up, < 0.1			Dn, < 0.1	
X9407265													Dn, < 0.1	Up, < 0.1
X9407267								Dn, < 0.1						
X9407268					Up, < 0.01								Up, < 0.1	
X9407270							Up, < 0.1				Dn, < 0.1			
X9407271										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9407274		Dn, < 0.1		Dn, < 0.1										
X9407276	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1						Up, < 0.1		Up, < 0.1		
X9407278														Dn, < 0.1
X9407284					Up, < 0.1									
X9407287	Dn, < 0.001		Dn, < 0.001		Dn, < 0.1	Up, < 0.1		Up, < 0.1		Up, < 0.1				
X9407289					Dn, < 0.1									
X9407292					Up, < 0.1								Up, < 0.1	
X9407293					Dn, < 0.1						Up, < 0.1			
X9407295						Up, < 0.01	Up, < 0.1	Up, < 0.1		Up, < 0.01				
X9407298		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1	Dn, < 0.01				Up, < 0.1		Dn, < 0.1	
X9407299							Dn, < 0.1		Up, < 0.1	Up, < 0.1	Up, < 0.01			
X9407300														Dn, < 0.01
X9407301					Dn, < 0.01									
X9407307	Up, < 0.1					Up, < 0.1				Up, < 0.01	Up, < 0.1	Up, < 0.1	Up, < 0.1	
X9407311					Dn, < 0.1									
X9407312						Dn, < 0.1								Dn, < 0.001
X9407313							Dn, < 0.1		Up, < 0.1		Up, < 0.1		Up, < 0.1	
X9407314					Dn, < 0.01									
X9407319	Up, < 0.01	Dn, < 0.01	Up, < 0.1	Dn, < 0.01				Dn, < 0.1				Up, < 0.1	Up, < 0.01	Dn, < 0.1
X9407323					Up, < 0.1						Up, < 0.1			
X9407327		Up, < 0.1		Up, < 0.1									Up, < 0.1	
X9407330	Up, < 0.1													
X9407336												Up, < 0.1		
X9407338								Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9407339	Dn, < 0.001		Dn, < 0.01					Up, < 0.01	Up, < 0.1				Dn, < 0.1	
X9407340													Dn, < 0.1	
X9407343		Up, < 0.1		Up, < 0.1										
X9407345						Dn, < 0.1	Dn, < 0.1				Up, < 0.1		Dn, < 0.1	
X9407346					Up, < 0.1									
X9407349						Dn, < 0.1	Dn, < 0.01			Dn, < 0.01				Up, < 0.01
X9407350								Up, < 0.1				Dn, < 0.1		
X9407351					Up, < 0.1									
X9407352	Up, < 0.1													
X9407353	Dn, < 0.1							Up, < 0.1					Dn, < 0.1	
X9407356												Dn, < 0.1		
X9407358	Up, < 0.1													Up, < 0.1
X9407359										Up, < 0.001	Up, < 0.1	Up, < 0.01		
X9407361	Up, < 0.1							Dn, < 0.1					Up, < 0.1	
X9407363		Up, < 0.1					Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1		
X9407364								Dn, < 0.1	Dn, < 0.1	Up, < 0.1		Up, < 0.01		
X9407365								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		Dn, < 0.1
X9407372	Up, < 0.1				Dn, < 0.1								Up, < 0.1	
X9407375					Up, < 0.1	Dn, < 0.1	Dn, < 0.1		Up, < 0.1				Dn, < 0.1	
X9407378					Dn, < 0.1									
X9407388								Dn, < 0.1				Up, < 0.1		
X9407390	Up, < 0.1		Up, < 0.01			Up, < 0.1				Up, < 0.01	Up, < 0.1	Up, < 0.1		
X9407393						Up, < 0.01	Up, < 0.1	Up, < 0.1		Up, < 0.001				
X9407398					Up, < 0.1			Up, < 0.1						
X9407403	Up, < 0.01		Up, < 0.1											
X9407408					Dn, < 0.1									
X9407414	Up, < 0.1									Up, < 0.1		Up, < 0.1		
X9407415										Up, < 0.1				
X9407416	Up, < 0.1				Up, < 0.1									
X9407418													Up, < 0.1	
X9407419					Up, < 0.1									
X9407422					Dn, < 0.1									
X9407423					Up, < 0.1									
X9407424			Up, < 0.1											
X9407427					Up, < 0.1			Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X9407429	Up, < 0.1		Up, < 0.1											
X9407430	Up, < 0.1		Up, < 0.1											
X9407432	Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.1										
X9407433						Up, < 0.1	Up, < 0.1	Up, < 0.1					Up, < 0.1	
X9407434													Dn, < 0.01	
X9407437	Up, < 0.1													
X9407445	Up, < 0.1						Up, < 0.1		Dn, < 0.1		Dn, < 0.1		Up, < 0.01	
X9407448		Up, < 0.1		Up, < 0.1				Up, < 0.1				Dn, < 0.1		
X9407451											Up, < 0.1			
X9407455					Dn, < 0.1									Up, < 0.1
X9407458								Up, < 0.1	Up, < 0.1				Dn, < 0.1	Up, < 0.1
X9407459					Dn, < 0.1									
X9407460													Up, < 0.1	
X9407464					Up, < 0.1					Dn, < 0.1				
X9407465								Up, < 0.1				Dn, < 0.1		
X9407467	Dn, < 0.1						Up, < 0.1				Dn, < 0.1		Dn, < 0.1	
X9407468								Dn, < 0.1			Up, < 0.1	Up, < 0.1		
X9407469								Up, < 0.1					Dn, < 0.1	
X9407471	Up, < 0.1				Dn, < 0.1									
X9407473	Dn, < 0.01		Dn, < 0.01					Up, < 0.1						Up, < 0.1
X9407475														Dn, < 0.1
X9407476		Up, < 0.1		Up, < 0.1										Up, < 0.01
X9407478		Up, < 0.01		Up, < 0.01		Up, < 0.1				Up, < 0.1				
X9407483		Up, < 0.1		Up, < 0.1	Dn, < 0.1									
X9407484	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X9407486	Up, < 0.1								Dn, < 0.1				Up, < 0.1	
X9407488					Up, < 0.1									
X9407489								Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X9407490		Up, < 0.1		Up, < 0.1	Dn, < 0.1				Up, < 0.1	Up, < 0.1	Up, < 0.1			
X9407491						Up, < 0.01							Up, < 0.001	Up, < 0.1
X9407493						Dn, < 0.1							Dn, < 0.1	
X9407494								Up, < 0.01	Up, < 0.01			Dn, < 0.01	Dn, < 0.1	
X9407495	Up, < 0.1		Up, < 0.1											
X9407496	Up, < 0.1													
X9407499	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1									
X9407502		Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.1								Dn, < 0.1
X9407503	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X9407505													Dn, < 0.1	
X9407506												Up, < 0.1	Dn, < 0.1	Dn, < 0.01
X9407509		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9407511														Dn, < 0.01
X9407512						Dn, < 0.1							Dn, < 0.01	
X9407522	Up, < 0.1				Dn, < 0.1			Up, < 0.1						
X9407524	Up, < 0.1		Up, < 0.01		Up, < 0.1									
X9407525								Up, < 0.1	Up, < 0.1				Dn, < 0.1	
X9407526									Up, < 0.1				Dn, < 0.1	
X9407532				Dn, < 0.1										Dn, < 0.01
X9407535													Up, < 0.1	
X9407537		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1	Dn, < 0.1					Dn, < 0.1
X9407539					Dn, < 0.01									
X9407540		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9407541		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.01
X9407542					Dn, < 0.1									
X9407545	Up, < 0.1		Up, < 0.1											
X9407547					Up, < 0.1				Up, < 0.1					
X9407558														Dn, < 0.1
X9407561								Dn, < 0.1						
X9407571	Up, < 0.1													
X9407572		Dn, < 0.01		Dn, < 0.01										Dn, < 0.1
X9407575				Dn, < 0.1							Up, < 0.1	Up, < 0.1		Dn, < 0.1
X9407576	Dn, < 0.01		Dn, < 0.1		Up, < 0.1			Up, < 0.1				Dn, < 0.1	Dn, < 0.1	
X9407577					Dn, < 0.1									
X9407578		Up, < 0.1		Up, < 0.1										Up, < 0.1
X9407579														Up, < 0.1
X9407580								Dn, < 0.1						
X9407581		Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1			Up, < 0.1	Up, < 0.1					Up, < 0.1
X9407585													Dn, < 0.1	
X9407590						Up, < 0.1		Up, < 0.1						
X9407591		Up, < 0.1		Up, < 0.1		Up, < 0.1		Up, < 0.1	Up, < 0.1					Up, < 0.1
X9407592							Dn, < 0.1							
X9407593								Up, < 0.1						
X9407597													Dn, < 0.1	
X9407600					Up, < 0.1									
X9407605	Dn, < 0.1				Up, < 0.1			Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1	
X9407608		Up, < 0.1		Up, < 0.1				Up, < 0.1		Dn, < 0.1		Dn, < 0.01		
X9407611					Up, < 0.1			Up, < 0.1	Up, < 0.01					
X9407615					Up, < 0.1									
X9407616		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9407617					Up, < 0.1									
X9407618						Up, < 0.1				Up, < 0.1				
X9407619											Up, < 0.1	Up, < 0.1		
X9407621					Up, < 0.1									
X9407622								Up, < 0.1	Up, < 0.1				Dn, < 0.1	
X9407627							Up, < 0.1							
X9407630	Dn, < 0.1		Dn, < 0.1											
X9407631		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.1
X9407633	Dn, < 0.1		Dn, < 0.1							Up, < 0.1			Dn, < 0.1	
X9407639										Dn, < 0.1		Dn, < 0.1		
X9407640					Up, < 0.1									
X9407641								Up, < 0.1					Dn, < 0.1	
X9407642	Up, < 0.1				Up, < 0.1	Dn, < 0.1	Dn, < 0.1							
X9407643									Up, < 0.1					
X9407644	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1	Dn, < 0.1	Dn, < 0.1							
X9407646		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9407649								Dn, < 0.1				Up, < 0.1		
X9407650										Dn, < 0.1	Dn, < 0.1		Up, < 0.1	
X9407651								Dn, < 0.1						
X9407653		Dn, < 0.1		Dn, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1		Up, < 0.01	Up, < 0.1			
X9407654	Dn, < 0.1		Dn, < 0.1		Up, < 0.1			Up, < 0.01			Dn, < 0.1	Dn, < 0.01		
X9407655	Up, < 0.01		Up, < 0.1											
X9407658													Dn, < 0.01	
X9407659					Dn, < 0.1									
X9407661														Dn, < 0.1
X9407668					Up, < 0.1			Up, < 0.01	Up, < 0.1			Dn, < 0.1		
X9407671	Dn, < 0.1													
X9407672					Up, < 0.1	Up, < 0.1								Up, < 0.1
X9407676										Up, < 0.1			Dn, < 0.1	
X9407679	Up, < 0.1	Up, < 0.1	Up, < 0.1	Up, < 0.1	Dn, < 0.1			Dn, < 0.1		Dn, < 0.1			Up, < 0.1	
X9407681		Dn, < 0.1		Dn, < 0.1									Up, < 0.1	
X9407690			Up, < 0.1		Up, < 0.01									
X9407691														Dn, < 0.1
X9407694	Up, < 0.1		Up, < 0.1		Up, < 0.1									
X9407698													Dn, < 0.1	
X9407700										Dn, < 0.1	Dn, < 0.1			
X9407701								Up, < 0.1	Up, < 0.1					
X9407703								Up, < 0.1				Dn, < 0.1		
X9407704		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9407706					Dn, < 0.1									
X9407711	Up, < 0.1					Up, < 0.001	Up, < 0.1			Up, < 0.1			Up, < 0.1	
X9407713		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9407714											Up, < 0.1			
X9407715								Up, < 0.1						
X9407716														Up, < 0.1
X9407721					Up, < 0.01							Dn, < 0.1		
X9407722										Up, < 0.01	Up, < 0.1	Up, < 0.1		
X9407733					Dn, < 0.1									
X9407735		Dn, < 0.01		Dn, < 0.01		Dn, < 0.1							Dn, < 0.1	
X9407738	Dn, < 0.1		Dn, < 0.1							Up, < 0.1				
X9407739					Up, < 0.01	Up, < 0.1		Up, < 0.1						
X9407740						Up, < 0.1	Up, < 0.1						Up, < 0.1	
X9407742					Up, < 0.001									
X9407743									Up, < 0.1					
X9407744						Up, < 0.1		Up, < 0.1						
X9407747					Dn, < 0.1		Dn, < 0.1			Up, < 0.1	Up, < 0.01	Up, < 0.1		Up, < 0.1
X9407748		Up, < 0.01		Up, < 0.01			Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1		Up, < 0.1
X9407752					Dn, < 0.01	Dn, < 0.1		Dn, < 0.01						Up, < 0.1
X9407754								Up, < 0.1				Dn, < 0.1		
X9407757					Up, < 0.1	Dn, < 0.1		Dn, < 0.01				Up, < 0.1		
X9407758	Dn, < 0.1		Dn, < 0.1					Up, < 0.01	Up, < 0.1			Dn, < 0.1		
X9407759								Up, < 0.1				Dn, < 0.1		
X9407760	Up, < 0.01		Up, < 0.01											
X9407763														Dn, < 0.1
X9407764								Up, < 0.1				Dn, < 0.1		
X9407770								Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1	
X9407772	Up, < 0.1		Up, < 0.1		Up, < 0.01									
X9407773														Dn, < 0.1
X9407776	Dn, < 0.1													
X9407777								Up, < 0.1	Up, < 0.1	Up, < 0.1	Up, < 0.1			
X9407782								Up, < 0.1					Dn, < 0.1	
X9407783		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9407786		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9407791		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9407794		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9407800			Dn, < 0.1											
X9407801					Up, < 0.1			Up, < 0.1						
X9407802					Dn, < 0.1								Dn, < 0.1	Up, < 0.1
X9407803	Dn, < 0.01		Dn, < 0.1					Up, < 0.01	Up, < 0.01			Dn, < 0.1	Dn, < 0.01	
X9407804													Dn, < 0.1	
X9407812		Dn, < 0.1		Dn, < 0.1				Up, < 0.1		Up, < 0.1			Dn, < 0.1	
X9407815					Up, < 0.001									
X9407816					Dn, < 0.1									
X9407818		Dn, < 0.1		Dn, < 0.1										
X9407819					Up, < 0.1			Up, < 0.1						
X9407820						Up, < 0.1								
X9407825				Dn, < 0.1										
X9407826										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9407827						Up, < 0.1								
X9407831	Up, < 0.1					Up, < 0.1	Up, < 0.1							
X9407836		Dn, < 0.1		Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.1				Up, < 0.1		
X9407837				Dn, < 0.1										Dn, < 0.01
X9407838	Up, < 0.1		Up, < 0.1		Up, < 0.1						Up, < 0.1			Dn, < 0.1
X9407843					Dn, < 0.1									
X9407846								Up, < 0.1					Dn, < 0.1	
X9407847	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1							Dn, < 0.1			
X9407849	Up, < 0.1				Up, < 0.1									
X9407850				Dn, < 0.1										
X9407851	Up, < 0.1							Up, < 0.1						
X9407862	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1				Up, < 0.001	Up, < 0.1			Dn, < 0.1	Dn, < 0.1	Up, < 0.01
X9407863						Up, < 0.001	Up, < 0.1	Up, < 0.01		Up, < 0.01				
X9407864					Dn, < 0.1									
X9407870					Up, < 0.01									Up, < 0.1
X9407871					Up, < 0.1									
X9407872						Dn, < 0.001		Dn, < 0.01					Dn, < 0.01	
X9407873								Up, < 0.1	Up, < 0.1				Dn, < 0.1	
X9407876		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9407879	Dn, < 0.1													
X9407889													Dn, < 0.1	Dn, < 0.1
X9407893			Up, < 0.1		Up, < 0.1									
X9407895						Dn, < 0.01				Dn, < 0.1				
X9407908													Dn, < 0.01	
X9407911					Dn, < 0.01									
X9407913	Up, < 0.1					Up, < 0.01								
X9407915	Dn, < 0.1		Dn, < 0.1											Up, < 0.01
X9407918	Up, < 0.1													
X9407919	Up, < 0.1	Up, < 0.1	Up, < 0.1	Up, < 0.1										
X9407920	Dn, < 0.1				Up, < 0.1			Up, < 0.1				Dn, < 0.1	Dn, < 0.01	
X9407923					Up, < 0.1								Dn, < 0.1	
X9407924							Dn, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1		Dn, < 0.1	
X9407926		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9407929	Dn, < 0.1		Dn, < 0.1					Up, < 0.1						Up, < 0.1
X9407936								Up, < 0.1					Dn, < 0.1	Dn, < 0.1
X9407937			Up, < 0.1		Up, < 0.1									
X9407942						Up, < 0.1		Up, < 0.1						
X9407945	Up, < 0.01		Up, < 0.1					Up, < 0.1						
X9407947							Up, < 0.1							
X9407957					Dn, < 0.1			Dn, < 0.1						Up, < 0.1
X9407960					Up, < 0.1			Dn, < 0.1	Dn, < 0.1					
X9407965						Dn, < 0.1								
X9407967								Dn, < 0.1				Up, < 0.1	Up, < 0.01	
X9407968					Up, < 0.1								Dn, < 0.1	
X9407977					Dn, < 0.1									
X9407978	Up, < 0.1		Up, < 0.1											
X9407979				Dn, < 0.1										Dn, < 0.1
X9407988								Up, < 0.1	Up, < 0.1					
X9407994								Up, < 0.01	Up, < 0.1			Dn, < 0.1	Dn, < 0.1	
X9407995	Up, < 0.1		Up, < 0.1											
X9407998	Up, < 0.1						Up, < 0.1							
X9408000						Up, < 0.1								
X9408002													Dn, < 0.1	
X9408003					Dn, < 0.1									Up, < 0.1
X9408007	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1									
X9408017					Dn, < 0.1			Up, < 0.1						
X9408025	Dn, < 0.001		Dn, < 0.01			Up, < 0.1	Up, < 0.1	Up, < 0.01					Dn, < 0.1	
X9408027							Dn, < 0.1						Up, < 0.1	
X9408030						Up, < 0.1								
X9408036					Dn, < 0.1					Up, < 0.1				
X9408039	Up, < 0.1		Up, < 0.1										Up, < 0.1	
X9408044	Up, < 0.1									Dn, < 0.1		Dn, < 0.1		
X9408045		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1			Up, < 0.1	Up, < 0.1		Dn, < 0.1
X9408046					Dn, < 0.1									
X9408055		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9408063					Dn, < 0.1	Dn, < 0.1	Dn, < 0.1			Dn, < 0.01				
X9408072								Up, < 0.1	Up, < 0.1				Dn, < 0.1	
X9408074					Up, < 0.1					Dn, < 0.1		Dn, < 0.1		
X9408076													Dn, < 0.01	
X9408079					Dn, < 0.1									
X9408080					Dn, < 0.1	Up, < 0.1								
X9408084	Up, < 0.01		Up, < 0.1										Up, < 0.01	
X9408087													Dn, < 0.1	
X9408091	Dn, < 0.01		Dn, < 0.01										Dn, < 0.1	
X9408094						Dn, < 0.1							Dn, < 0.1	
X9408095								Up, < 0.1		Up, < 0.1			Dn, < 0.1	
X9408100													Dn, < 0.1	
X9408102					Up, < 0.1									
X9408106			Up, < 0.1											
X9408107					Dn, < 0.1	Up, < 0.01	Up, < 0.1						Up, < 0.1	
X9408115			Up, < 0.1											Dn, < 0.1
X9408119														Dn, < 0.1
X9408123			Dn, < 0.1											Up, < 0.1
X9408127	Up, < 0.1									Up, < 0.1			Dn, < 0.1	
X9408129	Dn, < 0.1		Dn, < 0.1											
X9408130						Up, < 0.1		Up, < 0.1				Dn, < 0.1	Up, < 0.1	Up, < 0.1
X9408136		Up, < 0.1		Up, < 0.1	Dn, < 0.1								Dn, < 0.1	Up, < 0.1
X9408147								Dn, < 0.1						
X9408148														Up, < 0.1
X9408150					Dn, < 0.1								Dn, < 0.01	Up, < 0.1
X9408152	Dn, < 0.1							Up, < 0.1					Dn, < 0.01	
X9408156	Up, < 0.1													
X9408158		Dn, < 0.1		Dn, < 0.1						Up, < 0.1	Up, < 0.1	Up, < 0.1	Dn, < 0.1	Dn, < 0.1
X9408159	Up, < 0.1		Up, < 0.1		Up, < 0.1									
X9408162														Up, < 0.1
X9408164						Dn, < 0.1	Dn, < 0.1							
X9408166	Up, < 0.01		Up, < 0.1											
X9408170											Up, < 0.1			
X9408171					Up, < 0.1									
X9408172		Dn, < 0.01		Dn, < 0.01										Dn, < 0.1
X9408174	Up, < 0.1		Up, < 0.1		Up, < 0.1									
X9408175					Up, < 0.1						Up, < 0.1			
X9408186					Up, < 0.1									
X9408191														Up, < 0.1
X9408192					Up, < 0.1	Up, < 0.1		Up, < 0.01	Up, < 0.1					
X9408195					Up, < 0.1		Dn, < 0.1		Up, < 0.1					
X9408198													Dn, < 0.1	
X9408203													Dn, < 0.1	
X9408204					Dn, < 0.1	Up, < 0.1								
X9408210	Dn, < 0.1				Up, < 0.1									
X9408225								Up, < 0.1					Dn, < 0.1	
X9408226								Dn, < 0.1				Up, < 0.1		
X9408229	Up, < 0.1		Up, < 0.1											
X9408230			Up, < 0.1											
X9408236		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	
X9408241								Dn, < 0.1		Dn, < 0.1			Up, < 0.1	
X9408251													Dn, < 0.1	
X9408254	Up, < 0.1		Up, < 0.1							Dn, < 0.1	Dn, < 0.1			
X9408262						Up, < 0.1							Up, < 0.01	
X9408264													Dn, < 0.1	
X9408265					Up, < 0.01									
X9408268			Dn, < 0.1		Dn, < 0.1	Up, < 0.1		Up, < 0.1		Up, < 0.1	Up, < 0.1			
X9408270														Up, < 0.1
X9408272										Dn, < 0.1	Dn, < 0.1			
X9408281			Dn, < 0.1										Dn, < 0.1	
X9408282			Dn, < 0.1							Up, < 0.1				
X9408283			Dn, < 0.1		Up, < 0.1					Up, < 0.1	Up, < 0.1			
X9408286		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9408293								Up, < 0.1						
X9408295							Dn, < 0.1		Up, < 0.1					
X9408298					Up, < 0.01		Dn, < 0.1							
X9408303					Up, < 0.1									
X9408305		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9408316						Up, < 0.01							Up, < 0.1	
X9408318	Up, < 0.1	Dn, < 0.1	Up, < 0.1											
X9408320					Up, < 0.1									
X9408331					Dn, < 0.1									
X9408332								Up, < 0.1	Up, < 0.1					
X9408335				Dn, < 0.1				Up, < 0.1						
X9408344													Dn, < 0.1	
X9408350								Up, < 0.1	Up, < 0.1			Dn, < 0.01	Dn, < 0.1	
X9408351					Up, < 0.1		Up, < 0.1				Dn, < 0.1			
X9408357		Dn, < 0.1		Dn, < 0.1	Up, < 0.1			Up, < 0.1						
X9408358		Dn, < 0.1		Dn, < 0.1								Dn, < 0.1		
X9408365										Dn, < 0.001	Dn, < 0.1	Dn, < 0.01		
X9408366														Up, < 0.1
X9408375						Dn, < 0.1							Dn, < 0.1	
X9408383		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9408389	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X9408391						Up, < 0.1		Up, < 0.1		Up, < 0.1				
X9408399								Up, < 0.01	Up, < 0.1			Dn, < 0.1		
X9408412							Dn, < 0.1		Up, < 0.1		Up, < 0.1			Up, < 0.1
X9408413			Dn, < 0.1											
X9408420													Up, < 0.01	
X9408433				Dn, < 0.1										
X9408434		Up, < 0.001		Up, < 0.001		Up, < 0.1								Up, < 0.001
X9408442						Up, < 0.01				Up, < 0.01				
X9408445			Up, < 0.1							Dn, < 0.1		Dn, < 0.1		
X9408446			Up, < 0.1											
X9408453	Up, < 0.1													
X9408456		Dn, < 0.1	Up, < 0.1	Dn, < 0.1			Up, < 0.1	Up, < 0.1						
X9408461													Dn, < 0.1	
X9408464	Up, < 0.1													
X9408471					Dn, < 0.1			Up, < 0.1						
X9408481		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9408482						Up, < 0.1	Up, < 0.01				Dn, < 0.1			
X9408488								Up, < 0.01	Up, < 0.1			Dn, < 0.1		
X9408491													Dn, < 0.1	
X9408492		Dn, < 0.1		Dn, < 0.1										
X9408493						Up, < 0.1							Up, < 0.1	
X9408494			Dn, < 0.1										Dn, < 0.1	
X9408501							Dn, < 0.1		Up, < 0.1					
X9408507					Up, < 0.1									
X9408510										Up, < 0.1				
X9408512					Dn, < 0.1							Up, < 0.1	Up, < 0.1	
X9408515					Up, < 0.1									
X9408522					Up, < 0.1								Dn, < 0.01	
X9408523							Up, < 0.1	Dn, < 0.1	Dn, < 0.01					
X9408526					Up, < 0.1			Up, < 0.1	Up, < 0.1				Dn, < 0.1	
X9408528										Up, < 0.1		Up, < 0.1		
X9408530	Up, < 0.01		Up, < 0.1											
X9408531													Dn, < 0.1	
X9408539	Up, < 0.1		Up, < 0.1										Up, < 0.1	
X9408542	Up, < 0.1													
X9408549					Up, < 0.1									
X9408555	Up, < 0.1	Dn, < 0.1		Dn, < 0.1	Up, < 0.01									
X9408560	Up, < 0.01		Up, < 0.1											Dn, < 0.1
X9408568		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9408574	Up, < 0.1						Dn, < 0.1							
