Row_ID	p_volcano|groups|oily-norm	p_volcano|base|sebum	p_volcano|base|skicon
1599	1.272	1.881	0.598
1600	0.483	0.15	0.418
1601	0.037	0.086	0.302
1602	0.132	0.54	0.425
1603	0.495	0.325	0.675
1604	0.128	0.021	0.979
1605	0.219	0.077	0.112
1606	0.155	0.1	0.306
1607	0.332	0.062	0.302
1608	0.068	0.263	0.405
1609	1.274	0.127	0.504
1610	1.825	1.359	0.6
1611	0.133	0.071	0.361
1612	1.096	1.344	0.311
1613	1.941	1.88	0.599
1614	0.814	0.108	1.178
1615	1.921	1.793	0.235
1616	1.719	1.763	2.177
1619	0.065	0.163	0.174
1621	1.359	1.114	0.047
1622	2.76	3.139	0.278
1623	0.119	0.809	1.557
1624	0.092	0.303	0.613
1625	0.087	0.174	0.787
1626	0.758	1.369	1.263
1627	0.291	0.491	1.214
1628	0.052	0.079	0.202
1630	0.419	0.687	0.681
1631	0.081	0.028	0.505
1632	0.306	0.544	1.764
1633	0.865	0.876	0.111
1634	0.07	0.439	0.008
1635	0.022	0.019	0.034
1636	0.183	0.212	1.398
1637	1.561	1.143	1.454
1638	0.287	0.472	0.511
1640	0.121	0.188	0.436
1641	0.466	0.338	0.622
1642	0.037	0.385	0.626
1643	0.279	0.577	0.127
1644	0.84	0.711	0.064
1645	0.455	0.386	0.499
1646	0.005	0.16	0.106
1647	0.267	0.082	0.548
1648	0.855	1.133	0.188
1649	0.189	0.038	0.497
1650	0.322	0.03	0.204
1651	0.54	0.159	2.784
1654	0.886	0.08	1.171
1655	0.118	0.06	0.282
1656	0.113	0.416	0.163
1657	1.935	2.079	0.586
1658	0.079	0.317	1.76
1659	0.003	0.177	0.135
1660	1.032	1	0.174
1661	0.026	0.253	0.879
1662	0.571	0.628	0.429
1663	0.15	0.168	0.872
1665	0.163	0.092	0.9
1666	0.514	0.188	0.657
1667	0.844	1.629	0.245
1668	0.361	0.221	0.125
1669	0.499	0.263	0.924
1670	0.292	0.354	0.654
1671	0.078	0.24	0.119
1672	0.537	0.179	1.59
1674	0.045	0.192	0.265
1675	0.042	0.186	0.35
1676	1.573	1.076	1.579
1677	0.157	0.089	1.012
1678	0.232	0.162	1.447
1679	0.542	1.547	0.154
1680	0.556	0.198	1.821
1682	0.388	0.709	1.661
1684	0.675	0.33	1.599
1685	0.471	0.051	1.936
1686	0.281	0.024	1.619
1688	0.425	0.091	0.309
1689	0.966	1.784	0.013
1690	0.627	0.183	1.759
1691	0.284	0.183	2.44
1692	1.969	0.71	0.438
1694	0.026	0.198	0.967
1695	0.029	0.93	0.469
1696	0.126	0.191	0.101
1697	0.034	0.171	2.01
1698	0.038	0.19	0.284
1699	0.477	0.178	0.27
1700	0.028	0.138	0.558
1701	0.182	0.992	0.126
1702	0.011	0.068	0.345
1703	0.953	0.561	0.917
1704	0.312	0.02	0.718
1705	1.29	0.563	0.307
1707	1.174	1.557	0.033
1709	1.491	1.11	0.41
1710	0.469	0.043	2.497
1711	0.302	0.048	0.721
1712	1.174	0.349	0.339
1713	0.177	0.269	0.171
1714	0.851	0.614	2.526
1715	0.364	0.342	0.006
1716	0.149	0.176	0.791
1717	0.008	0.202	1.162
1718	0.163	0.184	0.418
1719	0.643	0.701	1.305
1720	0.272	0.233	0.234
1721	0.556	0.226	1.631
1722	0.029	0.107	0.458
1723	0.237	0.449	0.191
1724	0.198	0.448	0.029
1725	0.135	0.105	1.176
1726	0.527	0.435	0.795
1727	0.152	0.225	0.757
1728	0.667	0.525	0.295
1729	0.495	0.334	0.332
1730	0.329	0.562	1.458
1731	0.019	0.258	0.205
1733	0.475	0.216	0.532
1734	0.358	0.446	0.291
1735	0.657	0.886	1.388
1736	0.7	0.881	0.546
1737	1.514	1.626	0.893
1738	0.593	0.714	0.274
1739	0.39	0.294	1.301
1740	2.607	3.391	0.017
1741	0.914	0.361	0.366
1742	0.831	0.615	0.246
1743	1.445	1.199	0.419
1744	0.08	0.024	0.321
1745	0.901	0.8	0.399
1746	0.955	1.804	1.135
1749	0.532	1.188	1.491
1750	0.069	0.032	1.29
1751	0.227	0.228	2.258
1752	0.105	0.209	2.594
1753	0.19	0.517	0.851
1755	0.049	0.025	0.472
1756	0.502	0.229	1.192
1757	0.004	0.897	0.112
1758	0.856	0.945	0.174
1759	0.866	0.152	1.476
1760	1.249	0.455	1.788
1761	0.005	0.058	0.678
1762	0.102	0.225	1
1764	0.212	0.533	0.231
1765	0.155	0.693	0.211
1766	0.227	0.256	0.152
1767	0.656	0.424	0.247
1768	0.099	0.066	0.14
1769	0.11	0.184	1.067
1770	0.265	0.331	0.88
1771	1.151	0.31	1.912
1772	0.452	0.964	0.132
1773	0.411	0.817	1.343
1774	0.494	0.129	0.785
1775	0.159	0.762	1.246
1776	0.581	1.491	0.681
1777	0.248	0.279	1.252
1778	0.066	0.015	0.279
1779	1.15	1.325	0.034
1780	0.048	0.086	0.715
1781	0.149	0.004	0.34
1782	0.242	0.312	0.146
1783	0.047	0.029	1.154
1785	0.56	1.064	1.388
1786	0.344	0.442	0.556
1787	0.686	0.288	0.486
1788	0.931	1.452	0.617
1790	0.006	0.013	0.001
1791	0.383	0.511	0.237
1793	0.116	0.786	0.087
1794	0.262	0.199	0.09
1795	0.836	0.338	0.528
1797	0.41	0.296	0.233
1798	0.151	0.354	0.802
1799	0.298	0.342	0.27
1800	0.387	0.404	1.708
1801	0.107	0.111	0.04
1802	0.325	0.321	0.605
1804	0.885	0.336	1.718
1805	0.573	0.484	1.678
1806	2.531	1.92	2.349
1807	0.069	0.044	0.369
1808	0.643	0.297	1.407
1809	0.046	0.35	0.2
1810	0.08	0.013	1.15
1811	0.085	0.158	0.077
1812	0.545	0.205	0.4
1813	0.027	0.155	0.586
1815	0.008	0.151	0.25
1816	2.438	1.512	0.334
1817	1.561	1.161	1.447
1819	0.26	0.041	1.091
1820	0.339	0.057	2.335
1821	0.6	0.125	0.246
1822	0.564	0.422	0.289
1823	0.744	0.339	0.171
1824	0.273	0.302	2.371
1825	0.267	1.063	1.106
1826	0.096	0.015	0.26
1827	1.127	2.402	0.711
1828	0.261	0.092	0.128
1829	0.213	0.115	0.517
1830	1.061	0.784	1.09
1831	1.946	0.742	0.295
1832	0.4	0.924	0.187
1833	0.062	0.206	1.201
1834	2.08	1.291	1.364
1835	0.423	0.654	1.337
1836	2.064	0.995	0.009
1837	0.141	0.114	0.035
1838	0.065	0.219	0.056
1839	0.147	0.694	0.204
1840	0.228	0.007	3.992
1841	0.549	0.464	0.405
1842	0.49	1.235	0.479
1843	0.015	0.122	3.245
1844	0.081	0.008	1.06
1847	0.882	0.926	1.724
1848	0.087	0.063	0.848
