Row_ID	p_volcano|groups|oily-norm	p_volcano|base|sebum	p_volcano|base|skicon
2519	0.481	0.403	0.353
2520	0.006	0.54	0.946
2521	0.401	0.408	1.417
2522	1.062	0.764	0.48
2524	0.053	0.356	0.529
2525	0.357	0.91	0.138
2526	0.431	0.004	0.014
2527	0.016	0.09	0.426
2528	0.514	0.48	1.702
2529	0.285	0.141	0.189
2530	0.255	0.604	0.627
2531	0.1	0.46	0.693
2532	1.083	1.008	0.304
2533	0.279	0.557	0.077
2534	1.496	2.171	0.222
2535	0.537	1.248	0.956
2536	0.129	0.35	0.007
2537	0.19	0.648	0.115
2538	1.392	1.335	2.384
2539	0.258	0.36	2.304
2540	1.009	0.418	1.694
2541	0.292	0.253	1.221
2542	0.479	0.163	0.046
2544	0.066	0.265	0
2545	0.532	0.82	1.935
2546	0.488	0.022	0.762
2548	0.534	0.679	0.878
2549	0.639	1.024	0.209
2550	0.251	0.015	0.953
2551	0.92	1.159	0.543
2552	0.1	0.513	0.533
2553	1.114	0.854	0.487
2554	0.877	0.48	0.26
2555	0.017	0.044	0.095
2556	1.056	1.05	0.163
2557	0.041	0.523	0.586
2558	0.446	0.002	1.456
2559	1.611	1.703	0.05
2560	0.243	0.247	0.544
2561	0.301	0.369	0.053
2562	0.2	1.318	0.494
2563	0.899	0.946	0.156
2564	0.022	0.037	0.454
2566	0.063	0.148	0.555
2567	0.506	1.029	0.609
2568	0.753	0.457	0.877
2569	0.29	0.85	1.736
2570	0.731	1.046	0.733
2571	0.999	0.222	0.635
2572	0.252	0.032	0.263
2573	0.411	0.253	1.006
2574	0.373	0.417	1.437
2575	0.527	0.428	0.082
2576	0.285	0.102	0.528
2577	0.524	0.342	0.604
2578	0.363	0.306	1.552
2579	0.472	0.412	0.133
2580	0.345	0.782	2.21
2581	0.026	0.082	0.15
2582	0.648	1.061	0.329
2584	0.034	0.465	0.137
2585	0.704	0.97	0.033
2586	0.13	0.038	0.296
2588	0.216	0.092	1.775
2590	0.27	1.06	0.06
2591	0.178	0.044	0.175
2592	1.074	0.296	0.672
2593	0.079	0.153	1.668
2595	0.371	0.285	1.031
2596	0.386	1.256	0.304
2597	0.063	0.205	0.344
2598	0.023	0.052	0.335
2599	0.31	0.922	0.007
2601	0.002	0.425	1.427
2602	0.446	0.515	0.384
2603	0.036	0.541	1.421
2604	1.048	0.904	0.667
2605	0.443	0.23	0.764
2607	0.48	0.289	0.259
2608	0.237	0.07	0.526
2609	1.935	1.495	0.611
2610	0.437	0.499	0.13
2611	0.281	0.097	1.603
2612	0.511	0.958	0.288
2614	0.66	0.312	0.741
2615	0.151	0.017	1.343
2616	0.585	0.491	0.59
2617	0.234	0.363	0.103
2618	0.07	0.12	0.252
2619	0.827	0.316	0.172
2620	0.392	0.816	0.161
2621	0.05	0.209	0.292
2623	0.861	0.708	2
2624	0.366	0.06	0.012
2625	0.218	0.39	0.742
2626	0.149	0.233	0.02
2627	0.395	0.144	0.171
2628	0.068	0.1	0.116
2629	0.427	0.681	0.136
2630	1.12	0.326	0.955
2631	0.229	0.089	0.202
2632	1.044	0.559	1.38
2633	0.161	0.077	0.109
2634	0.113	0.423	0.908
2635	0.005	0.191	0.009
2636	0.117	0.099	0.195
2637	0.014	0.028	0.256
2638	0.263	0.096	0.398
2639	1.39	2.468	0.026
2640	0.234	0.678	0.013
2641	0.162	0.117	0.069
2642	0.497	0.519	3.619
2643	0.243	0.304	0.038
2644	0.278	0.285	1.413
2645	0.224	0.245	0.466
2647	0.1	0.325	0.102
2648	0.128	0.188	1.931
2649	0.931	0.942	0.776
2650	0.526	1.678	1.865
2651	0.199	0.915	1.729
2652	0.327	0.236	1.164
2653	0.93	0.937	0.071
2654	0.237	0.139	0.34
2655	0.479	0.486	0.341
2656	0.507	0.247	0.012
2657	1.16	0.834	0.16
2658	0.386	0.206	1.694
2661	2.113	1.24	0.844
2662	0.068	0.007	0.391
2663	0.297	0.609	0.403
2664	0.082	0.198	0.142
2665	0.17	0.013	0.034
2666	0.36	0.217	0.562
2667	0.199	0.147	0.012
2668	0.583	0.332	3.162
2670	0.752	0.47	1.023
2671	0.212	0.001	0.038
2673	0.296	0.118	0.668
2674	0.051	0.019	0.162
2675	0.091	0.078	0.233
2676	1.651	1.531	0.081
2677	0.107	0.003	0.723
2678	0.002	0.177	0.233
2679	0.044	0.024	1.563
2680	0.431	0.33	0.944
2681	0.125	0.141	0.095
2682	0.307	0.103	1.562
2683	0.127	0.257	0.006
2685	0.373	0.02	0.058
2686	0.418	0.201	0.63
2687	0.045	0.039	0.205
2688	0.265	0.545	0.024
2689	0.31	0.725	0.033
2690	0.414	0.561	0.24
2691	0.397	0.195	0.544
2693	0.08	0.206	0.367
2696	0.412	0.457	1.382
2697	0.349	0.676	0.502
2698	0.429	0.288	0.234
2699	0.104	0.236	0.309
2701	0.812	0.784	1.349
2702	0.34	0.128	0.736
2703	0.256	0.223	0.161
2704	0.545	0.965	2.102
2706	1.284	0.113	0.247
2708	0.218	0.203	0.288
2709	0.352	1.139	0.148
2710	0.551	0.728	0.333
2711	0.052	0.342	0.631
2712	0.507	0.378	1.502
2714	0.553	0.65	1.236
2715	0.211	0.303	0.029
2716	0.248	0.555	0.708
2717	0.216	0.739	0.244
2718	0.155	0.36	0.234
2720	1.042	0.571	1.678
2721	0.335	0.529	0.767
2722	0.018	0.318	0.04
2723	0.725	0.982	1.398
2724	0.879	0.73	1.078
2725	0.048	0.006	0.232
2726	0.026	0.2	0.405
2729	0.065	0.046	1.156
2730	0.198	0.171	1.418
2732	0.311	0.821	0.086
2733	0.421	0.124	0.916
2734	0.547	0.385	1.4
2736	0.853	0.825	2.083
2737	0.891	0.158	0.013
2738	0.497	0.562	1.145
2739	0.35	0.476	0.007
2740	0.12	0.012	0.111
2741	0.26	0.202	1.569
2743	0.35	0.21	0.687
2744	0.651	0.302	1.163
2745	0.889	0.945	0.06
2746	0.451	0.328	0.072
2747	1.13	0.474	1.49
2748	0.46	0.175	0.77
2750	0.581	0.1	0.643
2751	0.279	0.485	0.609
2752	0.249	0.246	0.129
2753	0.981	0.965	0.156
2756	0.511	0.867	0.157
2757	0.946	0.818	0.143
2758	0.288	0.474	0.385
2759	0.579	0.478	0.209
2760	0.125	0.041	0.63
2762	0.085	0.169	1.748
2763	0.632	0.907	0.039
2764	0.434	0.042	0.312
2765	0.111	0.017	1.183
2766	0.261	0.251	0.187
2767	0.69	0.177	0.044
2768	0.516	0.531	0.379
2769	0.109	0.132	1.657
2770	0.368	0.212	0.264
2771	0.014	0.198	1.047
2772	0.281	0.189	1.395
2773	0.043	0.035	1.294
2774	0.005	0.179	0.724
2775	0.254	0.094	3.265
2776	0.125	0.016	0.41
2777	0.128	0.173	0.015
2778	1.968	1.685	0.156
2779	0.792	0.565	0.612
2780	0.639	1.048	0.803
2781	0.336	0.119	0.667
2782	0.097	0.309	0.075
2783	0.195	0.183	0.876
2784	0.585	0.615	0.33
2785	1.062	0.61	1.54
2786	0.028	0.027	1.598
2787	0.684	0.574	1.498
2789	0.618	0.363	0.466
2791	0.307	0.443	1.254
2794	0.753	1.064	0.239
2795	1.026	1.021	0.962
2796	0.92	1.274	0.416
2797	0.062	0.375	0.027
2798	0.232	0.155	0.735
2799	0.447	0.147	0.059
2800	0.138	0.095	0.112
2801	0.38	0.689	0.228
2802	0.387	0.273	0.096
2803	2.539	2.023	0.181
2804	0.247	0.127	1.067
2806	0.228	0.21	0.523
2808	0.296	0.066	0.491
2809	0.075	0.121	0.228
2811	0.466	0.165	0.633
2812	0.062	1.025	0.055
2813	0.317	0.424	0.165
2814	0.215	0.02	0.098
2815	0.23	0.098	1.01
2816	0.388	0.24	0.98
2817	0.049	0.107	1.182
2819	0.001	0.016	0.392
2820	0.217	0.157	0.819
2822	0.267	0.037	0.105
2823	0.031	0.237	0.018
2826	0.231	0.394	0.868
2827	0.772	0.59	0.364
2828	0.019	0.095	0.267
2830	0.048	0.085	0.088
2832	0.643	0.802	0.052
2833	0.298	0.658	0.772
2834	0.167	0.334	0.373
2835	0.213	0.338	2.654
2836	1.912	1.088	1.069
2837	0.376	0.031	0.077
2839	0.404	0.172	0.772
2840	0.832	0.571	0.43
2841	0.288	0.293	1.338
2842	0.313	0.107	0.241
2844	0.124	0.597	1.063
2847	1.3	0.634	0.328
2849	0.8	0.842	1.11
2853	0.115	0.054	0.307
2856	0.402	0.148	0.356
2857	0.164	0.311	0.101
2859	0.154	0.065	0.958
2860	0.284	0.069	0.337
2861	0.194	0.019	0.191
2862	0.778	0.346	0.419
2863	0.201	0.184	0.195
2866	0.149	0.243	1.67
2869	0.608	0.64	0.042
2870	0.731	0.707	1.811
2873	0.545	0.44	0.115
2874	0.774	0.13	0.394
2875	1.247	0.695	0.07
2876	0.7	0.342	0.865
2877	0.185	0.322	0.065
2878	0.791	0.51	0.149
2880	0.893	1.472	0.241
2883	0.132	0.073	1.223
2884	0.013	0.113	0.062
2885	0.163	0.701	0.21
2887	1.026	1.348	0.738
2888	0.38	0.803	1.409
2889	0.039	0.148	0.24
2890	0.586	0.09	1.571
2892	0.432	0.493	0.114
2893	0.402	0.565	0.811
2894	2.314	1.915	0.318
2897	0.075	0.392	0.228
2898	0.154	0.493	0.04
2899	0.122	0.618	0.245
2900	0.113	0.442	0.027
2902	1.837	2.105	1.116
2903	0.622	0.748	0.141
2904	0.675	0.149	1.298
2907	1.385	1.624	0.084
2911	1.247	0.921	0.744
2913	0.213	0.371	0.085
2914	0.183	1.154	0.531
2916	0.572	0.669	0.366
2917	0.311	0.024	0.025
2918	1.245	0.804	0.545
2919	0.549	0.895	1.064
2920	0.007	0.148	0.283
2921	0.151	0.252	0.181
2924	0.032	0.116	0.041
2925	0.091	0.266	0.323
2926	0.942	0.796	1.57
2927	0.144	0.271	0.795
2928	0.33	0.097	1.408
2930	0.369	0.546	0.123
2932	0.106	0.1	0.38
2934	0.238	0.366	0.5
2935	0.478	0.562	0.116
2936	0.901	1.226	0.801
2937	0.229	0.683	0.184
2938	1.226	0.66	0.21
2940	1.526	0.764	0.322
2941	0.731	0.453	0.508
2942	0.2	0.355	0.439
2945	0.63	0.655	1.256
2946	0.021	0.164	0.342
2947	0.123	0.713	0.362
2948	0.345	0.151	0.468
2949	0.449	0.406	1.591
2950	0.085	0.006	0.324
2952	0.011	0.167	0.417
2953	0.434	1.279	0.17
2954	0.292	0.144	0.073
2955	0.346	0.296	0.244
2956	0.118	0.294	2.006
2958	0.004	0.034	0.25
2959	0.591	0.286	0.155
2960	0.881	0.682	0.127
2961	0.278	0.61	2.195
2962	0.044	0.204	0.165
2963	0.438	0.024	0.185
2964	0.354	0.407	1.62
2965	0.384	0.736	0.139
2966	0.112	0.236	0.582
2967	0.013	0.156	1.458
2968	0.337	0.549	0.877
2969	0.572	0.068	2.415
2970	0.87	0.667	0.052
2971	0.044	0.169	0.357
2972	1.573	0.485	1.802
2973	0.045	0.31	0.16
2976	0.607	0.409	0.41
2978	0.231	0.579	0.824
2979	0.309	0.68	0.648
2983	0.017	0.066	0.072
2987	0.479	0.97	0.483
2989	0.237	0.246	1.083
2991	0.144	0.015	0.118
2995	0.79	0.631	0.267
2997	0.154	0.121	0.43
2999	0.056	0.259	0.803
3002	0.049	0.103	0.462
3003	0.967	1.646	2.398
3004	0.644	0.741	0.614
3007	0.175	0.76	0.041
3008	0.337	0.054	0.643
3011	0.571	0.088	0.707
3012	0.253	0.306	0.463
3015	1.115	0.143	0.64
3017	0.15	0.195	0.77
3019	0.565	0.038	1.748
3023	0.301	0.083	1.215
3025	0.487	0.147	0.675
3026	0.034	0.062	1.788
3029	0.339	0.397	0.305
3030	0.422	0.453	0.117
3031	0.056	0.114	0.432
3033	0.378	0.162	0.032
3035	0.574	1.191	0.137
3037	0.255	0.258	0.023
3039	0.973	0.395	0.493
3042	0.017	0.267	0.345
3043	0.212	0.288	0.062
3044	2.735	2.276	0.39
3046	0.587	0.011	0.314
3048	0.886	0.614	0.342
3051	0.038	0.14	0.221
3056	0.093	0.037	1.033
3060	0.458	1.497	0.428
3061	1.662	1.713	0.194
3062	0.142	0.087	0.972
3063	1.47	0.57	1.768
3065	0.401	0.027	0.451
3066	0.858	0.476	0.526
3067	0.558	0.539	1.095
3068	0.176	0.069	0.567
3069	0.493	0.628	0.134
3072	0.202	0.049	1.366
3073	0.058	0.436	0.145
3074	0.172	0.008	1.069
3076	0.131	0.288	0.492
3077	0.449	0.005	0.82
3078	2.131	1.36	0.726
3080	0.928	0.488	0.477
3082	0.636	0.355	0.824
3083	0.491	0.438	0.687
3084	0.119	0.037	0.629
3085	1.861	1.808	0.262
3086	0.174	0.427	0.181
3087	0.368	0.342	0.901
3088	1.789	1.379	1.497
3089	1.166	1.2	0.002
3090	1.818	1.029	1.478
3091	1.833	0.903	3.456
3092	0.026	0.085	0.057
3095	0.589	1.176	0.74
3096	0.921	0.322	1.465
3097	0.582	0.367	1.246
3099	0.249	0.493	0.017
3100	0.252	0.19	0.67
3101	0.809	0.488	0.202
3102	0.013	0.293	0.07
3103	0.506	0.299	0.991
3104	0.375	1.037	0.115
3105	0.019	0.031	0.37
3106	0.028	0.369	1.636
3108	1.685	2.144	0.436
3109	0.401	0.188	0.765
3114	1.484	0.597	1.259
3115	0.714	1.017	0.572
3116	0.388	0.125	0.069
3117	0.557	0.719	1.827
3118	0.302	0.514	0.858
3119	0.128	0.174	0.19
3120	0.237	0.65	0.391
3122	0.087	0.285	1.364
3124	0.323	0.246	0.244
3125	0.673	0.768	1.015
3126	0.75	0.366	0.201
3129	0.136	0.014	0.152
3130	0.234	0.163	0.359
3131	0.605	0.022	0.162
3134	0.28	1.334	0.257
3136	0.076	0.106	0.212
3138	0.681	0.653	0.313
3139	0.398	0.605	0.104
3140	0.143	0.349	0.906
3141	0.01	0.028	0.657
3142	0.501	0.011	0.172
3145	0.321	0.071	0.746
3146	0.256	0.156	1.826
3148	0.582	0.293	1.088
3149	0.808	0.116	0.842
3152	0.287	0.05	0.152
3153	0.53	0.522	1.9
3154	0.696	1.013	0.461
3155	0.363	0.169	0.665
3156	0.599	0.503	0.175
3157	0.648	0.308	0.743
3158	0.059	0.124	1.432
3160	0.988	0.796	0.077
3161	0.148	0.321	0.27
3163	0.524	0.069	0.455
3164	0.602	0.454	0.675
3165	0.294	0.115	1.431
3166	0.039	0.367	1.128
3169	1.947	2.731	0.681
3170	0.257	1.117	0.667
3172	0.123	0.074	1.69
3173	0.238	0.428	0.033
3176	0.111	0.495	0.068
3179	1.184	0.815	0.063
3181	0.32	0.189	0.72
3187	0.173	0.005	0.026
3188	0.786	0.607	0.458
3190	0.579	0.707	0.849
3191	0.083	0.428	0.284
3192	0.263	0.684	0.067
3193	0.975	0.579	1.165
3198	0.364	0.254	0.226
3199	0.097	0.278	1.031
3201	0.181	0.2	0.28
3202	1.282	1.207	0.179
3203	0.144	0.056	0.147
3204	0.109	0.058	0.333
3205	0.355	0.751	0.419
3206	0.488	0.541	0.307
3207	0.752	0.576	0.398
3210	0.713	1.463	0.107
3211	0.436	0.058	0.068
3213	0.334	0.674	0.103
3215	0.511	0.419	0.776
3219	0.063	0.132	0.111
3221	0.008	0.1	0.919
3223	0.272	0.474	0.213
3224	0.034	0.44	0.991
3225	1.336	0.676	0.322
3226	0.159	0.149	0.363
3227	0.271	0.116	1.757
3228	0.723	0.728	0.74
3229	0.092	0.694	1.002
3230	0.191	0.273	0.199
3231	0.559	0.502	0.013
3232	0.469	0.531	0.153
3234	2.422	1.768	0.203
3236	0.269	0.082	1.321
3238	0.247	0.077	1.44
3239	0.488	0.678	0.724
3240	0.233	0.448	0.628
3241	1.358	1.37	0.125
3242	0.894	0.959	0.812
3245	0.29	0.08	0.434
3246	0.037	0.607	0.174
3249	0.196	0.007	1.171
3252	0.765	0.731	0.221
3253	0.149	0.328	0.068
3254	0.457	0.362	0.384
3256	0.055	0.18	0.55
3257	0.839	0.444	0.3
3258	0.566	0.219	0.056
3260	0.118	0.24	0.479
3261	0.008	0.451	0.056
3263	0.273	0.052	0.263
3264	0.351	0.055	0.698
3265	0.048	0.053	0.099
3266	0.083	0.001	0.471
3267	0.445	0.076	0.182
3268	0.14	0.126	0.057
3269	0.581	0.012	0.144
3271	0.097	0.481	0.241
3272	0.015	0.131	0.255
3273	0.041	0.479	0.058
3274	0.163	0.318	0.174
3275	0.079	0.489	0.274
3276	1.339	0.425	0.118
3277	0.402	0.418	0.325
3278	0.045	0.073	1.066
3279	0.344	0.653	0.216
3280	1.185	0.19	0.338
3281	0.072	0.055	0.276
3282	0.593	2.268	0.584
3283	0.135	0.154	0.326
3284	0.044	0.251	0.362
3285	0.287	0.88	0.677
3287	0.518	0.477	0.005
3288	0.01	0.345	0.512
3289	1.098	1.55	0.128
3290	0.039	0.033	0.29
3291	0.06	0.108	0.156
3293	0.144	0.756	0.817
3294	0.215	0.365	0.254
3295	0.328	0.165	2.745
3296	0.225	0.199	0.663
3297	0.068	0.603	1.363
3298	0.219	0.184	0.109
3301	0.21	0.231	0.649
3302	0.025	0.023	0.302
3303	0.152	0.372	0.509
3304	0.08	0.132	1.544
3306	0.378	0.233	0.574
3307	0.306	0.403	1.276
3308	0.633	1.314	1.93
3309	0.356	0.563	1.535
3310	0.422	0.401	0.692
3311	0.193	0.102	0.31
3316	1.152	0.555	1.551
3317	0.195	0.153	0.125
3321	0.121	0.147	1.728
3322	0.362	0.937	0.076
3323	0.138	0.12	0.102
3325	0.803	1.481	1.063
3326	0.253	0.074	0.18
3327	1.023	0.614	0.007
3328	0.282	1.207	0.017
3329	0.109	0.058	1.014
3330	0.124	0.107	0.035
3331	0.025	0.168	0.012
3332	0.06	0.019	1.057
3333	0.106	0.153	0.375
3335	1.24	0.866	1.031
3336	0.015	0.153	1.452
3338	0.311	0.119	0.544
3339	0.046	0.016	0.134
3341	0.18	0.085	0.486
3342	1.387	1.112	0.01
3343	0.97	1.454	0.361
3345	0.265	0.216	0.058
3346	0.189	0.567	0.046
3347	0.536	0.193	0.614
3348	0.865	1.808	1.554
3349	0.807	1.271	1.164
3350	0.437	0.041	0.601
3351	0.258	0.016	0.106
3355	0.238	0.114	0.653
3357	0.613	0.489	1.121
3358	0.162	0.417	0.263
3363	0.516	0.393	0.753
3364	0.022	0.024	0.382
3365	0.303	0.173	1.03
3366	0.167	0.445	1.025
3367	0.491	0.833	0.697
3369	0.316	0.196	0.299
3372	0.11	0.018	0.28
3374	0.53	0.415	0.84
3377	1.864	1.611	0.46
3378	0.119	0.46	0.571
3379	1.421	0.607	0.277
3381	0.03	0.495	0.029
3383	0.048	0.059	0.485
3384	0.107	0.186	0.525
3385	0.589	0.561	0.188
3386	0.497	0.532	0.778
3387	0.821	0.792	0.01
3388	0.371	0.139	1.282
3389	0.056	0.022	0.606
3390	1.948	2.276	0.04
3391	0.54	0.216	0.564
3392	0.185	0.975	0.961
3395	0.376	0.222	0.111
3396	0.538	0.289	0.243
3398	0.215	0.095	0.301
3399	0.08	0.193	0.31
3402	0.701	0.185	2.175
3403	0.357	0.029	0.468
3404	0.234	0.988	0.027
3405	0.944	0.33	0.524
3406	0.452	0.751	0.38
3407	0.407	1.722	0.209
3412	0.217	0.126	0.001
3413	0.195	0.379	0.057
3414	0.042	0.62	0.992
3415	0.073	0.341	0.329
3416	0.471	0.094	0.315
3417	2.25	1.304	2.484
3418	0.399	0.036	1.015
3420	0.149	0.222	0.072
3421	0.243	0.925	0.771
3422	1.045	1.128	0.212
3423	0.227	0.082	1.04
3425	0.051	0.516	0.328
3426	1.528	2.093	0.155
3427	0.833	1.514	0.029
3428	0.105	0.1	0.561
3429	0.6	0.26	0.42
3431	0.837	1.383	1.191
3432	0.887	0.615	0.289
3433	1.789	1.272	1.508
3435	0.926	2.061	0.613
3436	0.057	0.199	0.513
3437	0.351	0.086	1.758
3438	0.05	0.485	0.151
3439	0.796	0.13	3.07
3440	0.252	0.047	0.097
3441	0.765	1.296	0.36
3442	0.851	0.975	0.955
3443	0.363	0.307	1.175
3444	0.325	0.045	0.372
3445	0.224	0.001	0.073
3450	0.082	0.033	0.19
3452	1.384	1.02	0.968
3453	1.059	0.852	0.983
3454	0.098	0.326	1.135
3455	0.264	0.084	0.189
3456	0.037	0.11	0.37
3457	0.697	0.398	0.303
3458	0.388	0.171	1.077
3460	0.467	0.438	1.132
3461	0.198	0.108	0.154
3462	0.178	0.293	0.757
3465	0.181	0.188	0.032
3466	0.022	0.345	0.887
3467	2.569	1.36	4.138
3468	0.478	0.396	0.565
3471	0.457	0.228	0.409
3472	0.486	0.853	0.354
3474	0.056	0.063	0.361
3475	0.41	0.188	0.509
3476	0.221	0.24	0.995
3477	0.192	0.107	0.31
3479	0.366	0.7	0.231
3480	1.511	0.914	1.373
3481	0.377	0.929	0.046
3482	1.97	1.129	1.607
3484	0.513	1.101	0.806
3487	0.268	0.075	0.915
3488	1.881	2.616	1.489
3489	0.037	0.166	0.133
3490	0.527	0.446	1.128
3492	0.053	0.368	0.099
3494	0.138	0.157	1.19
3495	0.832	0.532	1.206
3496	0.034	0.043	0.535
3497	0.065	0.058	0.185
3500	0.113	0.297	0.991
3501	0.464	0.248	1.232
3502	0.521	0.034	0.698
3503	0.449	0.691	0.335
3504	0.02	0.062	1.935
3505	0.218	0.243	0.097
3506	0.032	0.01	0.387
3507	0.025	0.523	0.137
3508	0.013	0.443	0.028
3509	0.443	0.385	0.152
3510	0.07	0.618	0.111
3511	1.466	0.773	1.302
3512	0.723	0.246	0.522
3514	0.039	0.134	0.463
3515	0.495	0.085	1.661
3516	0.866	1.231	0.657
3517	0.305	0.078	0.32
3519	0.138	0.254	1.212
3520	0.675	0.742	0.249
3521	0.222	0.166	1.49
3523	0.002	0.051	0.671
3524	0.445	0.981	1.653
3525	0.024	0.092	0.083
3526	1.059	0.232	1.085
3527	0.393	0.011	0.648
3530	0.997	0.582	0.404
3534	1.41	1.388	0.964
3535	0.952	0.64	1.069
3536	0.561	0.106	0.453
3537	0.119	0.079	0.986
3538	0.746	0.245	0.021
3539	1.057	0.021	1
3540	0.317	0.612	0.361
3541	0.172	0.018	0.233
3542	0.247	0.266	1.284
3544	0.055	0.103	0.079
3545	0.664	0.502	0.47
3547	1.188	1.015	0.806
3548	0.13	0.003	0.157
3550	0.625	0.013	0.247
3551	0.077	0.092	0.288
3552	0.458	0.214	0.888
3554	0.54	0.214	0.06
3555	0.65	1.342	0.302
3556	1.925	0.848	2.688
3557	0.511	0.144	3.742
3558	0.48	0.654	0.284
3559	0.056	0.234	0.024
3562	0.038	0.262	0.277
3563	0.436	0.244	0.19
3564	0.455	0.733	0.092
3565	0.289	0.315	1.13
3566	0.048	0.342	0.966
3567	0.765	1.475	1.149
3569	0.392	0.426	0.15
3570	0.033	0.055	1.793
3573	0.343	0.058	0.51
3574	0.705	0.788	1.885
3575	0.263	0.052	0.463
3576	0.024	0.202	0.291
3577	0.25	0.614	0.717
3579	0.003	0.106	0.215
3580	0.331	0.34	0.034
3581	0.553	1.787	2.413
3583	0.085	0.305	0.36
3584	0.033	0.281	0.9
3586	2.515	2.355	1.339
3587	0.615	0.347	0.771
3588	0.131	0.075	0.555
3590	0.836	0.251	2.56
3591	1.733	1.321	0.768
3592	1.039	0.869	0.077
3595	0.629	0.61	0.266
3596	0.879	0.544	0.096
3597	0.26	0.064	0.012
3598	0.47	0.018	1.783
3599	0.427	0.589	1.179
3602	0.494	0.234	0.668
3603	0.274	0.042	0.802
3605	0.646	0.207	0.637
3606	0.064	0.059	0.687
3607	0.429	0.302	0.99
3608	0.322	0.262	0.664
3609	0.251	0.417	2.836
3611	0.894	0.285	0.682
3612	0.348	0.19	1.728
3613	0.248	0.627	0.122
3614	0.173	0.388	0.111
3615	0.277	0.428	0.268
3616	0.399	0.014	0.525
3617	0.174	0.227	0.552
3619	0.006	0.03	0.267
3620	0.194	0.178	0.197
3621	0.862	0.073	0.737
3622	0.313	0.192	0.925
3623	0.171	0.044	0.5
3624	0.821	0.846	2.975
3625	0.28	0.293	0.755
3626	0.213	0.002	0.257
3627	0.433	0.073	0.181
3628	0.653	0.653	0.273
3629	0.419	0.055	0.457
3630	0.63	0.241	0.404
3631	0.223	0.019	0.724
3632	0.997	0.674	0.709
3633	1.447	1.943	0.067
3638	0.439	0.199	0.03
3641	0.991	0.19	1.733
3642	0.094	0.048	0.303
3643	0.16	0.3	1.084
3644	0.158	0.56	0.052
3645	0.414	1.066	0.196
3646	0.28	0.141	0.369
3647	0.72	0.11	3.132
3648	0.099	0.542	0.414
3650	1.11	0.494	3.177
3652	2.055	1.301	0.262
3653	0.827	0.404	0.975
3654	0.19	0.044	0.095
3655	0.71	0.388	0.058
3656	0.71	0.269	2.258
3658	1.302	1.01	1.878
3660	0.088	0.099	0.343
3661	0.662	0.704	0.562
3663	1.142	0.104	0.134
3664	1.121	0.768	1.706
3665	0.253	0.437	0.143
3666	0.501	0.019	2.806
3667	0.553	0.134	0.098
3669	0.256	0.716	0.116
3670	0.614	0.412	1.087
3672	0.051	0.101	0.491
3673	0.199	0.48	0.504
3675	1.231	0.325	0.579
3677	0.673	0.494	0.068
3678	0.044	0.052	3.52
3679	1.038	0.572	1.223
3680	0.264	0.147	0.719
3682	0.119	0.279	0.015
3683	0.096	0.263	0.073
3684	0.016	0.173	0.017
3685	0.093	0.079	0.764
3686	0.454	0.191	0.318
3687	0.104	0.179	0.292
3689	0.472	0.13	0.44
3690	0.052	0.494	1.25
3691	0.17	0.032	0.087
3692	0.039	0.194	0.155
3693	0.18	0.087	1.358
3694	0.524	0.287	1.363
3697	0.512	0.543	1.089
3698	0.339	0.006	0.726
3699	0.15	0.162	0.729
3701	0.512	0.127	1.024
3702	0.511	0.416	0.26
3703	0.511	0.024	0.492
3704	0.548	0.308	0.319
3707	0.022	0.063	0.66
3708	0.036	0.051	0.037
3709	0.089	0.166	0.564
3710	0.5	0.64	0.041
3712	0.197	0.02	1.091
3714	0.819	0.459	1.031
3717	0.044	0.43	0.113
3719	0.723	0.419	1.898
3720	0.074	0.118	0.047
3724	0.893	0.375	0.301
3725	0.43	0.681	0.336
3726	0.002	0.085	1.073
3727	0.645	0.095	0.433
3728	0.607	0.401	0.362
3729	0.121	0.007	1.347
3730	0.042	0.2	0.05
3731	0.293	0.657	0.451
3732	0.033	0.092	0.124
3733	1.828	1.081	2.83
3737	0.36	0.002	2.409
3740	0.36	0.192	1.383
3741	0.224	0.209	0.715
3742	0.229	0.043	0.128
3743	1.078	0.98	0.105
3744	1.276	0.602	1.625
3746	0.218	0.232	0.886
3749	0.586	0.718	0.691
3751	0.69	0.171	1.013
3752	0.16	0.147	0.304
3757	0.512	0.476	0.124
3759	0.342	0.346	0.322
3761	0.871	0.268	1.798
3763	0.102	0.006	1.19
3764	0.351	0.189	0.069
3768	0.454	0.268	0.683
3770	0.109	0.571	1.764
3771	0.085	0.229	0.217
3772	0.306	0.464	0.527
3773	0.516	0.413	0.34
3774	0.05	0.324	0.374
3779	0.302	0.22	0.562
3780	0.204	0.474	0.013
3781	0.496	1.101	1.314
3782	0.505	1.598	0.06
3784	0.059	0.004	0.716
3785	0.257	0.272	0.939
3787	0.094	0.325	0.475
3788	1.181	0.58	2.692
3789	1.177	1.16	0.017
3790	0.166	0.146	0.023
3791	0.4	0.054	1.692
3792	1.46	0.599	3.128
3794	0.207	0.024	0.294
3795	0.312	0.287	0.054
3796	0.153	0.396	0.213
3797	0.434	0.233	1.039
3800	0.805	1.022	0.735
3801	0.081	0.011	0.316
3804	0.167	0.744	0.139
3806	0.816	0.021	1.04
3807	0.359	0.293	0.482
3808	1.094	1.372	0.602
3813	1.517	1.862	2.51
3814	0.182	0.139	1.318
3816	0.321	0.849	0.262
3817	0.517	0.349	0.336
