Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
1190	< 0.01	< 0.001	< 0.01
1193		< 0.1	
1196			< 0.1
1197	< 0.1	< 0.01	
1203	< 0.1		
1204		< 0.1	
1208	< 0.1		
1209			< 0.1
1213	< 0.01	< 0.01	
1218			< 0.1
1219	< 0.1	< 0.1	
1222	< 0.1	< 0.1	
1223		< 0.1	< 0.1
1224		< 0.1	
1227			< 0.1
1233		< 0.01	
1234			< 0.1
1240	< 0.1	< 0.1	
1242	< 0.1		
1244			< 0.01
1246		< 0.1	
1250	< 0.1	< 0.1	
1253	< 0.1	< 0.1	
1263	< 0.1		
1264			< 0.1
1268	< 0.1		
1273			< 0.01
1274			< 0.1
1282		< 0.1	
1285			< 0.1
1289	< 0.1	< 0.01	
1291	< 0.1		
1293			< 0.1
1307		< 0.1	
1311	< 0.1		
1320			< 0.1
1322	< 0.1	< 0.1	
1324			< 0.1
1325			< 0.1
1327	< 0.001	< 0.001	< 0.01
1334		< 0.1	
1337		< 0.1	
1338	< 0.1	< 0.1	
1343	< 0.1		
1344	< 0.1	< 0.01	
1350	< 0.1	< 0.01	
1356			< 0.1
1357	< 0.1	< 0.1	
1358		< 0.1	< 0.1
1362		< 0.1	
1363			< 0.1
1368			< 0.1
1373	< 0.1		
1377	< 0.01	< 0.1	
1380	< 0.1		
1381	< 0.1	< 0.1	
1389		< 0.1	< 0.1
1399	< 0.1	< 0.01	
1401	< 0.1		
1404		< 0.1	< 0.1
1405			< 0.1
1410	< 0.1	< 0.1	
1418	< 0.1	< 0.01	
1421	< 0.1	< 0.01	
1423	< 0.1		
1429	< 0.1	< 0.1	
1430	< 0.1	< 0.1	
1431			< 0.1
1432	< 0.1	< 0.001	
1439	< 0.1	< 0.001	
1441	< 0.01	< 0.01	
1444			< 0.1
1446	< 0.1	< 0.1	
1450	< 0.1	< 0.01	
1451	< 0.1		< 0.1
1452	< 0.1	< 0.1	
1456	< 0.1	< 0.01	
1459	< 0.1	< 0.01	
1462			< 0.1
1463			< 0.1
1464		< 0.1	
1465		< 0.1	
1466	< 0.1	< 0.1	
1468	< 0.1	< 0.1	
1469	< 0.1	< 0.1	
1475			< 0.1
1477			< 0.1
1480	< 0.01	< 0.1	
1492	< 0.1		
1493	< 0.1	< 0.01	
1494			< 0.1
1497		< 0.1	
1502			< 0.1
1503	< 0.1	< 0.1	< 0.01
1510	< 0.1	< 0.01	
1513	< 0.1	< 0.1	
1519	< 0.1		
1520			< 0.1
1523			< 0.1
1524			< 0.1
1528		< 0.01	
1529		< 0.1	
1531			< 0.1
1532			< 0.01
1533			< 0.1
1539	< 0.1	< 0.01	< 0.1
1540			< 0.1
1544		< 0.1	
1548	< 0.1	< 0.1	< 0.1
1560	< 0.1	< 0.1	
1562			< 0.1
1570	< 0.1	< 0.1	< 0.01
1571		< 0.1	< 0.1
1575	< 0.1	< 0.1	
1576	< 0.1	< 0.1	
1577			< 0.01
1580		< 0.1	
1581			< 0.1
1582	< 0.1	< 0.1	
1584	< 0.1	< 0.1	
1586	< 0.01		
1594	< 0.1	< 0.01	
1595	< 0.001	< 0.001	
1596	< 0.1	< 0.1	< 0.1
1617		< 0.1	
1623		< 0.1	
1628	< 0.01	< 0.1	< 0.01
1634	< 0.1	< 0.01	< 0.1
1635			< 0.1
1639			< 0.01
1647	< 0.1	< 0.1	
1654			< 0.1
1655		< 0.1	
1656	< 0.1	< 0.1	
1658			< 0.1
1659	< 0.1		
1669			< 0.1
1675			< 0.1
1686			< 0.1
1689			< 0.01
1701	< 0.1	< 0.1	
1702		< 0.1	
1704			< 0.1
1705		< 0.1	
1707		< 0.1	
1717			< 0.1
1719	< 0.1		
1726	< 0.1	< 0.01	< 0.1
1734			< 0.1
1736	< 0.1	< 0.01	< 0.1
1742		< 0.1	
1748	< 0.1		
1750			< 0.1
1753		< 0.01	< 0.1
1764	< 0.1	< 0.1	
1767			< 0.1
1775			< 0.1
1791	< 0.1	< 0.01	
1794			< 0.1
1795			< 0.1
1797			< 0.1
1798			< 0.1
1801	< 0.1		
1806	< 0.1		
1811			< 0.1
1825		< 0.1	< 0.1
1829			< 0.1
1830	< 0.1		
1833		< 0.1	
1834			< 0.1
1840		< 0.1	< 0.1
1841			< 0.1
1847	< 0.1	< 0.1	< 0.1
1851	< 0.1	< 0.01	
1868			< 0.1
1870	< 0.1		
1872		< 0.1	< 0.1
1876		< 0.1	
1878			< 0.01
1879			< 0.1
1882	< 0.1	< 0.01	
1883		< 0.1	
1887			< 0.1
1892			< 0.1
1893			< 0.1
1895			< 0.1
1902			< 0.1
1911	< 0.1	< 0.1	
1914	< 0.1	< 0.1	
1915	< 0.1		
1920			< 0.01
1921	< 0.1	< 0.1	< 0.1
1922			< 0.1
1925	< 0.1		< 0.1
1932	< 0.1	< 0.1	
1933			< 0.1
1935		< 0.1	
1936			< 0.1
1943	< 0.1		
1945			< 0.1
1952	< 0.1	< 0.1	
1958		< 0.1	
1960			< 0.1
1963			< 0.1
1968			< 0.1
1969	< 0.1		< 0.1
1970		< 0.1	
1971	< 0.01	< 0.001	< 0.1
1973	< 0.1	< 0.01	
1976		< 0.1	
