Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
749	1.203	1.025	0.028
752	-0.573	-1.007	1.011
754	-0.364	-1.091	0.624
757	-0.194	-0.195	1.302
761	-0.469	-0.492	1.572
768	-0.209	-0.256	1.635
770	-0.151	-0.853	1.16
771	-1.02	-1.072	1.697
777	-0.148	0.037	0.49
781	-0.03	-0.038	-0.041
789	0.436	0.365	0.64
790	0.451	-0.025	-1.667
792	-0.11	-0.345	0.068
795	-0.269	-0.756	0.351
800	0.25	0.157	-0.03
802	-0.19	0.117	-2.504
804	-0.918	-0.922	-0.305
805	-0.077	-0.142	-0.026
810	0.268	0.204	-0.222
813	-0.919	-0.294	0.671
814	-0.111	-0.416	0.954
819	0.04	-0.442	0.16
823	0.909	0.473	-0.424
826	-0.841	-0.615	0.611
834	-0.335	-0.032	0.86
836	-0.243	-0.057	0.74
841	-0.259	-0.012	-0.857
843	0.343	0.051	-0.114
844	0.346	0.245	0.004
845	0.63	0.268	-0.314
848	-0.173	0.202	-0.037
850	-0.244	-1.383	0.041
858	-0.592	-1.27	1.106
862	-0.263	-0.523	-0.108
870	-0.565	-0.046	0.715
873	0.195	-0.183	1.3
882	0.293	0.266	1.403
887	-1.455	-1.13	0.719
891	0.058	-0.44	0.226
892	-1.092	-1.041	0.351
894	-0.057	-0.087	-0.014
896	0.096	-0.168	0.235
897	-0.215	-0.185	0.852
899	-0.381	-0.201	0.324
901	-0.034	-0.396	-0.025
904	0.452	0.255	-0.221
907	-0.519	-0.864	1.104
914	-1.844	-1.523	0.736
916	-0.796	-0.139	1.617
918	-0.493	-0.023	0.933
921	-0.941	-0.97	-0.147
922	-0.722	-1.024	1.775
923	-0.339	-0.124	1.516
937	0.002	0.312	-0.359
939	-1.022	-1.013	2.19
955	-0.597	-0.369	0.58
960	0.078	0.261	0.906
961	-0.901	-1.182	0.76
962	-0.559	-0.906	1.315
971	-0.092	0.12	0.032
975	-0.515	-0.539	0.185
976	-0.141	-0.548	0.13
977	-1.611	-0.949	0.926
979	-0.809	-0.618	0.473
980	-1.241	-0.82	0.496
982	0.222	0.185	0.09
985	-0.611	-0.132	1.192
988	-0.166	0.024	0.688
991	-0.138	-0.799	1.301
1002	0.094	-0.215	-0.029
1004	-0.489	0.218	-0.371
1006	-0.18	-0.064	0.831
1008	-0.253	-0.494	0.632
1013	-0.382	-1.141	1.108
1014	-1.032	-0.952	-0.096
1016	-0.341	-0.61	0.939
1020	-1.064	-0.978	1.066
1023	-0.139	0.154	-0.949
1025	-0.046	-0.331	-0.232
1029	-0.11	-0.177	-0.648
1032	-0.705	-0.32	0.783
1044	0.233	0.454	-0.263
1052	-0.143	-0.07	-0.084
1061	0.069	0.561	0.018
1067	-0.007	0.136	0.072
1070	0.152	0.048	-0.388
1072	0.156	0.115	-0.559
1074	-0.61	-0.59	0.638
1076	0.054	-0.317	-0.205
1078	-0.533	0.021	-0.033
1080	-1.227	-0.237	-0.02
1084	-0.803	-0.639	0.82
1094	-0.823	-0.519	1.739
1101	0.097	-0.093	0.318
1102	0.899	0.353	0.455
1106	-0.003	-0.064	-0.223
1107	0.151	0.338	-0.259
1111	0.064	0.236	0.045
1112	-0.371	-0.445	-0.335
1137	0.402	0.957	-0.604
1138	-0.18	-0.268	-0.054
1147	-0.557	-0.764	0.383
1151	-0.221	-0.446	0.912
1152	0.396	0.133	0.821
1163	0.007	-0.062	-0.227
1185	-1.616	-1.502	0.283
1190	-1.178	-1.857	0.141
1192	-0.189	-0.318	0.321
1198	0.369	0.167	0.283
1199	0.036	0.125	-0.908
1200	-0.346	-0.181	0.42
1201	0.474	1.108	-0.013
1202	0.486	0.079	0.248
1203	0.316	0.058	-0.138
1204	0.014	-0.265	-0.204
1205	0.367	0.31	-0.019
1206	-0.027	0.051	0.437
1207	0.112	-0.029	0.185
1209	0.097	0.589	-0.157
1210	-0.608	0.063	0.994
1213	0.779	-0.082	-0.186
1214	0.82	-0.053	-0.187
1216	-0.085	0.205	0.298
1217	0.55	0.186	0.622
1218	0.29	-0.05	-0.524
1219	0.003	0.1	1.913
1221	-0.058	-0.124	-0.227
1222	0.114	0.368	-0.284
1223	-0.227	-0.344	1.047
1226	0.221	0.053	-0.04
1227	0.618	1.267	-0.207
1228	0.108	-0.131	0.722
1229	-0.396	-0.435	-0.35
1230	-1.09	-0.4	1.297
1231	-0.008	0.038	-0.143
1232	-0.702	-0.35	-0.014
1233	0.243	0.306	0.037
1234	1.197	0.281	-0.214
1235	0.772	0.893	-0.726
1236	-1.501	-0.875	1.879
1237	1.031	0.003	-0.557
1239	-0.16	0.147	-0.026
1240	0.031	-0.028	0.279
1241	-0.038	-0.03	0.658
1242	-0.146	0.015	0.625
1243	0.089	0.02	0.198
1245	0.248	-0.016	-1.121
1247	0.425	0.968	-0.302
1248	0.544	0.204	0.379
1249	0.223	0.02	-0.817
1250	-1.099	-0.984	0.362
1251	0.178	0.071	-0.055
1252	1.041	0.773	-0.247
1253	0.492	0.232	-1.776
1254	-0.642	-0.781	0.681
1255	0.851	1.541	-0.511
1256	-0.002	-0.14	-0.355
1257	0.349	-0.04	-0.298
1258	-1.163	-1.12	0.815
1259	-0.403	-0.467	-0.214
1261	-0.529	-0.568	0.443
1262	-0.384	-0.164	-0.754
1263	0.941	0.929	-0.767
1264	0.272	0.303	-0.315
1265	0.458	0.614	-1.295
1266	-0.384	-0.206	-0.323
1267	-0.383	-0.503	0.037
1268	-1.017	-0.378	-0.012
1269	0.223	0.074	-0.363
1270	-0.327	-0.654	0.632
1271	0.25	0.495	0.11
1273	-0.448	-0.77	1.383
1274	0.112	-0.271	-0.75
1276	1.433	1.76	-0.618
1277	-0.633	-1.193	0.454
1278	0.069	0.121	1.037
1279	0.343	0.187	-0.737
1280	-0.054	-0.287	-0.324
1281	-0.042	-0.145	-0.171
1282	-0.841	-0.924	-0.021
1283	0.025	0.039	-0.356
1284	0.424	0.126	-0.179
1285	-0.856	-0.36	0.14
1286	-0.132	-0.357	-0.026
1289	-0.076	0.166	0.93
1290	0.855	0.139	-2.799
1291	0.002	-0.413	-0.171
1292	-0.211	-0.048	0.18
1293	-0.864	-1.216	0.415
1295	-0.61	-1.309	1.146
1296	-0.148	0.032	0.118
1297	0.12	-0.011	-0.018
1298	-0.466	-0.638	0.697
1301	-0.186	-0.139	0.024
1302	-0.182	0.386	0.621
1303	-0.241	-0.404	-1.259
1304	-1.05	-1.437	0.633
1305	0.168	0.411	-1.421
1306	1.421	0.939	-1.372
1307	-0.561	-0.496	-0.022
1308	0.316	0.902	0.26
1309	-0.221	-0.324	0.326
1310	1.541	0.646	-0.486
1311	0.058	0.114	0.348
1312	-0.368	-0.564	-0.169
1313	0.224	-0.064	-0.045
1314	-0.561	-0.461	0.714
1315	-0.864	-2.014	-0.049
1316	0.143	0.12	0.563
1318	0.618	0.011	-1.118
1319	-1.312	-0.533	0.305
1320	-1.219	-0.767	0.031
1321	0.175	0.099	-0.478
1322	0.209	0.039	-1.978
1324	0.818	0.13	-0.949
1325	-0.285	0.008	0.483
1327	-0.155	-0.088	-0.548
1329	-0.056	-0.127	0.02
1330	0.333	0.534	-0.142
1331	0.362	0.014	0.116
1332	-1.483	-1.629	0.789
1334	-0.11	-0.355	-0.244
1335	0.13	-0.294	0.516
1336	0.817	1.079	-0.444
1337	0.08	0.129	-0.067
1338	-1.933	-1.459	1.209
1340	0.142	-0.208	-0.194
1341	-0.37	-1.02	-0.035
1342	0.131	-0.083	-0.105
1344	-0.639	-0.955	0.209
1346	0.515	0.347	-0.012
1347	-0.538	-0.804	0.291
1348	-0.069	0.059	-0.372
1349	-1.142	-0.775	0.849
1351	-0.208	-0.269	0.006
1355	0.2	0.22	-0.093
1356	-1.688	-1.05	0.7
1357	-0.266	-0.173	-0.068
1358	0.274	0.005	-0.276
1359	0.09	0.001	-0.646
1360	-0.048	-0.373	-0.295
1362	-0.133	-0.759	-0.092
1363	-0.39	-0.391	-0.491
1364	-0.593	-0.874	0.772
1366	-0.765	-0.387	0.003
1367	0.796	0.712	-0.367
1368	0.225	0.334	0.243
1369	-0.054	-0.363	-0.747
1370	0.083	-0.222	-0.864
1371	-0.341	-0.535	-0.13
1372	-1.159	-0.995	0.877
1373	0.327	0.073	-0.065
1374	-0.254	-0.194	0.385
1375	-1.058	-1.008	-0.592
1376	0.289	0.078	0.052
1377	-0.851	-0.236	-0.238
1379	0.85	0.25	0.135
1380	-0.589	-1.927	-0.347
1382	-0.237	-0.23	0.331
1383	0.41	0.596	-0.122
1384	-0.199	-0.288	-0.018
1385	0.461	0.084	-0.136
1387	0.011	-0.189	-0.242
1388	-0.303	-1.134	0.506
1389	1.37	0.425	-2.962
1391	-0.415	-0.432	0.147
1392	-0.838	-1.18	0.472
1394	0.871	0.798	-0.193
1395	-0.346	-1.529	0.696
1396	0.024	-0.035	-0.083
1397	-0.69	-0.811	0.649
1398	0.568	0.368	-0.534
1399	0.057	-0.233	0.229
1400	-0.125	-0.144	-0.089
1402	-0.218	-0.115	-0.104
1403	-0.927	-1.216	0.481
1404	-0.91	-0.255	0.712
1405	-0.244	-1.027	1.257
1406	-0.381	-0.347	0.144
1407	-0.215	-0.265	-0.682
1408	-0.293	-0.241	-0.29
1409	0.485	0.041	-2.412
1410	-0.11	-0.261	0.363
1411	0.095	0.072	-1.095
1412	1.326	0.736	-1.107
1413	0.271	0.122	-1.688
1414	0.15	-0.281	-0.828
1415	-0.513	-0.476	-0.022
1416	-0.615	-1.059	0.016
1417	0.16	0.677	-0.071
1418	-0.014	-0.198	0.006
1419	-0.078	-0.442	-0.263
1420	-0.567	-0.993	0.796
1421	-0.038	-0.174	-0.53
1422	-1.133	-1.514	1.028
1423	1.003	0.881	-0.6
1424	-0.152	0.14	-0.153
1426	0.101	-0.106	-0.297
1427	0.373	0.569	0.165
1428	-0.664	-0.81	-0.084
1429	-0.662	-0.828	0.246
1430	-0.524	-0.508	1.241
1431	-1.669	-2.246	2.326
1432	-0.451	-0.584	0.538
1433	-2.09	-2.428	1.268
1434	-0.712	-0.947	0.501
1435	0.391	0.122	-0.158
1436	-1.945	-1.866	1.115
1438	0.04	0.103	-0.377
1439	-0.134	-0.073	-0.023
1440	-0.414	-0.3	-0.004
1442	0.146	0.19	0.124
1443	0.322	0.445	0.103
1444	-0.251	-0.475	-0.013
1446	-1.186	-0.413	0.356
1448	-0.311	-0.292	0.088
1449	0.757	0.939	-0.165
1450	-0.655	-1.319	0.025
1453	-0.032	0.057	0.458
1456	0.353	0.028	0.395
1457	-0.097	-0.159	0.17
1458	0.514	0.098	0.133
1459	-0.816	-0.759	0.867
1460	-1.178	-0.703	1.093
1461	-0.088	0.152	0.279
1462	0.046	-0.153	0.105
1464	-0.56	-0.792	-0.284
1465	-0.844	-0.776	0.244
1466	0.046	0.039	0.063
1468	-0.626	-0.241	0.66
1469	-0.886	-0.878	0.069
1470	-0.12	-0.212	0.104
1471	0.414	0.573	0.259
1473	0.079	-0.019	-0.085
1476	-0.231	-0.268	0.013
1477	-0.257	-0.152	0.42
1480	-0.191	-0.25	-0.156
1481	-0.296	-0.879	0.788
1482	-1.352	-1.588	-0.761
1483	-0.322	-0.721	0.677
1484	-0.211	-0.446	-0.445
1485	-0.64	-0.329	0.017
1486	-0.903	-1.227	0.695
1487	0.695	0.067	-2.937
1488	0.58	0.008	-0.482
1489	0.168	-0.055	-0.791
1491	0.287	0.887	0.632
1492	-0.857	-0.921	-0.418
1494	-1.605	-1.994	0.174
1496	0.958	0.072	-0.631
1497	0.152	0.385	0.09
1498	-0.01	-0.609	-1.319
1499	-0.045	-0.013	1.675
1500	0.24	0.052	-0.592
1501	-0.108	-0.224	0.198
1502	0.628	0.737	-0.595
1503	-0.192	-0.356	-0.273
1504	-0.376	-0.24	0.387
1506	0.609	0.633	-0.23
1507	-0.941	-1.216	-0.742
1509	-0.054	-0.402	0.846
1510	-1.052	-0.696	0.327
1511	-0.063	-0.124	0.13
1512	0.609	1.068	1.24
1513	0.426	0.263	-0.402
1514	-1.594	-2.812	0.109
1515	0.799	1.241	0.069
1516	0.439	1.185	0.223
1517	0.292	0.164	-1.363
1518	0.995	1.653	0.092
1519	-0.135	-0.408	0.03
1520	-0.051	-0.251	0.051
1521	0.299	0.123	-0.787
1523	-0.138	-0.906	0.337
1524	-0.294	-0.532	-0.773
1525	-0.757	-1.622	0.459
1526	-1.489	-1.709	0.374
1527	-0.207	-0.439	0.098
