Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
507	0.6	0.353	0.227
508	0.972	0.655	0.5
509	0.049	0.093	0.918
511	0.696	0.567	0.731
512	0.522	0.604	0.277
517	0.476	0.595	0.173
518	0.663	0.686	0.127
519	0.122	0.05	0.915
521	0.934	0.713	0.356
522	0.801	0.622	0.098
523	0.972	0.756	0.726
524	0.929	0.756	0.001
526	0.164	0.321	0.164
527	0.97	0.519	0.788
528	0.65	0.604	0.068
529	0.006	0.006	0.979
532	0.28	0.215	0.09
533	0.606	0.635	0.238
534	0.569	0.814	0.878
535	0.186	0.074	0.984
536	0.074	0.005	0.002
537	0.027	0.008	0.484
538	0.605	0.7	0.756
540	0.277	0.169	0.651
541	0.828	0.349	0.351
542	0.637	0.902	0.103
543	0.818	0.955	0.448
544	0.551	0.811	0.731
545	0.141	0.183	0.578
548	0.065	0	0.577
549	0.001	0	0.443
550	0.586	0.748	0.738
551	0.262	0.137	0.242
552	0.12	0.121	0.015
553	0.84	0.638	0.127
554	0.467	0.781	0.553
555	0.514	0.443	0.964
556	0.871	0.375	0.847
557	0.164	0.364	0.162
558	0.043	0.028	0.282
559	0.355	0.418	0.998
560	0.834	0.992	0.7
561	0.913	0.348	0.548
562	0.022	0.006	0.38
563	0.063	0.02	0.896
564	0.616	0.204	0.512
565	0.993	0.415	0.132
566	0.036	0.001	0.155
567	0.536	0.617	0.046
568	0.364	0.092	0.395
570	0.854	0.294	0.622
571	0.053	0.048	0.339
572	0.512	0.584	0.054
573	0.807	0.335	0.088
574	0.793	0.948	0.453
575	0.584	0.328	0.891
576	0.316	0.086	0.193
577	0.928	0.343	0.696
578	0.305	0.061	0.626
579	0.479	0.437	0.346
581	0.889	0.347	0.04
582	0.525	0.631	0.529
583	0.31	0.62	0.954
584	0.026	0.144	0.683
585	0.216	0.173	0.675
587	0.225	0.054	0.49
588	0.041	0.005	0.021
589	0.757	0.266	0.866
590	0.103	0.381	0.039
591	0.944	0.85	0.804
592	0.692	0.323	0.251
593	0.499	0.265	0.249
594	0.919	0.731	0.973
595	0.759	0.358	0.452
597	0.654	0.966	0.032
598	0.015	0.004	0.581
599	0.773	0.932	0.115
600	0.76	0.888	0.404
601	0.924	0.448	0.986
603	0.72	0.217	0.272
604	0.05	0.156	0.745
605	0.007	0.033	0.041
606	0.066	0.134	0.885
608	0.118	0.05	0.611
609	0.131	0.128	0.616
610	0.07	0.045	0.009
611	0.954	0.799	0.532
612	0.481	0.165	0.73
613	0.884	0.806	0.672
614	0.34	0.122	0.011
615	0.144	0.625	0.926
617	0.091	0.069	0.597
618	0.436	0.359	0.578
620	0.269	0.047	0.53
621	0.805	0.624	0.77
622	0.485	0.569	0.059
623	0.115	0.148	0.054
624	0.334	0.17	0.761
625	0.407	0.12	0.995
626	0.288	0.09	0.08
627	0.008	0.002	0.875
628	0.515	0.361	0.855
629	0.324	0.254	0.95
630	0.1	0.283	0.72
631	0.106	0.038	0.218
632	0.889	0.751	0.402
633	0.372	0.273	0.063
634	0.052	0.122	0.23
635	0.857	0.669	0.524
636	0.843	0.655	0.22
637	0.936	0.882	0.124
638	0.633	0.477	0.725
639	0.35	0.589	0.524
642	0.969	0.194	0.328
643	0.079	0.097	0.111
644	0.977	0.324	0.293
645	0.842	0.318	0.55
647	0.02	0.01	0.352
648	0.672	0.29	0.208
651	0.584	0.052	0.836
652	0.302	0.205	0.971
653	0.669	0.918	0.607
654	0.058	0.01	0.104
655	0.988	0.432	0.773
656	0.547	0.677	0.661
657	0.518	0.47	0.408
658	0.451	0.865	0.661
660	0.505	0.145	0.928
661	0.195	0.037	0.692
663	0.596	0.723	0.083
664	0.077	0.229	0.903
665	0.224	0.186	0.807
666	0.388	0.601	0.553
667	0.675	0.77	0.944
668	0.689	0.528	0.897
669	0.837	0.309	0.378
