Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
264	-0.227	0.434	0.202
265	1.344	0.693	0.003
266	-0.029	-0.095	0.053
267	-0.648	-0.359	0.548
269	0.228	0.366	-0.17
270	0.007	0.076	-0.018
271	-2.017	-1.914	0.491
272	-0.02	-0.489	0.49
273	0.52	0.409	-1.108
274	0.108	-0.328	-0.613
275	-0.449	-0.565	-0.139
277	-0.161	-0.204	0.391
278	-0.067	-0.409	-0.386
279	-0.305	-0.405	0.006
281	-0.226	0.131	-0.178
282	0.903	1.016	1.28
283	2.2	3.202	-0.055
284	1.578	1.932	-0.78
285	0.192	0.413	0.685
286	0.003	0.11	-0.018
287	0.73	1.291	-0.322
288	-0.233	-0.094	-0.658
290	0.354	-0.177	-0.898
291	-0.279	-0.316	-1.102
292	-0.486	-0.262	-0.092
293	0.237	0.453	-0.935
295	-0.106	-0.053	-0.043
296	-0.154	-0.097	-0.069
297	0.337	0.833	0.445
298	0.146	-0.374	0.338
299	0.533	0.703	-0.609
300	0.024	-0.026	-0.094
301	-0.084	-0.23	-0.788
302	0.114	0.206	0.242
303	1.063	1.013	-0.974
304	0.231	0.414	-0.422
305	-0.158	0.209	0.165
306	0.015	-0.082	0.491
307	0.997	0.652	-1.855
308	-0.063	0.009	0.476
309	-0.049	-0.292	-0.466
310	0.246	0.024	-0.002
311	0.419	0.084	-1.747
312	0.573	0.276	0.37
313	-0.278	-0.004	-0.166
314	-0.437	-0.569	-0.507
316	1.58	1.407	0.171
318	0.186	0.381	-1.344
319	0.154	0.2	0.625
320	-0.325	0.165	-0.061
321	0.537	0.166	0.623
322	0.028	0.531	0.256
323	-0.156	-0.165	0.349
324	0.525	1.651	-0.131
328	0.006	0.14	0.484
329	0.326	0.532	0.118
330	1.149	0.576	1.179
333	0.869	0.321	-0.535
334	0.091	0.403	-0.272
335	0.385	0.881	-0.635
336	0.332	0.432	0.08
337	0.018	-0.148	0.871
338	-1.044	-0.946	0.36
339	0.991	2.139	-0.366
341	0.118	0.007	-0.354
342	-1.604	-0.51	-0.407
343	0.147	-0.105	1.27
344	-0.352	-0.44	0.239
346	0.286	-0.003	-0.462
347	-0.089	-0.05	0.63
348	-0.259	-0.359	0.586
349	0.279	-0.018	-0.609
350	0.357	0.574	-0.056
351	-0.089	0.056	-0.516
352	0.42	-0.03	-0.389
353	0.453	0.077	-0.151
354	0.201	0.08	-0.317
355	2.018	3.089	-0.54
356	-0.406	-0.192	0.693
357	0.15	0.044	1.124
358	0.291	0.78	0.685
359	-2.545	-1.851	0.845
360	-0.569	-0.697	0.105
364	-0.314	-0.638	-0.018
365	2.487	2.546	0.023
366	0.186	0.015	-0.857
367	-0.14	0.012	1.555
368	-0.183	-0.063	-0.23
369	-0.119	-0.016	-0.006
370	-0.263	-0.305	0.342
371	0.282	1.007	-0.245
372	0.045	-0.053	0.308
373	0.335	0.135	0.497
374	0.122	0.396	-0.48
375	0.164	0.077	0.013
376	-0.349	0.176	0.028
377	-0.015	0.036	-1.175
378	0.168	-0.366	-0.916
379	-0.025	-0.121	-0.042
380	-0.45	-0.637	0.093
381	-0.023	0.021	-1.595
382	0.857	0.375	0.389
383	0.117	0.058	0.075
385	-0.135	0.079	0.011
386	0.456	0.653	0.193
390	-0.289	-0.13	0.812
391	0.277	0.332	-0.58
392	-0.07	-0.108	0.383
394	0.615	0.023	0.305
396	-0.095	-0.592	-0.856
397	0.534	0.301	0.595
399	-0.047	0.005	0.228
400	0.12	0.245	0.897
401	0.279	0.276	-0.521
402	0.018	-0.104	0.142
403	-0.984	-1.255	-0.953
404	-0.941	-0.953	0.138
405	0.152	0.35	0.024
406	0.138	0.032	-0.036
408	0.153	0.015	0.498
410	0.806	0.25	-0.935
411	-0.264	-0.146	0.624
412	-0.264	-0.06	0.103
413	-0.017	0.206	0.139
414	0.222	-0.02	0.01
416	0.269	0.389	0.271
418	0.944	0.555	0.825
419	-0.584	-1.132	-0.112
420	0.456	0.948	0.356
421	0.622	0.475	-0.759
422	-0.36	-0.204	0.571
423	0.083	0.155	-0.665
424	0.67	0.777	0.169
425	-0.241	0.128	0.463
426	-0.009	-0.246	-1.192
427	-0.236	0.146	-0.272
428	0.178	0.026	0.11
429	0.288	0.836	-0.069
430	0.688	0.458	-0.021
431	0.4	-0.102	-0.798
432	-0.093	0.063	0.825
433	-0.16	-0.624	0.82
434	0.178	-0.297	-0.449
435	-0.082	-0.257	-0.704
436	-0.224	-0.327	-0.098
437	0.348	-0.055	-1.923
439	-0.481	-0.282	0.043
440	-0.348	-0.437	-0.017
442	-0.497	-1.054	-0.142
443	0.622	0.251	-1.545
445	0.884	0.584	0.863
446	0.005	-0.232	-0.287
448	0.01	-0.594	-0.356
449	-0.724	-0.312	0.406
450	0.008	0.1	1.254
453	0.149	-0.428	0.606
456	-0.067	-0.095	-0.219
457	-0.235	-0.136	0.911
458	0.466	1.018	-0.167
459	0.555	0.504	-0.306
460	-0.403	0.076	-0.094
463	-0.077	0.129	0.75
464	0.26	0.707	0.739
465	0.672	0.886	0.229
467	-0.325	-0.302	-0.109
468	-0.002	-0.239	-0.299
469	0.071	-0.113	0.229
471	-0.298	0.18	0.078
472	-0.351	-0.925	-0.162
474	0.149	0.317	-0.023
475	0.475	0.564	-1.275
476	-0.352	-1.021	-0.335
478	-0.112	-0.076	0.58
479	0.254	-0.325	1.11
480	-0.398	-0.147	0.273
481	0.392	0.066	-0.261
482	0.141	-0.293	-0.401
483	-0.049	-0.008	-0.009
484	0.211	-0.188	-0.32
485	0.2	0.196	0.052
486	0.154	0.221	-0.141
488	-0.63	-0.566	-0.011
489	-0.091	0.296	-0.968
490	0.217	0.99	-0.166
491	0.054	-0.222	-0.154
494	0.439	0.559	0.117
495	1.016	0.264	1.29
497	-0.089	-0.086	1.024
498	-1.05	-0.35	-0.224
499	-0.004	0.02	-0.485
500	0.656	0.828	-1.224
501	0.077	0.254	0.745
502	-0.677	-0.939	-0.195
504	-0.141	-0.875	0.265
505	-0.244	-0.306	-0.055
507	-0.363	-0.709	0.266
509	-0.227	-0.427	0.117
510	-0.06	-0.319	-0.67
511	0.669	0.488	-0.039
512	0.218	0.061	0.261
514	0.931	0.03	-0.606
515	-0.007	-0.003	1.056
516	-0.074	-0.131	-0.397
517	0.037	-0.155	-0.612
520	0.1	0.135	-0.381
521	-0.522	-0.379	0.595
523	0.207	0.367	0.18
524	0.383	0.954	-0.009
525	0.616	0.827	-0.408
526	-0.002	-0.005	0.573
527	0.059	-0.03	0.295
528	-0.116	-0.069	1.033
529	0.265	0.118	-0.02
530	-0.691	-0.674	0.286
531	-0.377	-0.36	0.617
533	0.165	0.64	0.196
535	0.268	0.064	-0.035
537	0.085	-0.001	-0.504
538	-0.159	-0.319	0.059
539	0.148	-0.203	-0.302
540	-0.416	0.011	-0.088
541	-0.097	0.004	-0.789
542	-0.472	-0.366	0.632
544	-0.05	-0.36	-0.006
547	0.078	0.13	0.397
548	0.115	0.679	-0.07
550	-0.523	-0.397	-0.147
551	-0.155	-0.012	-0.093
552	-0.297	-0.053	0.176
553	-0.398	-0.537	0.208
554	-0.006	-0.009	-0.224
555	-0.303	0.085	-0.32
556	0.683	1.1	-0.464
557	1.982	1.724	0.032
558	1.563	1.469	-0.43
559	0.117	0.234	0.433
560	-0.337	-0.545	0.593
561	-0.742	-0.91	1.268
562	0.115	0.14	-0.837
563	-0.558	-1.2	-0.029
564	-0.305	-1.174	0.716
565	-1.797	-1.442	2.214
566	0.18	0.499	0.175
567	0.17	0.314	-0.177
568	-0.341	0.166	-0.54
569	1.544	1.559	0.006
570	0.329	0.59	-0.075
571	-1.326	-1.358	0.585
572	0.327	0.49	-0.809
573	-0.315	-0.298	1.489
574	0.011	0.36	-0.032
576	0.241	0.477	-1.105
577	-0.98	-1.181	0.049
578	0.868	0.229	0.149
579	0.164	0.501	0.248
582	0.032	-0.454	0.45
583	-0.472	-0.322	-0.009
584	0.088	0.185	-0.795
585	0.927	0.555	-0.017
