Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
1659	< 0.1	< 0.1	
1666			< 0.1
1669		< 0.1	
1673			< 0.1
1678			< 0.1
1688	< 0.01	< 0.1	
1690			< 0.1
1692	< 0.1	< 0.1	
1697	< 0.1		
1706	< 0.1	< 0.1	
1712			< 0.1
1718		< 0.1	
1726			< 0.1
1728			< 0.1
1742			< 0.1
1755			< 0.1
1760	< 0.1		< 0.1
1761	< 0.01	< 0.1	
1764			< 0.1
1767	< 0.01	< 0.001	
1768		< 0.1	
1777		< 0.1	
1784	< 0.1	< 0.1	
1789			< 0.1
1794			< 0.1
1796	< 0.1		
1820			< 0.1
1823			< 0.01
1830	< 0.1	< 0.1	
1835			< 0.1
1837			< 0.1
1843		< 0.1	
1852	< 0.01	< 0.1	< 0.001
1856		< 0.1	< 0.1
1860	< 0.1	< 0.01	
1863			< 0.1
1868	< 0.1	< 0.1	
1869			< 0.1
1870		< 0.1	
1871			< 0.1
1882	< 0.1	< 0.1	< 0.1
1885	< 0.1		< 0.1
1887			< 0.1
1888		< 0.1	
1903	< 0.1	< 0.1	
1905	< 0.1	< 0.01	
1910	< 0.1	< 0.1	< 0.1
1915			< 0.1
1916	< 0.1	< 0.1	
1917			< 0.1
1919	< 0.1	< 0.1	< 0.1
1920	< 0.1	< 0.1	
1940		< 0.1	
1948			< 0.1
1950		< 0.01	
1963	< 0.1	< 0.1	
1964		< 0.1	
1978	< 0.1	< 0.1	
1983			< 0.1
1999		< 0.1	
2007			< 0.1
2014			< 0.01
2015	< 0.1	< 0.01	
2017			< 0.1
2018			< 0.1
2022		< 0.1	
2024		< 0.1	
2028			< 0.1
2032			< 0.1
2034			< 0.1
2045		< 0.1	< 0.1
2051			< 0.1
2056			< 0.1
2060			< 0.1
2064			< 0.1
2066		< 0.1	
2069			< 0.1
2077	< 0.1		
2086			< 0.1
2088	< 0.1		
2089		< 0.1	
2090			< 0.1
2091		< 0.1	
2094	< 0.1	< 0.1	
2099			< 0.1
2107		< 0.01	
2108			< 0.1
2111			< 0.1
2113	< 0.1		
2114			< 0.01
2121		< 0.1	
2126	< 0.1		
2129			< 0.1
2131			< 0.1
2133	< 0.01	< 0.1	< 0.1
2137	< 0.1	< 0.1	
2145	< 0.1	< 0.1	
2150			< 0.1
2152	< 0.1		
2154			< 0.1
2155			< 0.1
2169	< 0.1		
2176	< 0.1	< 0.1	
2183			< 0.1
2204	< 0.1	< 0.1	
2205	< 0.1		
2209		< 0.1	
2210			< 0.1
2212	< 0.1		< 0.1
2213			< 0.1
2217			< 0.1
2223			< 0.1
2236	< 0.1		
2252	< 0.1		
2254			< 0.1
2274		< 0.1	
2277			< 0.1
2286			< 0.1
2287	< 0.1	< 0.1	< 0.1
2293	< 0.1		
2303	< 0.1	< 0.1	
2306	< 0.1		
2307			< 0.1
2321			< 0.1
2322			< 0.1
2324	< 0.01	< 0.1	
2325	< 0.1	< 0.1	
2327			< 0.1
2328			< 0.1
2329		< 0.1	< 0.1
2333	< 0.1	< 0.01	
2334			< 0.1
2336			< 0.1
2339		< 0.1	
2343		< 0.1	
2345	< 0.1	< 0.01	
2346			< 0.1
2348			< 0.1
2352	< 0.1	< 0.1	
2359		< 0.1	
2364		< 0.1	
2381	< 0.1	< 0.1	
2382		< 0.1	
2390	< 0.1		< 0.1
2392			< 0.1
2395			< 0.1
2400		< 0.1	< 0.1
2405			< 0.1
2406	< 0.1	< 0.1	
2407	< 0.1	< 0.1	
2413			< 0.1
2414			< 0.1
2416			< 0.1
2418	< 0.1	< 0.01	
2421			< 0.1
2426			< 0.1
2430		< 0.1	
2435			< 0.1
2436			< 0.1
2437			< 0.1
2442	< 0.1	< 0.01	
2446			< 0.1
2451		< 0.1	
2458	< 0.1	< 0.01	
2459	< 0.1	< 0.1	
2478			< 0.1
2485	< 0.1		
2486			< 0.1
2493			< 0.1
2500			< 0.1
2502			< 0.1
2504		< 0.1	< 0.1
2505	< 0.1		< 0.1
2517		< 0.1	
2528	< 0.1		
2530	< 0.1		
2534		< 0.1	
2554		< 0.1	
2556			< 0.1
2557	< 0.1		
2562			< 0.1
2563	< 0.1	< 0.1	
2565			< 0.1
2566	< 0.1	< 0.1	
2569			< 0.1
2571	< 0.1		< 0.1
2583			< 0.1
2584			< 0.01
2588		< 0.1	< 0.1
2589			< 0.1
2591		< 0.1	
2601			< 0.1
2610	< 0.1	< 0.1	
2611	< 0.1		
2612	< 0.1	< 0.1	< 0.1
2621	< 0.1	< 0.1	
2622	< 0.1	< 0.1	
2631			< 0.1
2633		< 0.1	
2638			< 0.1
2641	< 0.1		
2646	< 0.1		
2649		< 0.1	
2651	< 0.1	< 0.1	
2653	< 0.1		
2654		< 0.1	
2656			< 0.1
2666			< 0.1
2678			< 0.1
2681			< 0.1
2683			< 0.1
2684			< 0.1
2697			< 0.1
2702	< 0.1		
2704		< 0.1	
2705			< 0.1
2707	< 0.1	< 0.001	
2709			< 0.1
2710			< 0.1
2723	< 0.1	< 0.1	
2725			< 0.1
2727			< 0.01
2728			< 0.1
2735			< 0.1
2741			< 0.01
2744			< 0.01
2749			< 0.1
2756		< 0.1	
2765			< 0.1
2768		< 0.1	
2770	< 0.1	< 0.1	< 0.1
2777		< 0.1	
2786			< 0.1
2795	< 0.1		
2801			< 0.1
2808			< 0.1
2809		< 0.1	
2815			< 0.1
2818	< 0.1		
2820	< 0.01	< 0.1	
2824			< 0.1
2825		< 0.1	
2827		< 0.1	
2829			< 0.1
2833			< 0.1
2843	< 0.1		
2848			< 0.1
2856			< 0.01
2861			< 0.1
2862	< 0.1	< 0.1	
2864			< 0.1
2872			< 0.1
2873			< 0.1
2882	< 0.1		< 0.1
2887			< 0.1
2891		< 0.1	
2893			< 0.1
2895	< 0.1	< 0.1	
2898			< 0.1
2903		< 0.1	
2908			< 0.1
2913	< 0.01	< 0.01	
2921	< 0.1		
2926			< 0.1
2927		< 0.1	< 0.1
2936	< 0.1		
2953		< 0.01	
2954			< 0.1
2959	< 0.1		< 0.1
2963	< 0.01	< 0.1	< 0.1
2967			< 0.1
2968	< 0.1	< 0.01	
2971	< 0.1	< 0.01	
