Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
1600	0.329	0.709	0.382
1601	0.918	0.82	0.498
1602	0.738	0.288	0.375
1603	0.32	0.473	0.212
1604	0.744	0.953	0.105
1605	0.604	0.838	0.773
1606	0.7	0.795	0.495
1607	0.466	0.866	0.499
1608	0.854	0.545	0.394
1609	0.053	0.746	0.314
1610	0.015	0.044	0.251
1611	0.735	0.849	0.436
1612	0.08	0.045	0.489
1613	0.011	0.013	0.252
1614	0.153	0.781	0.066
1615	0.012	0.016	0.582
1616	0.019	0.017	0.007
1619	0.86	0.687	0.67
1621	0.044	0.077	0.897
1622	0.002	0.001	0.528
1623	0.761	0.155	0.028
1624	0.809	0.498	0.244
1625	0.819	0.67	0.163
1626	0.175	0.043	0.055
1627	0.512	0.323	0.061
1628	0.888	0.834	0.628
1630	0.381	0.206	0.208
1631	0.83	0.938	0.312
1632	0.495	0.286	0.017
1633	0.137	0.133	0.774
1634	0.85	0.364	0.982
1635	0.95	0.957	0.925
1636	0.657	0.614	0.04
1637	0.027	0.072	0.035
1638	0.517	0.337	0.308
1640	0.757	0.648	0.366
1641	0.342	0.46	0.239
1642	0.918	0.412	0.236
1643	0.526	0.265	0.746
1644	0.144	0.195	0.863
1645	0.351	0.411	0.317
1646	0.988	0.692	0.783
1647	0.541	0.828	0.283
1648	0.139	0.074	0.649
1649	0.647	0.916	0.318
1650	0.476	0.933	0.625
1651	0.288	0.693	0.002
1654	0.13	0.831	0.067
1655	0.762	0.871	0.522
1656	0.771	0.384	0.688
1657	0.012	0.008	0.259
1658	0.833	0.483	0.017
1659	0.994	0.666	0.733
1660	0.093	0.1	0.669
1661	0.942	0.558	0.132
1662	0.269	0.235	0.372
1663	0.707	0.679	0.134
1665	0.687	0.808	0.126
1666	0.306	0.649	0.22
1667	0.143	0.023	0.569
1668	0.435	0.601	0.75
1669	0.317	0.545	0.119
1670	0.51	0.443	0.222
1671	0.835	0.575	0.76
1672	0.29	0.662	0.026
1674	0.901	0.643	0.543
1675	0.907	0.652	0.446
1676	0.027	0.084	0.026
1677	0.697	0.814	0.097
1678	0.586	0.689	0.036
1679	0.287	0.028	0.701
1680	0.278	0.634	0.015
1682	0.409	0.195	0.022
1684	0.211	0.467	0.025
1685	0.338	0.889	0.012
1686	0.524	0.947	0.024
1688	0.375	0.812	0.491
