Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
2375			< 0.1
2380			< 0.1
2386			< 0.1
2388			< 0.1
2395			< 0.01
2400			< 0.001
2402	< 0.1		< 0.01
2403	< 0.1	< 0.01	
2405		< 0.1	
2407			< 0.1
2410			< 0.1
2413			< 0.1
2414	< 0.1	< 0.01	
2417		< 0.1	< 0.01
2419	< 0.1	< 0.1	
2423			< 0.01
2426		< 0.1	
2427			< 0.1
2428		< 0.1	
2432	< 0.1		
2433			< 0.1
2434		< 0.1	
2437			< 0.1
2443			< 0.1
2444		< 0.1	
2446	< 0.1		< 0.001
2449		< 0.1	< 0.1
2450	< 0.1		
2451	< 0.1		< 0.1
2458		< 0.1	
2459			< 0.1
2460			< 0.1
2461	< 0.1	< 0.1	
2466			< 0.1
2469		< 0.1	
2470			< 0.1
2471			< 0.1
2476			< 0.1
2477	< 0.1		< 0.1
2486			< 0.1
2489		< 0.1	
2490			< 0.1
2492	< 0.1	< 0.1	
2496		< 0.1	
2497		< 0.1	
2500	< 0.01	< 0.01	
2504	< 0.1	< 0.1	
2505			< 0.01
2506			< 0.1
2511		< 0.1	
2513		< 0.1	
2516		< 0.1	
2517			< 0.1
2521			< 0.1
2522	< 0.1		
2528			< 0.1
2532	< 0.1	< 0.1	
2534	< 0.1	< 0.01	
2535		< 0.1	
2538	< 0.1	< 0.1	< 0.01
2539			< 0.01
2540	< 0.1		< 0.1
2541			< 0.1
2545			< 0.1
2549		< 0.1	
2551		< 0.1	
2553	< 0.1		
2556	< 0.1	< 0.1	
2558			< 0.1
2559	< 0.1	< 0.1	
2562		< 0.1	
2567		< 0.1	
2569			< 0.1
2570		< 0.1	
2573			< 0.1
2574			< 0.1
2578			< 0.1
2580			< 0.01
2582		< 0.1	
2588			< 0.1
2590		< 0.1	
2592	< 0.1		
2593			< 0.1
2595			< 0.1
2596		< 0.1	
2601			< 0.1
2603			< 0.1
2604	< 0.1		
2609	< 0.1	< 0.1	
2611			< 0.1
2615			< 0.1
2623			< 0.1
2630	< 0.1		
2632	< 0.1		< 0.1
2639	< 0.1	< 0.01	
2642			< 0.001
2644			< 0.1
2648			< 0.1
2650		< 0.1	< 0.1
2651			< 0.1
2652			< 0.1
2657	< 0.1		
2658			< 0.1
2661	< 0.01	< 0.1	
2668			< 0.001
2670			< 0.1
2676	< 0.1	< 0.1	
2679			< 0.1
2682			< 0.1
2696			< 0.1
2701			< 0.1
2704			< 0.01
2706	< 0.1		
2709		< 0.1	
2712			< 0.1
2714			< 0.1
2720	< 0.1		< 0.1
2723			< 0.1
2724			< 0.1
2729			< 0.1
2730			< 0.1
2734			< 0.1
2736			< 0.01
2738			< 0.1
2741			< 0.1
2744			< 0.1
2747	< 0.1		< 0.1
2762			< 0.1
2765			< 0.1
2769			< 0.1
2771			< 0.1
2772			< 0.1
2773			< 0.1
2775			< 0.001
2778	< 0.1	< 0.1	
2780		< 0.1	
2785	< 0.1		< 0.1
2786			< 0.1
2787			< 0.1
2791			< 0.1
2794		< 0.1	
2795	< 0.1	< 0.1	
2796		< 0.1	
2803	< 0.01	< 0.01	
2804			< 0.1
2812		< 0.1	
2815			< 0.1
2817			< 0.1
2835			< 0.01
2836	< 0.1	< 0.1	< 0.1
2841			< 0.1
2844			< 0.1
2847	< 0.1		
2849			< 0.1
2866			< 0.1
2870			< 0.1
2875	< 0.1		
2880		< 0.1	
2883			< 0.1
2887	< 0.1	< 0.1	
2888			< 0.1
2890			< 0.1
2894	< 0.01	< 0.1	
2902	< 0.1	< 0.01	< 0.1
2904			< 0.1
2907	< 0.1	< 0.1	
2911	< 0.1		
2914		< 0.1	
2918	< 0.1		
2919			< 0.1
2926			< 0.1
2928			< 0.1
2936		< 0.1	
2938	< 0.1		
2940	< 0.1		
2945			< 0.1
2949			< 0.1
2953		< 0.1	
2956			< 0.01
2961			< 0.01
2964			< 0.1
2967			< 0.1
2969			< 0.01
2972	< 0.1		< 0.1
2989			< 0.1
3003		< 0.1	< 0.01
3015	< 0.1		
3019			< 0.1
3023			< 0.1
3026			< 0.1
3035		< 0.1	
3044	< 0.01	< 0.01	
3056			< 0.1
3060		< 0.1	
3061	< 0.1	< 0.1	
3063	< 0.1		< 0.1
3067			< 0.1
3072			< 0.1
3074			< 0.1
3078	< 0.01	< 0.1	
3085	< 0.1	< 0.1	
3088	< 0.1	< 0.1	< 0.1
3089	< 0.1	< 0.1	
3090	< 0.1	< 0.1	< 0.1
3091	< 0.1		< 0.001
3095		< 0.1	
3096			< 0.1
3097			< 0.1
3104		< 0.1	
3106			< 0.1
3108	< 0.1	< 0.01	
3114	< 0.1		< 0.1
3115		< 0.1	
3117			< 0.1
3122			< 0.1
3125			< 0.1
3134		< 0.1	
3146			< 0.1
3148			< 0.1
3153			< 0.1
3154		< 0.1	
3158			< 0.1
3165			< 0.1
3166			< 0.1
3169	< 0.1	< 0.01	
3170		< 0.1	
3172			< 0.1
3179	< 0.1		
3193			< 0.1
3199			< 0.1
3202	< 0.1	< 0.1	
3210		< 0.1	
3225	< 0.1		
3227			< 0.1
3229			< 0.1
3234	< 0.01	< 0.1	
3236			< 0.1
3238			< 0.1
3241	< 0.1	< 0.1	
3249			< 0.1
3276	< 0.1		
3278			< 0.1
3280	< 0.1		
3282		< 0.01	
3289	< 0.1	< 0.1	
3295			< 0.01
3297			< 0.1
3304			< 0.1
3307			< 0.1
3308		< 0.1	< 0.1
3309			< 0.1
3316	< 0.1		< 0.1
3321			< 0.1
3325		< 0.1	< 0.1
3327	< 0.1		
3328		< 0.1	
3329			< 0.1
3332			< 0.1
3335	< 0.1		< 0.1
3336			< 0.1
3342	< 0.1	< 0.1	
3343		< 0.1	
3348		< 0.1	< 0.1
3349		< 0.1	< 0.1
3357			< 0.1
3365			< 0.1
3366			< 0.1
3377	< 0.1	< 0.1	
3379	< 0.1		
3388			< 0.1
3390	< 0.1	< 0.01	
3402			< 0.01
3407		< 0.1	
3417	< 0.01	< 0.1	< 0.01
3418			< 0.1
3422	< 0.1	< 0.1	
3423			< 0.1
3426	< 0.1	< 0.01	
3427		< 0.1	
3431		< 0.1	< 0.1
3433	< 0.1	< 0.1	< 0.1
3435		< 0.01	
3437			< 0.1
3439			< 0.001
3441		< 0.1	
3443			< 0.1
3452	< 0.1	< 0.1	
3453	< 0.1		
3454			< 0.1
3458			< 0.1
3460			< 0.1
3467	< 0.01	< 0.1	< 0.001
3480	< 0.1		< 0.1
3482	< 0.1	< 0.1	< 0.1
3484		< 0.1	
3488	< 0.1	< 0.01	< 0.1
3490			< 0.1
3494			< 0.1
3495			< 0.1
3501			< 0.1
3504			< 0.1
3511	< 0.1		< 0.1
3515			< 0.1
3516		< 0.1	
3519			< 0.1
3521			< 0.1
3524			< 0.1
3526	< 0.1		< 0.1
3534	< 0.1	< 0.1	
3535			< 0.1
3539	< 0.1		
3542			< 0.1
3547	< 0.1	< 0.1	
3555		< 0.1	
3556	< 0.1		< 0.01
3557			< 0.001
3565			< 0.1
3567		< 0.1	< 0.1
3570			< 0.1
3574			< 0.1
3581		< 0.1	< 0.01
3586	< 0.01	< 0.01	< 0.1
3590			< 0.01
3591	< 0.1	< 0.1	
3592	< 0.1		
3598			< 0.1
3599			< 0.1
3609			< 0.01
3612			< 0.1
3624			< 0.01
3633	< 0.1	< 0.1	
3641			< 0.1
3643			< 0.1
3645		< 0.1	
3647			< 0.001
3650	< 0.1		< 0.001
3652	< 0.01	< 0.1	
3656			< 0.01
3658	< 0.1	< 0.1	< 0.1
3663	< 0.1		
3664	< 0.1		< 0.1
3666			< 0.01
3670			< 0.1
3675	< 0.1		
3678			< 0.001
3679	< 0.1		< 0.1
3690			< 0.1
3693			< 0.1
3694			< 0.1
3697			< 0.1
3701			< 0.1
3712			< 0.1
3714			< 0.1
3719			< 0.1
3726			< 0.1
3729			< 0.1
3733	< 0.1	< 0.1	< 0.01
3737			< 0.01
3740			< 0.1
3743	< 0.1		
3744	< 0.1		< 0.1
3751			< 0.1
3761			< 0.1
3763			< 0.1
3770			< 0.1
3781		< 0.1	< 0.1
3782		< 0.1	
3788	< 0.1		< 0.01
3789	< 0.1	< 0.1	
3791			< 0.1
3792	< 0.1		< 0.001
3797			< 0.1
3800		< 0.1	
3806			< 0.1
3808	< 0.1	< 0.1	
3813	< 0.1	< 0.1	< 0.01
3814			< 0.1
3822			< 0.01
3828			< 0.1
3838	< 0.1		
3850	< 0.1		< 0.1
3860		< 0.1	
3873			< 0.1
3880			< 0.1
3883			< 0.001
3889			< 0.01
3893	< 0.1	< 0.1	< 0.1
3900			< 0.1
3908			< 0.1
3918	< 0.1	< 0.1	
3921			< 0.1
3923			< 0.1
3925			< 0.1
3934	< 0.1	< 0.1	
3938			< 0.1
3940			< 0.1
3942			< 0.1
3952		< 0.1	
3953			< 0.1
3957			< 0.1
3959		< 0.1	< 0.01
3960			< 0.1
3961	< 0.1	< 0.1	< 0.1
3967			< 0.1
3969			< 0.1
3980	< 0.1	< 0.1	
3987	< 0.1		
3992			< 0.1
3993	< 0.1	< 0.1	
3996	< 0.1		
3997	< 0.01	< 0.1	
4008			< 0.1
4012		< 0.1	< 0.1
4015			< 0.1
4016		< 0.1	< 0.1
4021		< 0.1	
4024			< 0.1
4026			< 0.1
4030			< 0.1
4035		< 0.1	
4037			< 0.1
4039			< 0.001
4043	< 0.1		
4052			< 0.1
4053	< 0.1	< 0.1	
4054	< 0.1	< 0.1	< 0.1
4056			< 0.1
4057			< 0.1
4058			< 0.1
4059		< 0.1	
4060	< 0.1	< 0.1	
4061	< 0.1	< 0.1	
4062	< 0.1	< 0.01	
4074			< 0.01
4076	< 0.1		
4077			< 0.1
4080	< 0.01	< 0.01	< 0.01
4081			< 0.01
4083			< 0.1
4084			< 0.1
4085	< 0.1		
4086	< 0.1		
4097	< 0.1		< 0.1
4098		< 0.1	
4102	< 0.1	< 0.1	
4111			< 0.1
4114			< 0.01
4115		< 0.1	< 0.1
4117			< 0.1
4121	< 0.1	< 0.1	< 0.1
4124			< 0.1
4129			< 0.1
4137			< 0.1
4139			< 0.1
4141			< 0.1
4143	< 0.1	< 0.1	
4152	< 0.1	< 0.1	
4165			< 0.1
4166	< 0.1		
4167			< 0.1
4177			< 0.1
4178	< 0.1		
4181			< 0.01
4183			< 0.1
4188	< 0.1		
4192			< 0.1
4201		< 0.1	< 0.1
4202			< 0.1
4203	< 0.01	< 0.001	
4209			< 0.1
4210		< 0.1	
4216			< 0.1
4217			< 0.1
4222	< 0.1	< 0.1	< 0.1
4223	< 0.01	< 0.1	
4233	< 0.1	< 0.1	
4234			< 0.1
4237	< 0.1		
4238			< 0.1
4245		< 0.1	
4246	< 0.1		< 0.1
4251			< 0.1
4253	< 0.1		
4255		< 0.1	< 0.1
4257	< 0.1	< 0.1	< 0.01
4261			< 0.1
4262			< 0.1
4263			< 0.1
4265	< 0.1	< 0.1	
4269			< 0.01
4270	< 0.1	< 0.1	< 0.01
4280			< 0.1
4282			< 0.1
4283			< 0.01
4289			< 0.1
4299			< 0.1
4301		< 0.1	< 0.1
4302			< 0.1
4306			< 0.1
4313	< 0.1	< 0.1	
4318	< 0.1		< 0.1
4320	< 0.01	< 0.01	
4328	< 0.1		< 0.1
4344	< 0.1	< 0.1	
4350	< 0.1	< 0.1	
4355		< 0.1	
4356			< 0.1
4368	< 0.1		< 0.01
4374	< 0.01	< 0.1	< 0.01
4378			< 0.1
4379	< 0.1	< 0.1	
4384	< 0.01	< 0.1	
4387	< 0.01	< 0.1	< 0.1
4388			< 0.01
4393	< 0.1	< 0.1	< 0.1
4394			< 0.1
4397	< 0.1		
4398	< 0.1		
4401			< 0.1
4405	< 0.01	< 0.1	
4407	< 0.1		< 0.01
4411	< 0.1	< 0.1	< 0.1
4412	< 0.1	< 0.1	
4417			< 0.1
4418	< 0.1	< 0.1	
4423	< 0.1	< 0.1	< 0.1
4427	< 0.1		< 0.1
4435		< 0.1	
4453			< 0.1
4455		< 0.1	
4458		< 0.1	
4468	< 0.1	< 0.01	< 0.1
4469			< 0.1
4470	< 0.1		< 0.1
4474			< 0.1
4476			< 0.1
4480			< 0.1
4483			< 0.01
4489		< 0.1	
4493			< 0.1
4497			< 0.1
4499	< 0.01	< 0.01	< 0.1
4501			< 0.1
4507			< 0.1
4508			< 0.1
4511			< 0.1
4517	< 0.1	< 0.1	
4519			< 0.1
4522			< 0.1
4528			< 0.1
4536			< 0.1
4542		< 0.1	< 0.1
4543			< 0.1
4548	< 0.1	< 0.01	< 0.01
4550	< 0.1	< 0.1	< 0.01
4551	< 0.1	< 0.1	
4552			< 0.1
4553		< 0.1	
4556			< 0.1
4558			< 0.001
4570	< 0.1		< 0.1
4579			< 0.1
4583		< 0.1	
4594		< 0.1	
4597			< 0.1
4606	< 0.1	< 0.1	< 0.01
4610	< 0.1		
4611	< 0.1		
4622			< 0.1
4625		< 0.1	
4638			< 0.01
4644			< 0.1
4646			< 0.1
4654			< 0.01
4658			< 0.1
4662	< 0.1	< 0.1	
4664	< 0.1	< 0.1	
4669	< 0.1		
4673	< 0.1		
4674		< 0.1	< 0.1
4675	< 0.1	< 0.1	< 0.1
4676	< 0.1		< 0.1
4682	< 0.1		
4690	< 0.01	< 0.1	< 0.1
4702			< 0.01
4711	< 0.1	< 0.1	< 0.1
4713			< 0.01
4715			< 0.1
4720			< 0.01
4722			< 0.1
4724			< 0.1
4729		< 0.1	< 0.1
4731		< 0.1	< 0.01
4737			< 0.001
4742			< 0.1
4743			< 0.1
4744			< 0.1
4746			< 0.1
4749			< 0.1
4752	< 0.1	< 0.1	
4755	< 0.1		
4770	< 0.1		< 0.01
4772	< 0.1	< 0.1	
4774	< 0.1		< 0.1
4775	< 0.1		< 0.001
4777	< 0.1	< 0.1	
4779			< 0.1
4781			< 0.1
4792	< 0.1		< 0.01
4793		< 0.1	
4796			< 0.01
4802			< 0.1
4808	< 0.1	< 0.1	
4810	< 0.1		< 0.1
4813			< 0.01
4818		< 0.1	
4820			< 0.1
4823			< 0.1
4825		< 0.1	
4827	< 0.1		< 0.1
4832	< 0.1		
4834	< 0.1	< 0.1	
4847		< 0.1	< 0.1
4851			< 0.1
4853			< 0.1
4855			< 0.1
4856			< 0.1
4862			< 0.1
4863			< 0.1
4873	< 0.1	< 0.1	
4874	< 0.1	< 0.1	
4877	< 0.1	< 0.1	
4881	< 0.01	< 0.1	
4882	< 0.1		
4883	< 0.1	< 0.1	
4885	< 0.1	< 0.1	
4888			< 0.1
4889		< 0.1	
4890		< 0.1	
4893	< 0.1	< 0.1	
4901	< 0.1	< 0.1	
4902	< 0.1	< 0.1	
4908			< 0.1
4909			< 0.1
4911			< 0.1
4912			< 0.1
4915	< 0.1		
4917	< 0.1	< 0.1	
4918	< 0.01	< 0.1	< 0.1
4919	< 0.1	< 0.1	
4920			< 0.1
4922	< 0.1		
4924	< 0.1		< 0.001
4926	< 0.01	< 0.1	< 0.01
4929			< 0.01
4932			< 0.1
4937	< 0.01	< 0.1	< 0.001
4939		< 0.1	
4940			< 0.1
4943	< 0.1		< 0.01
4951	< 0.1	< 0.1	< 0.1
4952	< 0.1		
4954	< 0.1	< 0.1	
4956			< 0.01
4957	< 0.1		
4960		< 0.1	
4963			< 0.1
4964	< 0.1	< 0.1	
4965			< 0.1
4966	< 0.1		< 0.001
4967			< 0.1
4977	< 0.01	< 0.1	
4978	< 0.1	< 0.1	< 0.1
4980			< 0.01
4989			< 0.1
4996	< 0.1	< 0.1	
4998			< 0.1
4999			< 0.1
5000	< 0.1		
5002	< 0.1	< 0.1	
5003	< 0.1	< 0.1	< 0.01
5004	< 0.1	< 0.1	< 0.1
5007		< 0.1	< 0.1
5011			< 0.1
5013			< 0.001
5014	< 0.1		< 0.01
5022	< 0.1		< 0.01
5030			< 0.1
5034	< 0.1		
5038			< 0.1
5039	< 0.1		
5042	< 0.1		< 0.01
5043			< 0.001
5044			< 0.01
5045			< 0.001
5054		< 0.1	
5057			< 0.1
5061	< 0.1	< 0.1	< 0.001
5062	< 0.01	< 0.1	< 0.01
5066	< 0.01	< 0.1	
5069	< 0.1		
5072			< 0.001
5073			< 0.1
5075			< 0.01
5076		< 0.1	
