Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
1952			Dn, < 0.1
1959	Up, < 0.1		
1960			Up, < 0.1
1963	Up, < 0.1	Up, < 0.1	
1966			Dn, < 0.1
1967		Up, < 0.1	
1969			Dn, < 0.001
1971			Dn, < 0.1
1972		Up, < 0.1	
1975	Up, < 0.1		Dn, < 0.1
1983		Dn, < 0.1	Dn, < 0.1
1984			Dn, < 0.1
1985			Dn, < 0.1
1990	Up, < 0.1	Up, < 0.1	Dn, < 0.1
1994		Dn, < 0.1	
2002			Dn, < 0.1
2010			Dn, < 0.01
2018	Up, < 0.1		
2022			Dn, < 0.1
2028			Dn, < 0.01
2032	Up, < 0.1	Up, < 0.1	
2041			Dn, < 0.1
2042	Up, < 0.1	Up, < 0.1	
2047			Dn, < 0.1
2048			Dn, < 0.1
2049			Dn, < 0.1
2054			Up, < 0.1
2058			Dn, < 0.1
2060		Up, < 0.1	
2071			Up, < 0.1
2073			Dn, < 0.1
2076			Up, < 0.1
2079			Dn, < 0.1
2080	Dn, < 0.1		Up, < 0.1
2085	Up, < 0.1		
2086			Dn, < 0.01
2089	Up, < 0.1	Up, < 0.01	
2095	Up, < 0.1		
2100			Up, < 0.1
2103			Dn, < 0.1
2105			Up, < 0.01
2113	Dn, < 0.1	Dn, < 0.1	
2120			Up, < 0.01
2122			Dn, < 0.1
2125		Dn, < 0.1	
2127	Up, < 0.1	Up, < 0.1	Dn, < 0.1
2135			Dn, < 0.1
2140	Up, < 0.1		
2141			Dn, < 0.1
2142			Up, < 0.1
2152	Up, < 0.1	Up, < 0.1	
2161		Dn, < 0.1	Up, < 0.1
2167			Dn, < 0.1
2169		Dn, < 0.1	
2182			Dn, < 0.01
2189		Up, < 0.1	
2192			Dn, < 0.1
2202		Dn, < 0.1	Up, < 0.1
2214			Dn, < 0.1
2215			Up, < 0.01
2234		Up, < 0.1	
2252			Up, < 0.1
2255	Up, < 0.1	Up, < 0.1	
2267		Dn, < 0.1	
2279			Dn, < 0.1
2280	Dn, < 0.1	Dn, < 0.1	
2284			Dn, < 0.1
2286			Dn, < 0.1
2288			Dn, < 0.1
2293			Up, < 0.01
2296			Dn, < 0.01
2305		Up, < 0.1	
2311			Dn, < 0.1
2312		Dn, < 0.1	
2320	Dn, < 0.1	Dn, < 0.01	
2326			Up, < 0.1
2327			Dn, < 0.1
2333			Dn, < 0.1
2339			Dn, < 0.1
