Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
1570			Dn, < 0.1
1571		Dn, < 0.1	Up, < 0.1
1572	Dn, < 0.1	Dn, < 0.1	
1574		Dn, < 0.01	
1575		Dn, < 0.1	
1576		Dn, < 0.1	
1577		Dn, < 0.1	
1578		Dn, < 0.1	
1579			Dn, < 0.1
1580		Dn, < 0.1	
1592	Dn, < 0.1	Dn, < 0.1	
1593		Dn, < 0.1	
1594	Up, < 0.1		
1598		Up, < 0.1	
1603	Up, < 0.1	Up, < 0.1	
1604		Dn, < 0.1	
1610	Up, < 0.01	Up, < 0.01	
1611	Up, < 0.1		
1612	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1613	Dn, < 0.1	Dn, < 0.1	
1628	Dn, < 0.01	Dn, < 0.1	Up, < 0.1
1631	Dn, < 0.1	Dn, < 0.1	
1633	Dn, < 0.1	Dn, < 0.1	
1635		Dn, < 0.1	Up, < 0.01
1637	Dn, < 0.1	Dn, < 0.1	
1638		Up, < 0.1	
1640	Dn, < 0.1	Dn, < 0.1	
1647		Dn, < 0.1	
1652	Dn, < 0.1		
1655	Up, < 0.01		
1656			Up, < 0.1
1660			Dn, < 0.1
1663			Dn, < 0.01
1664	Dn, < 0.1	Dn, < 0.01	
1666		Dn, < 0.1	
1676			Dn, < 0.1
1683	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
1686	Up, < 0.1	Up, < 0.01	Dn, < 0.1
1691	Dn, < 0.1		
1694	Up, < 0.1	Up, < 0.1	
1697			Up, < 0.1
1706	Dn, < 0.1	Dn, < 0.1	
1710		Dn, < 0.1	
1711			Up, < 0.1
1713		Dn, < 0.1	
1718	Dn, < 0.1	Dn, < 0.1	
1724			Dn, < 0.1
1737	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1744	Up, < 0.1		
1746			Up, < 0.1
1747	Dn, < 0.1	Dn, < 0.1	
1757	Dn, < 0.1		
1758			Dn, < 0.1
1760			Up, < 0.1
1764			Dn, < 0.1
1766		Dn, < 0.1	
1771		Dn, < 0.1	
1779		Dn, < 0.1	
1780		Dn, < 0.1	
1785			Dn, < 0.1
