Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
1257			Up, < 0.1
1259		Up, < 0.1	
1272		Up, < 0.1	
1274			Up, < 0.1
1278	Up, < 0.1	Up, < 0.1	
1279	Up, < 0.1		
1280		Up, < 0.1	
1281		Dn, < 0.1	
1288		Dn, < 0.1	
1298			Dn, < 0.1
1303		Up, < 0.1	
1307			Dn, < 0.1
1315			Dn, < 0.1
1317			Up, < 0.1
1322		Up, < 0.1	
1336			Dn, < 0.1
1339	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
1340	Dn, < 0.1	Dn, < 0.1	
1348			Dn, < 0.1
1349	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
1352			Dn, < 0.1
1353			Dn, < 0.1
1361			Dn, < 0.1
1363	Dn, < 0.1		Up, < 0.1
1364		Dn, < 0.1	
1368		Up, < 0.1	
1369	Dn, < 0.1		
1370			Dn, < 0.1
1386	Dn, < 0.01	Dn, < 0.01	
1402	Up, < 0.1	Up, < 0.1	
1410	Dn, < 0.01	Dn, < 0.1	Up, < 0.001
1415	Up, < 0.1		
1420			Dn, < 0.01
1421			Up, < 0.1
1425		Up, < 0.1	
1428		Dn, < 0.1	
1431			Dn, < 0.1
1432			Dn, < 0.1
1433		Up, < 0.1	
1447		Up, < 0.1	
1452			Dn, < 0.1
1456			Dn, < 0.1
1457	Up, < 0.1	Up, < 0.01	
1461	Up, < 0.1		
1462			Up, < 0.1
1465	Up, < 0.1	Up, < 0.01	
1467			Dn, < 0.1
1484		Dn, < 0.1	
1488	Dn, < 0.1		
1489	Up, < 0.1	Up, < 0.01	
1490			Up, < 0.1
1494	Dn, < 0.1		
1496		Dn, < 0.1	Up, < 0.1
1501			Dn, < 0.1
1503			Up, < 0.1
1504			Dn, < 0.1
1516	Dn, < 0.1		Up, < 0.01
1517			Up, < 0.1
1521	Dn, < 0.1	Dn, < 0.1	Up, < 0.01
1522			Up, < 0.1
1523	Dn, < 0.1		
