Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
1850			< 0.1
1852	< 0.1		
1857	< 0.1	< 0.1	
1858	< 0.1		
1859			< 0.1
1861	< 0.1	< 0.1	
1868		< 0.1	
1869		< 0.1	
1872	< 0.1	< 0.01	
1873	< 0.1		
1876	< 0.1		
1877	< 0.01	< 0.01	
1881	< 0.1	< 0.1	
1883			< 0.1
1887	< 0.1		< 0.1
1888			< 0.1
1890	< 0.01	< 0.1	
1893			< 0.001
1897		< 0.1	
1898	< 0.01	< 0.1	
1900		< 0.1	
1904		< 0.1	< 0.1
1906	< 0.1	< 0.1	
1911		< 0.1	
1913			< 0.1
1919			< 0.1
1920	< 0.1	< 0.1	< 0.1
1927		< 0.1	
1928		< 0.1	
1941	< 0.1	< 0.1	< 0.1
1952	< 0.1		< 0.1
1953			< 0.01
1955			< 0.1
1958	< 0.1		
1963		< 0.1	< 0.1
1965			< 0.1
1968	< 0.1	< 0.1	
1986	< 0.1	< 0.1	
1989		< 0.1	
1990	< 0.1		< 0.1
1994			< 0.1
1999			< 0.1
2001	< 0.1		
2004			< 0.1
2005		< 0.1	
2015	< 0.01	< 0.01	
2017	< 0.1	< 0.1	
2018			< 0.1
2021			< 0.1
2026			< 0.1
2040			< 0.1
2047			< 0.1
2056	< 0.1		
2057	< 0.1	< 0.1	
2059	< 0.01	< 0.1	
2062			< 0.1
2066			< 0.1
2072		< 0.1	
2073			< 0.1
2077	< 0.1		
2081			< 0.01
2092			< 0.1
2094		< 0.1	
2098	< 0.1	< 0.1	
2103		< 0.01	
2109	< 0.1		
2113	< 0.1	< 0.01	
2116			< 0.1
2119	< 0.1	< 0.1	
2120			< 0.1
2121	< 0.001	< 0.1	
2128	< 0.01	< 0.1	< 0.1
2134			< 0.01
2136		< 0.1	< 0.01
2137	< 0.1		< 0.1
2139	< 0.1		
2142	< 0.1	< 0.1	
2148	< 0.1	< 0.1	
2154	< 0.01	< 0.1	
2161			< 0.1
2166		< 0.1	
2174	< 0.01		
2183			< 0.01
2185			< 0.1
2187	< 0.1	< 0.1	
2189	< 0.1		< 0.1
2192	< 0.1		
2197	< 0.001	< 0.01	
2199	< 0.1	< 0.01	
2201			< 0.1
2204	< 0.1		
2207	< 0.1	< 0.1	
2209	< 0.01	< 0.01	< 0.1
2214	< 0.1		
2218	< 0.1	< 0.1	
2219			< 0.1
2220		< 0.1	
2223		< 0.1	< 0.1
2224	< 0.1	< 0.1	
2233			< 0.1
2234			< 0.1
2237		< 0.1	
2241	< 0.1	< 0.01	
2245			< 0.1
2246	< 0.1	< 0.01	
2254	< 0.1	< 0.1	
2261			< 0.1
2263	< 0.1	< 0.1	
2264			< 0.1
2267			< 0.1
2268			< 0.1
2269			< 0.1
2273			< 0.01
2285		< 0.1	
2286	< 0.01	< 0.1	
2293		< 0.1	
2294		< 0.1	
2300	< 0.01	< 0.1	
2304	< 0.1	< 0.1	
2306			< 0.01
2321			< 0.1
2322		< 0.1	
2359			< 0.1
2361	< 0.1	< 0.01	< 0.01
2363	< 0.1	< 0.1	
2365			< 0.01
2368	< 0.1		< 0.1
2369			< 0.1
2372	< 0.1		
2374			< 0.1
2375	< 0.1		
2380	< 0.1	< 0.1	
2387		< 0.1	
2391	< 0.1		
2393			< 0.1
2400			< 0.1
2401			< 0.1
2403			< 0.1
2405	< 0.1	< 0.1	
2411	< 0.1	< 0.1	
2414			< 0.1
2415	< 0.1	< 0.1	
2421	< 0.1		
2422	< 0.1		< 0.1
2424	< 0.01	< 0.01	
2425	< 0.1		
2432	< 0.1	< 0.1	< 0.1
2438	< 0.1		
2439			< 0.1
2441	< 0.1	< 0.1	
2442			< 0.1
2445	< 0.1		< 0.1
2449	< 0.1	< 0.01	
2451			< 0.1
2454			< 0.01
2455	< 0.1		
2456		< 0.1	
2457		< 0.1	
2458	< 0.1		
2459	< 0.01	< 0.1	
2463	< 0.1	< 0.1	
2464			< 0.1
2466	< 0.01	< 0.01	
2471	< 0.1	< 0.1	
2474	< 0.1	< 0.1	
2477	< 0.1	< 0.1	
2478	< 0.1	< 0.1	
2481			< 0.1
2486			< 0.1
2491			< 0.1
2493		< 0.1	< 0.1
2494	< 0.001	< 0.01	
2495			< 0.1
2498		< 0.1	
2499		< 0.1	
2500			< 0.01
2502	< 0.1		
2504	< 0.1	< 0.1	
2505		< 0.1	
2507		< 0.1	
