featureid	Propionibacteriaceae	Staphylococcus caprae or capitis	Staphylococcus epidermidis	Staphylococcus hominis	Other Staphylococci	Polyomavirus HPyV6	Polyomavirus HPyV7	Merkel Cell Polyomavirus	Malasseziaceae	Corynebacteriaceae	Micrococcaceae	Other families
X940001	0.15356687413995823	0.06488521955960823	0.1264933666090019	0.04013905309883273	0.07702703145784642	0.036050712891485044	0.06770846384089028	0.18071623301162895	-0.03608693424722173	0.32282179919457404	0.21026440010883812	0.058034828396032134
X940002	-0.038399160912016284	-0.13371861491862258	-0.19487464688021194	0.04944935234810802	0.013796329323382178	-0.053835518795435626	-0.1915282787028189	-0.16149306610500427	0.005585874893751314	-0.09201447451923422	-0.1456712024935855	-0.1567799694581875
X940005	-7.393530961352646e-07	-0.19971374893256122	-0.1723164784242871	-0.02780299020938512	0.20045444466664378	0.42005322519849714	-0.01786710638985496	-0.03143882098687814	0.018119120429664154	-0.08899012538430534	-0.0599650831676905	-0.06229243454472022
X940007	0.4277037686858754	0.33942843903681996	0.2673572891048096	0.6451019395162232	0.3822790317305951	0.07386583624390819	0.19597870644724813	0.2575954203633688	0.45935002604633113	0.39826120876322924	0.3000596933843849	0.2696838129982432
X940010	0.27112100782059295	-0.0055561978753696645	0.830406411770615	0.24116276659126515	0.21019464380964084	0.370000506867407	1.2316672351664297	1.0693173959565732	-0.239394210319097	0.4812561686696483	0.9196541766838751	0.8531044358517195
X940013	0.18191624268405132	0.09900473380909512	0.15831539211684165	0.18227881380598387	0.2365131958695741	0.29837242330807656	0.22785512215852094	0.21611798479299746	0.15572569510388704	0.1671277084124319	0.1997729493659251	0.19330070228867902
X940014	0.26901382350269104	-0.36140588633984183	-0.41416734320727666	-0.21678387976449995	1.2525425721111916	2.694086846411619	0.24665564178071714	0.13879016502130345	0.47599371215384345	-0.1473399038109971	-0.006691122346638545	0.058789957972400275
X940015	0.0775834438593534	0.027219868593173144	0.4507207387340265	0.026064047392693107	-0.012401509382120007	0.0572130012400704	0.6130728289042033	0.5234369324589077	-0.1903261207661576	0.21944894367811613	0.44945533982797864	0.4236030927675556
X940019	0.5166449633395591	0.15520582575783026	-0.5696030460417826	0.8722510948593659	0.9027235366627578	0.6839937503127149	-0.6875288940171651	-0.47826891325392396	1.0098593216176426	0.11335121930579745	-0.3448331627522289	-0.35259407017666855
X940021	0.535581785683628	1.147024678327897	0.03897082286164555	0.7858287042512594	0.22739480786809688	-0.5800792014832539	-0.7653320728678774	-0.4998649455154691	1.142889520085314	0.4139960640392896	-0.2381575522650658	-0.17685209541419744
X940022	-0.014863313497464559	-0.04102457782893677	0.44021237753324904	0.06859485773850951	-0.251477388533316	-0.4584873877338607	0.5300685981317401	0.4609117425661511	-0.3446344022640585	0.1889128948415852	0.40664585230700917	0.3557513288613008
X940024	0.09797759140828627	0.09204517181497184	0.14749722733853654	-0.11214476130695736	0.2355156769708964	0.6154603188972713	0.2742619579354149	0.21608858408670237	0.0919709922647173	0.07689655419258806	0.16806615682853782	0.1966488068044827
X940025	0.6471372598287051	0.44924558234143686	0.3609012034418849	0.9258427534285677	0.668278330408513	0.3455632223442599	0.32684731878187595	0.40423804330746105	0.69867629286997	0.57092319760024	0.44989998082022803	0.4086178858654004
X940026	0.0010700467223302979	-0.07533521596489558	-0.0364565720960045	-0.3734803476865106	0.334090093455112	1.0778560353848097	0.21889041587106522	0.12553012877934486	0.0410641834027842	-0.09253496173745007	0.04198024541579232	0.09593484966951693
X940027	-0.2286321477516015	-0.30985113716295654	-0.19024023340665652	-0.30992762249622696	-0.1406164089456353	0.05908423979866651	-0.06485145437230118	-0.10617320829539026	-0.28380829916003214	-0.23354427138957862	-0.14619884649649045	-0.14452871060477812
X940028	0.0435157574751201	-0.0344895146499339	-0.10112333276648922	0.08851526582745609	0.11297616145569137	0.10943093823031241	-0.08835170118291287	-0.06689641637209934	0.09448544183913046	-0.012551048331181758	-0.05670639613385914	-0.06027620334366257
X940029	0.011276329576414612	-0.0015131433631302565	0.13745772550975321	-0.035285655771301355	0.0001337126014783474	0.07403744801663564	0.2037744670195965	0.1675606614785394	-0.07290822640828307	0.05368141012255129	0.13801686551691988	0.13435305862604285
X940031	0.42557270017139176	0.34578133733106864	0.3060973377436006	0.48051181871060933	0.47820115633483085	0.45371621258980016	0.3213667187383505	0.3401523988662065	0.4573663929138806	0.3818058850653749	0.34826841689170346	0.3410091508776658
X940032	-0.13995425465783345	-0.1399334148502932	-0.1867804666234948	-0.2675888244400496	-0.026279483100556472	0.2144591176188953	-0.1314920923491148	-0.15215074866936742	-0.09021005185223205	-0.18457743146668043	-0.1697108827327622	-0.14596149870763853
