featureid	Propionibacteriaceae	Staphylococcus caprae or capitis	Staphylococcus epidermidis	Staphylococcus hominis	Other Staphylococci	Polyomavirus HPyV6	Polyomavirus HPyV7	Merkel Cell Polyomavirus	Malasseziaceae	Corynebacteriaceae	Micrococcaceae	Other families
X940001	0.13507309867727627	0.10336634258563412	0.05288328850488567	0.08778309473584538	0.15618927098593638	0.22924133654161036	-0.012902855722624602	0.1197376378798395	0.011832459191836137	0.4113970422188331	0.2689528177242536	0.11883469543811948
X940002	-0.01144315190450404	-0.07708409439332511	-0.19355067150271454	0.011379037174665416	-0.016851135624113556	-0.06019614257395503	-0.10218829407887141	-0.07903784629465714	-0.01638718346163563	-0.020899708345733847	-0.048408387269661346	-0.034275904081643105
X940005	-0.037457157983939976	-0.15741090438397695	-0.2222138815228234	0.06819110112226438	-0.053485547946250656	-0.11622675960590509	-0.10531003494409781	-0.07950157295561815	-0.08618954062572791	-0.030062565470891256	-0.03583371045490713	-0.04740391585293355
X940007	0.40848323470674786	0.4400911590442219	0.35634832775963743	0.6971196044209741	0.31091271277177224	-0.27576749271268675	0.16715728315111547	0.24581970704227257	0.3158388004349088	0.4865903270405195	0.324730855211442	0.27281529610678373
X940010	0.29141014868261206	0.08110266576517519	0.3540904596347484	0.42799795136374025	0.3107248072580163	0.5983158341226766	0.5438201979494973	0.5013250620668215	0.18187947725746542	0.3103622451708419	0.49639125583823573	0.42686781257061474
X940013	0.187504191405698	0.1588692994837377	0.11376803702414084	0.2042668192745905	0.1836270332229245	0.15821627901910304	0.14944020962595353	0.1597340775421826	0.1822869723304907	0.18535612475696106	0.17353955221603823	0.17737425393176426
X940014	0.655748781517916	0.13806892632552722	-1.0662911392645937	-1.1129562306946092	1.1622781339390071	3.7898706327764393	0.7261320483863437	0.5647948482430688	1.3646916440759607	0.04365514928716441	0.4148098744784722	1.005571759089252
X940015	0.06979843190630666	0.0942360562160853	0.0895313078918546	-0.25490984773143305	0.1607701468035777	0.6573855330556684	0.22991659124244726	0.16555586197330918	0.19347572558631884	-0.014587418095164617	0.0906212484999459	0.1637408744135092
X940019	0.5570209423107951	0.21921123115441096	-0.5596575213709297	0.17243329534021573	0.6616239813139978	1.1165890020691343	0.19766920501847943	0.24976642748619182	0.7354690735725309	0.36527102440342074	0.3261113288329104	0.538428569495059
X940021	0.32526112267974117	0.33550718868907414	-0.12427916859651555	0.6418261576430173	0.190950771371175	-0.7213514405470571	-0.2587411537800678	-0.10024070058434052	0.260082940044906	0.3893517481387845	0.05500900702666456	0.055552701320404296
X940022	-0.02007545097830285	-0.06750894034931534	-0.06862237166331908	0.27712577408385947	-0.09950473221824041	-0.5241775318928381	-0.1615477122726248	-0.10362432400190473	-0.13601091405638058	0.05274149704765174	-0.03263658917119866	-0.09806681220784969
